date,open,high,low,close,volume
2020-01-02,70400.0,70400.0,69400.0,69800.0,686
2020-01-03,69800.0,70400.0,69100.0,69700.0,495
2020-01-06,69000.0,69200.0,68000.0,69000.0,602
2020-01-07,69000.0,69000.0,68700.0,68900.0,345
2020-01-08,68900.0,68900.0,67200.0,68000.0,547
2020-01-09,68900.0,68900.0,67000.0,67400.0,868
2020-01-10,67400.0,67800.0,67200.0,67300.0,168
2020-01-13,67300.0,67300.0,66200.0,66800.0,692
2020-01-14,66800.0,66800.0,66400.0,66700.0,299
2020-01-15,67000.0,67000.0,66500.0,66800.0,395
2020-01-16,66700.0,66800.0,66400.0,66400.0,382
2020-01-17,66400.0,67500.0,66300.0,67200.0,360
2020-01-20,67000.0,67100.0,66700.0,66700.0,139
2020-01-21,66600.0,67000.0,66600.0,66600.0,200
2020-01-22,66600.0,67400.0,66600.0,66700.0,221
2020-01-23,66700.0,67300.0,66700.0,67300.0,205
2020-01-28,67000.0,67000.0,65900.0,66200.0,951
2020-01-29,66200.0,66600.0,66000.0,66200.0,272
2020-01-30,66500.0,66500.0,66000.0,66000.0,277
2020-01-31,66700.0,66700.0,65200.0,65500.0,513
2020-02-03,65200.0,65200.0,64600.0,64900.0,386
2020-02-04,64900.0,64900.0,64100.0,64700.0,380
2020-02-05,64600.0,64700.0,64000.0,64500.0,1059
2020-02-06,64500.0,64700.0,64000.0,64700.0,1032
2020-02-07,64700.0,65500.0,64100.0,65500.0,530
2020-02-10,65500.0,66000.0,64900.0,66000.0,351
2020-02-11,66000.0,66000.0,64000.0,64800.0,4076
2020-02-12,64800.0,64800.0,64400.0,64800.0,250
2020-02-13,63700.0,64700.0,63500.0,64700.0,830
2020-02-14,64700.0,64900.0,64000.0,64000.0,610
2020-02-17,64000.0,64700.0,63800.0,64100.0,86
2020-02-18,64100.0,64400.0,63900.0,63900.0,286
2020-02-19,63800.0,64400.0,63600.0,64300.0,355
2020-02-20,64300.0,64500.0,63700.0,64300.0,151
2020-02-21,64300.0,64600.0,64200.0,64300.0,317
2020-02-24,64100.0,64700.0,63300.0,63900.0,549
2020-02-25,63400.0,64100.0,63100.0,63800.0,114
2020-02-26,63000.0,63700.0,62900.0,63700.0,201
