date,open,high,low,close,volume
2020-01-02,4025.0,4050.0,3945.0,4035.0,46615
2020-01-03,4040.0,4075.0,3990.0,3990.0,58525
2020-01-06,3990.0,4020.0,3855.0,3915.0,151024
2020-01-07,3900.0,3945.0,3880.0,3905.0,74115
2020-01-08,3885.0,3890.0,3625.0,3645.0,246616
2020-01-09,3675.0,3795.0,3675.0,3795.0,94731
2020-01-10,3795.0,3900.0,3770.0,3870.0,115864
2020-01-13,3870.0,3925.0,3825.0,3890.0,50914
2020-01-14,3890.0,3950.0,3870.0,3900.0,51376
2020-01-15,3935.0,3950.0,3860.0,3905.0,59461
2020-01-16,3905.0,3955.0,3905.0,3955.0,56547
2020-01-17,3950.0,3955.0,3930.0,3940.0,36710
2020-01-20,3940.0,3940.0,3860.0,3870.0,56865
2020-01-21,3890.0,3900.0,3800.0,3840.0,62966
2020-01-22,3875.0,3875.0,3765.0,3790.0,67956
2020-01-23,3770.0,3820.0,3750.0,3780.0,47702
2020-01-28,3695.0,3695.0,3500.0,3600.0,148668
2020-01-29,3600.0,3645.0,3580.0,3640.0,45281
2020-01-30,3655.0,3655.0,3470.0,3530.0,109728
2020-01-31,3530.0,3530.0,3410.0,3410.0,119498
2020-02-03,3330.0,3440.0,3270.0,3440.0,127916
2020-02-04,3415.0,3620.0,3415.0,3595.0,78487
2020-02-05,3615.0,3635.0,3550.0,3590.0,55596
2020-02-06,3565.0,3735.0,3565.0,3730.0,82682
2020-02-07,3740.0,3770.0,3715.0,3745.0,50168
2020-02-10,3780.0,3780.0,3680.0,3710.0,33707
2020-02-11,3680.0,3720.0,3665.0,3710.0,42712
2020-02-12,3700.0,3700.0,3600.0,3665.0,43388
2020-02-13,3695.0,3750.0,3600.0,3630.0,114347
2020-02-14,3670.0,3720.0,3600.0,3670.0,72284
2020-02-17,3700.0,3710.0,3630.0,3660.0,52205
2020-02-18,3680.0,3680.0,3575.0,3575.0,51394
2020-02-19,3595.0,3615.0,3485.0,3540.0,61643
2020-02-20,3540.0,3550.0,3420.0,3450.0,68321
2020-02-21,3395.0,3470.0,3370.0,3375.0,93792
2020-02-24,3300.0,3305.0,3170.0,3180.0,136400
2020-02-25,3180.0,3330.0,3180.0,3330.0,86762
2020-02-26,3220.0,3335.0,3215.0,3285.0,54847
2020-02-27,3280.0,3285.0,3170.0,3175.0,101426
2020-02-28,3135.0,3200.0,2950.0,3005.0,184337
2020-03-02,2950.0,3150.0,2855.0,3050.0,172921
2020-03-03,3115.0,3150.0,3050.0,3060.0,75580
2020-03-04,3050.0,3165.0,3035.0,3135.0,68388
2020-03-05,3140.0,3200.0,3130.0,3175.0,42270
2020-03-06,3135.0,3165.0,3075.0,3120.0,47784
2020-03-09,3095.0,3095.0,2940.0,2945.0,102818
2020-03-10,2870.0,2935.0,2850.0,2925.0,113568
2020-03-11,2920.0,2960.0,2800.0,2855.0,124478
2020-03-12,2770.0,2840.0,2590.0,2615.0,253378
2020-03-13,2250.0,2440.0,2080.0,2255.0,328076
2020-03-16,2250.0,2345.0,2120.0,2120.0,120581
2020-03-17,1830.0,2135.0,1830.0,2125.0,187595
2020-03-18,2090.0,2180.0,1985.0,1990.0,63338
2020-03-19,1965.0,2070.0,1660.0,1670.0,283220
2020-03-20,1580.0,1950.0,1580.0,1950.0,182305
2020-03-23,1760.0,1795.0,1715.0,1725.0,115461
2020-03-24,1740.0,1820.0,1725.0,1820.0,92778
2020-03-25,1850.0,1980.0,1850.0,1940.0,154602
2020-03-26,1950.0,2030.0,1900.0,1980.0,137828
2020-03-27,2085.0,2120.0,1955.0,1980.0,201649
2020-03-30,1940.0,2090.0,1865.0,2075.0,113544
2020-03-31,2090.0,2315.0,2090.0,2310.0,146611
2020-04-01,2295.0,2345.0,2190.0,2225.0,181931
2020-04-02,2215.0,2250.0,2135.0,2240.0,75936
2020-04-03,2240.0,2300.0,2205.0,2240.0,93794
2020-04-06,2265.0,2380.0,2240.0,2355.0,146437
2020-04-07,2380.0,2660.0,2360.0,2520.0,198975
2020-04-08,2540.0,2600.0,2430.0,2525.0,102615
2020-04-09,2535.0,2590.0,2535.0,2580.0,73188
2020-04-10,2590.0,2650.0,2435.0,2535.0,101207
2020-04-13,2520.0,2535.0,2420.0,2420.0,88408
2020-04-14,2450.0,2880.0,2445.0,2620.0,770674
2020-04-16,2625.0,2870.0,2590.0,2785.0,323240
2020-04-17,2785.0,2895.0,2760.0,2830.0,176786
2020-04-20,2935.0,2975.0,2835.0,2885.0,229305
2020-04-21,2855.0,2960.0,2620.0,2795.0,267131
2020-04-22,2705.0,3410.0,2675.0,3240.0,1506520
2020-04-23,3135.0,3150.0,3035.0,3090.0,506943
2020-04-24,3100.0,3100.0,2930.0,2980.0,226968
2020-04-27,2980.0,3060.0,2950.0,3025.0,82233
2020-04-28,3025.0,3040.0,2965.0,3015.0,104996
2020-04-29,3000.0,3055.0,2950.0,3000.0,116895
2020-05-04,3285.0,3900.0,3275.0,3900.0,9228608
2020-05-06,4375.0,4950.0,4205.0,4590.0,18778530
2020-05-07,4915.0,5240.0,4610.0,4870.0,12710752
2020-05-08,4730.0,4900.0,4580.0,4700.0,2799016
2020-05-11,4470.0,4565.0,4410.0,4425.0,1900692
2020-05-12,4455.0,5590.0,4455.0,4960.0,31349524
2020-05-13,4875.0,4960.0,4610.0,4695.0,5870720
2020-05-14,4880.0,5360.0,4790.0,5170.0,13104165
2020-05-15,5450.0,5900.0,5140.0,5570.0,17296432
2020-05-18,6000.0,6870.0,5970.0,6470.0,21855674
2020-05-19,6290.0,6920.0,5670.0,6600.0,15360929
2020-05-20,6410.0,6550.0,6230.0,6310.0,3481322
2020-05-21,6490.0,6700.0,6330.0,6400.0,4410241
2020-05-22,6950.0,8090.0,6580.0,7570.0,51911566
2020-05-25,7340.0,7440.0,6960.0,7040.0,5555882
2020-05-26,7150.0,7370.0,6780.0,6910.0,5680418
2020-05-27,6870.0,7330.0,6840.0,7060.0,12770724
2020-05-28,7120.0,7120.0,6500.0,6550.0,3371814
2020-05-29,6880.0,6930.0,6190.0,6420.0,3101869
2020-06-01,6160.0,6250.0,6030.0,6250.0,1661882
2020-06-02,6440.0,6490.0,6280.0,6310.0,1717376
2020-06-03,6150.0,6150.0,5820.0,5980.0,1218045
2020-06-04,5980.0,6240.0,5350.0,5680.0,4306343
2020-06-05,5710.0,5980.0,5540.0,5870.0,1156015
2020-06-08,5830.0,6030.0,5790.0,5910.0,840055
2020-06-09,5860.0,5940.0,5800.0,5890.0,553925
2020-06-10,5880.0,5890.0,5650.0,5700.0,651857
2020-06-11,5680.0,5690.0,5440.0,5620.0,918940
2020-06-12,5290.0,5490.0,5180.0,5460.0,820658
2020-06-15,5260.0,5410.0,4950.0,5000.0,833963
2020-06-16,5090.0,5440.0,5090.0,5310.0,944893
2020-06-17,5190.0,5720.0,5120.0,5490.0,2939049
2020-06-18,5490.0,5750.0,5250.0,5540.0,2271366
2020-06-19,5540.0,5650.0,5310.0,5310.0,917589
2020-06-22,5280.0,5290.0,5080.0,5140.0,551740
2020-06-23,5190.0,6380.0,5090.0,5160.0,12361845
2020-06-24,5040.0,5080.0,4800.0,4865.0,1295919
2020-06-25,4880.0,5140.0,4835.0,4880.0,1622192
2020-06-26,4910.0,5240.0,4910.0,5050.0,2483348
2020-06-29,5170.0,5420.0,5090.0,5310.0,1805863
2020-06-30,5830.0,5870.0,5250.0,5480.0,3228306
2020-07-01,5480.0,5510.0,5160.0,5300.0,945898
2020-07-02,5270.0,5300.0,4995.0,5200.0,526453
2020-07-03,5150.0,5320.0,5120.0,5210.0,581545
2020-07-06,5230.0,5240.0,5050.0,5100.0,397968
2020-07-07,5160.0,5240.0,5050.0,5180.0,839818
2020-07-08,5200.0,5600.0,5150.0,5390.0,4030559
2020-07-09,5420.0,5440.0,5220.0,5230.0,831975
2020-07-10,5230.0,5330.0,5050.0,5130.0,1009075
2020-07-13,5130.0,5220.0,5110.0,5150.0,430900
2020-07-14,5430.0,5500.0,5210.0,5240.0,1334612
2020-07-15,5370.0,5750.0,5280.0,5710.0,3621200
2020-07-16,5540.0,5710.0,5440.0,5710.0,2012086
2020-07-17,5870.0,6160.0,5630.0,5670.0,4944590
