date,open,high,low,close,volume
2020-01-02,9000.0,9000.0,8850.0,8860.0,82193
2020-01-03,8900.0,8900.0,8840.0,8840.0,65179
2020-01-06,8800.0,8820.0,8710.0,8730.0,67507
2020-01-07,8800.0,8800.0,8750.0,8770.0,48886
2020-01-08,8790.0,8790.0,8620.0,8670.0,103675
2020-01-09,8700.0,8750.0,8680.0,8690.0,38342
2020-01-10,8730.0,8740.0,8690.0,8700.0,32402
2020-01-13,8710.0,8720.0,8680.0,8700.0,25124
2020-01-14,8750.0,8760.0,8710.0,8740.0,27800
2020-01-15,8770.0,8770.0,8690.0,8740.0,60720
2020-01-16,8740.0,8800.0,8730.0,8770.0,32436
2020-01-17,8800.0,8820.0,8730.0,8750.0,33020
2020-01-20,8760.0,8850.0,8750.0,8830.0,28749
2020-01-21,8740.0,8850.0,8670.0,8800.0,131814
2020-01-22,8780.0,8780.0,8710.0,8750.0,34590
2020-01-23,8710.0,8770.0,8550.0,8660.0,122384
2020-01-28,8520.0,8660.0,8500.0,8530.0,110679
2020-01-29,8570.0,8650.0,8510.0,8610.0,36180
2020-01-30,8600.0,8630.0,8560.0,8560.0,34629
2020-01-31,8600.0,8600.0,8500.0,8500.0,36651
2020-02-03,8400.0,8490.0,8350.0,8450.0,76841
2020-02-04,8420.0,8530.0,8420.0,8520.0,33070
2020-02-05,8590.0,8700.0,8530.0,8580.0,52732
2020-02-06,8640.0,8710.0,8610.0,8680.0,36453
2020-02-07,8650.0,8680.0,8540.0,8570.0,40815
2020-02-10,8520.0,8560.0,8450.0,8510.0,36850
2020-02-11,8550.0,8550.0,8450.0,8500.0,64525
2020-02-12,8470.0,8530.0,8440.0,8500.0,72761
2020-02-13,8500.0,8510.0,8450.0,8480.0,35216
2020-02-14,8440.0,8490.0,8400.0,8400.0,80300
2020-02-17,8340.0,8340.0,8000.0,8000.0,311648
2020-02-18,7900.0,8000.0,7740.0,7920.0,153325
2020-02-19,7930.0,7980.0,7850.0,7950.0,40729
2020-02-20,7950.0,7980.0,7930.0,7960.0,42086
2020-02-21,7950.0,7950.0,7780.0,7830.0,60126
2020-02-24,7700.0,7700.0,7500.0,7610.0,95176
2020-02-25,7500.0,7680.0,7500.0,7680.0,61964
2020-02-26,7670.0,7670.0,7550.0,7650.0,40068
2020-02-27,7600.0,7740.0,7600.0,7630.0,29041
2020-02-28,7560.0,7600.0,7350.0,7460.0,112500
2020-03-02,7370.0,7550.0,7370.0,7550.0,46116
2020-03-03,7990.0,8050.0,7800.0,8030.0,167342
2020-03-04,8030.0,8290.0,8010.0,8250.0,106380
2020-03-05,8250.0,8380.0,8250.0,8340.0,64070
2020-03-06,8330.0,8360.0,8210.0,8260.0,90834
2020-03-09,8200.0,8240.0,8000.0,8060.0,84025
2020-03-10,7930.0,8040.0,7930.0,8000.0,84394
2020-03-11,8090.0,8100.0,7920.0,7990.0,97553
2020-03-12,8010.0,8010.0,7660.0,7770.0,87352
2020-03-13,7300.0,7590.0,7150.0,7490.0,199405
2020-03-16,7570.0,7610.0,7340.0,7370.0,145450
2020-03-17,7090.0,7290.0,7090.0,7190.0,150444
2020-03-18,7220.0,7300.0,6930.0,6940.0,124586
2020-03-19,7050.0,7070.0,6360.0,6400.0,173362
2020-03-20,6580.0,6820.0,6360.0,6520.0,204638
