date,open,high,low,close,volume
2020-01-02,31600.0,31650.0,31050.0,31200.0,367943
2020-01-03,31250.0,31450.0,30750.0,30800.0,482613
2020-01-06,30500.0,30600.0,29600.0,29650.0,639706
2020-01-07,29750.0,29900.0,29350.0,29500.0,450825
2020-01-08,29300.0,29350.0,28050.0,28200.0,956084
2020-01-09,28600.0,28700.0,28100.0,28250.0,672441
2020-01-10,28250.0,28900.0,28250.0,28800.0,480627
2020-01-13,29050.0,29650.0,28950.0,29350.0,536543
2020-01-14,29500.0,30550.0,29400.0,30500.0,664749
2020-01-15,30600.0,30800.0,30050.0,30800.0,493919
2020-01-16,30800.0,30800.0,29900.0,30050.0,430754
2020-01-17,29950.0,30250.0,29850.0,30050.0,322705
2020-01-20,30050.0,30800.0,30050.0,30500.0,343739
2020-01-21,30600.0,30850.0,30100.0,30150.0,226585
2020-01-22,30400.0,30450.0,29900.0,30100.0,312006
2020-01-23,29950.0,30200.0,29500.0,29550.0,398234
2020-01-28,28850.0,29000.0,27900.0,27950.0,758978
2020-01-29,28250.0,28900.0,27950.0,28450.0,507320
2020-01-30,28500.0,29200.0,28400.0,28750.0,532700
2020-01-31,28900.0,29450.0,28300.0,28300.0,445232
2020-02-03,27700.0,27850.0,27150.0,27450.0,587953
2020-02-04,27450.0,27900.0,27350.0,27650.0,463308
2020-02-05,27800.0,28000.0,27300.0,27850.0,510279
2020-02-06,28000.0,29650.0,28000.0,29600.0,618382
2020-02-07,29350.0,29700.0,29050.0,29450.0,345739
2020-02-10,29050.0,29800.0,29050.0,29700.0,225996
2020-02-11,29700.0,29850.0,29400.0,29450.0,309356
2020-02-12,29250.0,29850.0,29250.0,29650.0,349201
2020-02-13,29700.0,30200.0,29500.0,29650.0,462389
2020-02-14,29650.0,29650.0,28850.0,29050.0,425929
2020-02-17,28750.0,29150.0,28700.0,28950.0,228742
2020-02-18,28850.0,29000.0,28400.0,28800.0,237354
2020-02-19,28850.0,29050.0,28250.0,28300.0,365808
2020-02-20,28450.0,28550.0,27600.0,27650.0,509621
2020-02-21,27650.0,27650.0,26900.0,26950.0,551952
2020-02-24,26250.0,26250.0,25450.0,25450.0,713587
2020-02-25,25100.0,25800.0,25100.0,25500.0,521684
2020-02-26,25000.0,25550.0,24850.0,25200.0,478158
2020-02-27,25050.0,25450.0,24950.0,25000.0,412175
2020-02-28,24550.0,24600.0,23850.0,23850.0,843962
2020-03-02,23900.0,24250.0,23500.0,23800.0,464125
2020-03-03,24400.0,24500.0,23850.0,23950.0,433177
2020-03-04,24000.0,24700.0,23900.0,24400.0,463975
2020-03-05,24650.0,25450.0,24500.0,25350.0,489244
2020-03-06,24950.0,24950.0,24300.0,24400.0,439065
2020-03-09,23700.0,23800.0,22950.0,23050.0,556063
2020-03-10,22700.0,23450.0,22700.0,23050.0,553995
2020-03-11,23150.0,23400.0,22050.0,22150.0,747786
2020-03-12,21900.0,22000.0,20250.0,20400.0,1367404
2020-03-13,18300.0,19550.0,18000.0,19100.0,1489380
2020-03-16,19300.0,19650.0,18050.0,18100.0,947994
2020-03-17,16900.0,17700.0,16650.0,17250.0,997979
2020-03-18,17250.0,17450.0,15850.0,15850.0,1349690
2020-03-19,15950.0,16350.0,13050.0,13300.0,1972700
2020-03-20,13300.0,14000.0,12800.0,13700.0,1724350
2020-03-23,12800.0,13750.0,12400.0,13150.0,961766
2020-03-24,13600.0,15150.0,13300.0,15100.0,1018706
2020-03-25,16100.0,17700.0,15900.0,17450.0,1780108
2020-03-26,17950.0,18400.0,17300.0,17700.0,1476462
2020-03-27,18600.0,18850.0,17050.0,17850.0,883891
2020-03-30,16950.0,17900.0,16750.0,17550.0,804781
2020-03-31,17950.0,18400.0,17500.0,17950.0,921186
2020-04-01,17650.0,17950.0,16900.0,16900.0,877766
2020-04-02,16800.0,17300.0,16300.0,17200.0,624891
2020-04-03,17100.0,17500.0,16800.0,17200.0,473273
2020-04-06,17250.0,17800.0,17200.0,17800.0,671823
2020-04-07,18500.0,18550.0,17650.0,18150.0,1073948
2020-04-08,17900.0,18350.0,17700.0,17850.0,913097
2020-04-09,18250.0,18650.0,18100.0,18600.0,1214050
2020-04-10,18700.0,20850.0,18650.0,20150.0,3203954
2020-04-13,20350.0,20500.0,19350.0,19400.0,1288052
2020-04-14,19550.0,20000.0,19550.0,19750.0,797559
2020-04-16,19400.0,19400.0,18550.0,19100.0,1010086
2020-04-17,19500.0,19950.0,19500.0,19750.0,711856
2020-04-20,19800.0,20250.0,19700.0,19850.0,1071452
2020-04-21,19750.0,20000.0,19000.0,19400.0,1041042
2020-04-22,18850.0,19000.0,18350.0,18900.0,1057311
2020-04-23,19250.0,19300.0,18900.0,18900.0,603168
2020-04-24,18800.0,19100.0,18550.0,18900.0,764019
2020-04-27,19000.0,19650.0,19000.0,19500.0,909077
2020-04-28,19850.0,20250.0,19500.0,19750.0,982921
2020-04-29,19900.0,21650.0,19900.0,21600.0,2376088
2020-05-04,21200.0,21650.0,20800.0,20900.0,1405911
2020-05-06,21200.0,21300.0,20500.0,20900.0,1008256
2020-05-07,20750.0,21250.0,20700.0,20950.0,627487
2020-05-08,21100.0,21850.0,21100.0,21250.0,724118
2020-05-11,21350.0,21400.0,20600.0,20600.0,725789
2020-05-12,20450.0,20500.0,19850.0,19950.0,908677
2020-05-13,19500.0,19750.0,19400.0,19700.0,832036
2020-05-14,19450.0,19800.0,18900.0,19800.0,887981
2020-05-15,19800.0,19800.0,19050.0,19350.0,562714
2020-05-18,19500.0,19550.0,19000.0,19100.0,549299
2020-05-19,19850.0,20300.0,19700.0,20050.0,1242550
2020-05-20,19850.0,20250.0,19750.0,19900.0,493521
2020-05-21,20350.0,20900.0,20100.0,20500.0,1009055
2020-05-22,20500.0,20650.0,19800.0,19900.0,777544
2020-05-25,20000.0,20100.0,19450.0,19550.0,725207
2020-05-26,19600.0,20650.0,19550.0,20250.0,1682114
2020-05-27,20650.0,21400.0,20400.0,21400.0,1886161
2020-05-28,21800.0,22150.0,20700.0,21300.0,1689083
2020-05-29,21000.0,21850.0,20600.0,21850.0,1294266
2020-06-01,21650.0,21700.0,21250.0,21600.0,904516
2020-06-02,22400.0,22650.0,21900.0,22100.0,1334015
2020-06-03,22300.0,26300.0,22300.0,25250.0,7488883
2020-06-04,25500.0,25750.0,23500.0,24050.0,3052110
2020-06-05,23800.0,25350.0,23800.0,24550.0,2045826
2020-06-08,25750.0,25750.0,24650.0,25150.0,1645540
2020-06-09,25400.0,25650.0,24550.0,24950.0,1441271
2020-06-10,24900.0,24900.0,24250.0,24400.0,764813
2020-06-11,24300.0,24850.0,23300.0,23900.0,1429657
2020-06-12,22500.0,22900.0,22250.0,22750.0,1303372
2020-06-15,22450.0,22450.0,20750.0,20750.0,1257492
2020-06-16,21300.0,22100.0,21300.0,22100.0,930222
2020-06-17,21900.0,22050.0,21150.0,21550.0,793527
2020-06-18,21200.0,22150.0,21000.0,21700.0,786629
2020-06-19,21900.0,22500.0,21500.0,22500.0,739942
2020-06-22,22450.0,22550.0,21800.0,21950.0,485695
2020-06-23,22100.0,22300.0,21300.0,21300.0,636209
2020-06-24,21600.0,21850.0,21400.0,21450.0,478809
2020-06-25,20950.0,21100.0,20550.0,20600.0,710643
2020-06-26,20850.0,21000.0,20550.0,20850.0,402741
2020-06-29,20250.0,20450.0,20000.0,20050.0,632396
2020-06-30,20300.0,20950.0,20250.0,20500.0,572900
2020-07-01,20800.0,21100.0,20450.0,20450.0,360267
2020-07-02,20550.0,20850.0,20550.0,20700.0,328844
2020-07-03,20900.0,21150.0,20700.0,21050.0,396561
2020-07-06,21100.0,21750.0,20750.0,21450.0,453822
2020-07-07,21600.0,22050.0,21150.0,21200.0,578549
2020-07-08,21350.0,21900.0,21100.0,21400.0,539627
2020-07-09,21800.0,21800.0,21150.0,21250.0,532952
2020-07-10,21050.0,21200.0,20350.0,20450.0,750771
2020-07-13,20600.0,21150.0,20350.0,21050.0,529934
2020-07-14,21050.0,21100.0,20550.0,20750.0,409311
2020-07-15,21400.0,24000.0,21350.0,22400.0,3484654
2020-07-16,22900.0,24000.0,22650.0,23600.0,2602241
2020-07-17,23950.0,24500.0,23400.0,23900.0,1615125
2020-07-20,24100.0,26450.0,24000.0,26300.0,4640073
2020-07-21,26650.0,26950.0,25150.0,26700.0,3157445
2020-07-22,26200.0,28500.0,25850.0,27150.0,3522504
2020-07-23,27050.0,27100.0,25300.0,25750.0,2404899
2020-07-24,25100.0,26500.0,24850.0,25450.0,1463036
2020-07-27,25150.0,26150.0,25150.0,25950.0,942514
2020-07-28,26300.0,26350.0,25100.0,25700.0,1469626
2020-07-29,25700.0,26000.0,25250.0,25650.0,860766
2020-07-30,25700.0,25950.0,25150.0,25400.0,1089535
2020-07-31,25200.0,25600.0,24800.0,24800.0,876919
2020-08-03,24750.0,24750.0,24000.0,24150.0,979714
2020-08-04,24150.0,25750.0,24150.0,25150.0,1200080
2020-08-05,25150.0,25450.0,24500.0,24700.0,967722
2020-08-06,24900.0,26300.0,24850.0,26300.0,1898879
2020-08-07,26500.0,26700.0,25500.0,25900.0,1143858
2020-08-10,25700.0,26800.0,25600.0,26600.0,1590433
2020-08-11,27350.0,28350.0,27200.0,27550.0,2421392
2020-08-12,27700.0,28500.0,27150.0,28500.0,2352476
2020-08-13,28800.0,29250.0,27550.0,28150.0,1827188
2020-08-14,28150.0,28900.0,27350.0,28600.0,1384764
2020-08-18,28600.0,28900.0,26250.0,26550.0,1767042
2020-08-19,26850.0,27300.0,26550.0,27050.0,694420
2020-08-20,26950.0,26950.0,25050.0,25200.0,1566337
2020-08-21,25300.0,25850.0,24750.0,25400.0,775109
2020-08-24,25300.0,26750.0,24700.0,26650.0,1126401
2020-08-25,26850.0,27600.0,26650.0,27000.0,960072
2020-08-26,26850.0,26850.0,25850.0,26350.0,863354
2020-08-27,26100.0,26150.0,25200.0,25300.0,880525
2020-08-28,25400.0,26150.0,25400.0,25600.0,671192
2020-08-31,26000.0,26250.0,25100.0,25100.0,934169
2020-09-01,25100.0,25550.0,25000.0,25500.0,486883
2020-09-02,25500.0,25900.0,25300.0,25800.0,535081
2020-09-03,26000.0,26050.0,25300.0,25450.0,681893
2020-09-04,24550.0,25100.0,24500.0,25050.0,775970
2020-09-07,25100.0,25800.0,24600.0,25500.0,752319
2020-09-08,25850.0,26100.0,25100.0,25200.0,715339
2020-09-09,24800.0,25000.0,24650.0,24700.0,643609
2020-09-10,24900.0,25100.0,24700.0,25000.0,731009
2020-09-11,24700.0,24900.0,24550.0,24850.0,400275
2020-09-14,24950.0,25300.0,24700.0,25050.0,459354
2020-09-15,25150.0,25350.0,24800.0,25300.0,519775
2020-09-16,25350.0,25650.0,25100.0,25250.0,650389
2020-09-17,25250.0,25900.0,25100.0,25250.0,813411
2020-09-18,25600.0,25700.0,25050.0,25100.0,640678
2020-09-21,25100.0,25300.0,24750.0,24850.0,644475
2020-09-22,24700.0,24950.0,23950.0,24100.0,790014
2020-09-23,24300.0,24550.0,23800.0,24400.0,525884
2020-09-24,23950.0,24100.0,23400.0,23400.0,585773
2020-09-25,23700.0,23900.0,23500.0,23700.0,361804
2020-09-28,23950.0,24050.0,23700.0,23850.0,274983
2020-09-29,24350.0,24650.0,24100.0,24600.0,423964
2020-10-05,24900.0,26900.0,24700.0,26850.0,2252397
2020-10-06,26900.0,27550.0,26000.0,26150.0,1230574
2020-10-07,25950.0,26400.0,25550.0,26300.0,699141
2020-10-08,26550.0,27100.0,26350.0,26650.0,965832
2020-10-12,26800.0,27000.0,25900.0,26500.0,718473
2020-10-13,27600.0,28450.0,26900.0,28200.0,4046369
2020-10-14,28650.0,29000.0,27650.0,27750.0,2448176
2020-10-15,27600.0,29900.0,27400.0,29700.0,4561744
2020-10-16,29900.0,31450.0,29700.0,30850.0,5308412
2020-10-19,31250.0,32000.0,30250.0,30600.0,2989793
2020-10-20,30000.0,31200.0,29450.0,31200.0,2042005
2020-10-21,31600.0,31800.0,30850.0,31250.0,1430092
2020-10-22,30750.0,32150.0,30550.0,31750.0,2034692
2020-10-23,32250.0,32750.0,31700.0,31950.0,1747911
2020-10-26,31950.0,32500.0,31150.0,31650.0,1383407
2020-10-27,31350.0,31550.0,29650.0,29850.0,2291770
2020-10-28,30250.0,30550.0,29200.0,30100.0,1056615
2020-10-29,29250.0,29700.0,28850.0,29500.0,1322730
2020-10-30,29450.0,29750.0,28900.0,28900.0,1099796
2020-11-02,29300.0,30400.0,29050.0,30200.0,1180933
2020-11-03,30400.0,30850.0,30050.0,30450.0,1167386
2020-11-04,30700.0,31200.0,29250.0,29750.0,1505782
2020-11-05,30350.0,30500.0,29550.0,29950.0,1194087
2020-11-06,30150.0,30600.0,29700.0,29800.0,840267
2020-11-09,30150.0,30600.0,29800.0,30550.0,1063130
2020-11-10,31400.0,32350.0,30950.0,32150.0,2380965
2020-11-11,32400.0,32900.0,32100.0,32600.0,1548667
2020-11-12,32250.0,32700.0,31700.0,32450.0,1232937
2020-11-13,32200.0,32400.0,31800.0,32000.0,717446
2020-11-16,32450.0,33200.0,32300.0,33100.0,1302204
2020-11-17,33450.0,33550.0,32250.0,32400.0,1190360
2020-11-18,32300.0,32600.0,31800.0,32300.0,678868
2020-11-19,32300.0,32350.0,31700.0,31900.0,659115
2020-11-20,31900.0,32250.0,31600.0,31850.0,639380
2020-11-23,31600.0,33300.0,31350.0,33150.0,1384830
2020-11-24,33600.0,34350.0,32900.0,33200.0,1404144
2020-11-25,33600.0,34450.0,33100.0,33700.0,1682542
2020-11-26,33700.0,33950.0,32750.0,33050.0,855763
2020-11-27,33000.0,33600.0,32800.0,33100.0,555381
2020-11-30,33000.0,33400.0,31800.0,31800.0,1322583
2020-12-01,32250.0,33800.0,32250.0,33650.0,1258823
2020-12-02,34000.0,35100.0,33550.0,35000.0,2140495
2020-12-03,35300.0,35300.0,34500.0,35100.0,1061693
2020-12-04,35100.0,38300.0,34800.0,37800.0,3296317
2020-12-07,38050.0,38800.0,36400.0,38000.0,2098536
2020-12-08,37950.0,38400.0,37200.0,37250.0,1212292
2020-12-09,37850.0,40100.0,37700.0,39950.0,2590180
2020-12-10,39850.0,42550.0,39300.0,40600.0,3441322
2020-12-11,41250.0,41850.0,40600.0,41100.0,1497045
2020-12-14,40500.0,41250.0,39800.0,40200.0,1230146
2020-12-15,40350.0,40650.0,38800.0,39200.0,1730966
2020-12-16,39700.0,40350.0,39250.0,39650.0,840585
2020-12-17,39550.0,39600.0,38300.0,38900.0,1272833
2020-12-18,39050.0,39700.0,38550.0,38950.0,866252
2020-12-21,39250.0,39300.0,38050.0,38800.0,688938
2020-12-22,38400.0,38500.0,37250.0,37350.0,1144405
2020-12-23,37600.0,38650.0,36800.0,38050.0,1165954
2020-12-24,38350.0,39250.0,38050.0,38300.0,954349
2020-12-28,38800.0,38800.0,38000.0,38250.0,827992
2020-12-29,38800.0,39700.0,38450.0,39500.0,1247307
2020-12-30,39650.0,40000.0,39050.0,39600.0,1003138
2021-01-04,40050.0,41300.0,39300.0,41200.0,1837076
2021-01-05,41100.0,43800.0,40250.0,43550.0,3075718
2021-01-06,43950.0,44550.0,42150.0,42400.0,1947996
2021-01-07,43550.0,45200.0,43350.0,44450.0,2582523
2021-01-08,44850.0,49550.0,44800.0,46750.0,4466707
2021-01-11,47100.0,48450.0,44000.0,45550.0,3092486
2021-01-12,44600.0,45650.0,43200.0,44400.0,1965550
2021-01-13,44500.0,45100.0,43400.0,44400.0,1318387
2021-01-14,44300.0,44500.0,43650.0,43900.0,1225032
2021-01-15,44250.0,44800.0,43250.0,43300.0,887614
2021-01-18,42350.0,43200.0,42050.0,42800.0,943524
2021-01-19,43200.0,45750.0,43100.0,45400.0,1661286
2021-01-20,46900.0,46900.0,44600.0,46000.0,1529898
