date,open,high,low,close,volume
2020-01-02,1500.0,1529.0,1495.0,1524.0,112984
2020-01-03,1524.0,1543.0,1509.0,1534.0,121728
2020-01-06,1524.0,1524.0,1461.0,1481.0,181479
2020-01-07,1480.0,1509.0,1466.0,1471.0,126754
2020-01-08,1461.0,1471.0,1374.0,1375.0,423663
2020-01-09,1413.0,1447.0,1398.0,1442.0,158081
2020-01-10,1447.0,1461.0,1427.0,1452.0,155369
2020-01-13,1451.0,1476.0,1437.0,1476.0,110262
2020-01-14,1476.0,1495.0,1466.0,1486.0,114293
2020-01-15,1480.0,1509.0,1480.0,1510.0,104341
2020-01-16,1509.0,1514.0,1480.0,1486.0,145810
2020-01-17,1485.0,1504.0,1451.0,1471.0,94270
2020-01-20,1480.0,1485.0,1461.0,1471.0,74069
2020-01-21,1485.0,1485.0,1437.0,1452.0,151896
2020-01-22,1447.0,1461.0,1437.0,1457.0,83569
2020-01-23,1451.0,1461.0,1432.0,1447.0,107609
2020-01-28,1394.0,1398.0,1350.0,1375.0,239398
2020-01-29,1369.0,1398.0,1369.0,1394.0,88763
2020-01-30,1394.0,1398.0,1360.0,1370.0,168890
2020-01-31,1355.0,1384.0,1345.0,1346.0,198767
2020-02-03,1447.0,1509.0,1369.0,1404.0,774185
2020-02-04,1394.0,1447.0,1369.0,1418.0,230504
2020-02-05,1422.0,1447.0,1408.0,1447.0,144081
2020-02-06,1432.0,1533.0,1432.0,1529.0,398296
2020-02-07,1553.0,1876.0,1533.0,1626.0,19057154
2020-02-10,1601.0,1668.0,1558.0,1616.0,2266140
2020-02-11,1601.0,1765.0,1601.0,1712.0,6113105
2020-02-12,1688.0,1746.0,1640.0,1688.0,3393864
2020-02-13,1668.0,1683.0,1596.0,1640.0,1200706
2020-02-14,1635.0,1673.0,1586.0,1654.0,866811
2020-02-17,1654.0,1799.0,1601.0,1683.0,7695093
2020-02-18,1693.0,1702.0,1611.0,1616.0,1095782
2020-02-19,1615.0,1712.0,1558.0,1669.0,1967412
2020-02-20,1654.0,1794.0,1620.0,1703.0,6879965
2020-02-21,1789.0,2016.0,1746.0,1968.0,31863251
2020-02-24,2556.0,2556.0,2440.0,2557.0,13236666
2020-02-25,2344.0,2522.0,2030.0,2127.0,33726151
2020-02-26,2484.0,2556.0,2127.0,2180.0,40005959
2020-02-27,2180.0,2387.0,1977.0,2142.0,23500748
2020-02-28,2103.0,2204.0,1977.0,2050.0,8535737
2020-03-02,2045.0,2083.0,1910.0,1963.0,5309052
2020-03-03,1934.0,2040.0,1929.0,2011.0,5352971
2020-03-04,1996.0,2074.0,1963.0,1997.0,5584278
2020-03-05,1987.0,2021.0,1905.0,1949.0,4024574
2020-03-06,1905.0,1948.0,1804.0,1881.0,4423041
2020-03-09,1886.0,2045.0,1813.0,1828.0,8458944
2020-03-10,1784.0,1847.0,1731.0,1843.0,3422754
2020-03-11,1847.0,2050.0,1765.0,2040.0,17658562
2020-03-12,2006.0,2040.0,1842.0,1910.0,5438235
2020-03-13,1726.0,1775.0,1562.0,1621.0,4557044
2020-03-16,1668.0,1712.0,1500.0,1500.0,3915375
2020-03-17,1379.0,1562.0,1369.0,1462.0,3811041
2020-03-18,1485.0,1693.0,1427.0,1428.0,9698716
2020-03-19,1509.0,1611.0,1312.0,1408.0,7788588
2020-03-20,1408.0,1533.0,1408.0,1466.0,4412943
2020-03-23,1437.0,1437.0,1307.0,1331.0,2074824
2020-03-24,1360.0,1408.0,1345.0,1394.0,3334591
2020-03-25,1447.0,1495.0,1408.0,1476.0,5125295
2020-03-26,1519.0,1543.0,1471.0,1481.0,5042195
2020-03-27,1538.0,1577.0,1389.0,1481.0,7972248
2020-03-30,1437.0,1620.0,1427.0,1611.0,7682396
2020-03-31,1746.0,1852.0,1591.0,1717.0,10250665
2020-04-01,1712.0,1905.0,1649.0,1717.0,15040771
2020-04-02,1736.0,1794.0,1640.0,1785.0,5450736
2020-04-03,1799.0,1876.0,1736.0,1833.0,6450424
2020-04-06,1832.0,1919.0,1794.0,1920.0,6359004
2020-04-07,1929.0,1939.0,1770.0,1809.0,4511856
2020-04-08,1813.0,1919.0,1750.0,1847.0,6742397
2020-04-09,1861.0,1968.0,1842.0,1876.0,6989185
2020-04-10,1886.0,1890.0,1722.0,1775.0,2994400
2020-04-13,1813.0,2054.0,1794.0,1881.0,28266321
2020-04-14,1914.0,2136.0,1895.0,1958.0,28103680
2020-04-16,1958.0,2305.0,1919.0,2243.0,26287848
2020-04-17,2204.0,2247.0,2093.0,2108.0,8121124
2020-04-20,2112.0,2238.0,2074.0,2113.0,7165258
