date,open,high,low,close,volume
2020-01-02,60932.0,60932.0,58467.0,58776.0,229937
2020-01-03,58853.0,59546.0,58467.0,58699.0,124063
2020-01-06,57928.0,59315.0,57928.0,58314.0,94376
2020-01-07,58775.0,59084.0,58005.0,58853.0,72556
2020-01-08,57775.0,58083.0,56003.0,57005.0,146339
2020-01-09,57544.0,57775.0,56927.0,57236.0,72874
2020-01-10,57004.0,57313.0,56311.0,57313.0,73050
2020-01-13,57313.0,57390.0,56850.0,57159.0,63231
2020-01-14,57159.0,57236.0,56619.0,56851.0,66743
2020-01-15,56696.0,57081.0,56387.0,56465.0,60990
2020-01-16,56387.0,56696.0,56156.0,56696.0,48011
2020-01-17,56695.0,57004.0,56618.0,56773.0,37327
2020-01-20,56696.0,57081.0,56310.0,56465.0,56063
2020-01-21,56233.0,57389.0,56233.0,56773.0,68729
2020-01-22,57312.0,57312.0,56464.0,56619.0,49987
2020-01-23,56465.0,56773.0,56002.0,56080.0,58597
2020-01-28,53923.0,55849.0,53923.0,54771.0,83782
2020-01-29,54924.0,55772.0,54693.0,55310.0,45164
2020-01-30,55232.0,56080.0,55078.0,55310.0,44954
2020-01-31,55464.0,55541.0,54770.0,54848.0,48660
2020-02-03,54000.0,54770.0,53691.0,54000.0,95321
2020-02-04,53999.0,54462.0,53999.0,54077.0,54411
2020-02-05,54154.0,54231.0,53691.0,53846.0,95352
2020-02-06,54154.0,57775.0,54154.0,57236.0,189894
2020-02-07,57235.0,58083.0,56696.0,57621.0,92345
2020-02-10,57004.0,58468.0,56927.0,57929.0,65922
2020-02-11,58082.0,58468.0,57774.0,58083.0,51835
2020-02-12,57774.0,58314.0,57620.0,58006.0,55794
2020-02-13,57851.0,58468.0,57389.0,58083.0,70061
2020-02-14,57466.0,58160.0,57466.0,57698.0,38351
2020-02-17,57697.0,58468.0,57543.0,58083.0,56667
2020-02-18,57697.0,58237.0,57312.0,57852.0,44856
2020-02-19,58160.0,58314.0,57004.0,57082.0,45313
2020-02-20,57158.0,57543.0,55771.0,55926.0,63016
2020-02-21,55926.0,55926.0,54693.0,54848.0,61166
2020-02-24,53846.0,54231.0,53152.0,53230.0,85219
2020-02-25,52998.0,54385.0,52690.0,54154.0,65166
2020-02-26,54076.0,54539.0,53460.0,54231.0,47087
2020-02-27,54076.0,55001.0,53922.0,54385.0,45246
2020-02-28,53306.0,54154.0,53075.0,53384.0,75201
2020-03-02,53153.0,53384.0,51381.0,53076.0,119868
2020-03-03,53846.0,54000.0,52690.0,53076.0,78355
2020-03-04,52228.0,55232.0,52151.0,54308.0,69301
2020-03-05,54385.0,55464.0,54000.0,55233.0,58345
2020-03-06,54848.0,55541.0,54462.0,54540.0,62925
2020-03-09,54077.0,54154.0,53229.0,53923.0,68870
2020-03-10,53152.0,54077.0,51920.0,53461.0,70209
2020-03-11,53152.0,53768.0,51765.0,52228.0,90035
2020-03-12,52074.0,52305.0,50071.0,50688.0,127820
2020-03-13,47760.0,52305.0,46528.0,50765.0,214612
2020-03-16,50842.0,51997.0,49686.0,50303.0,90255
2020-03-17,48146.0,50842.0,47992.0,49995.0,89913
2020-03-18,50071.0,50148.0,45603.0,45912.0,150290
2020-03-19,46296.0,47067.0,38208.0,38324.0,288475
2020-03-20,38516.0,43986.0,37592.0,43986.0,299507
2020-03-23,39749.0,41443.0,39286.0,39441.0,151596
2020-03-24,40365.0,42368.0,39671.0,42368.0,140793
2020-03-25,45064.0,46605.0,42445.0,46528.0,162090
2020-03-26,46836.0,47914.0,45526.0,46066.0,126584
2020-03-27,48222.0,48222.0,45449.0,46374.0,109830
2020-03-30,45064.0,47298.0,44678.0,47221.0,77063
2020-03-31,47452.0,48145.0,46989.0,47067.0,91618
2020-04-01,46836.0,48145.0,45526.0,46220.0,68857
2020-04-02,46143.0,48531.0,45835.0,47992.0,79496
2020-04-03,47683.0,48531.0,47529.0,48454.0,57758
2020-04-06,48530.0,49840.0,48530.0,49532.0,66765
2020-04-07,50765.0,51381.0,49686.0,50611.0,88798
2020-04-08,50148.0,51843.0,49994.0,50226.0,74162
2020-04-09,50765.0,51150.0,50148.0,50457.0,63596
2020-04-10,50148.0,52459.0,50071.0,51612.0,78599
2020-04-13,51381.0,52305.0,50842.0,50842.0,74397
2020-04-14,50841.0,51920.0,50841.0,51458.0,64885
2020-04-16,50841.0,51458.0,50456.0,51381.0,58737
2020-04-17,51458.0,51997.0,51458.0,51458.0,119464
2020-04-20,51535.0,51843.0,50919.0,50919.0,82986
2020-04-21,51073.0,51381.0,49686.0,50303.0,92165
2020-04-22,49917.0,51227.0,49070.0,51227.0,80412
2020-04-23,51304.0,52922.0,50919.0,52845.0,78101
2020-04-24,52459.0,53923.0,52305.0,52691.0,71307
2020-04-27,53075.0,55463.0,52767.0,54462.0,113026
2020-04-28,54462.0,55541.0,54385.0,55387.0,67057
2020-04-29,56079.0,56773.0,53460.0,53769.0,164151
2020-05-04,53384.0,53461.0,51997.0,52383.0,81917
2020-05-06,52922.0,53384.0,52536.0,52691.0,56817
2020-05-07,52767.0,53461.0,52228.0,53230.0,35223
2020-05-08,53306.0,54693.0,53306.0,54077.0,54413
2020-05-11,54000.0,54231.0,53461.0,53461.0,66559
2020-05-12,53846.0,53846.0,51997.0,53307.0,91433
2020-05-13,52691.0,53076.0,52151.0,52614.0,84892
2020-05-14,52305.0,52459.0,50918.0,51227.0,100264
2020-05-15,51381.0,51689.0,50918.0,51150.0,67231
2020-05-18,51381.0,51612.0,50456.0,50842.0,72326
2020-05-19,51612.0,52228.0,51303.0,51381.0,95190
2020-05-20,51380.0,52305.0,51303.0,52074.0,59878
2020-05-21,52228.0,52613.0,51996.0,52151.0,80351
2020-05-22,52382.0,52613.0,51535.0,51535.0,51150
2020-05-25,51842.0,52228.0,51380.0,51997.0,54074
2020-05-26,52305.0,52922.0,51843.0,52845.0,84679
2020-05-27,52844.0,53615.0,52690.0,53153.0,84384
2020-05-28,53230.0,53384.0,52305.0,52691.0,65465
2020-05-29,52690.0,53383.0,51843.0,51843.0,103041
2020-06-01,51920.0,53076.0,51843.0,53076.0,92089
2020-06-02,52613.0,54231.0,52613.0,54000.0,99134
2020-06-03,54000.0,55849.0,54000.0,54694.0,144662
2020-06-04,55463.0,55694.0,53922.0,54000.0,74972
2020-06-05,54077.0,54154.0,53306.0,53769.0,79806
2020-06-08,54308.0,54385.0,53692.0,53692.0,93034
2020-06-09,53538.0,54077.0,52767.0,53307.0,85328
2020-06-10,53692.0,53692.0,52844.0,53153.0,52909
2020-06-11,52845.0,53538.0,52382.0,52768.0,154637
2020-06-12,50225.0,51920.0,50148.0,51535.0,125743
2020-06-15,51535.0,51843.0,48607.0,48608.0,148329
2020-06-16,50071.0,50303.0,49378.0,50226.0,114678
2020-06-17,50071.0,51612.0,49994.0,50842.0,92740
2020-06-18,50688.0,50842.0,50225.0,50303.0,51030
2020-06-19,50996.0,50996.0,50303.0,50303.0,58167
2020-06-22,50148.0,51766.0,50071.0,51150.0,60217
2020-06-23,51535.0,51612.0,50379.0,50688.0,61927
2020-06-24,50534.0,51304.0,50071.0,50226.0,66705
2020-06-25,49840.0,50225.0,48607.0,48608.0,80133
2020-06-26,49147.0,49532.0,48607.0,49070.0,47270
2020-06-29,48531.0,49224.0,48222.0,48300.0,66330
2020-06-30,48377.0,49070.0,48145.0,48377.0,67258
2020-07-01,48531.0,48916.0,48145.0,48454.0,44823
2020-07-02,48993.0,49224.0,48145.0,48685.0,111183
2020-07-03,48762.0,49224.0,48530.0,48762.0,62284
2020-07-06,48993.0,48993.0,48607.0,48839.0,47127
2020-07-07,48839.0,49378.0,48454.0,48454.0,64262
2020-07-08,48453.0,48916.0,48299.0,48762.0,75362
