date,open,high,low,close,volume
2020-01-02,9100.0,9110.0,8960.0,9010.0,10666
2020-01-03,9030.0,9060.0,8990.0,9010.0,12632
2020-01-06,8970.0,8970.0,8850.0,8870.0,18274
2020-01-07,8850.0,8970.0,8830.0,8830.0,13931
2020-01-08,8880.0,8880.0,8630.0,8650.0,47090
2020-01-09,8790.0,8860.0,8720.0,8750.0,22962
2020-01-10,8820.0,8840.0,8700.0,8810.0,11336
2020-01-13,8780.0,8980.0,8780.0,8960.0,17318
2020-01-14,8960.0,9030.0,8960.0,8960.0,15539
2020-01-15,8990.0,9030.0,8930.0,8970.0,23608
2020-01-16,8990.0,8990.0,8880.0,8950.0,13213
2020-01-17,8970.0,9030.0,8920.0,9030.0,10207
2020-01-20,9090.0,9100.0,8980.0,9010.0,13166
2020-01-21,9070.0,9080.0,8890.0,8890.0,16078
2020-01-22,8940.0,8950.0,8700.0,8770.0,67909
2020-01-23,8800.0,8830.0,8730.0,8820.0,20267
2020-01-28,8680.0,8800.0,8520.0,8570.0,44294
2020-01-29,8650.0,8650.0,8540.0,8570.0,15995
2020-01-30,8540.0,8630.0,8510.0,8550.0,25013
2020-01-31,8630.0,8630.0,8320.0,8340.0,25627
2020-02-03,8180.0,8190.0,8050.0,8100.0,51294
2020-02-04,8110.0,8230.0,8110.0,8210.0,51475
2020-02-05,8220.0,8330.0,8180.0,8250.0,17126
2020-02-06,8290.0,8420.0,8270.0,8380.0,25046
2020-02-07,8420.0,8420.0,8290.0,8300.0,13907
2020-02-10,8390.0,8390.0,8230.0,8350.0,15065
2020-02-11,8330.0,8420.0,8330.0,8420.0,16734
2020-02-12,8420.0,8590.0,8420.0,8500.0,24643
2020-02-13,8500.0,8610.0,8460.0,8580.0,19069
2020-02-14,8640.0,8640.0,8530.0,8540.0,8712
2020-02-17,8540.0,8540.0,8480.0,8500.0,9755
2020-02-18,8460.0,8500.0,8320.0,8440.0,13151
2020-02-19,8480.0,8480.0,8290.0,8320.0,14935
2020-02-20,8370.0,8370.0,8130.0,8200.0,22692
2020-02-21,8190.0,8190.0,7970.0,8010.0,28043
2020-02-24,7910.0,7960.0,7750.0,7770.0,44221
2020-02-25,7740.0,8050.0,7710.0,8020.0,15221
2020-02-26,8000.0,8100.0,7930.0,8090.0,10066
2020-02-27,8130.0,8130.0,7810.0,7900.0,16216
2020-02-28,7720.0,7870.0,7660.0,7660.0,43120
2020-03-02,7730.0,7730.0,7600.0,7700.0,19385
2020-03-03,7760.0,7960.0,7760.0,7810.0,32070
2020-03-04,7790.0,7970.0,7710.0,7910.0,19331
2020-03-05,7990.0,8240.0,7990.0,8210.0,25153
2020-03-06,8200.0,8250.0,8100.0,8220.0,12567
2020-03-09,8220.0,8220.0,7720.0,7730.0,38861
2020-03-10,7730.0,7730.0,7550.0,7730.0,34165
2020-03-11,7750.0,7760.0,7440.0,7440.0,52669
2020-03-12,7400.0,7440.0,7060.0,7140.0,57906
2020-03-13,6800.0,6800.0,6330.0,6710.0,110638
2020-03-16,6750.0,6860.0,6440.0,6450.0,48696
2020-03-17,6210.0,6560.0,6210.0,6370.0,23155
2020-03-18,6390.0,6550.0,6310.0,6310.0,21329
2020-03-19,6320.0,6470.0,5900.0,5940.0,86218
2020-03-20,5880.0,6280.0,5880.0,6280.0,45003
2020-03-23,5910.0,6120.0,5810.0,5890.0,62399
2020-03-24,6000.0,6190.0,5970.0,6190.0,61417
2020-03-25,6340.0,6540.0,6330.0,6410.0,67450
2020-03-26,6500.0,6770.0,6400.0,6610.0,49228
2020-03-27,6700.0,6860.0,6620.0,6740.0,46367
2020-03-30,6600.0,6820.0,6510.0,6810.0,16076
2020-03-31,6860.0,7030.0,6860.0,6990.0,31551
2020-04-01,6990.0,7050.0,6860.0,6880.0,20305
2020-04-02,6880.0,6940.0,6570.0,6720.0,54764
2020-04-03,6750.0,6780.0,6630.0,6690.0,23192
2020-04-06,6660.0,6870.0,6640.0,6840.0,25486
2020-04-07,6930.0,7200.0,6930.0,7200.0,60461
2020-04-08,7150.0,7310.0,7140.0,7140.0,52029
2020-04-09,7250.0,7340.0,7110.0,7310.0,31207
2020-04-10,7260.0,7450.0,7210.0,7330.0,20548
2020-04-13,7440.0,7440.0,7060.0,7060.0,18152
2020-04-14,7160.0,7170.0,7020.0,7150.0,23928
2020-04-16,7140.0,7200.0,6990.0,7080.0,37972
2020-04-17,7130.0,7250.0,7110.0,7160.0,45026
2020-04-20,7190.0,7360.0,7160.0,7290.0,31432
2020-04-21,7250.0,7320.0,7090.0,7130.0,31751
2020-04-22,7080.0,7190.0,6970.0,7160.0,47075
2020-04-23,7150.0,7250.0,7150.0,7210.0,11476
2020-04-24,7210.0,7210.0,7050.0,7070.0,20338
2020-04-27,7070.0,7200.0,7070.0,7140.0,17658
2020-04-28,7220.0,7230.0,7070.0,7140.0,19310
2020-04-29,7170.0,7430.0,7110.0,7290.0,43464
2020-05-04,7150.0,7240.0,7120.0,7180.0,24858
2020-05-06,7270.0,7270.0,7110.0,7210.0,21775
2020-05-07,7210.0,7800.0,7210.0,7710.0,62467
2020-05-08,7690.0,7850.0,7650.0,7800.0,34187
2020-05-11,7860.0,7920.0,7720.0,7750.0,25668
2020-05-12,7800.0,7800.0,7500.0,7590.0,20369
2020-05-13,7460.0,7570.0,7370.0,7520.0,11641
2020-05-14,7490.0,7850.0,7400.0,7740.0,31735
2020-05-15,7740.0,7850.0,7640.0,7750.0,13732
2020-05-18,7820.0,7830.0,7670.0,7820.0,17681
2020-05-19,7850.0,8110.0,7830.0,8000.0,45496
2020-05-20,8000.0,8120.0,7950.0,8110.0,28328
2020-05-21,8060.0,8190.0,8030.0,8130.0,39128
2020-05-22,8110.0,8180.0,7800.0,7860.0,29113
2020-05-25,7860.0,7950.0,7860.0,7900.0,9934
2020-05-26,7990.0,8120.0,7840.0,8100.0,24744
2020-05-27,8100.0,8450.0,8090.0,8320.0,73484
2020-05-28,8430.0,8430.0,7900.0,8080.0,64860
2020-05-29,8080.0,8220.0,7980.0,8130.0,23927
2020-06-01,8030.0,8200.0,8030.0,8130.0,20789
2020-06-02,8090.0,8190.0,8060.0,8120.0,43584
2020-06-03,8200.0,8300.0,8060.0,8060.0,55454
2020-06-04,8170.0,8280.0,8040.0,8080.0,53815
2020-06-05,8090.0,8300.0,8080.0,8250.0,50613
2020-06-08,8250.0,8350.0,8160.0,8210.0,26815
2020-06-09,8200.0,8310.0,8110.0,8140.0,20938
2020-06-10,8140.0,8180.0,8100.0,8130.0,13163
2020-06-11,8130.0,8150.0,7850.0,7860.0,31858
2020-06-12,7560.0,7750.0,7440.0,7690.0,23362
2020-06-15,7750.0,7940.0,7580.0,7580.0,49538
2020-06-16,7660.0,7800.0,7660.0,7700.0,21370
2020-06-17,7700.0,7820.0,7500.0,7640.0,16297
2020-06-18,7610.0,7640.0,7500.0,7570.0,31163
2020-06-19,7670.0,7680.0,7430.0,7430.0,60530
2020-06-22,7430.0,7550.0,7430.0,7540.0,13984
2020-06-23,7600.0,7600.0,7430.0,7530.0,10991
2020-06-24,7530.0,7580.0,7410.0,7540.0,22180
2020-06-25,7520.0,7520.0,7350.0,7400.0,20273
2020-06-26,7400.0,7490.0,7340.0,7350.0,19209
2020-06-29,7420.0,7420.0,7060.0,7110.0,30593
2020-06-30,7180.0,7290.0,7120.0,7140.0,16404
2020-07-01,7280.0,7280.0,7100.0,7140.0,26316
2020-07-02,7040.0,7250.0,7040.0,7230.0,9189
2020-07-03,7280.0,7340.0,7170.0,7290.0,5098
2020-07-06,7360.0,7360.0,7230.0,7260.0,22082
2020-07-07,7270.0,7330.0,7220.0,7220.0,18535
2020-07-08,7290.0,7290.0,7170.0,7260.0,19922
2020-07-09,7260.0,7360.0,7260.0,7360.0,21011
2020-07-10,7350.0,7400.0,7150.0,7170.0,32415
