date,open,high,low,close,volume
2020-01-02,4660.0,4660.0,4500.0,4580.0,8169
2020-01-03,4545.0,4625.0,4515.0,4540.0,29642
2020-01-06,4540.0,4540.0,4260.0,4475.0,28848
2020-01-07,4515.0,4515.0,4460.0,4495.0,6749
2020-01-08,4495.0,4495.0,4350.0,4385.0,13050
2020-01-09,4400.0,4470.0,4350.0,4430.0,10647
2020-01-10,4450.0,4460.0,4350.0,4460.0,10262
2020-01-13,4460.0,4500.0,4420.0,4495.0,3764
2020-01-14,4545.0,4605.0,4490.0,4585.0,31676
2020-01-15,4620.0,4620.0,4585.0,4590.0,1319
2020-01-16,4600.0,4600.0,4410.0,4535.0,31403
2020-01-17,4590.0,4590.0,4500.0,4550.0,14655
2020-01-20,4500.0,4600.0,4500.0,4550.0,6512
2020-01-21,4550.0,4555.0,4510.0,4520.0,2061
2020-01-22,4560.0,4560.0,4475.0,4550.0,53329
2020-01-23,4550.0,4550.0,4440.0,4455.0,7492
2020-01-28,4500.0,4500.0,4225.0,4235.0,31694
2020-01-29,4380.0,4380.0,4250.0,4270.0,12454
2020-01-30,4270.0,4270.0,4185.0,4190.0,24186
2020-01-31,4240.0,4240.0,4130.0,4130.0,36673
2020-02-03,4100.0,4100.0,4015.0,4085.0,11193
2020-02-04,4145.0,4145.0,4070.0,4105.0,15993
2020-02-05,4140.0,4195.0,4090.0,4130.0,23101
2020-02-06,4225.0,4260.0,4140.0,4250.0,10799
2020-02-07,4350.0,4410.0,4195.0,4250.0,10316
2020-02-10,4175.0,4230.0,4140.0,4225.0,6077
2020-02-11,4240.0,4245.0,4190.0,4245.0,4571
2020-02-12,4250.0,4250.0,4185.0,4210.0,13921
2020-02-13,4210.0,4245.0,4195.0,4195.0,5991
2020-02-14,4220.0,4220.0,4200.0,4205.0,8009
2020-02-17,4200.0,4250.0,4150.0,4200.0,7591
2020-02-18,4260.0,4260.0,4160.0,4180.0,10045
2020-02-19,4260.0,4260.0,4145.0,4180.0,4589
2020-02-20,4160.0,4225.0,4130.0,4140.0,14466
2020-02-21,4125.0,4130.0,4080.0,4100.0,11038
2020-02-24,4090.0,4200.0,3850.0,4020.0,38678
2020-02-25,3900.0,4115.0,3860.0,4110.0,26919
