date,open,high,low,close,volume
2020-01-02,2420.0,2425.0,2385.0,2410.0,721640
2020-01-03,2435.0,2475.0,2405.0,2420.0,1053030
2020-01-06,2385.0,2390.0,2285.0,2290.0,1719980
2020-01-07,2320.0,2390.0,2310.0,2315.0,1138566
2020-01-08,2310.0,2340.0,2125.0,2150.0,2209315
2020-01-09,2250.0,2740.0,2240.0,2530.0,23856737
2020-01-10,2565.0,2580.0,2480.0,2555.0,4504049
2020-01-13,2515.0,2635.0,2465.0,2560.0,5924962
2020-01-14,2620.0,2800.0,2475.0,2665.0,7562919
2020-01-15,2600.0,2785.0,2555.0,2700.0,11811196
2020-01-16,2700.0,2730.0,2625.0,2625.0,3066473
2020-01-17,2640.0,2715.0,2605.0,2610.0,2731882
2020-01-20,2615.0,2630.0,2505.0,2520.0,1707419
2020-01-21,2545.0,2720.0,2530.0,2550.0,6329689
2020-01-22,2540.0,2565.0,2500.0,2560.0,1388773
2020-01-23,2560.0,2560.0,2505.0,2525.0,998019
2020-01-28,2400.0,2435.0,2345.0,2380.0,2301961
2020-01-29,2430.0,2440.0,2370.0,2420.0,1695241
2020-01-30,2400.0,2450.0,2275.0,2285.0,1795576
2020-01-31,2315.0,2390.0,2255.0,2255.0,1809243
2020-02-03,2170.0,2325.0,2165.0,2290.0,1868927
2020-02-04,2300.0,2425.0,2300.0,2375.0,1196197
2020-02-05,2415.0,2490.0,2375.0,2395.0,1716424
2020-02-06,2445.0,2480.0,2415.0,2440.0,916260
2020-02-07,2480.0,2520.0,2435.0,2490.0,1421450
2020-02-10,2515.0,2575.0,2475.0,2540.0,1923974
2020-02-11,2455.0,2480.0,2405.0,2420.0,1658317
2020-02-12,2410.0,2425.0,2355.0,2400.0,1073391
2020-02-13,2400.0,2450.0,2375.0,2385.0,846605
2020-02-14,2435.0,2470.0,2405.0,2450.0,1254155
2020-02-17,2445.0,2445.0,2395.0,2400.0,640523
2020-02-18,2380.0,2410.0,2315.0,2320.0,1082020
2020-02-19,2330.0,2395.0,2270.0,2325.0,1469803
