date,open,high,low,close,volume
2020-01-02,4355.0,4680.0,4355.0,4495.0,270043
2020-01-03,4485.0,5840.0,4485.0,5300.0,9752715
2020-01-06,5240.0,5450.0,5100.0,5140.0,1985164
2020-01-07,5230.0,5240.0,4765.0,4790.0,1067034
2020-01-08,4710.0,4905.0,4450.0,4525.0,1597321
2020-01-09,4800.0,4950.0,4475.0,4490.0,1678120
2020-01-10,4520.0,4605.0,4455.0,4570.0,398668
2020-01-13,4570.0,4665.0,4530.0,4530.0,444834
2020-01-14,4560.0,5250.0,4530.0,4725.0,4845948
2020-01-15,4685.0,4735.0,4595.0,4690.0,410989
2020-01-16,4730.0,4850.0,4605.0,4680.0,677309
2020-01-17,4715.0,5510.0,4715.0,5050.0,7900991
2020-01-20,5340.0,6420.0,5330.0,6060.0,15786991
2020-01-21,6060.0,6500.0,5480.0,5620.0,6316800
2020-01-22,5800.0,6080.0,5550.0,5870.0,2606390
2020-01-23,5870.0,7630.0,5550.0,7630.0,13494396
2020-01-28,8530.0,9450.0,8210.0,8650.0,12766787
2020-01-29,7790.0,8050.0,7020.0,7220.0,3353453
2020-01-30,7390.0,7430.0,6300.0,6570.0,3338596
2020-01-31,6710.0,6720.0,5580.0,5780.0,2218427
2020-02-03,5700.0,5710.0,4735.0,4885.0,1513453
2020-02-04,4885.0,5120.0,4770.0,5080.0,1004368
2020-02-05,4990.0,5290.0,4900.0,5160.0,1129011
2020-02-06,5190.0,5240.0,4940.0,5140.0,657313
2020-02-07,5120.0,5430.0,5010.0,5170.0,891516
2020-02-10,5130.0,5200.0,4960.0,4965.0,364184
2020-02-11,4955.0,4965.0,4635.0,4675.0,551570
2020-02-12,4610.0,4805.0,4610.0,4700.0,326410
2020-02-13,4705.0,4770.0,4580.0,4640.0,426295
2020-02-14,4650.0,4740.0,4555.0,4580.0,254381
2020-02-17,4580.0,4685.0,4555.0,4650.0,208320
2020-02-18,4665.0,5190.0,4655.0,4830.0,2357238
2020-02-19,4800.0,5410.0,4750.0,5280.0,2578868
2020-02-20,5480.0,6440.0,5180.0,5510.0,6888360
2020-02-21,6080.0,6230.0,5280.0,6160.0,3943454
2020-02-24,6500.0,7700.0,5810.0,6670.0,11650745
2020-02-25,6170.0,6350.0,5200.0,5350.0,2370583
2020-02-26,5350.0,5970.0,5270.0,5460.0,2731955
2020-02-27,5490.0,5680.0,4895.0,5050.0,1253174
2020-02-28,4800.0,5270.0,4650.0,4665.0,1270917
2020-03-02,4665.0,4745.0,4510.0,4555.0,686320
2020-03-03,4650.0,5460.0,4530.0,5040.0,5912820
2020-03-04,4965.0,5260.0,4905.0,5020.0,1622727
2020-03-05,5040.0,5750.0,5020.0,5370.0,4818813
2020-03-06,5290.0,5480.0,5120.0,5440.0,1679803
2020-03-09,5470.0,6050.0,5050.0,5150.0,3781050
2020-03-10,5000.0,5490.0,4750.0,4840.0,1315942
2020-03-11,4910.0,5090.0,4580.0,4770.0,568804
2020-03-12,4690.0,5220.0,4600.0,4715.0,1908680
2020-03-13,4805.0,5120.0,3915.0,4315.0,2275484
2020-03-16,4315.0,4635.0,4140.0,4140.0,819867
2020-03-17,3890.0,4285.0,3885.0,4075.0,664033
2020-03-18,4200.0,4410.0,3920.0,3930.0,786429
2020-03-19,4000.0,4090.0,3200.0,3235.0,693549
2020-03-20,3380.0,3715.0,3260.0,3425.0,780320
2020-03-23,3430.0,4350.0,3430.0,3920.0,3732873
2020-03-24,4200.0,5090.0,4120.0,5090.0,3310405
2020-03-25,5410.0,6010.0,5120.0,5300.0,9612245
2020-03-26,5380.0,5940.0,5270.0,5520.0,8609610
2020-03-27,5830.0,6170.0,4645.0,5190.0,5977238
2020-03-30,5590.0,6740.0,5510.0,6740.0,9814791
2020-03-31,6980.0,8530.0,6860.0,7030.0,10195270
2020-04-01,7030.0,7040.0,6020.0,6050.0,2290858
2020-04-02,6050.0,6430.0,5350.0,6000.0,3116866
2020-04-03,6000.0,7350.0,5910.0,6490.0,9226112
2020-04-06,6820.0,7140.0,6660.0,6700.0,3136120
2020-04-07,6750.0,8680.0,6170.0,7980.0,15257752
2020-04-08,8230.0,8500.0,7400.0,7400.0,8743928
2020-04-09,7440.0,8080.0,7230.0,7430.0,3548139
2020-04-10,7350.0,7530.0,6610.0,6830.0,1616467
2020-04-13,6820.0,7040.0,6140.0,6150.0,1205634
2020-04-14,6170.0,6560.0,6000.0,6260.0,1682315
2020-04-16,6250.0,6250.0,5670.0,5810.0,943201
2020-04-17,6080.0,6080.0,5770.0,5910.0,661724
2020-04-20,5860.0,6720.0,5860.0,6310.0,3939525
2020-04-21,6860.0,7140.0,6150.0,6560.0,4661116
2020-04-22,6660.0,6850.0,6190.0,6230.0,2012914
2020-04-23,6230.0,6270.0,5950.0,6120.0,788862
2020-04-24,6090.0,6230.0,5830.0,5960.0,561140
2020-04-27,5970.0,6090.0,5870.0,6090.0,468898
2020-04-28,6240.0,6260.0,5840.0,5850.0,406641
2020-04-29,5900.0,5900.0,5630.0,5710.0,327989
2020-05-04,5720.0,5820.0,5610.0,5680.0,193772
2020-05-06,5790.0,5790.0,5600.0,5730.0,228352
2020-05-07,5800.0,5880.0,5690.0,5780.0,303193
2020-05-08,5790.0,6090.0,5790.0,6090.0,515073
2020-05-11,6140.0,6160.0,5900.0,5950.0,280626
2020-05-12,5940.0,6290.0,5860.0,6280.0,1049759
2020-05-13,6310.0,6420.0,6150.0,6240.0,810622
2020-05-14,6400.0,6560.0,6320.0,6320.0,1210177
2020-05-15,6330.0,6750.0,6070.0,6200.0,1998530
2020-05-18,6250.0,6340.0,6130.0,6170.0,355888
2020-05-19,6310.0,6430.0,6200.0,6220.0,665654
2020-05-20,6240.0,6350.0,6220.0,6270.0,373399
2020-05-21,6230.0,6300.0,6180.0,6210.0,284120
2020-05-22,6210.0,6290.0,6040.0,6060.0,237490
2020-05-25,6010.0,6320.0,6010.0,6250.0,411107
2020-05-26,5990.0,5990.0,5480.0,5790.0,1828207
2020-05-27,5840.0,5840.0,5700.0,5700.0,408758
2020-05-28,5750.0,5750.0,5350.0,5580.0,497711
