date,open,high,low,close,volume
2020-01-02,1500.0,1515.0,1490.0,1515.0,191253
2020-01-03,1515.0,1525.0,1490.0,1500.0,394030
2020-01-06,1495.0,1495.0,1430.0,1435.0,481752
2020-01-07,1445.0,1475.0,1440.0,1450.0,383810
2020-01-08,1440.0,1460.0,1355.0,1355.0,894596
2020-01-09,1405.0,1480.0,1400.0,1435.0,622095
2020-01-10,1445.0,1495.0,1445.0,1490.0,357770
2020-01-13,1480.0,1550.0,1475.0,1545.0,489303
2020-01-14,1535.0,1555.0,1525.0,1540.0,194759
2020-01-15,1540.0,1690.0,1540.0,1640.0,2511003
2020-01-16,1670.0,1845.0,1655.0,1720.0,10207243
2020-01-17,1735.0,1760.0,1680.0,1700.0,1882337
2020-01-20,1720.0,1720.0,1605.0,1620.0,990197
2020-01-21,1620.0,1695.0,1585.0,1605.0,1392563
2020-01-22,1595.0,1615.0,1560.0,1590.0,439020
2020-01-23,1600.0,1600.0,1555.0,1580.0,363051
2020-01-28,1535.0,1535.0,1475.0,1485.0,708407
2020-01-29,1490.0,1515.0,1470.0,1500.0,269517
2020-01-30,1505.0,1515.0,1430.0,1440.0,470296
2020-01-31,1440.0,1470.0,1395.0,1400.0,306765
2020-02-03,1360.0,1420.0,1360.0,1415.0,348904
2020-02-04,1405.0,1455.0,1400.0,1445.0,449317
2020-02-05,1460.0,1480.0,1435.0,1445.0,212449
2020-02-06,1455.0,1485.0,1455.0,1475.0,222015
2020-02-07,1480.0,1495.0,1460.0,1495.0,199414
2020-02-10,1500.0,1520.0,1475.0,1515.0,223276
2020-02-11,1495.0,1500.0,1480.0,1490.0,216959
2020-02-12,1500.0,1515.0,1475.0,1495.0,263205
2020-02-13,1495.0,1515.0,1480.0,1480.0,244003
2020-02-14,1480.0,1505.0,1460.0,1475.0,326984
2020-02-17,1470.0,1475.0,1435.0,1445.0,190311
2020-02-18,1445.0,1460.0,1395.0,1415.0,489717
2020-02-19,1405.0,1415.0,1365.0,1395.0,319680
2020-02-20,1425.0,1425.0,1370.0,1395.0,376186
2020-02-21,1375.0,1405.0,1340.0,1355.0,324992
2020-02-24,1300.0,1350.0,1235.0,1235.0,715894
2020-02-25,1205.0,1300.0,1205.0,1275.0,434786
2020-02-26,1255.0,1285.0,1235.0,1280.0,167178
2020-02-27,1285.0,1295.0,1225.0,1245.0,254902
2020-02-28,1230.0,1240.0,1180.0,1180.0,511916
2020-03-02,1170.0,1205.0,1125.0,1185.0,336369
2020-03-03,1210.0,1235.0,1190.0,1210.0,276569
2020-03-04,1195.0,1235.0,1180.0,1215.0,166102
2020-03-05,1240.0,1270.0,1230.0,1255.0,287131
2020-03-06,1285.0,1335.0,1230.0,1265.0,719262
2020-03-09,1255.0,1255.0,1175.0,1175.0,456075
2020-03-10,1140.0,1185.0,1130.0,1185.0,247331
2020-03-11,1185.0,1190.0,1120.0,1130.0,267556
2020-03-12,1120.0,1120.0,995.0,1000.0,884898
2020-03-13,901.0,944.0,825.0,913.0,1293029
2020-03-16,920.0,986.0,920.0,931.0,629609
2020-03-17,849.0,954.0,849.0,936.0,364043
2020-03-18,937.0,960.0,878.0,878.0,326662
2020-03-19,878.0,900.0,728.0,728.0,893687
2020-03-20,712.0,764.0,710.0,760.0,1663375
2020-03-23,704.0,773.0,700.0,760.0,722945
2020-03-24,764.0,820.0,764.0,814.0,686450
2020-03-25,841.0,911.0,841.0,900.0,865702
2020-03-26,901.0,950.0,895.0,932.0,497542
2020-03-27,940.0,978.0,888.0,923.0,513130
2020-03-30,890.0,950.0,885.0,949.0,667552
2020-03-31,951.0,1165.0,951.0,1065.0,1842226
2020-04-01,1060.0,1115.0,982.0,990.0,1124060
2020-04-02,994.0,1055.0,940.0,1040.0,440936
2020-04-03,1060.0,1070.0,1000.0,1025.0,372064
2020-04-06,1030.0,1060.0,1020.0,1045.0,450778
2020-04-07,1085.0,1110.0,1055.0,1100.0,672498
2020-04-08,1110.0,1155.0,1065.0,1140.0,553766
2020-04-09,1175.0,1185.0,1140.0,1180.0,437402
2020-04-10,1180.0,1180.0,1105.0,1150.0,485705
2020-04-13,1155.0,1185.0,1125.0,1150.0,437019
2020-04-14,1160.0,1250.0,1150.0,1220.0,1309714
2020-04-16,1250.0,1335.0,1185.0,1305.0,3579029
2020-04-17,1270.0,1300.0,1230.0,1275.0,1056460
2020-04-20,1295.0,1375.0,1275.0,1315.0,1776816
2020-04-21,1300.0,1370.0,1100.0,1240.0,2058675
2020-04-22,1210.0,1255.0,1190.0,1255.0,522773
2020-04-23,1260.0,1280.0,1240.0,1245.0,453417
2020-04-24,1245.0,1260.0,1200.0,1210.0,401982
2020-04-27,1230.0,1275.0,1230.0,1250.0,422244
2020-04-28,1300.0,1310.0,1240.0,1260.0,673600
2020-04-29,1260.0,1305.0,1260.0,1290.0,652960
2020-05-04,1320.0,1385.0,1315.0,1335.0,1008864
2020-05-06,1360.0,1370.0,1340.0,1365.0,663146
2020-05-07,1375.0,1415.0,1350.0,1395.0,856703
2020-05-08,1410.0,1425.0,1390.0,1415.0,641912
2020-05-11,1400.0,1410.0,1330.0,1345.0,1002481
2020-05-12,1350.0,1355.0,1310.0,1335.0,324691
2020-05-13,1300.0,1340.0,1295.0,1320.0,308268
2020-05-14,1315.0,1330.0,1290.0,1300.0,284282
2020-05-15,1300.0,1310.0,1250.0,1285.0,452227
2020-05-18,1295.0,1295.0,1245.0,1290.0,419377
2020-05-19,1320.0,1340.0,1300.0,1305.0,515847
2020-05-20,1315.0,1325.0,1295.0,1320.0,448796
2020-05-21,1335.0,1345.0,1315.0,1320.0,390210
2020-05-22,1330.0,1330.0,1270.0,1285.0,367754
2020-05-25,1285.0,1295.0,1255.0,1275.0,250093
2020-05-26,1285.0,1315.0,1255.0,1290.0,684782
2020-05-27,1295.0,1310.0,1280.0,1295.0,319961
2020-05-28,1310.0,1315.0,1230.0,1270.0,480859
2020-05-29,1270.0,1275.0,1245.0,1265.0,188705
2020-06-01,1260.0,1285.0,1240.0,1260.0,318437
2020-06-02,1255.0,1285.0,1255.0,1280.0,348383
2020-06-03,1295.0,1295.0,1255.0,1270.0,349002
