date,open,high,low,close,volume
2020-01-02,1530.0,1565.0,1525.0,1540.0,436281
2020-01-03,1550.0,1590.0,1535.0,1545.0,571004
2020-01-06,1530.0,1530.0,1450.0,1480.0,529458
2020-01-07,1480.0,1545.0,1465.0,1525.0,373647
2020-01-08,1510.0,1510.0,1390.0,1420.0,736347
2020-01-09,1480.0,1535.0,1475.0,1500.0,329228
2020-01-10,1525.0,1590.0,1500.0,1580.0,464934
2020-01-13,1600.0,1685.0,1585.0,1640.0,1181017
2020-01-14,1630.0,1670.0,1600.0,1660.0,590785
2020-01-15,1680.0,1975.0,1660.0,1920.0,14529738
2020-01-16,1885.0,1900.0,1825.0,1850.0,1980801
2020-01-17,1845.0,1860.0,1775.0,1795.0,1104719
2020-01-20,1790.0,1820.0,1725.0,1755.0,804950
2020-01-21,1750.0,1785.0,1700.0,1705.0,525419
2020-01-22,1705.0,1785.0,1695.0,1760.0,606320
2020-01-23,1755.0,1770.0,1710.0,1725.0,353216
2020-01-28,1655.0,1685.0,1575.0,1660.0,705530
2020-01-29,1685.0,1720.0,1665.0,1690.0,376330
2020-01-30,1680.0,1695.0,1605.0,1640.0,275199
2020-01-31,1620.0,1660.0,1545.0,1560.0,390461
2020-02-03,1525.0,1705.0,1490.0,1625.0,2721806
2020-02-04,1620.0,1655.0,1580.0,1650.0,463164
2020-02-05,1660.0,1665.0,1610.0,1620.0,307747
2020-02-06,1620.0,1670.0,1620.0,1650.0,275411
2020-02-07,1640.0,1830.0,1640.0,1715.0,5532861
2020-02-10,1715.0,1740.0,1690.0,1725.0,564971
2020-02-11,1725.0,1755.0,1705.0,1750.0,829900
2020-02-12,1755.0,1755.0,1715.0,1725.0,430038
2020-02-13,1745.0,1750.0,1690.0,1695.0,460790
2020-02-14,1710.0,1745.0,1690.0,1720.0,253226
2020-02-17,1725.0,1730.0,1650.0,1685.0,446148
2020-02-18,1690.0,1710.0,1650.0,1660.0,175662
2020-02-19,1645.0,1710.0,1640.0,1700.0,359282
2020-02-20,1725.0,1810.0,1715.0,1780.0,1718703
2020-02-21,1780.0,1915.0,1685.0,1755.0,5055992
2020-02-24,1880.0,2040.0,1610.0,1650.0,18021710
2020-02-25,1610.0,1720.0,1535.0,1580.0,3099862
2020-02-26,1635.0,1665.0,1550.0,1555.0,2147340
2020-02-27,1550.0,1720.0,1540.0,1570.0,3088203
2020-02-28,1530.0,1555.0,1450.0,1490.0,1205402
2020-03-02,1485.0,1510.0,1435.0,1490.0,871776
2020-03-03,1525.0,1560.0,1465.0,1480.0,628742
2020-03-04,1470.0,1550.0,1445.0,1545.0,626399
2020-03-05,1580.0,1590.0,1520.0,1550.0,649193
2020-03-06,1520.0,1525.0,1445.0,1485.0,808359
2020-03-09,1470.0,1495.0,1400.0,1400.0,549002
2020-03-10,1350.0,1425.0,1350.0,1425.0,449684
2020-03-11,1425.0,1425.0,1315.0,1365.0,669308
2020-03-12,1350.0,1365.0,1190.0,1225.0,1125229
2020-03-13,1150.0,1215.0,1050.0,1165.0,1057208
2020-03-16,1200.0,1220.0,1075.0,1075.0,760593
2020-03-17,992.0,1125.0,992.0,1080.0,783615
2020-03-18,1090.0,1145.0,1010.0,1025.0,936137
2020-03-19,1035.0,1060.0,860.0,871.0,1240168
2020-03-20,871.0,930.0,862.0,912.0,1285015
2020-03-23,864.0,870.0,838.0,840.0,629187
2020-03-24,860.0,915.0,847.0,904.0,416679
2020-03-25,932.0,955.0,918.0,949.0,841862
2020-03-26,959.0,1070.0,938.0,1020.0,993149
2020-03-27,1065.0,1080.0,970.0,1015.0,701761
2020-03-30,976.0,1090.0,972.0,1055.0,639860
2020-03-31,1085.0,1140.0,1075.0,1115.0,1226899
2020-04-01,1115.0,1195.0,1075.0,1105.0,1251877
2020-04-02,1110.0,1150.0,1100.0,1145.0,474293
2020-04-03,1155.0,1165.0,1120.0,1155.0,552496
2020-04-06,1160.0,1205.0,1150.0,1200.0,723863
2020-04-07,1230.0,1235.0,1190.0,1225.0,597217
2020-04-08,1225.0,1270.0,1205.0,1260.0,580218
2020-04-09,1270.0,1330.0,1260.0,1285.0,498667
2020-04-10,1295.0,1310.0,1170.0,1280.0,720825
2020-04-13,1265.0,1270.0,1220.0,1225.0,355180
2020-04-14,1235.0,1295.0,1225.0,1285.0,464543
2020-04-16,1280.0,1350.0,1250.0,1350.0,476764
2020-04-17,1355.0,1365.0,1320.0,1350.0,666890
2020-04-20,1350.0,1385.0,1330.0,1355.0,694624
2020-04-21,1355.0,1370.0,1265.0,1330.0,505535
2020-04-22,1300.0,1315.0,1260.0,1310.0,531179
2020-04-23,1320.0,1350.0,1315.0,1345.0,269436
2020-04-24,1345.0,1365.0,1305.0,1325.0,296293
2020-04-27,1325.0,1375.0,1325.0,1360.0,382251
2020-04-28,1370.0,1380.0,1335.0,1370.0,328461
2020-04-29,1370.0,1485.0,1370.0,1470.0,1699274
2020-05-04,1445.0,1460.0,1405.0,1435.0,610891
2020-05-06,1435.0,1460.0,1420.0,1450.0,328935
2020-05-07,1455.0,1460.0,1430.0,1450.0,216146
2020-05-08,1460.0,1495.0,1430.0,1480.0,492095
2020-05-11,1475.0,1485.0,1430.0,1450.0,320024
2020-05-12,1440.0,1450.0,1390.0,1415.0,395193
2020-05-13,1390.0,1445.0,1390.0,1435.0,209733
2020-05-14,1410.0,1445.0,1400.0,1430.0,193449
2020-05-15,1450.0,1480.0,1425.0,1440.0,549969
2020-05-18,1445.0,1480.0,1425.0,1450.0,345746
2020-05-19,1470.0,1530.0,1450.0,1500.0,1242579
2020-05-20,1550.0,1555.0,1490.0,1495.0,824705
2020-05-21,1520.0,1525.0,1475.0,1480.0,372013
2020-05-22,1470.0,1500.0,1435.0,1450.0,369082
