date,open,high,low,close,volume
2020-01-02,2485.0,2500.0,2465.0,2495.0,48741
2020-01-03,2500.0,2555.0,2480.0,2550.0,101819
2020-01-06,2540.0,2540.0,2495.0,2505.0,71818
2020-01-07,2505.0,2540.0,2505.0,2520.0,23884
2020-01-08,2480.0,2515.0,2400.0,2435.0,159706
2020-01-09,2455.0,2485.0,2430.0,2465.0,81461
2020-01-10,2470.0,2485.0,2445.0,2470.0,58404
2020-01-13,2470.0,2480.0,2450.0,2480.0,61188
2020-01-14,2475.0,2510.0,2455.0,2480.0,69363
2020-01-15,2480.0,2515.0,2465.0,2510.0,69765
2020-01-16,2520.0,2525.0,2500.0,2515.0,42829
2020-01-17,2515.0,2530.0,2490.0,2520.0,50418
2020-01-20,2525.0,2525.0,2495.0,2515.0,33562
2020-01-21,2515.0,2515.0,2485.0,2515.0,42303
2020-01-22,2520.0,2640.0,2515.0,2635.0,708792
2020-01-23,2685.0,2720.0,2615.0,2665.0,298709
2020-01-28,2520.0,2585.0,2495.0,2565.0,391324
2020-01-29,2570.0,2590.0,2520.0,2580.0,88737
2020-01-30,2560.0,2600.0,2510.0,2540.0,115731
2020-01-31,2540.0,2670.0,2525.0,2560.0,303485
2020-02-03,2565.0,2760.0,2560.0,2650.0,812679
2020-02-04,2650.0,2755.0,2620.0,2715.0,688586
2020-02-05,2770.0,2780.0,2710.0,2760.0,424730
2020-02-06,2785.0,2800.0,2745.0,2765.0,290156
2020-02-07,2790.0,2790.0,2650.0,2720.0,185906
2020-02-10,2735.0,2735.0,2640.0,2690.0,129670
2020-02-11,2700.0,2700.0,2645.0,2660.0,106078
2020-02-12,2695.0,2695.0,2620.0,2670.0,98475
2020-02-13,2690.0,2855.0,2665.0,2710.0,947057
2020-02-14,2655.0,2720.0,2640.0,2695.0,197763
2020-02-17,2670.0,2695.0,2640.0,2640.0,134475
2020-02-18,2640.0,2660.0,2600.0,2640.0,95152
2020-02-19,2650.0,3200.0,2620.0,2810.0,8527946
2020-02-20,2780.0,2950.0,2740.0,2860.0,2183187
2020-02-21,2865.0,3085.0,2825.0,2825.0,3610065
2020-02-24,3035.0,3135.0,2740.0,2745.0,4210719
2020-02-25,2810.0,2820.0,2610.0,2645.0,853358
2020-02-26,2645.0,2700.0,2550.0,2555.0,684038
2020-02-27,2550.0,2580.0,2460.0,2465.0,455896
2020-02-28,2445.0,2455.0,2275.0,2305.0,608487
2020-03-02,2300.0,2375.0,2295.0,2330.0,270802
2020-03-03,2360.0,2400.0,2350.0,2370.0,137714
2020-03-04,2325.0,2405.0,2300.0,2395.0,167297
2020-03-05,2400.0,2450.0,2395.0,2425.0,217263
2020-03-06,2425.0,2425.0,2350.0,2400.0,149723
2020-03-09,2330.0,2375.0,2255.0,2255.0,308875
2020-03-10,2180.0,2240.0,2150.0,2200.0,293937
2020-03-11,2195.0,2260.0,2100.0,2140.0,250352
2020-03-12,2100.0,2135.0,1980.0,2020.0,366513
2020-03-13,1810.0,1945.0,1760.0,1840.0,430890
2020-03-16,1860.0,2000.0,1790.0,1790.0,247360
2020-03-17,1640.0,1825.0,1640.0,1760.0,185870
2020-03-18,1775.0,1900.0,1750.0,1750.0,249854
2020-03-19,1750.0,1805.0,1525.0,1550.0,317895
2020-03-20,1545.0,1690.0,1545.0,1640.0,303308
2020-03-23,1555.0,1600.0,1525.0,1565.0,172538
2020-03-24,1570.0,1640.0,1570.0,1630.0,129723
2020-03-25,1680.0,1775.0,1680.0,1730.0,229292
2020-03-26,1750.0,1845.0,1730.0,1815.0,224420
2020-03-27,1855.0,1895.0,1775.0,1815.0,251920
2020-03-30,1800.0,1840.0,1720.0,1830.0,226090
2020-03-31,1855.0,1935.0,1855.0,1900.0,217619
2020-04-01,1900.0,1990.0,1835.0,1835.0,252421
2020-04-02,1830.0,1895.0,1750.0,1895.0,191182
2020-04-03,1895.0,1940.0,1880.0,1920.0,109744
2020-04-06,1925.0,2065.0,1900.0,2045.0,325842
2020-04-07,2110.0,2120.0,2020.0,2080.0,546802
2020-04-08,2100.0,2175.0,2065.0,2095.0,462758
2020-04-09,2130.0,2165.0,2050.0,2090.0,254814
2020-04-10,2085.0,2125.0,2030.0,2095.0,317096
2020-04-13,2095.0,2095.0,2025.0,2025.0,150979
2020-04-14,2030.0,2060.0,2015.0,2025.0,158466
2020-04-16,2015.0,2060.0,1985.0,2050.0,153681
2020-04-17,2055.0,2110.0,2055.0,2085.0,174776
2020-04-20,2100.0,2120.0,2075.0,2090.0,160533
2020-04-21,2085.0,2100.0,1955.0,2020.0,155733
2020-04-22,1985.0,2095.0,1980.0,2055.0,127863
2020-04-23,2060.0,2125.0,2060.0,2115.0,162882
2020-04-24,2080.0,2135.0,2070.0,2080.0,160330
2020-04-27,2080.0,2140.0,2060.0,2140.0,114661
2020-04-28,2145.0,2180.0,2110.0,2160.0,216393
2020-04-29,2140.0,2260.0,2140.0,2200.0,199418
2020-05-04,2175.0,2185.0,2135.0,2175.0,137469
2020-05-06,2195.0,2215.0,2155.0,2215.0,141707
2020-05-07,2215.0,2235.0,2160.0,2220.0,119956
2020-05-08,2260.0,2260.0,2210.0,2220.0,145397
2020-05-11,2220.0,2220.0,2160.0,2165.0,105122
2020-05-12,2160.0,2185.0,2135.0,2150.0,115713
2020-05-13,2140.0,2140.0,2115.0,2130.0,64550
2020-05-14,2105.0,2135.0,2085.0,2105.0,66430
2020-05-15,2105.0,2155.0,2090.0,2140.0,112778
2020-05-18,2165.0,2170.0,2100.0,2110.0,101196
2020-05-19,2115.0,2155.0,2115.0,2120.0,112669
2020-05-20,2115.0,2165.0,2115.0,2145.0,88738
2020-05-21,2145.0,2190.0,2135.0,2175.0,119519
2020-05-22,2175.0,2200.0,2125.0,2125.0,82615
2020-05-25,2125.0,2150.0,2100.0,2120.0,93943
2020-05-26,2140.0,2140.0,2110.0,2135.0,59950
2020-05-27,2125.0,2200.0,2125.0,2195.0,115251
2020-05-28,2185.0,2230.0,2125.0,2155.0,97163
2020-05-29,2135.0,2180.0,2100.0,2175.0,116490
2020-06-01,2165.0,2190.0,2130.0,2165.0,80338
2020-06-02,2165.0,2220.0,2150.0,2205.0,154177
2020-06-03,2220.0,2270.0,2185.0,2225.0,293058
2020-06-04,2225.0,2255.0,2200.0,2220.0,88787
2020-06-05,2205.0,2260.0,2200.0,2220.0,136945
2020-06-08,2235.0,2320.0,2230.0,2255.0,167060
2020-06-09,2255.0,2270.0,2215.0,2220.0,77832
2020-06-10,2220.0,2235.0,2185.0,2185.0,79124
2020-06-11,2190.0,2205.0,2150.0,2155.0,120985
2020-06-12,2050.0,2150.0,2045.0,2110.0,134897
2020-06-15,2100.0,2160.0,1990.0,1990.0,200850
2020-06-16,2030.0,2070.0,2025.0,2060.0,55042
2020-06-17,2025.0,2110.0,2025.0,2045.0,80199
2020-06-18,2080.0,2080.0,2030.0,2065.0,41268
2020-06-19,2065.0,2085.0,2005.0,2060.0,71285
2020-06-22,2060.0,2075.0,2030.0,2065.0,42091
2020-06-23,2065.0,2070.0,2005.0,2005.0,90834
2020-06-24,2020.0,2035.0,1975.0,2000.0,185709
2020-06-25,2000.0,2000.0,1950.0,1970.0,54032
2020-06-26,1990.0,2020.0,1980.0,2010.0,51524
2020-06-29,2010.0,2010.0,1945.0,1960.0,41299
2020-06-30,1960.0,1995.0,1955.0,1970.0,42208
2020-07-01,1975.0,2015.0,1970.0,1970.0,26284
2020-07-02,1970.0,2000.0,1970.0,1985.0,14462
2020-07-03,1990.0,2025.0,1965.0,2000.0,49329
2020-07-06,2000.0,2020.0,1995.0,2000.0,22354
2020-07-07,2010.0,2055.0,1990.0,2000.0,73717
2020-07-08,2000.0,2035.0,2000.0,2005.0,18535
2020-07-09,2010.0,2030.0,2000.0,2015.0,62324
2020-07-10,2005.0,2030.0,1960.0,2000.0,111176
2020-07-13,2000.0,2055.0,2000.0,2045.0,38933
2020-07-14,2050.0,2070.0,2025.0,2060.0,57597
2020-07-15,2060.0,2075.0,2035.0,2050.0,77189
2020-07-16,2050.0,2070.0,2045.0,2055.0,46341
2020-07-17,2050.0,2065.0,2030.0,2040.0,35170
2020-07-20,2060.0,2065.0,2030.0,2035.0,48981
2020-07-21,2050.0,2065.0,2035.0,2060.0,80665
2020-07-22,2055.0,2065.0,2035.0,2055.0,61938
2020-07-23,2055.0,2060.0,1990.0,2010.0,182694
2020-07-24,2010.0,2015.0,1990.0,2000.0,71609
2020-07-27,2000.0,2050.0,2000.0,2050.0,81764
2020-07-28,2050.0,2080.0,2035.0,2060.0,67027
2020-07-29,2050.0,2090.0,2030.0,2070.0,74318
2020-07-30,2080.0,2090.0,2040.0,2090.0,68971
2020-07-31,2070.0,2110.0,2065.0,2070.0,39346
2020-08-03,2090.0,2090.0,2050.0,2065.0,24561
2020-08-04,2070.0,2095.0,2055.0,2080.0,56638
2020-08-05,2090.0,2100.0,2050.0,2060.0,57492
2020-08-06,2060.0,2075.0,2040.0,2050.0,104912
2020-08-07,2060.0,2115.0,1995.0,2055.0,156064
2020-08-10,2045.0,2115.0,2045.0,2100.0,116062
2020-08-11,2110.0,2165.0,2075.0,2150.0,143647
2020-08-12,2150.0,2175.0,2115.0,2140.0,75439
2020-08-13,2145.0,2170.0,2135.0,2145.0,81862
2020-08-14,2160.0,2170.0,2105.0,2130.0,124265
2020-08-18,2155.0,2155.0,2050.0,2055.0,250375
2020-08-19,2080.0,2105.0,2050.0,2055.0,66122
2020-08-20,2040.0,2055.0,1985.0,1995.0,292815
2020-08-21,2105.0,2105.0,2010.0,2065.0,173138
2020-08-24,2065.0,2100.0,2025.0,2055.0,37566
2020-08-25,2055.0,2110.0,2055.0,2100.0,88664
2020-08-26,2110.0,2125.0,2075.0,2115.0,78351
2020-08-27,2115.0,2140.0,2085.0,2115.0,68652
2020-08-28,2175.0,2225.0,2155.0,2225.0,420505
2020-08-31,2290.0,2375.0,2255.0,2290.0,425318
2020-09-01,2305.0,2320.0,2180.0,2295.0,166553
2020-09-02,2295.0,2330.0,2285.0,2320.0,146334
2020-09-03,2320.0,2440.0,2320.0,2400.0,540733
2020-09-04,2325.0,2380.0,2290.0,2375.0,187780
2020-09-07,2375.0,2440.0,2360.0,2400.0,191885
2020-09-08,2400.0,2440.0,2375.0,2390.0,77207
2020-09-09,2370.0,2415.0,2340.0,2355.0,83674
2020-09-10,2360.0,2430.0,2360.0,2405.0,78661
2020-09-11,2405.0,2425.0,2385.0,2400.0,50610
2020-09-14,2400.0,2430.0,2385.0,2390.0,56964
2020-09-15,2390.0,2460.0,2375.0,2460.0,106808
2020-09-16,2480.0,2485.0,2415.0,2415.0,96577
2020-09-17,2430.0,2430.0,2350.0,2415.0,57662
2020-09-18,2415.0,2460.0,2350.0,2380.0,101663
2020-09-21,2380.0,2410.0,2300.0,2350.0,80204
2020-09-22,2350.0,2365.0,2265.0,2300.0,92635
2020-09-23,2290.0,2350.0,2230.0,2325.0,45544
2020-09-24,2265.0,2310.0,2220.0,2250.0,64949
2020-09-25,2250.0,2400.0,2235.0,2320.0,58425
2020-09-28,2320.0,2365.0,2305.0,2340.0,30495
2020-09-29,2340.0,2435.0,2340.0,2365.0,70701
2020-10-05,2420.0,2420.0,2355.0,2375.0,36218
2020-10-06,2375.0,2390.0,2355.0,2365.0,29496
2020-10-07,2370.0,2415.0,2345.0,2410.0,75063
2020-10-08,2415.0,2425.0,2385.0,2410.0,41872
2020-10-12,2430.0,2430.0,2395.0,2415.0,62655
2020-10-13,2425.0,2425.0,2270.0,2380.0,101452
2020-10-14,2370.0,2430.0,2340.0,2365.0,113773
2020-10-15,2345.0,2425.0,2345.0,2360.0,127089
2020-10-16,2415.0,2420.0,2355.0,2390.0,52588
2020-10-19,2390.0,2415.0,2365.0,2390.0,26754
2020-10-20,2395.0,2425.0,2305.0,2385.0,123791
2020-10-21,2365.0,2430.0,2365.0,2410.0,42958
2020-10-22,2410.0,2435.0,2385.0,2385.0,23199
2020-10-23,2415.0,2480.0,2375.0,2385.0,120123
2020-10-26,2405.0,2435.0,2385.0,2420.0,100069
2020-10-27,2420.0,2420.0,2375.0,2395.0,47401
2020-10-28,2385.0,2440.0,2385.0,2435.0,45869
2020-10-29,2395.0,2430.0,2375.0,2405.0,90974
2020-10-30,2410.0,2420.0,2340.0,2340.0,41543
2020-11-02,2340.0,2380.0,2310.0,2340.0,44457
2020-11-03,2340.0,2390.0,2330.0,2380.0,59095
2020-11-04,2380.0,2385.0,2340.0,2370.0,65097
2020-11-05,2380.0,2390.0,2360.0,2385.0,42894
2020-11-06,2395.0,2410.0,2310.0,2330.0,93793
2020-11-09,2355.0,2360.0,2330.0,2355.0,36110
2020-11-10,2375.0,2380.0,2340.0,2380.0,39813
2020-11-11,2375.0,2385.0,2300.0,2375.0,65305
2020-11-12,2415.0,2415.0,2370.0,2405.0,67358
2020-11-13,2425.0,2425.0,2380.0,2405.0,47289
2020-11-16,2405.0,2435.0,2400.0,2430.0,91099
2020-11-17,2375.0,2375.0,2320.0,2345.0,144364
2020-11-18,2345.0,2380.0,2345.0,2365.0,50218
2020-11-19,2390.0,2400.0,2350.0,2395.0,46091
2020-11-20,2395.0,2405.0,2365.0,2395.0,38466
2020-11-23,2395.0,2445.0,2375.0,2400.0,91774
2020-11-24,2425.0,2425.0,2370.0,2400.0,84368
2020-11-25,2420.0,2420.0,2320.0,2350.0,121202
2020-11-26,2345.0,2415.0,2335.0,2390.0,109259
2020-11-27,2400.0,2635.0,2400.0,2495.0,1036461
2020-11-30,2515.0,2880.0,2500.0,2695.0,2315902
2020-12-01,2700.0,2700.0,2530.0,2570.0,462233
2020-12-02,2580.0,2580.0,2500.0,2530.0,197749
2020-12-03,2505.0,2510.0,2455.0,2495.0,174490
2020-12-04,2495.0,2595.0,2495.0,2530.0,427480
2020-12-07,2555.0,2625.0,2530.0,2580.0,335141
2020-12-08,2580.0,3300.0,2510.0,3015.0,14579848
2020-12-09,2940.0,2955.0,2740.0,2805.0,2281452
2020-12-10,3160.0,3310.0,2880.0,2920.0,10792040
2020-12-11,2920.0,3440.0,2880.0,3090.0,15983705
2020-12-14,3055.0,3175.0,2990.0,3005.0,1836207
2020-12-15,2975.0,2995.0,2880.0,2880.0,677792
2020-12-16,2860.0,3185.0,2860.0,3040.0,4063873
2020-12-17,3030.0,3120.0,2940.0,2950.0,1066081
2020-12-18,2970.0,2990.0,2910.0,2965.0,536249
2020-12-21,2990.0,3055.0,2890.0,2935.0,992898
2020-12-22,2920.0,2975.0,2770.0,2800.0,559731
2020-12-23,2815.0,2840.0,2660.0,2690.0,484969
2020-12-24,2700.0,2820.0,2615.0,2680.0,632531
2020-12-28,2680.0,2785.0,2550.0,2665.0,281181
2020-12-29,2640.0,2690.0,2605.0,2670.0,223724
2020-12-30,2670.0,2740.0,2650.0,2705.0,212869
2021-01-04,2705.0,2715.0,2670.0,2715.0,136788
2021-01-05,2715.0,2740.0,2665.0,2720.0,219537
2021-01-06,2725.0,2740.0,2665.0,2700.0,207055
2021-01-07,2700.0,2785.0,2700.0,2785.0,294251
2021-01-08,2810.0,2825.0,2730.0,2755.0,282641
2021-01-11,2755.0,2755.0,2605.0,2650.0,450856
2021-01-12,2620.0,2875.0,2620.0,2700.0,928517
2021-01-13,2725.0,2755.0,2700.0,2730.0,189668
2021-01-14,2740.0,2780.0,2730.0,2770.0,178823
2021-01-15,2770.0,2795.0,2690.0,2700.0,190069
2021-01-18,2660.0,2790.0,2640.0,2680.0,143943
2021-01-19,2680.0,3335.0,2660.0,2900.0,6953048
2021-01-20,2870.0,3110.0,2820.0,2890.0,2511366
2021-01-21,2930.0,2930.0,2850.0,2880.0,473594
2021-01-22,2880.0,2910.0,2830.0,2845.0,343090
2021-01-25,2845.0,3070.0,2810.0,2965.0,1144959
2021-01-26,2930.0,2965.0,2905.0,2920.0,283513
2021-01-27,2930.0,3025.0,2900.0,2945.0,721807
2021-01-28,2945.0,3165.0,2865.0,2865.0,3607065
2021-01-29,2875.0,2960.0,2690.0,2740.0,494601
2021-02-01,2710.0,2825.0,2650.0,2750.0,206776
2021-02-02,2750.0,2990.0,2745.0,2900.0,724690
2021-02-03,2905.0,2915.0,2855.0,2895.0,175350
2021-02-04,2885.0,2930.0,2870.0,2920.0,157027
2021-02-05,2920.0,2955.0,2890.0,2925.0,303272
2021-02-08,2930.0,2985.0,2925.0,2965.0,297233
2021-02-09,2965.0,2970.0,2895.0,2905.0,172558
2021-02-10,2890.0,3020.0,2885.0,2890.0,351193
2021-02-15,2895.0,3195.0,2890.0,3130.0,4308092
2021-02-16,3150.0,3270.0,3065.0,3090.0,2247578
2021-02-17,3100.0,3300.0,3050.0,3175.0,1880913
2021-02-18,3150.0,3150.0,3005.0,3050.0,576639
2021-02-19,3010.0,3140.0,2965.0,3025.0,460471
2021-02-22,3070.0,3075.0,2970.0,3010.0,263559
2021-02-23,3010.0,3010.0,2920.0,2985.0,110422
2021-02-24,2990.0,3010.0,2835.0,2840.0,273199
2021-02-25,2855.0,2930.0,2850.0,2915.0,132865
2021-02-26,2815.0,2895.0,2765.0,2790.0,339185
2021-03-02,2860.0,3200.0,2825.0,2980.0,476354
2021-03-03,2940.0,3040.0,2940.0,2995.0,141419
2021-03-04,2965.0,3020.0,2965.0,2995.0,100924
2021-03-05,2990.0,2990.0,2915.0,2985.0,104981
2021-03-08,2990.0,3010.0,2850.0,2880.0,251791
2021-03-09,2860.0,2880.0,2740.0,2820.0,140590
2021-03-10,2820.0,2865.0,2730.0,2780.0,172663
2021-03-11,2765.0,2850.0,2750.0,2850.0,95787
2021-03-12,2835.0,2865.0,2825.0,2855.0,110322
2021-03-15,2885.0,3000.0,2800.0,2880.0,90297
2021-03-16,2865.0,2980.0,2860.0,2870.0,96855
2021-03-17,2895.0,2895.0,2825.0,2865.0,100318
2021-03-18,2890.0,2910.0,2870.0,2890.0,117230
2021-03-19,2885.0,2950.0,2850.0,2940.0,204362
2021-03-22,2950.0,2960.0,2885.0,2945.0,136146
2021-03-23,2945.0,2985.0,2865.0,2865.0,238888
2021-03-24,2915.0,2935.0,2870.0,2890.0,112146
2021-03-25,2890.0,2985.0,2890.0,2945.0,306466
2021-03-26,2970.0,2975.0,2900.0,2925.0,141072
2021-03-29,2950.0,2995.0,2880.0,2895.0,240244
2021-03-30,2915.0,2950.0,2915.0,2920.0,147174
2021-03-31,2950.0,2950.0,2885.0,2910.0,117601
2021-04-01,2915.0,2945.0,2865.0,2870.0,108951
2021-04-02,2890.0,2900.0,2815.0,2815.0,157101
2021-04-05,2815.0,2850.0,2805.0,2825.0,100152
2021-04-06,2830.0,2850.0,2775.0,2785.0,123514
2021-04-07,2785.0,2870.0,2780.0,2830.0,91400
2021-04-08,2840.0,2875.0,2815.0,2820.0,107042
2021-04-09,2850.0,2860.0,2820.0,2825.0,94573
