date,open,high,low,close,volume
2020-01-02,2367.0,2367.0,2326.0,2354.0,36953
2020-01-03,2418.0,2418.0,2358.0,2368.0,34954
2020-01-06,2363.0,2363.0,2289.0,2322.0,46198
2020-01-07,2321.0,2418.0,2321.0,2386.0,51052
2020-01-08,2408.0,2413.0,2244.0,2299.0,53585
2020-01-09,2322.0,2432.0,2322.0,2400.0,66821
2020-01-10,2450.0,2509.0,2404.0,2473.0,82220
2020-01-13,2473.0,2537.0,2459.0,2533.0,50769
2020-01-14,2532.0,2747.0,2513.0,2578.0,271118
2020-01-15,2577.0,2669.0,2564.0,2587.0,62581
2020-01-16,2619.0,2633.0,2532.0,2601.0,34912
2020-01-17,2578.0,2656.0,2550.0,2569.0,22812
2020-01-20,2569.0,2610.0,2527.0,2592.0,35751
2020-01-21,2610.0,2610.0,2532.0,2560.0,34627
2020-01-22,2532.0,2591.0,2532.0,2587.0,25312
2020-01-23,2587.0,2637.0,2518.0,2546.0,32958
2020-01-28,2509.0,2509.0,2294.0,2482.0,85498
2020-01-29,2482.0,2551.0,2482.0,2519.0,28094
2020-01-30,2490.0,2985.0,2490.0,2610.0,2581556
2020-01-31,2601.0,2624.0,2418.0,2519.0,269868
2020-02-03,2413.0,2536.0,2408.0,2468.0,102144
2020-02-04,2583.0,3206.0,2523.0,3023.0,10128969
2020-02-05,3137.0,3205.0,2853.0,3041.0,2464893
2020-02-06,2925.0,3054.0,2898.0,3013.0,809069
2020-02-07,2967.0,2972.0,2862.0,2867.0,446021
2020-02-10,2861.0,2926.0,2806.0,2894.0,252844
2020-02-11,2884.0,3049.0,2852.0,3004.0,1030573
2020-02-12,2898.0,2962.0,2807.0,2940.0,398425
2020-02-13,2912.0,2949.0,2811.0,2876.0,244259
2020-02-14,2876.0,2940.0,2835.0,2890.0,176808
2020-02-17,2894.0,2894.0,2807.0,2817.0,109437
2020-02-18,2834.0,2862.0,2784.0,2798.0,117217
2020-02-19,2912.0,2912.0,2766.0,2858.0,157225
2020-02-20,2812.0,2889.0,2798.0,2835.0,125723
2020-02-21,2802.0,2866.0,2687.0,2752.0,160340
2020-02-24,2615.0,2738.0,2601.0,2661.0,142583
2020-02-25,2592.0,2775.0,2578.0,2739.0,120818
2020-02-26,2702.0,2716.0,2656.0,2684.0,63264
2020-02-27,2684.0,2729.0,2565.0,2565.0,89233
2020-02-28,2473.0,2528.0,2367.0,2409.0,188256
2020-03-02,2408.0,2527.0,2380.0,2500.0,86578
2020-03-03,2582.0,2642.0,2504.0,2546.0,113132
2020-03-04,2541.0,2632.0,2536.0,2578.0,59252
2020-03-05,2582.0,2637.0,2564.0,2592.0,68032
2020-03-06,2592.0,2702.0,2518.0,2583.0,56639
2020-03-09,2564.0,2564.0,2381.0,2381.0,119921
2020-03-10,2307.0,2481.0,2147.0,2436.0,173730
2020-03-11,2436.0,2450.0,2303.0,2354.0,90746
2020-03-12,2326.0,2340.0,2138.0,2148.0,149467
2020-03-13,2019.0,2083.0,1808.0,2010.0,176148
2020-03-16,2010.0,2102.0,1822.0,1832.0,133897
2020-03-17,1662.0,1858.0,1662.0,1749.0,174686
2020-03-18,1753.0,1822.0,1602.0,1621.0,130796
2020-03-19,1602.0,1647.0,1300.0,1300.0,183834
2020-03-20,1300.0,1506.0,1296.0,1429.0,186553
2020-03-23,1418.0,1418.0,1189.0,1222.0,241583
2020-03-24,1254.0,1296.0,1227.0,1287.0,126391
2020-03-25,1328.0,1598.0,1328.0,1461.0,201882
2020-03-26,1465.0,1538.0,1428.0,1516.0,135981
2020-03-27,1722.0,1726.0,1465.0,1548.0,212074
2020-03-30,1464.0,1606.0,1464.0,1584.0,94575
2020-03-31,1570.0,1790.0,1570.0,1639.0,113963
2020-04-01,1689.0,1749.0,1620.0,1708.0,160026
2020-04-02,1708.0,1763.0,1676.0,1736.0,95368
2020-04-03,1799.0,1818.0,1708.0,1777.0,76418
2020-04-06,1813.0,1905.0,1657.0,1896.0,83732
2020-04-07,1923.0,2028.0,1923.0,2015.0,138605
2020-04-08,2056.0,2070.0,1923.0,2020.0,106224
2020-04-09,2024.0,2152.0,1937.0,2052.0,115383
2020-04-10,2056.0,2257.0,1964.0,2125.0,322922
2020-04-13,2138.0,2138.0,2051.0,2065.0,78348
2020-04-14,2125.0,2258.0,2074.0,2107.0,110701
2020-04-16,2152.0,2220.0,2106.0,2207.0,78021
2020-04-17,2229.0,2545.0,2229.0,2381.0,496320
2020-04-20,2418.0,2472.0,2363.0,2418.0,117137
2020-04-21,2454.0,2454.0,2294.0,2381.0,152969
2020-04-22,2362.0,2427.0,2275.0,2427.0,107991
2020-04-23,2409.0,2464.0,2395.0,2400.0,57843
2020-04-24,2399.0,2399.0,2290.0,2290.0,135264
2020-04-27,2289.0,2436.0,2262.0,2317.0,113518
2020-04-28,2399.0,2399.0,2280.0,2331.0,45835
2020-04-29,2331.0,2367.0,2321.0,2354.0,34187
2020-05-04,2321.0,2353.0,2179.0,2326.0,35874
2020-05-06,2335.0,2339.0,2280.0,2326.0,50966
2020-05-07,2325.0,2371.0,2289.0,2303.0,101263
2020-05-08,2386.0,2386.0,2326.0,2377.0,35325
2020-05-11,2381.0,2400.0,2349.0,2368.0,45316
2020-05-12,2344.0,2417.0,2307.0,2340.0,37684
2020-05-13,2312.0,2646.0,2243.0,2395.0,426177
2020-05-14,2395.0,2427.0,2321.0,2386.0,79017
2020-05-15,2427.0,2427.0,2321.0,2331.0,57092
2020-05-18,2317.0,2390.0,2294.0,2331.0,71188
2020-05-19,2386.0,2954.0,2340.0,2565.0,7579664
2020-05-20,2541.0,2610.0,2513.0,2601.0,456585
2020-05-21,2601.0,2638.0,2546.0,2597.0,240230
2020-05-22,2596.0,2619.0,2545.0,2587.0,164803
2020-05-25,2591.0,2894.0,2550.0,2766.0,1481227
2020-05-26,2738.0,2738.0,2651.0,2670.0,316582
2020-05-27,2674.0,2839.0,2674.0,2830.0,484147
2020-05-28,2949.0,2958.0,2615.0,2716.0,557458
2020-05-29,2729.0,2748.0,2578.0,2620.0,245572
2020-06-01,2637.0,2674.0,2609.0,2642.0,91245
2020-06-02,2692.0,2692.0,2601.0,2656.0,109293
2020-06-03,2637.0,2679.0,2614.0,2647.0,81901
2020-06-04,2646.0,2692.0,2646.0,2665.0,118598
2020-06-05,2665.0,2793.0,2665.0,2757.0,419453
2020-06-08,2793.0,2793.0,2674.0,2734.0,148493
2020-06-09,2734.0,2775.0,2692.0,2734.0,95018
2020-06-10,2747.0,2747.0,2587.0,2638.0,142039
2020-06-11,2688.0,2738.0,2614.0,2656.0,114829
2020-06-12,2472.0,2596.0,2436.0,2578.0,106597
2020-06-15,2582.0,2609.0,2335.0,2381.0,181827
2020-06-16,2386.0,2491.0,2381.0,2464.0,102266
2020-06-17,2463.0,2514.0,2289.0,2409.0,120747
2020-06-18,2408.0,2450.0,2358.0,2386.0,73035
2020-06-19,2390.0,2399.0,2303.0,2363.0,113407
2020-06-22,2362.0,2413.0,2316.0,2404.0,62637
2020-06-23,2404.0,2518.0,2372.0,2450.0,262481
2020-06-24,2450.0,2477.0,2422.0,2450.0,75776
2020-06-25,2435.0,2449.0,2376.0,2445.0,52590
2020-06-26,2445.0,2527.0,2426.0,2459.0,111234
2020-06-29,2458.0,2458.0,2381.0,2381.0,46061
2020-06-30,2395.0,2564.0,2395.0,2473.0,186397
2020-07-01,2482.0,2505.0,2427.0,2432.0,63425
2020-07-02,2431.0,2514.0,2413.0,2441.0,26851
2020-07-03,2463.0,2467.0,2426.0,2445.0,34420
2020-07-06,2436.0,2486.0,2431.0,2459.0,31117
2020-07-07,2527.0,2582.0,2459.0,2473.0,125529
2020-07-08,2518.0,2738.0,2509.0,2583.0,422419
2020-07-09,2583.0,2610.0,2532.0,2574.0,50668
2020-07-10,2573.0,2683.0,2523.0,2551.0,186894
2020-07-13,2550.0,2578.0,2505.0,2560.0,47497
2020-07-14,2573.0,2591.0,2500.0,2523.0,94867
2020-07-15,2559.0,2871.0,2545.0,2720.0,880950
2020-07-16,2720.0,2738.0,2601.0,2638.0,205665
2020-07-17,2660.0,2839.0,2610.0,2720.0,831248
2020-07-20,2720.0,2734.0,2620.0,2620.0,170801
2020-07-21,2619.0,2715.0,2619.0,2670.0,98980
2020-07-22,2646.0,3287.0,2646.0,3013.0,4545364
2020-07-23,3041.0,3095.0,2862.0,2954.0,1145109
2020-07-24,2866.0,2866.0,2724.0,2775.0,508202
2020-07-27,2775.0,3050.0,2711.0,2922.0,1101151
2020-07-28,2880.0,2894.0,2793.0,2821.0,304669
2020-07-29,2793.0,2962.0,2747.0,2839.0,444217
2020-07-30,2916.0,2916.0,2811.0,2839.0,148703
2020-07-31,2885.0,2926.0,2839.0,2867.0,161846
2020-08-03,2880.0,2894.0,2784.0,2830.0,133059
2020-08-04,2875.0,2875.0,2797.0,2830.0,102344
2020-08-05,2816.0,2871.0,2797.0,2830.0,120608
2020-08-06,2807.0,2880.0,2798.0,2835.0,104757
2020-08-07,2834.0,2903.0,2802.0,2876.0,266160
2020-08-10,2857.0,2963.0,2830.0,2876.0,353714
2020-08-11,2921.0,2939.0,2820.0,2885.0,210904
2020-08-12,2930.0,2939.0,2839.0,2885.0,158254
2020-08-13,2889.0,2931.0,2853.0,2922.0,171188
2020-08-14,2971.0,2971.0,2793.0,2807.0,215058
2020-08-18,2793.0,2807.0,2491.0,2519.0,382330
2020-08-19,2518.0,2610.0,2473.0,2551.0,87751
2020-08-20,2551.0,2596.0,2317.0,2432.0,182695
2020-08-21,2431.0,2495.0,2362.0,2427.0,90175
2020-08-24,2528.0,2528.0,2372.0,2487.0,98576
2020-08-25,2542.0,2565.0,2491.0,2565.0,88312
2020-08-26,2568.0,2605.0,2477.0,2555.0,63134
2020-08-27,2592.0,2592.0,2427.0,2473.0,86625
2020-08-28,2532.0,2551.0,2473.0,2487.0,61815
2020-08-31,2495.0,2532.0,2486.0,2505.0,33667
2020-09-01,2472.0,2601.0,2472.0,2569.0,73486
2020-09-02,2568.0,2619.0,2559.0,2610.0,56393
