date,open,high,low,close,volume
2020-01-02,3615.0,3725.0,3615.0,3685.0,150967
2020-01-03,3720.0,3730.0,3685.0,3720.0,130326
2020-01-06,3730.0,3790.0,3635.0,3650.0,351399
2020-01-07,3650.0,3805.0,3650.0,3805.0,357778
2020-01-08,3775.0,3775.0,3480.0,3600.0,825350
2020-01-09,3710.0,3790.0,3675.0,3700.0,442647
2020-01-10,3715.0,3780.0,3695.0,3750.0,223133
2020-01-13,3760.0,3845.0,3730.0,3820.0,327683
2020-01-14,3850.0,3850.0,3790.0,3830.0,201809
2020-01-15,3810.0,3950.0,3810.0,3900.0,416186
2020-01-16,3940.0,4080.0,3875.0,3975.0,849778
2020-01-17,3995.0,4045.0,3920.0,3980.0,400691
2020-01-20,4100.0,4695.0,3985.0,4430.0,9981519
2020-01-21,4530.0,4620.0,4245.0,4600.0,7740476
2020-01-22,5270.0,5980.0,5090.0,5980.0,32326565
2020-01-23,6100.0,7200.0,5980.0,6230.0,47188254
2020-01-28,7570.0,8090.0,7560.0,8090.0,12596098
2020-01-29,7710.0,7710.0,6520.0,7400.0,3545908
2020-01-30,7410.0,7620.0,6750.0,7420.0,1992699
2020-01-31,7820.0,9160.0,7450.0,9130.0,3906180
2020-02-03,8990.0,9790.0,6400.0,6520.0,18315153
2020-02-04,6370.0,6410.0,5260.0,5860.0,23404080
2020-02-05,5710.0,6590.0,5590.0,5910.0,13547551
2020-02-06,6180.0,6260.0,5650.0,5950.0,6162351
2020-02-07,5870.0,5980.0,5470.0,5760.0,3976070
2020-02-10,5820.0,5820.0,5280.0,5310.0,2962755
2020-02-11,5130.0,5180.0,4620.0,4820.0,5944319
2020-02-12,4670.0,4755.0,4460.0,4515.0,3082361
2020-02-13,4625.0,5170.0,4555.0,4705.0,10994432
2020-02-14,4685.0,5060.0,4650.0,4770.0,4329372
2020-02-17,5000.0,5040.0,4835.0,4890.0,2499623
2020-02-18,4820.0,6100.0,4770.0,5470.0,24257735
2020-02-19,5450.0,7110.0,5290.0,7110.0,37622764
2020-02-20,7230.0,9030.0,7220.0,8000.0,54612609
2020-02-21,9190.0,9400.0,7540.0,8220.0,30207851
2020-02-24,8520.0,8800.0,6220.0,6550.0,15251888
2020-02-25,6650.0,7480.0,6540.0,6720.0,12353351
2020-02-26,6810.0,7080.0,5920.0,6210.0,8320759
2020-02-27,6300.0,6350.0,5380.0,5660.0,8286411
2020-02-28,5850.0,6700.0,5740.0,6090.0,25529515
2020-03-02,6280.0,6680.0,5750.0,5890.0,6381897
2020-03-03,5930.0,6150.0,5550.0,5950.0,7630685
2020-03-04,6130.0,6190.0,5920.0,5970.0,3638455
2020-03-05,5900.0,5900.0,5590.0,5690.0,3706520
2020-03-06,5810.0,6790.0,5750.0,6100.0,25062760
2020-03-09,6230.0,6680.0,5810.0,5990.0,12682350
2020-03-10,5810.0,6340.0,5610.0,5700.0,5916666
2020-03-11,5850.0,6270.0,5660.0,5750.0,8282788
2020-03-12,5800.0,6050.0,5510.0,5690.0,5289445
2020-03-13,5300.0,5450.0,4430.0,4910.0,3801419
2020-03-16,4920.0,5190.0,4700.0,4700.0,2524603
2020-03-17,4300.0,4665.0,4290.0,4570.0,3126771
2020-03-18,4600.0,5280.0,4550.0,4700.0,11584045
2020-03-19,4900.0,5000.0,3800.0,3970.0,5429786
2020-03-20,3990.0,4245.0,3930.0,4095.0,2549988
2020-03-23,4075.0,4240.0,3815.0,3920.0,2463663
2020-03-24,3950.0,4200.0,3930.0,4025.0,3240102
2020-03-25,4150.0,4440.0,4060.0,4205.0,5549119
2020-03-26,4305.0,4550.0,4205.0,4410.0,5714285
2020-03-27,4645.0,5540.0,4410.0,4945.0,19665818
2020-03-30,5180.0,5870.0,5160.0,5550.0,12524676
2020-03-31,5750.0,5800.0,5380.0,5580.0,7178431
2020-04-01,5910.0,6130.0,5360.0,5450.0,8503277
2020-04-02,6200.0,6480.0,5700.0,6100.0,14058342
2020-04-03,6100.0,6870.0,5760.0,6870.0,14605263
2020-04-06,6740.0,8480.0,6530.0,8210.0,43664119
2020-04-07,8100.0,8700.0,7500.0,8050.0,21067288
2020-04-08,8140.0,9330.0,8100.0,8420.0,43969342
2020-04-09,8620.0,8830.0,7890.0,7990.0,9432054
2020-04-10,8050.0,8140.0,6900.0,7470.0,9215972
2020-04-13,7400.0,7690.0,6900.0,6950.0,5324864
2020-04-14,7020.0,7440.0,6960.0,7240.0,5057164
2020-04-16,7220.0,7440.0,7020.0,7170.0,3769259
2020-04-17,7210.0,7410.0,6970.0,7260.0,4392808
2020-04-20,7390.0,7440.0,7130.0,7180.0,4478318
2020-04-21,7100.0,7120.0,6400.0,6840.0,3640622
2020-04-22,6700.0,7250.0,6650.0,7010.0,5176291
2020-04-23,7130.0,7450.0,7020.0,7030.0,6080390
2020-04-24,7250.0,8100.0,7200.0,7540.0,24131040
2020-04-27,7700.0,7760.0,7430.0,7450.0,3741304
2020-04-28,7470.0,7470.0,7070.0,7110.0,2780056
2020-04-29,7110.0,7330.0,6900.0,7140.0,3114206
2020-05-04,6950.0,7510.0,6950.0,7260.0,3097667
2020-05-06,7280.0,7390.0,7190.0,7260.0,1692317
2020-05-07,7310.0,7750.0,7210.0,7390.0,5242811
2020-05-08,7450.0,7630.0,7370.0,7560.0,3721054
2020-05-11,8000.0,8200.0,7630.0,7720.0,6611462
2020-05-12,7840.0,7990.0,7520.0,7820.0,5411248
2020-05-13,8160.0,8230.0,7730.0,7730.0,8729879
2020-05-14,7700.0,8080.0,7660.0,7840.0,5157709
2020-05-15,7890.0,7900.0,7520.0,7570.0,2516083
2020-05-18,7410.0,7500.0,7100.0,7150.0,2211077
2020-05-19,6900.0,7020.0,6700.0,6970.0,2362558
2020-05-20,7020.0,7120.0,6980.0,7010.0,1424640
2020-05-21,7020.0,7050.0,6950.0,6980.0,949999
2020-05-22,6970.0,7010.0,6660.0,6780.0,1297646
2020-05-25,6920.0,7070.0,6880.0,7010.0,1571324
2020-05-26,7160.0,7180.0,6970.0,7020.0,1168171
2020-05-27,7090.0,7090.0,6900.0,6920.0,918706
2020-05-28,6930.0,7060.0,6700.0,7030.0,2232320
2020-05-29,7000.0,7080.0,6820.0,6870.0,1966297
2020-06-01,6900.0,6960.0,6800.0,6840.0,764428
2020-06-02,6880.0,6890.0,6760.0,6790.0,794918
2020-06-03,6830.0,6830.0,6610.0,6630.0,985094
2020-06-04,6620.0,7100.0,6530.0,6730.0,5413747
2020-06-05,6740.0,6760.0,6610.0,6620.0,952617
2020-06-08,6670.0,6810.0,6620.0,6740.0,1197111
2020-06-09,6760.0,6760.0,6610.0,6620.0,715472
2020-06-10,6660.0,6660.0,6540.0,6550.0,601330
2020-06-11,6550.0,6610.0,6310.0,6340.0,720083
2020-06-12,6410.0,6980.0,6400.0,6420.0,9822218
2020-06-15,6510.0,6650.0,5810.0,5810.0,1644398
2020-06-16,5850.0,6270.0,5850.0,6220.0,1585368
2020-06-17,6100.0,6270.0,5900.0,6050.0,940215
2020-06-18,6010.0,6110.0,5920.0,5950.0,621525
2020-06-19,5950.0,6130.0,5830.0,5960.0,1287154
2020-06-22,6020.0,6170.0,5930.0,5970.0,952634
2020-06-23,5990.0,6040.0,5810.0,5810.0,697426
2020-06-24,5770.0,5900.0,5760.0,5850.0,486616
2020-06-25,6000.0,6100.0,5840.0,5860.0,1107476
2020-06-26,5840.0,6000.0,5780.0,5830.0,547550
2020-06-29,5990.0,5990.0,5820.0,5850.0,600042
2020-06-30,5820.0,5970.0,5820.0,5850.0,483856
2020-07-01,5900.0,5910.0,5750.0,5750.0,466062
2020-07-02,5750.0,5820.0,5640.0,5780.0,346470
2020-07-03,5760.0,6050.0,5760.0,6000.0,1289916
2020-07-06,6120.0,6130.0,5920.0,5990.0,822189
2020-07-07,6030.0,6110.0,5880.0,6070.0,940723
2020-07-08,6150.0,6190.0,6010.0,6030.0,732459
2020-07-09,6040.0,6070.0,5930.0,5990.0,473913
2020-07-10,5960.0,6140.0,5940.0,6080.0,903650
2020-07-13,6190.0,6190.0,6020.0,6030.0,566809
2020-07-14,6020.0,6160.0,5960.0,6020.0,898925
2020-07-15,6020.0,6070.0,5950.0,5970.0,608061
2020-07-16,5930.0,6040.0,5910.0,5930.0,450953
2020-07-17,5930.0,5990.0,5910.0,5940.0,291163
2020-07-20,5960.0,5970.0,5830.0,5870.0,544554
2020-07-21,5910.0,5920.0,5850.0,5880.0,330595
2020-07-22,5920.0,5930.0,5800.0,5840.0,393752
2020-07-23,5830.0,6080.0,5830.0,6050.0,1083021
2020-07-24,6050.0,6060.0,5840.0,5870.0,659864
