date,open,high,low,close,volume
2020-01-02,6534.0,6534.0,6462.0,6526.0,24817
2020-01-03,6570.0,6680.0,6489.0,6645.0,15733
2020-01-06,6644.0,6644.0,6462.0,6526.0,8304
2020-01-07,6525.0,6589.0,6479.0,6517.0,2565
2020-01-08,6489.0,6506.0,6352.0,6362.0,21715
2020-01-09,6379.0,6506.0,6379.0,6489.0,8112
2020-01-10,6489.0,6489.0,6425.0,6472.0,2831
2020-01-13,6469.0,6534.0,6425.0,6489.0,8042
2020-01-14,6489.0,6580.0,6415.0,6489.0,6242
2020-01-15,6489.0,6489.0,6406.0,6489.0,5221
2020-01-16,6489.0,6489.0,6415.0,6416.0,8354
2020-01-17,6379.0,6497.0,6379.0,6481.0,16041
2020-01-20,6479.0,8170.0,6396.0,7614.0,2992904
2020-01-21,7512.0,7540.0,7055.0,7175.0,569784
2020-01-22,7310.0,7540.0,7082.0,7330.0,465004
2020-01-23,7356.0,9139.0,7266.0,7869.0,5153313
2020-01-28,8637.0,8984.0,8161.0,8263.0,2540117
2020-01-29,8289.0,8416.0,7448.0,7486.0,771714
2020-01-30,7512.0,7658.0,7045.0,7340.0,507245
2020-01-31,7403.0,7567.0,6698.0,6855.0,397555
2020-02-03,6845.0,6854.0,6469.0,6517.0,284796
2020-02-04,6534.0,6808.0,6497.0,6737.0,126808
2020-02-05,6690.0,7110.0,6634.0,6846.0,232057
2020-02-06,6972.0,7073.0,6882.0,7038.0,172491
2020-02-07,7037.0,7128.0,6945.0,7020.0,101429
2020-02-10,6982.0,7055.0,6734.0,6754.0,86270
2020-02-11,6763.0,7009.0,6644.0,6965.0,120520
2020-02-12,6982.0,6982.0,6680.0,6883.0,62805
2020-02-13,6882.0,6936.0,6744.0,6873.0,56805
2020-02-14,6835.0,7009.0,6808.0,6818.0,61463
2020-02-17,6854.0,6963.0,6763.0,6965.0,50507
2020-02-18,6945.0,7266.0,6845.0,7130.0,260239
2020-02-19,7082.0,7485.0,6945.0,7440.0,371566
