date,open,high,low,close,volume
2020-01-02,1280.0,1290.0,1270.0,1290.0,103165
2020-01-03,1295.0,1345.0,1295.0,1305.0,242164
2020-01-06,1290.0,1295.0,1235.0,1245.0,226723
2020-01-07,1255.0,1280.0,1250.0,1260.0,85937
2020-01-08,1250.0,1265.0,1180.0,1205.0,374726
2020-01-09,1250.0,1420.0,1240.0,1285.0,2407128
2020-01-10,1280.0,1305.0,1260.0,1295.0,313254
2020-01-13,1290.0,1340.0,1270.0,1330.0,453230
2020-01-14,1335.0,1390.0,1305.0,1345.0,437012
2020-01-15,1330.0,1430.0,1330.0,1415.0,827917
2020-01-16,1415.0,1435.0,1365.0,1380.0,310321
2020-01-17,1380.0,1405.0,1335.0,1375.0,391660
2020-01-20,1370.0,1375.0,1325.0,1325.0,254638
2020-01-21,1325.0,1390.0,1315.0,1350.0,340840
2020-01-22,1350.0,1350.0,1320.0,1335.0,122837
2020-01-23,1325.0,1335.0,1285.0,1315.0,235495
2020-01-28,1290.0,1290.0,1250.0,1275.0,213904
2020-01-29,1290.0,1290.0,1240.0,1255.0,300171
2020-01-30,1255.0,1260.0,1200.0,1225.0,261921
2020-01-31,1225.0,1240.0,1185.0,1185.0,200096
2020-02-03,1160.0,1200.0,1135.0,1190.0,322687
2020-02-04,1185.0,1240.0,1185.0,1230.0,129888
2020-02-05,1245.0,1245.0,1215.0,1220.0,136470
2020-02-06,1225.0,1245.0,1225.0,1240.0,126291
2020-02-07,1250.0,1250.0,1220.0,1240.0,97976
2020-02-10,1230.0,1255.0,1220.0,1255.0,156941
2020-02-11,1240.0,1250.0,1215.0,1230.0,154798
2020-02-12,1230.0,1230.0,1190.0,1215.0,288459
2020-02-13,1220.0,1225.0,1200.0,1210.0,97341
2020-02-14,1210.0,1240.0,1195.0,1215.0,216807
2020-02-17,1205.0,1215.0,1195.0,1200.0,120284
2020-02-18,1200.0,1205.0,1150.0,1175.0,495157
2020-02-19,1190.0,1255.0,1150.0,1200.0,886555
2020-02-20,1185.0,1200.0,1155.0,1165.0,243582
2020-02-21,1155.0,1160.0,1125.0,1135.0,409660
2020-02-24,1085.0,1110.0,1035.0,1045.0,689468
2020-02-25,1020.0,1095.0,1020.0,1095.0,360039
2020-02-26,1080.0,1095.0,1070.0,1095.0,79687
2020-02-27,1085.0,1095.0,1045.0,1055.0,165361
2020-02-28,1040.0,1040.0,992.0,1000.0,488031
2020-03-02,990.0,1040.0,990.0,1030.0,172298
