date,open,high,low,close,volume
2020-01-02,41863.0,42843.0,41457.0,42607.0,36889
2020-01-03,43014.0,44908.0,42439.0,44773.0,217553
2020-01-06,44739.0,45280.0,43420.0,44232.0,94102
2020-01-07,44232.0,44908.0,43961.0,44503.0,51132
2020-01-08,43926.0,44467.0,41322.0,42878.0,91555
2020-01-09,44096.0,45314.0,43555.0,44638.0,69788
2020-01-10,44603.0,44603.0,43014.0,44232.0,51821
2020-01-13,44199.0,45822.0,44063.0,45721.0,71886
2020-01-14,46902.0,47342.0,43926.0,44096.0,125182
2020-01-15,44096.0,45449.0,43420.0,44773.0,64800
2020-01-16,44740.0,45687.0,44334.0,45721.0,48174
2020-01-17,46363.0,46904.0,45416.0,45450.0,156875
2020-01-20,45550.0,45550.0,43791.0,44096.0,44731
2020-01-21,44062.0,44738.0,43250.0,43555.0,38174
2020-01-22,43520.0,44467.0,42843.0,43013.0,67918
2020-01-23,42809.0,43214.0,41559.0,41897.0,32585
2020-01-28,40644.0,40779.0,39292.0,40408.0,44766
2020-01-29,40644.0,41726.0,40374.0,41355.0,23774
2020-01-30,40913.0,41589.0,38512.0,38783.0,43827
2020-01-31,38884.0,40371.0,38207.0,38377.0,30443
2020-02-03,37667.0,39324.0,36585.0,38783.0,31674
2020-02-04,38918.0,40271.0,38918.0,40001.0,11781
2020-02-05,40238.0,40914.0,39561.0,40272.0,24356
2020-02-06,40779.0,40915.0,40374.0,40949.0,14466
2020-02-07,40644.0,41726.0,40238.0,41084.0,26310
2020-02-10,41017.0,41693.0,40747.0,41626.0,17267
2020-02-11,41559.0,42809.0,41424.0,42303.0,27274
2020-02-12,42574.0,43656.0,41864.0,43149.0,25454
2020-02-13,43114.0,43926.0,42709.0,43284.0,20389
2020-02-14,43251.0,43927.0,42845.0,43826.0,16548
2020-02-17,43790.0,44467.0,42979.0,43013.0,25115
2020-02-18,42978.0,44331.0,42133.0,42607.0,27452
2020-02-19,42405.0,44468.0,42405.0,43961.0,52108
2020-02-20,44332.0,44332.0,42709.0,43284.0,25994
2020-02-21,43657.0,47884.0,42845.0,45179.0,458727
2020-02-24,45579.0,46797.0,39324.0,39595.0,180228
2020-02-25,39698.0,43654.0,38886.0,40814.0,91754
2020-02-26,40275.0,44773.0,40275.0,44773.0,175094
2020-02-27,44062.0,46226.0,43115.0,43961.0,84374
2020-02-28,44059.0,45682.0,40779.0,41084.0,99038
2020-03-02,53332.0,53332.0,46907.0,49004.0,1136939
2020-03-03,50322.0,53468.0,48158.0,49004.0,502603
2020-03-04,48565.0,50594.0,46637.0,50087.0,237631
2020-03-05,49375.0,49645.0,47887.0,48327.0,117373
2020-03-06,46769.0,48021.0,45011.0,45992.0,108040
2020-03-09,45416.0,47343.0,44334.0,45450.0,91568
2020-03-10,44062.0,44603.0,41593.0,43555.0,71812
2020-03-11,43484.0,43889.0,39801.0,41761.0,76801
2020-03-12,40468.0,41549.0,36651.0,36719.0,83285
2020-03-13,30969.0,33941.0,28943.0,32895.0,120471
2020-03-16,32928.0,34552.0,28460.0,28461.0,76616
2020-03-17,25018.0,35633.0,25018.0,34011.0,193485
2020-03-18,34110.0,37795.0,31778.0,32522.0,116567
2020-03-19,33698.0,34374.0,27141.0,27750.0,67799
2020-03-20,28564.0,32080.0,28564.0,30627.0,49034
2020-03-23,28532.0,33163.0,28397.0,31710.0,70261
2020-03-24,31677.0,34923.0,31407.0,33199.0,112786
2020-03-25,33950.0,37328.0,32430.0,37396.0,230425
2020-03-26,37595.0,39250.0,34217.0,36177.0,165885
2020-03-27,37470.0,41693.0,33685.0,41761.0,358271
2020-03-30,50731.0,54283.0,49243.0,54317.0,689380
2020-03-31,54684.0,54684.0,45823.0,48056.0,610834
2020-04-01,46905.0,50050.0,44064.0,45992.0,190790
2020-04-02,45823.0,49509.0,42576.0,46398.0,304869
2020-04-03,47345.0,48833.0,45147.0,48056.0,107725
2020-04-06,48156.0,49373.0,45822.0,46533.0,148358
2020-04-07,47347.0,56411.0,44472.0,50087.0,1092793
2020-04-08,50324.0,52387.0,49107.0,51576.0,417773
2020-04-09,52524.0,55501.0,49514.0,55535.0,663781
2020-04-10,61889.0,62024.0,50323.0,50357.0,698678
