date,open,high,low,close,volume
2020-01-02,4860.0,4885.0,4830.0,4855.0,38134
2020-01-03,4855.0,4900.0,4825.0,4830.0,47980
2020-01-06,4790.0,4790.0,4580.0,4650.0,115377
2020-01-07,4655.0,4725.0,4630.0,4645.0,69442
2020-01-08,4650.0,4680.0,4325.0,4380.0,177096
2020-01-09,4505.0,4685.0,4380.0,4625.0,119165
2020-01-10,4645.0,4800.0,4630.0,4800.0,69906
2020-01-13,4760.0,4980.0,4760.0,4930.0,125903
2020-01-14,4985.0,4985.0,4875.0,4920.0,39825
2020-01-15,4900.0,5010.0,4895.0,5000.0,64760
2020-01-16,5000.0,5030.0,4925.0,4970.0,25444
2020-01-17,4970.0,5010.0,4935.0,4935.0,49635
2020-01-20,4940.0,4940.0,4815.0,4865.0,29977
2020-01-21,4805.0,4940.0,4795.0,4800.0,49936
2020-01-22,4800.0,4825.0,4740.0,4790.0,39520
2020-01-23,4755.0,4790.0,4710.0,4745.0,66195
2020-01-28,4505.0,4620.0,4480.0,4515.0,122752
2020-01-29,4495.0,4570.0,4495.0,4510.0,59108
2020-01-30,4510.0,4560.0,4340.0,4360.0,75108
2020-01-31,4365.0,4400.0,4200.0,4225.0,88448
2020-02-03,4110.0,4255.0,4045.0,4160.0,72638
2020-02-04,4235.0,4305.0,4190.0,4240.0,32572
2020-02-05,4245.0,4320.0,4245.0,4285.0,41556
2020-02-06,4315.0,4390.0,4310.0,4345.0,30910
2020-02-07,4375.0,4395.0,4290.0,4345.0,26387
2020-02-10,4395.0,4490.0,4310.0,4450.0,80876
2020-02-11,4390.0,4465.0,4380.0,4400.0,58848
2020-02-12,4400.0,4440.0,4370.0,4405.0,62696
2020-02-13,4415.0,4445.0,4345.0,4355.0,35844
2020-02-14,4355.0,5140.0,4355.0,4540.0,512342
2020-02-17,4540.0,4580.0,4400.0,4460.0,71791
2020-02-18,4420.0,4505.0,4355.0,4375.0,68824
2020-02-19,4370.0,4415.0,4270.0,4290.0,50552
2020-02-20,4300.0,4370.0,4230.0,4255.0,55392
2020-02-21,4240.0,4260.0,4095.0,4105.0,85739
2020-02-24,4000.0,4045.0,3895.0,3895.0,138820
2020-02-25,3830.0,4040.0,3830.0,4020.0,65125
2020-02-26,3900.0,4020.0,3880.0,4020.0,60196
2020-02-27,4020.0,4045.0,3870.0,3890.0,76253
2020-02-28,3870.0,3880.0,3705.0,3705.0,149647
2020-03-02,3685.0,3830.0,3620.0,3755.0,131914
2020-03-03,3825.0,3940.0,3815.0,3830.0,48563
2020-03-04,3815.0,3930.0,3800.0,3875.0,36247
2020-03-05,3890.0,4020.0,3890.0,4000.0,44396
2020-03-06,4035.0,4075.0,3900.0,3965.0,73160
2020-03-09,3920.0,3920.0,3690.0,3745.0,120234
2020-03-10,3635.0,3790.0,3635.0,3765.0,75760
2020-03-11,3765.0,3790.0,3585.0,3625.0,97521
2020-03-12,3530.0,3700.0,3245.0,3440.0,224845
2020-03-13,2990.0,3200.0,2820.0,2990.0,310643
2020-03-16,2900.0,3090.0,2895.0,2900.0,196268
