date,open,high,low,close,volume
2020-01-02,2828.0,2909.0,2812.0,2881.0,118559
2020-01-03,2892.0,3009.0,2864.0,2893.0,398129
2020-01-06,2868.0,2876.0,2768.0,2841.0,177313
2020-01-07,2848.0,2921.0,2812.0,2817.0,135209
2020-01-08,2812.0,2812.0,2683.0,2692.0,223669
2020-01-09,2740.0,2868.0,2740.0,2813.0,127970
2020-01-10,2820.0,2900.0,2607.0,2841.0,221841
2020-01-13,2828.0,2888.0,2804.0,2857.0,94427
2020-01-14,2888.0,2928.0,2812.0,2841.0,252938
2020-01-15,2840.0,3093.0,2812.0,3054.0,767523
2020-01-16,3073.0,3455.0,3061.0,3400.0,3207018
2020-01-17,3382.0,3680.0,3290.0,3569.0,1371940
2020-01-20,3567.0,3676.0,3536.0,3641.0,468590
2020-01-21,3587.0,3672.0,3459.0,3608.0,415034
2020-01-22,3627.0,4178.0,3612.0,4083.0,2865735
2020-01-23,4042.0,4564.0,3949.0,4396.0,2722425
2020-01-28,4211.0,4580.0,4090.0,4565.0,1197979
2020-01-29,4507.0,4660.0,4307.0,4613.0,832972
2020-01-30,4612.0,4773.0,4428.0,4525.0,748120
2020-01-31,4540.0,4797.0,4428.0,4693.0,970896
2020-02-03,4556.0,4773.0,4435.0,4581.0,615975
2020-02-04,4604.0,4765.0,4459.0,4573.0,743216
2020-02-05,4531.0,5022.0,4531.0,4926.0,2072706
2020-02-06,4941.0,4982.0,4452.0,4468.0,1609361
2020-02-07,4468.0,4612.0,4355.0,4461.0,923586
2020-02-10,4419.0,4419.0,4042.0,4203.0,1521082
2020-02-11,4202.0,4299.0,4114.0,4227.0,605150
2020-02-12,4218.0,4266.0,3949.0,4015.0,1030760
2020-02-13,4018.0,4090.0,3660.0,3817.0,1894513
2020-02-14,3784.0,4218.0,3696.0,4107.0,1999597
2020-02-17,4073.0,4097.0,3921.0,3938.0,629564
2020-02-18,3929.0,4006.0,3720.0,3749.0,623059
2020-02-19,3825.0,3901.0,3740.0,3786.0,489362
2020-02-20,3784.0,4001.0,3748.0,3870.0,782815
2020-02-21,3853.0,3853.0,3463.0,3520.0,887607
2020-02-24,3391.0,3596.0,3374.0,3424.0,496457
2020-02-25,3382.0,3596.0,3382.0,3560.0,325484
2020-02-26,3439.0,3608.0,3434.0,3560.0,241882
2020-02-27,3560.0,3603.0,3294.0,3347.0,494814
2020-02-28,3290.0,3355.0,3097.0,3174.0,664182
2020-03-02,3150.0,3407.0,3150.0,3408.0,373499
2020-03-03,3599.0,3599.0,3343.0,3347.0,325092
2020-03-04,3346.0,3527.0,3343.0,3528.0,296005
2020-03-05,3560.0,3563.0,3427.0,3472.0,289464
2020-03-06,3367.0,3467.0,3326.0,3372.0,193240
2020-03-09,3238.0,3331.0,3109.0,3143.0,334783
2020-03-10,3085.0,3214.0,3045.0,3162.0,204481
2020-03-11,3250.0,3250.0,2885.0,2981.0,399473
2020-03-12,2945.0,2981.0,2651.0,2713.0,598590
2020-03-13,2527.0,2535.0,2089.0,2423.0,1219148
2020-03-16,2555.0,2583.0,2265.0,2266.0,504186
2020-03-17,2012.0,2370.0,2012.0,2242.0,476219
2020-03-18,2330.0,2366.0,2008.0,2010.0,501051
2020-03-19,2024.0,2125.0,1586.0,1588.0,704602
2020-03-20,1562.0,1735.0,1562.0,1704.0,586266
2020-03-23,1607.0,1639.0,1518.0,1519.0,402679
2020-03-24,1562.0,1643.0,1550.0,1624.0,365582
2020-03-25,1695.0,1863.0,1683.0,1817.0,782868
2020-03-26,1888.0,2004.0,1723.0,1977.0,745581
2020-03-27,2008.0,2133.0,1839.0,1953.0,568139
2020-03-30,1848.0,1920.0,1839.0,1921.0,336902
2020-03-31,1944.0,2129.0,1944.0,2022.0,650520
2020-04-01,2020.0,2105.0,1928.0,2022.0,409809
2020-04-02,2077.0,2077.0,1916.0,2005.0,266577
2020-04-03,2024.0,2068.0,1952.0,2034.0,268228
2020-04-06,2036.0,2141.0,2024.0,2142.0,563477
2020-04-07,2234.0,2285.0,2145.0,2215.0,656401
2020-04-08,2209.0,2378.0,2125.0,2330.0,630918
2020-04-09,2402.0,2478.0,2334.0,2379.0,631510
2020-04-10,2434.0,2434.0,2261.0,2330.0,463014
2020-04-13,2334.0,2338.0,2197.0,2202.0,330277
2020-04-14,2265.0,2310.0,2201.0,2270.0,193354
2020-04-16,2270.0,2326.0,2201.0,2318.0,191376
2020-04-17,2362.0,2458.0,2354.0,2411.0,502418
2020-04-20,2430.0,2466.0,2370.0,2399.0,326052
2020-04-21,2354.0,2398.0,2185.0,2323.0,351981
2020-04-22,2253.0,2282.0,2189.0,2279.0,249957
