date,open,high,low,close,volume
2020-01-02,4940.0,5050.0,4940.0,4985.0,2413320
2020-01-03,5000.0,5050.0,4985.0,5025.0,5815780
2020-01-06,4975.0,5000.0,4910.0,4920.0,4863900
2020-01-07,4910.0,5025.0,4910.0,5000.0,4315080
2020-01-08,4985.0,4985.0,4795.0,4795.0,14233700
2020-01-09,4835.0,4965.0,4835.0,4950.0,6004400
2020-01-10,4975.0,4985.0,4860.0,4950.0,3826640
2020-01-13,4915.0,5100.0,4915.0,5075.0,10649280
2020-01-14,5100.0,5100.0,4950.0,5025.0,9916900
2020-01-15,5050.0,5100.0,5000.0,5100.0,6404600
2020-01-16,5075.0,5350.0,5050.0,5050.0,23717800
2020-01-17,5075.0,5100.0,5025.0,5025.0,3393360
2020-01-20,5050.0,5075.0,4990.0,4990.0,4279880
2020-01-21,4975.0,5050.0,4955.0,4990.0,3388880
2020-01-22,5075.0,5100.0,4990.0,5025.0,3613040
2020-01-23,5000.0,5050.0,4980.0,5025.0,3255380
2020-01-28,4755.0,5050.0,4735.0,4975.0,14525560
2020-01-29,4995.0,4995.0,4905.0,4950.0,6499240
2020-01-30,4950.0,4975.0,4820.0,4825.0,5639220
2020-01-31,4855.0,4930.0,4750.0,4825.0,6794980
2020-02-03,4665.0,4795.0,4645.0,4720.0,6678460
2020-02-04,4700.0,4870.0,4700.0,4870.0,5647400
2020-02-05,4865.0,4990.0,4855.0,4900.0,4824700
2020-02-06,4955.0,4955.0,4875.0,4920.0,5064320
2020-02-07,4915.0,4995.0,4885.0,4970.0,9181420
2020-02-10,4915.0,5225.0,4915.0,4995.0,16810320
2020-02-11,4980.0,5050.0,4980.0,5050.0,5682120
2020-02-12,5075.0,5075.0,4985.0,4985.0,3479280
2020-02-13,5025.0,5025.0,4940.0,4950.0,3805900
2020-02-14,4985.0,4985.0,4920.0,4950.0,4271620
2020-02-17,4950.0,4965.0,4900.0,4940.0,3207200
2020-02-18,4940.0,5000.0,4835.0,4870.0,4087040
2020-02-19,4850.0,4910.0,4775.0,4810.0,4071660
2020-02-20,4790.0,4870.0,4755.0,4815.0,4560100
2020-02-21,4810.0,4810.0,4675.0,4685.0,7071160
2020-02-24,4380.0,4680.0,4380.0,4455.0,11087700
2020-02-25,4410.0,4580.0,4315.0,4525.0,6040740
2020-02-26,4410.0,4550.0,4410.0,4495.0,1993660
2020-02-27,4440.0,4595.0,4400.0,4515.0,6274480
2020-02-28,4425.0,4425.0,4225.0,4240.0,8960700
2020-03-02,4155.0,4260.0,4100.0,4190.0,5103200
2020-03-03,4250.0,4475.0,4160.0,4160.0,10287800
2020-03-04,4150.0,4290.0,4150.0,4255.0,3471080
2020-03-05,4300.0,4470.0,4295.0,4420.0,2747420
2020-03-06,4405.0,4440.0,4310.0,4350.0,2733340
2020-03-09,4350.0,4350.0,4145.0,4145.0,9093180
2020-03-10,4145.0,4145.0,3870.0,3975.0,19623040
2020-03-11,3975.0,4070.0,3795.0,3805.0,10071800
2020-03-12,3705.0,3745.0,3445.0,3480.0,14486440
2020-03-13,2950.0,3445.0,2750.0,3250.0,26163060
2020-03-16,3250.0,3600.0,3215.0,3225.0,15733400
2020-03-17,2905.0,3385.0,2905.0,3200.0,13138940
2020-03-18,3205.0,3350.0,3055.0,3105.0,16797960
2020-03-19,3105.0,3255.0,2355.0,2535.0,15274280
2020-03-20,2535.0,2870.0,2525.0,2830.0,19684240
2020-03-23,2550.0,2745.0,2450.0,2575.0,7334880
2020-03-24,2600.0,2960.0,2600.0,2950.0,9230080
2020-03-25,3135.0,3440.0,2985.0,3380.0,12430900
2020-03-26,3380.0,3500.0,3275.0,3420.0,5885560
2020-03-27,3525.0,3575.0,3375.0,3515.0,9365720
2020-03-30,3355.0,3520.0,3355.0,3480.0,3005280
2020-03-31,3550.0,3670.0,3485.0,3600.0,7704340
2020-04-01,3595.0,3685.0,3530.0,3535.0,5042980
2020-04-02,3570.0,3610.0,3425.0,3540.0,3647820
2020-04-03,3550.0,3635.0,3490.0,3510.0,4606520
2020-04-06,3550.0,3660.0,3495.0,3625.0,8351680
2020-04-07,3680.0,3730.0,3625.0,3700.0,5510580
2020-04-08,3700.0,3740.0,3620.0,3660.0,4163160
2020-04-09,3710.0,3885.0,3710.0,3800.0,6790540
2020-04-10,3825.0,3870.0,3700.0,3805.0,3648620
2020-04-13,3825.0,3880.0,3640.0,3640.0,5187740
2020-04-14,3710.0,3775.0,3660.0,3715.0,2767920
2020-04-16,3760.0,3795.0,3610.0,3775.0,4276080
2020-04-17,3800.0,3880.0,3780.0,3855.0,5839420
2020-04-20,3865.0,4170.0,3860.0,4040.0,20918360
2020-04-21,4035.0,4060.0,3635.0,3880.0,13217760
2020-04-22,3875.0,3875.0,3740.0,3810.0,4469640
2020-04-23,3810.0,3845.0,3775.0,3800.0,3763900
2020-04-24,3800.0,3840.0,3700.0,3750.0,3720800
2020-04-27,3750.0,3835.0,3750.0,3800.0,3281420
2020-04-28,3800.0,3850.0,3750.0,3850.0,4792780
2020-04-29,3825.0,3900.0,3805.0,3885.0,2626200
2020-05-04,3850.0,3935.0,3830.0,3900.0,2442700
2020-05-06,3950.0,4030.0,3930.0,3955.0,3954260
2020-05-07,3955.0,4010.0,3955.0,4000.0,3964120
2020-05-08,4040.0,4140.0,4015.0,4055.0,6701760
2020-05-11,4075.0,4075.0,3995.0,4055.0,3426760
2020-05-12,4060.0,4060.0,3880.0,3925.0,5629820
2020-05-13,3920.0,3930.0,3825.0,3915.0,1971740
2020-05-14,3875.0,3920.0,3825.0,3825.0,2248980
2020-05-15,3925.0,3925.0,3650.0,3800.0,4023580
2020-05-18,3855.0,3955.0,3730.0,3760.0,2542800
2020-05-19,3845.0,3875.0,3780.0,3835.0,2566640
2020-05-20,3890.0,3890.0,3825.0,3850.0,1854260
2020-05-21,3875.0,3945.0,3845.0,3905.0,3313680
2020-05-22,3940.0,3940.0,3840.0,3845.0,3690940
2020-05-25,3835.0,3890.0,3550.0,3735.0,5364980
2020-05-26,3735.0,4090.0,3735.0,3985.0,16675120
2020-05-27,3990.0,4000.0,3875.0,3900.0,6390520
2020-05-28,3950.0,3950.0,3755.0,3850.0,7446680
2020-05-29,3850.0,3850.0,3740.0,3780.0,3308680
2020-06-01,3785.0,3940.0,3785.0,3815.0,6428420
2020-06-02,3900.0,3900.0,3800.0,3815.0,7948760
2020-06-03,3860.0,4035.0,3825.0,3900.0,19293040
2020-06-04,3975.0,4220.0,3905.0,3995.0,33190360
2020-06-05,4000.0,4130.0,3925.0,4100.0,8170460
2020-06-08,4100.0,4265.0,4065.0,4105.0,16629640
2020-06-09,4100.0,4320.0,4025.0,4040.0,28346220
2020-06-10,4040.0,4070.0,3980.0,4010.0,6734800
2020-06-11,4015.0,4020.0,3860.0,3865.0,7161540
2020-06-12,3545.0,3795.0,3545.0,3795.0,8060320
2020-06-15,3850.0,3850.0,3500.0,3550.0,5911120
2020-06-16,3680.0,3830.0,3580.0,3620.0,8396060
2020-06-17,3595.0,3720.0,3500.0,3530.0,9167540
2020-06-18,3530.0,3640.0,3455.0,3595.0,5071180
2020-06-19,3600.0,3680.0,3520.0,3635.0,10787920
2020-06-22,3670.0,3690.0,3570.0,3635.0,3109620
2020-06-23,3665.0,3665.0,3515.0,3535.0,4659740
2020-06-24,3535.0,3590.0,3350.0,3500.0,5474120
2020-06-25,3425.0,3525.0,3425.0,3480.0,3424100
2020-06-26,3460.0,3550.0,3430.0,3490.0,2399120
