date,open,high,low,close,volume
2020-01-02,92500.0,93100.0,89500.0,90000.0,143316
2020-01-03,90800.0,91500.0,89300.0,90300.0,146719
2020-01-06,90500.0,91800.0,90100.0,90400.0,137617
2020-01-07,91000.0,91900.0,90000.0,91800.0,122768
2020-01-08,90600.0,91700.0,90500.0,91500.0,139083
2020-01-09,90400.0,90800.0,89400.0,90800.0,163779
2020-01-10,90300.0,90800.0,87800.0,88400.0,170536
2020-01-13,89000.0,89600.0,88400.0,89600.0,136250
2020-01-14,90100.0,92800.0,89700.0,92800.0,221207
2020-01-15,93400.0,93500.0,91500.0,92500.0,144394
2020-01-16,91700.0,92000.0,89600.0,89900.0,151150
2020-01-17,89500.0,90100.0,88800.0,89000.0,155847
2020-01-20,89100.0,90500.0,87200.0,87500.0,193716
2020-01-21,88200.0,88800.0,87300.0,87300.0,120107
2020-01-22,88400.0,89900.0,88300.0,89600.0,211145
2020-01-23,88600.0,89900.0,88100.0,88500.0,190544
2020-01-28,88000.0,89200.0,86400.0,87000.0,178072
2020-01-29,87000.0,89100.0,86800.0,88500.0,162995
2020-01-30,88500.0,89300.0,87900.0,88700.0,239862
2020-01-31,89000.0,89200.0,87600.0,87800.0,212983
2020-02-03,88300.0,88500.0,86200.0,86900.0,228897
2020-02-04,87300.0,87300.0,85000.0,86500.0,351206
2020-02-05,85500.0,86500.0,85100.0,86500.0,193785
2020-02-06,88000.0,89700.0,87300.0,89500.0,177027
2020-02-07,89600.0,90000.0,88700.0,90000.0,18639522
2020-02-10,89000.0,90000.0,88200.0,89700.0,172584
2020-02-11,89900.0,91300.0,89300.0,90600.0,202950
2020-02-12,89600.0,92200.0,89500.0,91600.0,204605
2020-02-13,90700.0,91400.0,90000.0,90200.0,170598
2020-02-14,90700.0,91100.0,89200.0,90400.0,123612
2020-02-17,77500.0,77700.0,70500.0,74000.0,1357393
2020-02-18,75800.0,76700.0,74500.0,75200.0,659852
2020-02-19,75300.0,75300.0,72000.0,73700.0,749467
2020-02-20,73400.0,76000.0,73400.0,75100.0,521937
2020-02-21,74800.0,75800.0,73500.0,73600.0,285858
2020-02-24,72000.0,72600.0,70400.0,71000.0,297348
2020-02-25,70000.0,71700.0,70000.0,71700.0,324513
2020-02-26,70300.0,71400.0,69300.0,70200.0,416328
2020-02-27,70200.0,72000.0,69600.0,70400.0,393566
2020-02-28,67000.0,69500.0,67000.0,68900.0,511223
2020-03-02,69400.0,70200.0,67500.0,69900.0,319150
2020-03-03,70300.0,71700.0,67700.0,67800.0,288262
2020-03-04,68800.0,69900.0,67900.0,69800.0,259513
2020-03-05,70400.0,72700.0,70100.0,71600.0,302605
2020-03-06,71000.0,72000.0,70500.0,71200.0,180378
2020-03-09,71200.0,71900.0,69800.0,71100.0,234205
2020-03-10,71800.0,71800.0,69200.0,70700.0,286044
2020-03-11,69600.0,71500.0,69300.0,69700.0,247347
2020-03-12,70800.0,70900.0,67500.0,69100.0,441525
2020-03-13,63700.0,66600.0,62800.0,64100.0,476301
2020-03-16,63500.0,65500.0,62500.0,63700.0,260894
2020-03-17,61200.0,63900.0,59000.0,61200.0,430695
2020-03-18,61100.0,61500.0,57000.0,57000.0,469298
2020-03-19,57500.0,58900.0,52300.0,54900.0,406329
2020-03-20,53500.0,55500.0,52200.0,54600.0,428433
2020-03-23,52400.0,53400.0,48250.0,48250.0,376051
2020-03-24,48700.0,50000.0,47200.0,50000.0,493865
2020-03-25,51000.0,55500.0,50800.0,55500.0,483541
2020-03-26,56500.0,60800.0,54600.0,57000.0,577144
2020-03-27,60600.0,60700.0,55800.0,57900.0,330902
2020-03-30,56900.0,58500.0,54000.0,57400.0,303179
2020-03-31,57200.0,58300.0,56400.0,57800.0,294103
2020-04-01,56000.0,57500.0,55100.0,55200.0,260432
2020-04-02,55200.0,58700.0,54700.0,57600.0,235015
2020-04-03,57300.0,57400.0,55800.0,56200.0,496771
2020-04-06,57400.0,61700.0,56900.0,61700.0,210629
2020-04-07,61400.0,64400.0,61000.0,64400.0,270638
2020-04-08,66300.0,66300.0,62800.0,64300.0,240023
2020-04-09,65300.0,66300.0,63700.0,64200.0,323307
2020-04-10,64100.0,64700.0,63600.0,63900.0,143032
2020-04-13,63000.0,63500.0,62200.0,62500.0,126386
2020-04-14,62300.0,63000.0,61800.0,62000.0,214211
2020-04-16,60500.0,61900.0,59600.0,60400.0,363810
2020-04-17,60100.0,62200.0,60100.0,61700.0,344857
2020-04-20,61100.0,62400.0,59800.0,60100.0,330590
2020-04-21,60000.0,60800.0,58100.0,59500.0,319172
2020-04-22,59000.0,60100.0,58300.0,59900.0,236924
2020-04-23,59300.0,60700.0,59300.0,60100.0,280264
2020-04-24,60500.0,61000.0,59000.0,59400.0,204901
2020-04-27,59000.0,60500.0,59000.0,59800.0,172843
2020-04-28,60500.0,60600.0,59200.0,59800.0,205668
2020-04-29,60100.0,62800.0,59500.0,61400.0,415569
2020-05-04,61400.0,61500.0,59000.0,60000.0,437209
2020-05-06,60300.0,61000.0,59900.0,60300.0,289443
2020-05-07,60100.0,62000.0,59900.0,60800.0,265052
2020-05-08,61900.0,62400.0,61400.0,61800.0,192154
2020-05-11,62800.0,66400.0,62800.0,64400.0,545127
2020-05-12,64800.0,64800.0,60900.0,60900.0,421301
2020-05-13,60100.0,62500.0,60000.0,62000.0,346324
2020-05-14,61900.0,62200.0,61200.0,62100.0,279560
2020-05-15,62900.0,63200.0,61100.0,61800.0,229641
2020-05-18,62700.0,62700.0,60200.0,60800.0,336121
2020-05-19,62000.0,62700.0,61300.0,62700.0,486186
2020-05-20,62700.0,63300.0,62600.0,62700.0,196563
2020-05-21,63000.0,65700.0,62900.0,65600.0,432406
2020-05-22,65600.0,65700.0,63600.0,64200.0,213086
2020-05-25,64500.0,64500.0,62600.0,63400.0,155634
2020-05-26,64300.0,72000.0,63600.0,70500.0,720117
2020-05-27,69300.0,70300.0,67700.0,70000.0,352139
2020-05-28,69000.0,69100.0,66600.0,66800.0,422884
2020-05-29,66600.0,69700.0,66500.0,66600.0,727273
