date,open,high,low,close,volume
2020-01-02,6120.0,6190.0,6080.0,6180.0,6018
2020-01-03,6180.0,6200.0,6150.0,6200.0,6437
2020-01-06,6250.0,6260.0,6140.0,6190.0,2783
2020-01-07,6230.0,6230.0,6140.0,6190.0,2321
2020-01-08,6190.0,6190.0,5930.0,5950.0,7425
2020-01-09,5960.0,6200.0,5960.0,6120.0,4794
2020-01-10,6120.0,6180.0,6080.0,6110.0,3171
2020-01-13,6180.0,6180.0,6110.0,6140.0,3966
2020-01-14,6140.0,6140.0,6030.0,6120.0,5079
2020-01-15,6120.0,6130.0,6060.0,6090.0,2737
2020-01-16,6090.0,6250.0,6020.0,6120.0,3949
2020-01-17,6120.0,6130.0,6070.0,6080.0,8089
2020-01-20,6160.0,6210.0,6070.0,6100.0,4700
2020-01-21,6100.0,6130.0,6020.0,6020.0,5868
2020-01-22,6020.0,6090.0,6000.0,6080.0,4979
2020-01-23,6080.0,6180.0,6020.0,6170.0,10807
2020-01-28,6100.0,6120.0,6000.0,6100.0,10170
2020-01-29,6020.0,6100.0,5860.0,6050.0,15909
2020-01-30,6050.0,6100.0,5950.0,5950.0,5631
2020-01-31,6010.0,6040.0,5850.0,5850.0,3084
2020-02-03,5800.0,5920.0,5750.0,5890.0,8980
2020-02-04,5830.0,6020.0,5830.0,5990.0,5911
2020-02-05,5980.0,6040.0,5850.0,6040.0,2492
2020-02-06,6030.0,6040.0,5900.0,5990.0,7007
2020-02-07,5990.0,6070.0,5920.0,6000.0,5814
2020-02-10,5960.0,6000.0,5910.0,5940.0,2632
2020-02-11,5940.0,5940.0,5870.0,5900.0,3316
2020-02-12,5900.0,5910.0,5790.0,5870.0,8037
2020-02-13,5870.0,5900.0,5810.0,5870.0,4506
2020-02-14,5770.0,5860.0,5770.0,5850.0,3427
2020-02-17,5850.0,5890.0,5700.0,5810.0,7365
2020-02-18,5810.0,5850.0,5780.0,5850.0,3598
2020-02-19,5900.0,5900.0,5780.0,5850.0,973
2020-02-20,5850.0,5850.0,5710.0,5820.0,4089
2020-02-21,5820.0,5820.0,5650.0,5790.0,4475
2020-02-24,5760.0,5760.0,5570.0,5630.0,4141
2020-02-25,5630.0,5690.0,5530.0,5620.0,4154
2020-02-26,5530.0,5600.0,5500.0,5600.0,3714
2020-02-27,5600.0,5600.0,5460.0,5540.0,1587
2020-02-28,5540.0,5540.0,5310.0,5490.0,3728
2020-03-02,5480.0,5570.0,5300.0,5400.0,3870
2020-03-03,5400.0,5550.0,5400.0,5550.0,2220
2020-03-04,5530.0,5530.0,5420.0,5450.0,4607
2020-03-05,5450.0,5480.0,5390.0,5470.0,1375
2020-03-06,5470.0,5470.0,5270.0,5440.0,2548
2020-03-09,5330.0,5440.0,5150.0,5260.0,14611
2020-03-10,5260.0,5620.0,5030.0,5620.0,13157
2020-03-11,5580.0,5580.0,5200.0,5230.0,6803
2020-03-12,5230.0,5230.0,4900.0,5200.0,7682
2020-03-13,4700.0,5170.0,4660.0,5090.0,42666
2020-03-16,5090.0,5100.0,4840.0,4900.0,11019
2020-03-17,4900.0,4900.0,4325.0,4660.0,7638
2020-03-18,4750.0,4750.0,4575.0,4575.0,3435
2020-03-19,4575.0,4590.0,4090.0,4200.0,10637
2020-03-20,4010.0,4350.0,4010.0,4350.0,23772
2020-03-23,3920.0,4200.0,3915.0,4195.0,4892
2020-03-24,4100.0,4275.0,4100.0,4240.0,5794
2020-03-25,4265.0,4370.0,4190.0,4235.0,24740
2020-03-26,4235.0,4440.0,4190.0,4230.0,29000
2020-03-27,4250.0,4395.0,4250.0,4330.0,7299
2020-03-30,4205.0,4330.0,4205.0,4325.0,10186
2020-03-31,4325.0,4500.0,4325.0,4465.0,10645
2020-04-01,4440.0,4870.0,4430.0,4545.0,13495
2020-04-02,4545.0,4645.0,4270.0,4535.0,24356
2020-04-03,4535.0,4600.0,4450.0,4535.0,9525
2020-04-06,4560.0,4690.0,4535.0,4680.0,5777
2020-04-07,4630.0,4715.0,4630.0,4715.0,6372
2020-04-08,4715.0,4850.0,4715.0,4850.0,6702
2020-04-09,4850.0,5160.0,4850.0,5050.0,8755
2020-04-10,5050.0,5050.0,4855.0,4950.0,4572
