date,open,high,low,close,volume
2020-01-02,4750.0,4750.0,4620.0,4665.0,56242
2020-01-03,4715.0,4720.0,4635.0,4680.0,35034
2020-01-06,4630.0,4685.0,4525.0,4535.0,87412
2020-01-07,4575.0,4615.0,4515.0,4580.0,101852
2020-01-08,4580.0,4580.0,4245.0,4280.0,133350
2020-01-09,4440.0,4460.0,4340.0,4450.0,46799
2020-01-10,4450.0,4480.0,4400.0,4465.0,30880
2020-01-13,4430.0,4540.0,4430.0,4525.0,35929
2020-01-14,4560.0,4590.0,4415.0,4555.0,76291
2020-01-15,4555.0,4595.0,4455.0,4550.0,55950
2020-01-16,4550.0,4640.0,4550.0,4600.0,19533
2020-01-17,4635.0,4665.0,4550.0,4590.0,26212
2020-01-20,4600.0,4600.0,4500.0,4550.0,44712
2020-01-21,4505.0,4550.0,4495.0,4495.0,24013
2020-01-22,4550.0,4550.0,4490.0,4520.0,21474
2020-01-23,4555.0,4555.0,4450.0,4500.0,27517
2020-01-28,4300.0,4380.0,4275.0,4300.0,63219
2020-01-29,4305.0,4365.0,4255.0,4365.0,34800
2020-01-30,4360.0,4360.0,4250.0,4265.0,36738
2020-01-31,4330.0,4330.0,4175.0,4230.0,64723
2020-02-03,4145.0,4210.0,4070.0,4170.0,46544
2020-02-04,4170.0,4335.0,4170.0,4320.0,21730
2020-02-05,4320.0,4390.0,4280.0,4280.0,17689
2020-02-06,4280.0,4395.0,4280.0,4365.0,21835
2020-02-07,4320.0,4360.0,4295.0,4305.0,10531
2020-02-10,4305.0,4390.0,4240.0,4350.0,15143
2020-02-11,4350.0,4375.0,4295.0,4330.0,24394
2020-02-12,4290.0,4370.0,4270.0,4305.0,33653
2020-02-13,4350.0,4355.0,4280.0,4325.0,25548
2020-02-14,4340.0,4380.0,4265.0,4280.0,59181
2020-02-17,4290.0,4300.0,4245.0,4280.0,32509
2020-02-18,4250.0,4285.0,4170.0,4210.0,52375
2020-02-19,4245.0,4245.0,4110.0,4170.0,51694
2020-02-20,4140.0,4170.0,4030.0,4100.0,72651
2020-02-21,4010.0,4070.0,3980.0,3985.0,60007
2020-02-24,3940.0,3940.0,3800.0,3870.0,69897
2020-02-25,3950.0,3960.0,3830.0,3960.0,44115
2020-02-26,3960.0,3960.0,3885.0,3950.0,17217
2020-02-27,3955.0,4040.0,3835.0,3885.0,59492
2020-02-28,3845.0,3885.0,3660.0,3660.0,76058
2020-03-02,3620.0,3735.0,3620.0,3720.0,49080
2020-03-03,3760.0,4000.0,3735.0,3980.0,106623
2020-03-04,3985.0,4025.0,3890.0,3990.0,40225
2020-03-05,3990.0,4025.0,3930.0,3950.0,22721
2020-03-06,3930.0,3940.0,3815.0,3860.0,18104
2020-03-09,3800.0,3855.0,3650.0,3710.0,44693
2020-03-10,3580.0,3780.0,3560.0,3770.0,74969
2020-03-11,3770.0,3770.0,3530.0,3550.0,109936
2020-03-12,3500.0,3535.0,3180.0,3250.0,114348
2020-03-13,3040.0,3070.0,2800.0,2990.0,204292
2020-03-16,2965.0,3070.0,2900.0,2980.0,52431
2020-03-17,2785.0,2945.0,2785.0,2940.0,90692
2020-03-18,2945.0,3005.0,2780.0,2835.0,41474
2020-03-19,2800.0,2855.0,2110.0,2145.0,207879
2020-03-20,2085.0,2250.0,2085.0,2250.0,137127
2020-03-23,2010.0,2120.0,2010.0,2060.0,149149
2020-03-24,2095.0,2210.0,2095.0,2210.0,49446
2020-03-25,2300.0,2460.0,2250.0,2450.0,213869
2020-03-26,2450.0,2650.0,2420.0,2635.0,150594
2020-03-27,2700.0,2740.0,2560.0,2645.0,96907
2020-03-30,2580.0,2670.0,2515.0,2670.0,57875
2020-03-31,2715.0,2785.0,2670.0,2760.0,93908
2020-04-01,2745.0,3055.0,2710.0,2790.0,103610
2020-04-02,2750.0,2800.0,2715.0,2795.0,71552
2020-04-03,2795.0,2830.0,2755.0,2825.0,74873
2020-04-06,2845.0,2900.0,2825.0,2895.0,43101
2020-04-07,2915.0,3015.0,2855.0,3000.0,132858
2020-04-08,3030.0,3055.0,2950.0,3040.0,55195
2020-04-09,3045.0,3170.0,3045.0,3150.0,44040
2020-04-10,3190.0,3235.0,3025.0,3115.0,83299
2020-04-13,3110.0,3110.0,2970.0,3030.0,54981
2020-04-14,3025.0,3130.0,2985.0,3100.0,43128
2020-04-16,3050.0,3165.0,3040.0,3160.0,32017
2020-04-17,3165.0,3265.0,3160.0,3210.0,51692
2020-04-20,3230.0,3375.0,3200.0,3320.0,95042
2020-04-21,3350.0,3400.0,3065.0,3250.0,84164
2020-04-22,3210.0,3260.0,3125.0,3260.0,38752
2020-04-23,3275.0,3495.0,3265.0,3480.0,138416
2020-04-24,3525.0,3525.0,3310.0,3385.0,45677
2020-04-27,3385.0,3415.0,3345.0,3405.0,41600
2020-04-28,3405.0,3485.0,3350.0,3405.0,28640
2020-04-29,3435.0,3500.0,3365.0,3470.0,41284
2020-05-04,3470.0,3470.0,3415.0,3445.0,13252
2020-05-06,3480.0,3480.0,3420.0,3445.0,10562
2020-05-07,3445.0,3500.0,3410.0,3480.0,35925
2020-05-08,3520.0,3520.0,3415.0,3480.0,50655
2020-05-11,3520.0,3520.0,3435.0,3435.0,45688
2020-05-12,3435.0,3455.0,3300.0,3400.0,26489
2020-05-13,3390.0,3410.0,3330.0,3390.0,18940
2020-05-14,3335.0,3385.0,3275.0,3280.0,59209
2020-05-15,3285.0,3330.0,3250.0,3290.0,26390
2020-05-18,3270.0,3295.0,3160.0,3265.0,49919
2020-05-19,3285.0,3375.0,3265.0,3375.0,32394
2020-05-20,3375.0,3460.0,3340.0,3440.0,31182
2020-05-21,3480.0,3935.0,3470.0,3710.0,772882
2020-05-22,3735.0,3795.0,3580.0,3710.0,132237
2020-05-25,3735.0,3745.0,3630.0,3745.0,70208
2020-05-26,3820.0,4165.0,3760.0,4095.0,707745
2020-05-27,4100.0,4320.0,4030.0,4130.0,435741
2020-05-28,4175.0,4180.0,3915.0,4020.0,127046
2020-05-29,4105.0,4105.0,3915.0,3940.0,98122
2020-06-01,3760.0,4050.0,3715.0,4050.0,280926
2020-06-02,4060.0,4060.0,3955.0,4000.0,63097
2020-06-03,4000.0,4070.0,3950.0,4025.0,58474
2020-06-04,4025.0,4050.0,3905.0,4050.0,87990
2020-06-05,4070.0,4475.0,4000.0,4135.0,660976
2020-06-08,4135.0,4140.0,4055.0,4110.0,64085
2020-06-09,4110.0,4145.0,4040.0,4080.0,62152
2020-06-10,4080.0,4085.0,4000.0,4035.0,66498
2020-06-11,4035.0,4095.0,3980.0,4000.0,72980
2020-06-12,3800.0,3870.0,3695.0,3860.0,93323
2020-06-15,3875.0,3875.0,3520.0,3645.0,136329
2020-06-16,3760.0,3790.0,3700.0,3785.0,89297
2020-06-17,3775.0,3775.0,3595.0,3725.0,146875
2020-06-18,3720.0,3740.0,3650.0,3715.0,47081
2020-06-19,3745.0,3785.0,3655.0,3770.0,40327
2020-06-22,3790.0,3790.0,3675.0,3735.0,32778
2020-06-23,3750.0,3755.0,3615.0,3665.0,47278
2020-06-24,3695.0,3760.0,3645.0,3730.0,33094
2020-06-25,3675.0,3720.0,3550.0,3660.0,69106
2020-06-26,3700.0,3870.0,3625.0,3770.0,47816
2020-06-29,3750.0,3750.0,3605.0,3695.0,30809
2020-06-30,3750.0,3750.0,3655.0,3720.0,26905
2020-07-01,3755.0,3755.0,3650.0,3650.0,20480
2020-07-02,3635.0,3700.0,3620.0,3645.0,25985
2020-07-03,3645.0,3740.0,3645.0,3705.0,18837
2020-07-06,3755.0,3755.0,3620.0,3730.0,43364
2020-07-07,3750.0,3750.0,3660.0,3660.0,23228
2020-07-08,3660.0,3730.0,3635.0,3655.0,21431
2020-07-09,3650.0,3870.0,3650.0,3850.0,90096
2020-07-10,3915.0,3920.0,3780.0,3830.0,61426
2020-07-13,3860.0,3945.0,3780.0,3925.0,64015
2020-07-14,3885.0,3915.0,3795.0,3855.0,50602
2020-07-15,3895.0,4290.0,3860.0,4165.0,1172236
2020-07-16,4120.0,4195.0,3975.0,4030.0,261712
