date,open,high,low,close,volume
2020-01-02,70481.0,74106.0,69975.0,72590.0,82749
2020-01-03,72571.0,73094.0,70497.0,71038.0,45826
2020-01-06,70498.0,70498.0,66873.0,68442.0,38970
2020-01-07,68423.0,70497.0,67918.0,69487.0,19414
2020-01-08,68947.0,68947.0,65322.0,66368.0,35438
2020-01-09,67901.0,68407.0,67378.0,68442.0,18323
2020-01-10,68947.0,68947.0,67378.0,68442.0,18728
2020-01-13,68947.0,69975.0,68406.0,68947.0,16810
2020-01-14,69469.0,73617.0,68946.0,71038.0,73241
2020-01-15,71021.0,71021.0,69452.0,70516.0,17191
2020-01-16,71021.0,71526.0,69993.0,69993.0,17661
2020-01-17,69975.0,71526.0,69452.0,70516.0,17951
2020-01-20,70480.0,70480.0,68406.0,68947.0,24163
2020-01-21,68947.0,69452.0,67901.0,68442.0,14886
2020-01-22,67901.0,68947.0,67378.0,67919.0,15607
2020-01-23,67901.0,67901.0,66873.0,67919.0,12730
2020-01-28,65844.0,66872.0,65321.0,66890.0,31871
2020-01-29,67378.0,67901.0,66333.0,66368.0,15768
2020-01-30,65844.0,66872.0,64798.0,65339.0,16794
2020-01-31,65321.0,65826.0,64275.0,64816.0,17096
2020-02-03,63248.0,64276.0,61679.0,64294.0,28798
2020-02-04,64275.0,65321.0,63752.0,64816.0,9120
2020-02-05,65322.0,66333.0,64799.0,66368.0,16473
2020-02-06,66349.0,67918.0,66349.0,66890.0,16897
2020-02-07,66873.0,67378.0,64799.0,65845.0,19051
2020-02-10,65321.0,65844.0,64798.0,65339.0,12654
2020-02-11,65826.0,65826.0,64275.0,64816.0,8310
2020-02-12,64798.0,65321.0,63752.0,64816.0,11488
2020-02-13,64798.0,65844.0,64293.0,65339.0,13265
2020-02-14,65321.0,65826.0,64798.0,64816.0,12096
2020-02-17,64798.0,65321.0,63752.0,64816.0,10155
2020-02-18,64798.0,64798.0,63247.0,63788.0,16685
2020-02-19,63770.0,64293.0,62724.0,63265.0,14155
2020-02-20,63248.0,63248.0,61679.0,62220.0,18620
2020-02-21,61678.0,62201.0,59604.0,60668.0,30482
2020-02-24,59099.0,59099.0,55979.0,56520.0,46521
2020-02-25,55474.0,59604.0,55474.0,58594.0,29455
2020-02-26,57531.0,58577.0,57026.0,58072.0,14522
2020-02-27,58053.0,59604.0,57025.0,57043.0,20099
2020-02-28,55962.0,56485.0,53888.0,54429.0,28123
2020-03-02,54934.0,60128.0,54934.0,57549.0,46408
2020-03-03,58577.0,59100.0,57531.0,58072.0,17451
2020-03-04,57531.0,62724.0,57025.0,61191.0,46950
2020-03-05,61678.0,62201.0,60127.0,60668.0,12532
2020-03-06,60633.0,60633.0,58054.0,59100.0,14339
2020-03-09,58559.0,59082.0,56503.0,57549.0,13985
2020-03-10,55457.0,57531.0,54934.0,57549.0,16746
2020-03-11,59082.0,59605.0,55457.0,55998.0,17326
2020-03-12,55457.0,55457.0,53383.0,53924.0,28083
2020-03-13,51309.0,51814.0,49235.0,50804.0,47772
2020-03-16,52355.0,53383.0,50786.0,51327.0,25463
2020-03-17,49235.0,51815.0,47684.0,51850.0,23046
2020-03-18,53906.0,54412.0,49758.0,49776.0,25619
2020-03-19,49758.0,51309.0,45628.0,45628.0,45912
2020-03-20,46655.0,48206.0,46115.0,48224.0,31018
2020-03-23,46656.0,48189.0,45610.0,46656.0,36796
2020-03-24,47683.0,48729.0,47160.0,48224.0,28752
2020-03-25,49235.0,52355.0,48730.0,51327.0,70235
2020-03-26,53383.0,56503.0,51815.0,53924.0,61844
2020-03-27,57008.0,58054.0,52860.0,53924.0,72703
2020-03-30,52355.0,55475.0,51309.0,55475.0,35510
2020-03-31,57530.0,60650.0,56502.0,58594.0,81491
2020-04-01,58054.0,58054.0,55980.0,55998.0,45879
2020-04-02,55457.0,56503.0,53906.0,55998.0,27012
2020-04-03,56502.0,57025.0,54934.0,54969.0,21479
2020-04-06,54934.0,56503.0,54934.0,55998.0,25332
2020-04-07,57530.0,58053.0,55979.0,57043.0,30122
2020-04-08,57025.0,57530.0,55979.0,57043.0,29495
2020-04-09,57531.0,58054.0,56503.0,57549.0,32628
2020-04-10,57530.0,58053.0,55979.0,56520.0,30929
2020-04-13,55962.0,56485.0,54428.0,54429.0,50598
2020-04-14,54428.0,57530.0,53905.0,56520.0,60731
2020-04-16,57025.0,57530.0,55474.0,57043.0,24924
2020-04-17,39911.0,57026.0,39911.0,43554.0,1356689
2020-04-20,43536.0,47666.0,41967.0,43031.0,360460
2020-04-21,43012.0,43012.0,38882.0,40451.0,246067
2020-04-22,39893.0,40416.0,36791.0,37837.0,174127
2020-04-23,38865.0,39911.0,38342.0,38883.0,122000
2020-04-24,38882.0,38882.0,37836.0,38377.0,59524
2020-04-27,38882.0,39387.0,37313.0,38377.0,69675
2020-04-28,38359.0,38359.0,37313.0,38377.0,48794
2020-04-29,38360.0,49758.0,37837.0,41480.0,1572645
2020-05-04,41462.0,47161.0,41462.0,43554.0,516978
2020-05-06,44059.0,45610.0,41985.0,43554.0,257008
2020-05-07,44041.0,44041.0,42490.0,43031.0,80286
2020-05-08,43536.0,44041.0,42490.0,43031.0,57710
2020-05-11,43013.0,43536.0,41480.0,41480.0,58475
2020-05-12,41480.0,42508.0,40434.0,41480.0,55373
2020-05-13,40957.0,41480.0,40434.0,41480.0,45704
2020-05-14,41462.0,47161.0,40957.0,43554.0,412660
2020-05-15,41967.0,43012.0,40956.0,42002.0,123613
2020-05-18,42996.0,44041.0,41967.0,43031.0,69079
