date,open,high,low,close,volume
2020-01-02,4530.0,4535.0,4440.0,4460.0,1079464
2020-01-03,4460.0,4555.0,4440.0,4500.0,921814
2020-01-06,4450.0,4450.0,4320.0,4380.0,1140640
2020-01-07,4425.0,4430.0,4355.0,4410.0,1002069
2020-01-08,4340.0,4395.0,4200.0,4250.0,2046417
2020-01-09,4330.0,4335.0,4270.0,4320.0,791601
2020-01-10,4280.0,4370.0,4260.0,4345.0,1067380
2020-01-13,4330.0,4345.0,4270.0,4300.0,1170163
2020-01-14,4335.0,4345.0,4265.0,4345.0,1120857
2020-01-15,4340.0,4375.0,4305.0,4370.0,889063
2020-01-16,4380.0,4385.0,4290.0,4310.0,946821
2020-01-17,4310.0,4325.0,4280.0,4310.0,745300
2020-01-20,4310.0,4320.0,4270.0,4285.0,807108
2020-01-21,4285.0,4290.0,4235.0,4240.0,703768
2020-01-22,4275.0,4300.0,4235.0,4280.0,743396
2020-01-23,4250.0,4330.0,4230.0,4275.0,802453
2020-01-28,4155.0,4185.0,4010.0,4015.0,1865123
2020-01-29,4035.0,4065.0,4015.0,4040.0,1017629
2020-01-30,4050.0,4090.0,3985.0,4010.0,997920
2020-01-31,4030.0,4035.0,3960.0,3980.0,800621
2020-02-03,3825.0,3950.0,3785.0,3910.0,2004741
2020-02-04,3900.0,4035.0,3900.0,3990.0,917112
2020-02-05,4005.0,4020.0,3905.0,3925.0,911885
2020-02-06,3985.0,4145.0,3985.0,4145.0,1554940
2020-02-07,4120.0,4125.0,4045.0,4065.0,833200
2020-02-10,4035.0,4080.0,3995.0,4050.0,504293
2020-02-11,4070.0,4090.0,4035.0,4080.0,1060948
2020-02-12,4065.0,4105.0,4025.0,4055.0,1078954
2020-02-13,4055.0,4070.0,4005.0,4020.0,1017913
2020-02-14,3995.0,4045.0,3985.0,4040.0,583932
2020-02-17,4040.0,4040.0,3990.0,4030.0,671701
2020-02-18,3985.0,4005.0,3930.0,3960.0,854388
2020-02-19,4045.0,4045.0,3960.0,3965.0,971781
2020-02-20,3955.0,3980.0,3920.0,3920.0,853949
2020-02-21,3840.0,3890.0,3810.0,3825.0,1124368
2020-02-24,3705.0,3735.0,3580.0,3590.0,2087505
2020-02-25,3585.0,3740.0,3585.0,3695.0,1518111
2020-02-26,3665.0,3695.0,3615.0,3655.0,1592413
2020-02-27,3635.0,3940.0,3635.0,3810.0,2634592
2020-02-28,3695.0,3885.0,3680.0,3735.0,2406604
2020-03-02,3750.0,4000.0,3745.0,3795.0,3822458
2020-03-03,3850.0,3995.0,3750.0,3765.0,1863595
2020-03-04,3765.0,3910.0,3705.0,3875.0,1474361
2020-03-05,3885.0,4005.0,3865.0,3995.0,1573098
2020-03-06,3955.0,3960.0,3855.0,3865.0,1130984
2020-03-09,3845.0,3850.0,3720.0,3765.0,1577040
2020-03-10,3720.0,3800.0,3715.0,3745.0,1442832
2020-03-11,3770.0,3945.0,3725.0,3765.0,1931083
2020-03-12,3780.0,3795.0,3555.0,3610.0,2428023
2020-03-13,3250.0,3365.0,2930.0,3200.0,3802691
2020-03-16,3300.0,3340.0,3115.0,3145.0,1313264
2020-03-17,2900.0,3100.0,2800.0,3015.0,1895019
2020-03-18,3050.0,3090.0,2855.0,2855.0,1639843
2020-03-19,2890.0,2940.0,2055.0,2085.0,4853706
2020-03-20,2210.0,2680.0,2170.0,2680.0,5822590
2020-03-23,2300.0,2570.0,2240.0,2470.0,3154139
2020-03-24,2600.0,2620.0,2420.0,2600.0,2494947
2020-03-25,2680.0,2745.0,2625.0,2745.0,2614664
2020-03-26,2770.0,2825.0,2660.0,2730.0,2361870
2020-03-27,2900.0,2920.0,2730.0,2830.0,2515866
2020-03-30,2750.0,2930.0,2710.0,2910.0,1487534
2020-03-31,2950.0,3030.0,2905.0,2955.0,1595884
2020-04-01,2950.0,2990.0,2755.0,2790.0,2148438
2020-04-02,2790.0,2870.0,2745.0,2830.0,1424538
2020-04-03,2820.0,2975.0,2820.0,2960.0,1730221
2020-04-06,3015.0,3255.0,3000.0,3195.0,2338816
2020-04-07,3260.0,3260.0,3075.0,3200.0,1880580
2020-04-08,3180.0,3205.0,3115.0,3120.0,1302916
2020-04-09,3190.0,3190.0,3085.0,3135.0,1253373
2020-04-10,3195.0,3195.0,3035.0,3115.0,1500446
2020-04-13,3075.0,3125.0,3040.0,3060.0,1152999
2020-04-14,3075.0,3210.0,3075.0,3185.0,1422268
2020-04-16,3120.0,3205.0,3110.0,3130.0,1355065
2020-04-17,3130.0,3325.0,3130.0,3260.0,2417820
2020-04-20,3260.0,3420.0,3260.0,3300.0,1978754
2020-04-21,3290.0,3345.0,3120.0,3270.0,1778414
2020-04-22,3265.0,3265.0,3140.0,3205.0,1412027
2020-04-23,3205.0,3480.0,3205.0,3430.0,2883022
2020-04-24,3990.0,4090.0,3360.0,3370.0,16972346
2020-04-27,3385.0,3495.0,3380.0,3485.0,2417806
2020-04-28,3475.0,3480.0,3385.0,3400.0,1948310
2020-04-29,3400.0,3480.0,3395.0,3445.0,1563557
2020-05-04,3325.0,3360.0,3250.0,3260.0,2550541
2020-05-06,3300.0,3380.0,3265.0,3365.0,1328656
2020-05-07,3360.0,3360.0,3315.0,3315.0,906993
2020-05-08,3330.0,3370.0,3320.0,3330.0,1391821
2020-05-11,3330.0,3365.0,3290.0,3290.0,1341704
2020-05-12,3260.0,3285.0,3195.0,3220.0,1499068
