date,open,high,low,close,volume
2020-01-02,5530.0,5640.0,5400.0,5570.0,949431
2020-01-03,5620.0,5660.0,5500.0,5640.0,618341
2020-01-06,5500.0,5640.0,5360.0,5570.0,686772
2020-01-07,5620.0,5730.0,5460.0,5480.0,557821
2020-01-08,5480.0,5670.0,5400.0,5490.0,934839
2020-01-09,5620.0,5810.0,5580.0,5810.0,859976
2020-01-10,5820.0,5840.0,5500.0,5830.0,635473
2020-01-13,5840.0,5840.0,5640.0,5730.0,362951
2020-01-14,5800.0,6040.0,5750.0,5790.0,638764
2020-01-15,5740.0,5830.0,5680.0,5750.0,261366
2020-01-16,5750.0,5890.0,5730.0,5850.0,470891
2020-01-17,5930.0,5930.0,5820.0,5850.0,331107
2020-01-20,5870.0,5950.0,5780.0,5790.0,312634
2020-01-21,5840.0,5840.0,5640.0,5700.0,331519
2020-01-22,5700.0,5850.0,5680.0,5790.0,319872
2020-01-23,5790.0,5790.0,5650.0,5720.0,271590
2020-01-28,5420.0,5490.0,5260.0,5390.0,653320
2020-01-29,5450.0,5500.0,5370.0,5450.0,349712
2020-01-30,5420.0,5470.0,5240.0,5280.0,392283
2020-01-31,5280.0,5500.0,5190.0,5250.0,400036
2020-02-03,5080.0,5340.0,4995.0,5280.0,499856
2020-02-04,5350.0,5460.0,5020.0,5300.0,378976
2020-02-05,5360.0,5410.0,5190.0,5260.0,432249
2020-02-06,5350.0,5360.0,5230.0,5340.0,279271
2020-02-07,5350.0,5350.0,5140.0,5210.0,302874
2020-02-10,5170.0,5170.0,5060.0,5140.0,267845
2020-02-11,5160.0,5270.0,5150.0,5270.0,242110
2020-02-12,5280.0,5370.0,5180.0,5360.0,481676
2020-02-13,5340.0,5390.0,5230.0,5270.0,358622
2020-02-14,5260.0,5420.0,5240.0,5350.0,316617
2020-02-17,5330.0,5430.0,5270.0,5310.0,158896
2020-02-18,5270.0,5270.0,5050.0,5060.0,349356
2020-02-19,5060.0,5130.0,4970.0,5100.0,320369
2020-02-20,5120.0,5220.0,5070.0,5160.0,257647
2020-02-21,5070.0,5170.0,5030.0,5090.0,255439
2020-02-24,4955.0,4960.0,4755.0,4890.0,387901
2020-02-25,4890.0,4995.0,4790.0,4960.0,275841
2020-02-26,4845.0,4935.0,4785.0,4890.0,229260
2020-02-27,4840.0,4910.0,4635.0,4685.0,252617
2020-02-28,4590.0,4650.0,4330.0,4330.0,417697
2020-03-02,4385.0,4615.0,4340.0,4590.0,350856
2020-03-03,4750.0,4790.0,4500.0,4500.0,308163
2020-03-04,4440.0,4630.0,4440.0,4630.0,233163
2020-03-05,4695.0,4695.0,4520.0,4540.0,456257
2020-03-06,4480.0,4520.0,4365.0,4375.0,297498
2020-03-09,4330.0,4335.0,4110.0,4115.0,435644
2020-03-10,4000.0,4280.0,3990.0,4280.0,414998
2020-03-11,4300.0,4300.0,4045.0,4050.0,343194
2020-03-12,4035.0,4070.0,3745.0,3760.0,649542
2020-03-13,3410.0,3755.0,3360.0,3510.0,762409
2020-03-16,3685.0,3850.0,3450.0,3450.0,1654369
