date,open,high,low,close,volume
2020-01-02,27824.0,28743.0,27233.0,28612.0,32452
2020-01-03,28677.0,31367.0,28086.0,31171.0,76571
2020-01-06,30908.0,33730.0,30449.0,32812.0,169027
2020-01-07,32287.0,33993.0,31106.0,33600.0,66452
2020-01-08,33599.0,34518.0,30974.0,33206.0,65307
2020-01-09,33205.0,34386.0,32286.0,33468.0,35614
2020-01-10,32746.0,33796.0,31762.0,32287.0,32754
2020-01-13,32812.0,32812.0,31105.0,31106.0,23950
2020-01-14,31105.0,32286.0,27561.0,29596.0,82492
2020-01-15,29859.0,29859.0,26512.0,26906.0,80492
2020-01-16,26511.0,27758.0,25199.0,25921.0,57464
2020-01-17,25921.0,28218.0,25527.0,27365.0,48714
2020-01-20,27759.0,27955.0,26840.0,27431.0,30188
2020-01-21,27430.0,27430.0,26315.0,26709.0,23311
2020-01-22,26511.0,27561.0,26511.0,26971.0,11078
2020-01-23,26577.0,27168.0,25921.0,25987.0,20706
2020-01-28,25002.0,25593.0,23756.0,24478.0,26232
2020-01-29,24936.0,26774.0,24083.0,24871.0,38197
2020-01-30,24937.0,25134.0,23493.0,23953.0,23679
2020-01-31,23755.0,24214.0,21852.0,22115.0,34390
2020-02-03,21852.0,24871.0,20277.0,24740.0,47115
2020-02-04,25002.0,27495.0,24346.0,25396.0,97429
2020-02-05,25396.0,25725.0,22312.0,23625.0,129712
2020-02-06,23624.0,24411.0,23230.0,23690.0,18537
2020-02-07,23625.0,23953.0,22968.0,23625.0,18014
2020-02-10,23625.0,23690.0,22837.0,23625.0,13755
2020-02-11,23624.0,24740.0,23296.0,24281.0,23384
2020-02-12,24281.0,24281.0,23034.0,23625.0,13963
2020-02-13,24215.0,24281.0,23559.0,23625.0,12400
2020-02-14,23361.0,23690.0,22508.0,22837.0,14178
2020-02-17,22640.0,23231.0,21131.0,22575.0,23441
2020-02-18,22574.0,22574.0,20999.0,21656.0,20056
2020-02-19,21393.0,22837.0,20868.0,22509.0,26912
2020-02-20,22509.0,22705.0,21393.0,21656.0,17692
2020-02-21,21261.0,21852.0,20736.0,20868.0,12969
2020-02-24,20868.0,26775.0,19228.0,26775.0,203367
2020-02-25,26642.0,28874.0,24083.0,28546.0,134043
