date,open,high,low,close,volume
2020-01-02,5761.0,5833.0,5744.0,5778.0,30136
2020-01-03,5794.0,5876.0,5794.0,5852.0,31136
2020-01-06,5793.0,5817.0,5596.0,5638.0,64601
2020-01-07,5645.0,5727.0,5645.0,5679.0,32970
2020-01-08,5677.0,5677.0,5447.0,5580.0,62886
2020-01-09,5685.0,5728.0,5636.0,5695.0,42437
2020-01-10,5711.0,5998.0,5662.0,5868.0,125681
2020-01-13,5867.0,5925.0,5827.0,5893.0,37737
2020-01-14,5892.0,6023.0,5876.0,5976.0,75325
2020-01-15,5966.0,6049.0,5925.0,6016.0,45238
2020-01-16,6016.0,6048.0,5941.0,6033.0,35428
2020-01-17,6016.0,6098.0,5908.0,6033.0,101268
2020-01-20,6031.0,6081.0,5941.0,5976.0,44606
2020-01-21,5917.0,6040.0,5908.0,5926.0,17431
2020-01-22,5974.0,5974.0,5867.0,5976.0,60250
2020-01-23,5966.0,6040.0,5843.0,5926.0,152906
2020-01-28,5734.0,5734.0,5629.0,5671.0,76610
2020-01-29,5678.0,5768.0,5669.0,5687.0,41087
2020-01-30,5685.0,5767.0,5563.0,5605.0,59193
2020-01-31,5611.0,5677.0,5439.0,5473.0,52361
2020-02-03,5398.0,5504.0,5274.0,5473.0,57191
2020-02-04,5504.0,6188.0,5455.0,6000.0,290290
2020-02-05,6072.0,6081.0,5834.0,5910.0,128980
2020-02-06,5916.0,5990.0,5834.0,5877.0,106111
2020-02-07,5917.0,6023.0,5827.0,5967.0,92947
2020-02-10,5958.0,6015.0,5925.0,5976.0,42008
2020-02-11,5999.0,6369.0,5999.0,6248.0,246169
2020-02-12,6264.0,6394.0,6198.0,6338.0,167205
2020-02-13,6329.0,6369.0,6073.0,6141.0,135439
2020-02-14,6098.0,6131.0,5933.0,6000.0,85394
2020-02-17,5999.0,6016.0,5867.0,5950.0,43191
2020-02-18,5925.0,5925.0,5860.0,5877.0,64805
2020-02-19,5892.0,5933.0,5777.0,5893.0,42562
2020-02-20,5899.0,5899.0,5711.0,5770.0,81675
2020-02-21,5734.0,5734.0,5587.0,5588.0,105571
2020-02-24,5455.0,5586.0,5307.0,5407.0,127830
2020-02-25,5324.0,5471.0,5299.0,5464.0,82010
2020-02-26,5340.0,5471.0,5315.0,5440.0,39210
2020-02-27,5447.0,5521.0,5315.0,5366.0,58765
2020-02-28,5348.0,5728.0,5167.0,5192.0,375214
2020-03-02,5117.0,5331.0,5117.0,5209.0,65694
2020-03-03,5430.0,5430.0,5249.0,5308.0,43408
2020-03-04,5282.0,5569.0,5233.0,5407.0,123638
2020-03-05,5471.0,5513.0,5381.0,5456.0,60787
2020-03-06,5381.0,5455.0,5291.0,5291.0,38607
2020-03-09,5192.0,5216.0,5043.0,5060.0,53085
2020-03-10,5026.0,5026.0,4878.0,5020.0,86086
2020-03-11,5018.0,5067.0,4730.0,4814.0,126264
2020-03-12,4746.0,4862.0,4474.0,4492.0,158268
2020-03-13,4186.0,4293.0,3790.0,4063.0,199674
2020-03-16,4045.0,4177.0,3790.0,3792.0,182873
2020-03-17,3457.0,3869.0,3419.0,3870.0,178160
2020-03-18,3832.0,3976.0,3667.0,3667.0,171387
2020-03-19,3691.0,3765.0,2843.0,2926.0,294704
2020-03-20,2966.0,3279.0,2942.0,3264.0,179204
2020-03-23,2933.0,3172.0,2933.0,3152.0,144535
2020-03-24,3205.0,3419.0,3181.0,3404.0,77946
2020-03-25,3494.0,3666.0,3448.0,3598.0,148462
2020-03-26,3679.0,3761.0,3580.0,3643.0,81083
2020-03-27,3790.0,3873.0,3601.0,3709.0,107341
2020-03-30,3617.0,3736.0,3530.0,3726.0,57993
2020-03-31,3865.0,4033.0,3766.0,3931.0,110911
2020-04-01,3931.0,4128.0,3873.0,3907.0,83903
2020-04-02,3898.0,4078.0,3778.0,3948.0,76674
2020-04-03,3997.0,4075.0,3947.0,4051.0,59527
2020-04-06,4251.0,4251.0,4062.0,4220.0,52732
2020-04-07,4302.0,4383.0,4260.0,4352.0,92911
2020-04-08,4318.0,4467.0,4252.0,4368.0,79060
2020-04-09,4449.0,4499.0,4375.0,4385.0,55509
2020-04-10,4392.0,4467.0,4260.0,4401.0,70231
2020-04-13,4400.0,4400.0,4227.0,4245.0,40917
2020-04-14,4367.0,4383.0,4276.0,4311.0,56914
2020-04-16,4342.0,4606.0,4269.0,4541.0,134258
2020-04-17,4656.0,4656.0,4516.0,4525.0,94417
2020-04-20,4549.0,4904.0,4524.0,4871.0,207352
2020-04-21,4927.0,4927.0,4243.0,4649.0,160453
2020-04-22,4565.0,4779.0,4434.0,4772.0,73712
2020-04-23,4854.0,4862.0,4739.0,4764.0,89553
2020-04-24,4763.0,5027.0,4680.0,4706.0,111963
2020-04-27,4755.0,4845.0,4706.0,4772.0,64770
2020-04-28,4788.0,4878.0,4722.0,4772.0,55037
2020-04-29,4772.0,5018.0,4772.0,4863.0,98027
2020-05-04,4887.0,5192.0,4788.0,4970.0,320960
2020-05-06,5010.0,5083.0,4944.0,5020.0,74489
2020-05-07,5026.0,5050.0,4969.0,5020.0,60207
2020-05-08,5083.0,5092.0,5010.0,5044.0,71642
2020-05-11,5183.0,5192.0,5035.0,5126.0,189304
2020-05-12,5126.0,5150.0,4953.0,4970.0,117610
2020-05-13,4878.0,5043.0,4845.0,5003.0,96316
2020-05-14,4986.0,4986.0,4812.0,4830.0,92871
2020-05-15,4878.0,4985.0,4838.0,4921.0,116188
2020-05-18,4937.0,4953.0,4838.0,4896.0,75464
2020-05-19,5009.0,5009.0,4911.0,4978.0,86643
2020-05-20,5002.0,5027.0,4953.0,4962.0,67201
2020-05-21,4986.0,5225.0,4986.0,5069.0,152499
2020-05-22,5067.0,5108.0,4862.0,4888.0,122559
2020-05-25,4887.0,4985.0,4845.0,4946.0,48664
2020-05-26,4961.0,5314.0,4928.0,5152.0,337454
2020-05-27,5215.0,5257.0,5093.0,5185.0,134244
2020-05-28,5167.0,5216.0,4953.0,5036.0,151417
2020-05-29,4977.0,5027.0,4920.0,4970.0,86619
2020-06-01,4969.0,5101.0,4969.0,5060.0,126787
2020-06-02,5060.0,5125.0,5043.0,5110.0,72911
2020-06-03,5150.0,5578.0,5117.0,5481.0,667145
2020-06-04,5563.0,5728.0,5266.0,5333.0,310588
2020-06-05,5332.0,5438.0,5274.0,5383.0,77431
2020-06-08,5471.0,5488.0,5365.0,5390.0,76138
2020-06-09,5389.0,5520.0,5258.0,5350.0,117191
2020-06-10,5281.0,5331.0,5159.0,5185.0,96252
2020-06-11,5182.0,5306.0,5068.0,5077.0,113354
2020-06-12,4911.0,5101.0,4739.0,5102.0,119493
2020-06-15,5100.0,5100.0,4623.0,4748.0,92560
2020-06-16,4845.0,4936.0,4821.0,4888.0,66248
2020-06-17,4820.0,4870.0,4713.0,4789.0,105287
2020-06-18,4828.0,4870.0,4713.0,4781.0,84225
2020-06-19,4788.0,4928.0,4746.0,4863.0,89799
2020-06-22,4887.0,4911.0,4805.0,4904.0,43757
2020-06-23,4960.0,4960.0,4805.0,4822.0,46592
2020-06-24,4919.0,4919.0,4821.0,4855.0,46035
2020-06-25,4788.0,4821.0,4697.0,4698.0,46301
2020-06-26,4722.0,4829.0,4656.0,4673.0,31123
2020-06-29,4672.0,4679.0,4524.0,4541.0,46131
2020-06-30,4630.0,4672.0,4532.0,4583.0,36061
2020-07-01,4614.0,4862.0,4607.0,4698.0,65153
2020-07-02,4762.0,4762.0,4647.0,4723.0,28666
2020-07-03,4845.0,5009.0,4739.0,4946.0,132592
2020-07-06,5002.0,5002.0,4895.0,4946.0,38001
2020-07-07,4986.0,4986.0,4862.0,4904.0,38446
2020-07-08,4895.0,4943.0,4854.0,4913.0,19048
2020-07-09,4927.0,4943.0,4871.0,4888.0,32711
2020-07-10,4829.0,5067.0,4772.0,5011.0,120583
2020-07-13,5084.0,5084.0,4953.0,5036.0,51415
2020-07-14,5035.0,5035.0,4920.0,4970.0,59586
2020-07-15,4969.0,5265.0,4961.0,5176.0,271737
2020-07-16,5174.0,5224.0,4944.0,5020.0,184425
2020-07-17,5018.0,5051.0,4953.0,4978.0,65278
2020-07-20,4977.0,5002.0,4928.0,4978.0,63961
2020-07-21,4969.0,5010.0,4953.0,5003.0,31130
2020-07-22,5018.0,5224.0,4985.0,5119.0,199574
2020-07-23,5191.0,5215.0,5035.0,5110.0,86501
2020-07-24,5108.0,5199.0,5043.0,5077.0,52806
2020-07-27,5126.0,5159.0,5043.0,5126.0,42372
2020-07-28,5282.0,5513.0,5142.0,5168.0,602928
2020-07-29,5281.0,5281.0,5142.0,5185.0,51466
2020-07-30,5191.0,5248.0,5043.0,5086.0,78877
2020-07-31,5051.0,5117.0,5035.0,5060.0,48637
2020-08-03,5068.0,5109.0,4953.0,5003.0,90134
2020-08-04,5010.0,5059.0,4986.0,5011.0,39395
2020-08-05,5010.0,5141.0,5010.0,5053.0,89601
2020-08-06,5076.0,5258.0,5068.0,5258.0,152157
2020-08-07,5306.0,5405.0,5126.0,5143.0,156953
2020-08-10,5192.0,5438.0,5150.0,5317.0,319961
2020-08-11,5447.0,6551.0,5348.0,6470.0,6213946
2020-08-12,6460.0,6658.0,6139.0,6182.0,2894714
2020-08-13,6213.0,6255.0,5851.0,5959.0,868488
2020-08-14,5957.0,5957.0,5728.0,5860.0,425768
2020-08-18,5801.0,5801.0,5225.0,5357.0,427908
2020-08-19,5365.0,5546.0,5365.0,5489.0,222584
2020-08-20,5497.0,5497.0,5183.0,5333.0,302200
2020-08-21,5332.0,5438.0,5183.0,5350.0,162771
2020-08-24,5282.0,5620.0,5142.0,5555.0,209372
2020-08-25,5553.0,5661.0,5521.0,5547.0,168302
2020-08-26,5619.0,5619.0,5398.0,5506.0,137991
2020-08-27,5513.0,5554.0,5307.0,5357.0,117898
2020-08-28,5315.0,5488.0,5315.0,5350.0,102847
2020-08-31,5365.0,5628.0,5357.0,5539.0,125364
2020-09-01,5537.0,5727.0,5504.0,5720.0,224369
2020-09-02,5719.0,6287.0,5678.0,5976.0,2161407
2020-09-03,5860.0,5933.0,5711.0,5794.0,570495
2020-09-04,5537.0,5751.0,5521.0,5712.0,220622
2020-09-07,5711.0,5950.0,5645.0,5885.0,275896
2020-09-08,5990.0,6089.0,5735.0,5737.0,493212
2020-09-09,5636.0,5727.0,5612.0,5712.0,131036
2020-09-10,5728.0,5859.0,5711.0,5836.0,226665
2020-09-11,5827.0,5892.0,5768.0,5844.0,117055
2020-09-14,5850.0,5925.0,5810.0,5844.0,209394
2020-09-15,5908.0,6204.0,5843.0,6042.0,1069477
2020-09-16,6057.0,6065.0,5851.0,5893.0,291395
2020-09-17,5851.0,5941.0,5777.0,5852.0,218223
2020-09-18,5834.0,5908.0,5794.0,5910.0,151573
2020-09-21,5973.0,6039.0,5785.0,5868.0,200975
2020-09-22,5859.0,5859.0,5686.0,5712.0,251236
2020-09-23,5809.0,5867.0,5620.0,5728.0,167467
2020-09-24,5612.0,5794.0,5563.0,5563.0,190904
2020-09-25,5569.0,5661.0,5439.0,5514.0,108891
2020-09-28,5546.0,5686.0,5546.0,5629.0,44561
2020-09-29,5669.0,5801.0,5596.0,5761.0,107454
2020-10-05,5760.0,5892.0,5711.0,5819.0,119091
2020-10-06,5892.0,5892.0,5767.0,5819.0,93724
2020-10-07,5785.0,5876.0,5785.0,5819.0,71626
2020-10-08,5860.0,5965.0,5810.0,5934.0,273456
2020-10-12,5958.0,6032.0,5860.0,5885.0,184671
2020-10-13,5892.0,5941.0,5834.0,5901.0,108764
2020-10-14,5899.0,5916.0,5794.0,5836.0,77256
2020-10-15,5809.0,5833.0,5686.0,5737.0,94175
2020-10-16,5734.0,5767.0,5596.0,5679.0,79105
2020-10-19,5645.0,5711.0,5620.0,5654.0,90463
2020-10-20,5636.0,5694.0,5504.0,5646.0,84193
2020-10-21,5636.0,5884.0,5636.0,5852.0,135360
2020-10-22,5850.0,5916.0,5768.0,5844.0,110866
2020-10-23,5884.0,5965.0,5794.0,5910.0,202799
2020-10-26,5892.0,5958.0,5678.0,5679.0,122210
2020-10-27,5635.0,5677.0,5504.0,5572.0,114773
2020-10-28,5570.0,5661.0,5554.0,5646.0,39219
2020-10-29,5546.0,5587.0,5439.0,5530.0,176236
2020-10-30,5529.0,5537.0,5307.0,5317.0,146441
2020-11-02,5340.0,5479.0,5299.0,5448.0,75579
2020-11-03,5447.0,5529.0,5447.0,5514.0,31596
2020-11-04,5512.0,5578.0,5480.0,5481.0,75736
2020-11-05,5496.0,5570.0,5496.0,5555.0,39963
2020-11-06,5586.0,5586.0,5488.0,5506.0,39643
2020-11-09,5530.0,5728.0,5504.0,5695.0,114153
2020-11-10,5702.0,5867.0,5678.0,5794.0,168670
2020-11-11,5810.0,5867.0,5727.0,5852.0,121903
2020-11-12,5866.0,5908.0,5785.0,5827.0,72794
2020-11-13,5842.0,5842.0,5719.0,5770.0,67489
2020-11-16,5768.0,6049.0,5768.0,5959.0,370609
2020-11-17,5941.0,6006.0,5818.0,5860.0,112907
2020-11-18,5859.0,5900.0,5768.0,5827.0,124087
2020-11-19,5827.0,5827.0,5727.0,5761.0,126395
2020-11-20,5768.0,5810.0,5727.0,5761.0,91383
2020-11-23,5761.0,5949.0,5735.0,5934.0,204710
2020-11-24,6148.0,6329.0,6057.0,6058.0,791437
2020-11-25,6082.0,6181.0,5958.0,6016.0,223002
2020-11-26,6015.0,6048.0,5966.0,6009.0,62992
2020-11-27,6007.0,6099.0,5958.0,5992.0,82227
2020-11-30,6090.0,6156.0,5974.0,6058.0,159782
2020-12-01,6198.0,6411.0,6099.0,6322.0,713605
2020-12-02,6395.0,6403.0,6238.0,6322.0,292023
2020-12-03,6402.0,6402.0,6271.0,6338.0,166175
2020-12-04,6329.0,7705.0,6296.0,6841.0,2733242
2020-12-07,6979.0,6979.0,6717.0,6841.0,617966
2020-12-08,6839.0,6848.0,6568.0,6578.0,363183
2020-12-09,6552.0,6923.0,6552.0,6923.0,548357
2020-12-10,6840.0,6914.0,6766.0,6849.0,189246
2020-12-11,6989.0,6989.0,6758.0,6791.0,321577
2020-12-14,6750.0,6791.0,6651.0,6684.0,142512
2020-12-15,6700.0,6840.0,6626.0,6717.0,173163
2020-12-16,6758.0,7046.0,6733.0,6981.0,611894
2020-12-17,6989.0,7187.0,6939.0,7014.0,463373
2020-12-18,7045.0,7045.0,6840.0,6932.0,296240
2020-12-21,6889.0,6922.0,6766.0,6866.0,119961
2020-12-22,6831.0,6864.0,6510.0,6569.0,281303
2020-12-23,6617.0,6716.0,6345.0,6404.0,177126
2020-12-24,6468.0,6526.0,6354.0,6380.0,95576
2020-12-28,6419.0,6460.0,6337.0,6338.0,117747
2020-12-29,6534.0,6534.0,6354.0,6479.0,77715
2020-12-30,6476.0,6831.0,6476.0,6660.0,222758
2021-01-04,6717.0,6725.0,6593.0,6618.0,216370
2021-01-05,6593.0,6946.0,6585.0,6841.0,592276
2021-01-06,7310.0,7994.0,7178.0,7179.0,3158856
2021-01-07,7178.0,7358.0,7178.0,7336.0,367152
2021-01-08,7490.0,7490.0,7178.0,7253.0,615337
2021-01-11,7310.0,7581.0,6831.0,7088.0,835418
2021-01-12,7087.0,7193.0,6939.0,7072.0,227507
2021-01-13,7104.0,7160.0,7013.0,7130.0,146918
2021-01-14,7137.0,7342.0,7046.0,7327.0,384177
2021-01-15,7350.0,7384.0,6980.0,7014.0,402193
2021-01-18,6988.0,7103.0,6766.0,6767.0,286290
2021-01-19,6791.0,7169.0,6758.0,7031.0,256599
2021-01-20,7087.0,7202.0,6947.0,7031.0,210376
2021-01-21,7079.0,7210.0,6972.0,7171.0,176959
2021-01-22,7186.0,7260.0,7121.0,7179.0,207263
2021-01-25,7187.0,7211.0,7104.0,7146.0,192034
2021-01-26,7227.0,7351.0,7104.0,7220.0,302280
2021-01-27,7219.0,7219.0,7046.0,7064.0,222006
2021-01-28,6929.0,6955.0,6741.0,6743.0,221666
2021-01-29,6840.0,6890.0,6387.0,6594.0,224978
2021-02-01,6519.0,6740.0,6420.0,6701.0,144489
2021-02-02,6740.0,6790.0,6684.0,6710.0,116078
2021-02-03,6717.0,6947.0,6717.0,6849.0,141344
2021-02-04,6946.0,6946.0,6840.0,6841.0,133615
2021-02-05,6856.0,6962.0,6807.0,6833.0,55411
2021-02-08,6831.0,6929.0,6790.0,6824.0,68331
2021-02-09,6840.0,7046.0,6823.0,6923.0,170067
2021-02-10,6923.0,7103.0,6897.0,7072.0,211063
2021-02-15,7112.0,7121.0,7029.0,7088.0,98659
2021-02-16,7104.0,7607.0,7104.0,7550.0,874456
2021-02-17,7680.0,7795.0,7293.0,7468.0,720375
2021-02-18,7548.0,7623.0,7301.0,7402.0,283945
2021-02-19,7466.0,7663.0,7310.0,7641.0,598190
2021-02-22,7722.0,8076.0,7582.0,7839.0,1304765
2021-02-23,7689.0,7870.0,7400.0,7418.0,552157
2021-02-24,7424.0,7507.0,6758.0,7064.0,322773
2021-02-25,7236.0,7829.0,7161.0,7747.0,940721
2021-02-26,7483.0,8060.0,7358.0,7624.0,924288
2021-03-02,7681.0,7705.0,7268.0,7319.0,392689
2021-03-03,7277.0,7705.0,7277.0,7633.0,345594
2021-03-04,7574.0,7870.0,7433.0,7591.0,391919
2021-03-05,7591.0,7820.0,7293.0,7773.0,813817
2021-03-08,7795.0,7812.0,7433.0,7435.0,325935
2021-03-09,7433.0,7515.0,7235.0,7435.0,226631
2021-03-10,7515.0,7540.0,7277.0,7303.0,145865
2021-03-11,7293.0,7465.0,7293.0,7402.0,123735
2021-03-12,7515.0,7515.0,7425.0,7492.0,139986
2021-03-15,7499.0,7606.0,7433.0,7525.0,119936
2021-03-16,7541.0,7696.0,7516.0,7558.0,203995
2021-03-17,7499.0,7657.0,7483.0,7591.0,211490
2021-03-18,7911.0,7920.0,7675.0,7723.0,158841
2021-03-19,7741.0,8080.0,7675.0,7968.0,169958
2021-03-22,8099.0,8335.0,7967.0,8184.0,377146
2021-03-23,8193.0,8193.0,7892.0,7911.0,173981
2021-03-24,7911.0,7977.0,7770.0,7902.0,75297
2021-03-25,7939.0,7958.0,7760.0,7817.0,99080
2021-03-26,7798.0,7930.0,7779.0,7855.0,66100
2021-03-29,7901.0,8231.0,7798.0,8005.0,187662
2021-03-30,8099.0,8099.0,7939.0,7987.0,80408
2021-03-31,7996.0,8127.0,7977.0,8062.0,124988
2021-04-01,8061.0,8146.0,7958.0,7996.0,69106
2021-04-02,8005.0,8005.0,7854.0,7958.0,116288
2021-04-05,8005.0,8269.0,7958.0,8128.0,215219
2021-04-06,8193.0,8316.0,8043.0,8279.0,188493
2021-04-07,8335.0,8335.0,8118.0,8241.0,124067
2021-04-08,8222.0,8306.0,8165.0,8288.0,121817
2021-04-09,8335.0,8344.0,8203.0,8250.0,67480
2021-04-12,8231.0,8306.0,8146.0,8269.0,194139
2021-04-13,8316.0,8335.0,8156.0,8203.0,138448
2021-04-14,8288.0,8288.0,8127.0,8203.0,76082
2021-04-15,8165.0,8203.0,8127.0,8184.0,110247
2021-04-16,8165.0,8231.0,8156.0,8194.0,105165
2021-04-19,8118.0,8127.0,7873.0,7968.0,432311
2021-04-20,7967.0,8024.0,7911.0,8005.0,183681
2021-04-21,8005.0,8005.0,7892.0,7921.0,163326
2021-04-22,7920.0,8024.0,7901.0,8024.0,192205
2021-04-23,8014.0,8457.0,7967.0,8458.0,586230
2021-04-26,8617.0,8768.0,8523.0,8571.0,564377
2021-04-27,8570.0,9408.0,8514.0,9173.0,1662299
2021-04-28,9069.0,9126.0,8429.0,8514.0,799639
2021-04-29,8561.0,9041.0,8419.0,8910.0,791395
2021-04-30,9399.0,10171.0,8994.0,9070.0,1851166
2021-05-03,9154.0,9267.0,8815.0,9004.0,487876
2021-05-04,9088.0,9936.0,9060.0,9607.0,2555062
2021-05-06,9700.0,10360.0,9418.0,10266.0,1516965
2021-05-07,10171.0,10265.0,9700.0,9795.0,854792
2021-05-10,9936.0,10030.0,9700.0,9748.0,531539
2021-05-11,9794.0,11396.0,9465.0,10407.0,4939009
2021-05-12,10501.0,10736.0,9842.0,10077.0,998460
2021-05-13,9747.0,10312.0,9399.0,9465.0,885538
2021-05-14,9559.0,9747.0,9173.0,9465.0,808436
2021-05-17,9653.0,9700.0,9098.0,9145.0,687598
2021-05-18,9126.0,9512.0,9098.0,9249.0,429453
2021-05-20,9163.0,9239.0,8636.0,8674.0,735888
2021-05-21,8730.0,8758.0,8485.0,8486.0,333593
2021-05-24,8476.0,8551.0,8335.0,8410.0,193198
2021-05-25,8514.0,8900.0,8429.0,8655.0,563759
2021-05-26,8683.0,8909.0,8523.0,8900.0,527403
2021-05-27,8919.0,8984.0,8806.0,8881.0,164166
2021-05-28,8984.0,9060.0,8919.0,8919.0,193936
2021-05-31,8966.0,8984.0,8721.0,8731.0,184998
2021-06-01,8777.0,8966.0,8740.0,8797.0,182568
2021-06-02,8834.0,8919.0,8768.0,8863.0,174572
2021-06-03,8871.0,8975.0,8843.0,8872.0,190026
