date,open,high,low,close,volume
2020-01-02,1275.0,1335.0,1275.0,1335.0,177110
2020-01-03,1325.0,1340.0,1290.0,1305.0,155387
2020-01-06,1290.0,1300.0,1210.0,1225.0,249491
2020-01-07,1225.0,1285.0,1215.0,1225.0,96932
2020-01-08,1225.0,1230.0,1120.0,1120.0,390411
2020-01-09,1145.0,1215.0,1145.0,1210.0,179200
2020-01-10,1205.0,1230.0,1195.0,1225.0,80457
2020-01-13,1240.0,1340.0,1225.0,1330.0,287297
2020-01-14,1330.0,1340.0,1265.0,1290.0,605580
2020-01-15,1290.0,1315.0,1210.0,1290.0,268729
2020-01-16,1295.0,1305.0,1240.0,1275.0,206064
2020-01-17,1265.0,1550.0,1255.0,1435.0,4136334
2020-01-20,1435.0,1435.0,1305.0,1310.0,981145
2020-01-21,1295.0,1320.0,1245.0,1290.0,472453
2020-01-22,1285.0,1315.0,1275.0,1305.0,247475
2020-01-23,1310.0,1325.0,1270.0,1305.0,215873
2020-01-28,1220.0,1265.0,1190.0,1265.0,310885
2020-01-29,1255.0,1290.0,1220.0,1250.0,219662
2020-01-30,1250.0,1255.0,1185.0,1205.0,168256
2020-01-31,1205.0,1240.0,1120.0,1130.0,235317
2020-02-03,1110.0,1215.0,1100.0,1180.0,304273
2020-02-04,1180.0,1240.0,1170.0,1240.0,110129
2020-02-05,1245.0,1255.0,1225.0,1250.0,77128
2020-02-06,1250.0,1265.0,1240.0,1265.0,94886
2020-02-07,1265.0,1270.0,1230.0,1270.0,85582
2020-02-10,1275.0,1400.0,1265.0,1350.0,1585939
2020-02-11,1330.0,1365.0,1275.0,1360.0,463697
2020-02-12,1360.0,1360.0,1300.0,1345.0,299303
2020-02-13,1335.0,1400.0,1320.0,1365.0,373257
2020-02-14,1395.0,1485.0,1350.0,1460.0,1323645
2020-02-17,1505.0,1760.0,1480.0,1740.0,6640951
2020-02-18,1660.0,1930.0,1325.0,1655.0,15028128
2020-02-19,1715.0,1900.0,1665.0,1810.0,5915018
2020-02-20,1815.0,1870.0,1605.0,1800.0,3637911
2020-02-21,1740.0,2100.0,1735.0,2000.0,4757197
2020-02-24,1910.0,2025.0,1825.0,1875.0,1909961
2020-02-25,1860.0,1990.0,1845.0,1965.0,1056040
2020-02-26,1940.0,2080.0,1895.0,1940.0,1295867
2020-02-27,1940.0,2030.0,1830.0,1890.0,1223539
2020-02-28,1805.0,1845.0,1620.0,1735.0,1567106
2020-03-02,1765.0,1845.0,1660.0,1830.0,872769
2020-03-03,1890.0,1970.0,1865.0,1900.0,1026701
2020-03-04,1915.0,2470.0,1915.0,2200.0,16568427
2020-03-05,2170.0,2325.0,2100.0,2315.0,1557529
2020-03-06,2305.0,2395.0,2275.0,2395.0,921475
2020-03-09,2460.0,2460.0,2370.0,2370.0,1004873
2020-03-10,2325.0,2570.0,2180.0,2450.0,4802127
2020-03-11,2550.0,3185.0,2540.0,2780.0,23242430
2020-03-12,2790.0,3100.0,2580.0,2930.0,13052777
2020-03-13,2965.0,2990.0,2360.0,2695.0,3981803
2020-03-16,2825.0,2950.0,2535.0,2605.0,3788678
2020-03-17,2600.0,2710.0,2300.0,2435.0,3659757
2020-03-18,2780.0,2845.0,2410.0,2470.0,6695051
2020-03-19,2465.0,2530.0,1730.0,1760.0,4747130
2020-03-20,1860.0,2035.0,1780.0,1940.0,2764323
2020-03-23,1940.0,2130.0,1710.0,1850.0,2975950
2020-03-24,1880.0,2000.0,1855.0,1905.0,1756677
2020-03-25,1935.0,2050.0,1745.0,1930.0,4915808
2020-03-26,2085.0,2210.0,1975.0,1975.0,8136089
2020-03-27,1580.0,1935.0,1535.0,1785.0,17489477
2020-03-30,1720.0,1890.0,1655.0,1790.0,4131477
2020-03-31,1800.0,1895.0,1710.0,1770.0,3875374
2020-04-01,1770.0,1820.0,1685.0,1720.0,2364814
2020-04-02,1705.0,1715.0,1540.0,1615.0,2173467
2020-04-03,1645.0,1930.0,1635.0,1870.0,7833750
2020-04-06,1905.0,2035.0,1835.0,1990.0,5893147
2020-04-07,2020.0,2035.0,1840.0,1855.0,4606828
2020-04-08,1880.0,1995.0,1605.0,1680.0,8850280
2020-04-09,1710.0,1745.0,1610.0,1645.0,2681542
2020-04-10,1640.0,1670.0,1515.0,1565.0,2336889
2020-04-13,1575.0,1585.0,1355.0,1420.0,2978787
2020-04-14,1455.0,1515.0,1420.0,1505.0,1727998
2020-04-16,1540.0,1645.0,1520.0,1605.0,2198224
2020-04-17,1620.0,1725.0,1620.0,1705.0,2070622
2020-04-20,1705.0,1765.0,1655.0,1660.0,1280763
2020-04-21,1515.0,1590.0,1415.0,1505.0,3941272
