date,open,high,low,close,volume
2020-01-02,5126.0,5169.0,5058.0,5118.0,1123302
2020-01-03,5109.0,5186.0,5092.0,5135.0,894985
2020-01-06,5092.0,5092.0,4853.0,4888.0,1494734
2020-01-07,4930.0,5007.0,4922.0,4948.0,828627
2020-01-08,4948.0,4948.0,4598.0,4633.0,1465035
2020-01-09,4734.0,5330.0,4734.0,5041.0,4582321
2020-01-10,5023.0,5168.0,4998.0,5109.0,1064020
2020-01-13,5152.0,5390.0,5075.0,5365.0,3215724
2020-01-14,5382.0,5416.0,5160.0,5195.0,1689716
2020-01-15,4462.0,4939.0,4428.0,4803.0,12064378
2020-01-16,5007.0,5024.0,4794.0,4837.0,4652910
2020-01-17,4802.0,4862.0,4700.0,4743.0,2347726
2020-01-20,4734.0,4734.0,4572.0,4607.0,1662435
2020-01-21,4564.0,4734.0,4555.0,4590.0,1246762
2020-01-22,4522.0,4769.0,4522.0,4769.0,1579961
2020-01-23,4769.0,4990.0,4658.0,4752.0,2657531
2020-01-28,4598.0,4632.0,4530.0,4539.0,1323116
2020-01-29,4555.0,4674.0,4529.0,4581.0,724611
2020-01-30,4564.0,4632.0,4393.0,4445.0,889527
2020-01-31,4598.0,4734.0,4257.0,4309.0,1422966
2020-02-03,4265.0,4657.0,4231.0,4351.0,2635043
2020-02-04,4368.0,4615.0,4368.0,4496.0,1281156
2020-02-05,4512.0,4649.0,4436.0,4564.0,818052
2020-02-06,4632.0,4683.0,4546.0,4615.0,950195
2020-02-07,4615.0,4650.0,4539.0,4633.0,624158
2020-02-10,4658.0,4692.0,4581.0,4658.0,822733
2020-02-11,4598.0,4641.0,4547.0,4573.0,884948
2020-02-12,4572.0,4598.0,4513.0,4590.0,664444
2020-02-13,4598.0,4658.0,4547.0,4556.0,919922
2020-02-14,4496.0,4581.0,4496.0,4505.0,660203
2020-02-17,4505.0,4547.0,4428.0,4505.0,737936
2020-02-18,4505.0,4547.0,4317.0,4386.0,1171123
2020-02-19,4402.0,4649.0,4240.0,4334.0,2773068
2020-02-20,4376.0,4385.0,4163.0,4181.0,1951511
2020-02-21,4113.0,4232.0,4036.0,4045.0,1045057
2020-02-24,3840.0,3950.0,3746.0,3755.0,1638416
2020-02-25,3644.0,3993.0,3644.0,3985.0,1256698
2020-02-26,3916.0,3993.0,3857.0,3934.0,625233
2020-02-27,3934.0,4002.0,3814.0,3832.0,751906
2020-02-28,3687.0,3797.0,3533.0,3602.0,1308369
2020-03-02,3601.0,3687.0,3508.0,3653.0,952512
2020-03-03,3695.0,3874.0,3686.0,3789.0,816972
2020-03-04,3764.0,3892.0,3764.0,3875.0,696403
2020-03-05,3917.0,3994.0,3891.0,3977.0,657606
2020-03-06,4172.0,4232.0,3891.0,3960.0,1930186
2020-03-09,3797.0,3942.0,3746.0,3789.0,1653086
2020-03-10,3730.0,3772.0,3627.0,3696.0,1345583
2020-03-11,3704.0,4317.0,3661.0,3968.0,10205009
2020-03-12,3925.0,4129.0,3763.0,3840.0,5626711
2020-03-13,3490.0,3737.0,2996.0,3329.0,5369638
2020-03-16,3389.0,3457.0,3193.0,3381.0,2762660
2020-03-17,3065.0,3508.0,3056.0,3491.0,5570132
2020-03-18,3534.0,4539.0,3474.0,4539.0,33028364
2020-03-19,4487.0,4641.0,3236.0,3500.0,23111375
2020-03-20,3474.0,3747.0,3125.0,3466.0,13493958
2020-03-23,3354.0,4078.0,3244.0,3457.0,17334447
2020-03-24,3456.0,3686.0,3431.0,3474.0,7726284
2020-03-25,3610.0,3644.0,3448.0,3534.0,8884048
2020-03-26,3559.0,3883.0,3525.0,3764.0,19408078
2020-03-27,3814.0,4521.0,3508.0,4002.0,45444825
2020-03-30,3976.0,4163.0,3814.0,3985.0,12501171
2020-03-31,4095.0,4972.0,4010.0,4530.0,53462651
2020-04-01,4411.0,4555.0,4010.0,4045.0,16587058
2020-04-02,4172.0,4411.0,3866.0,4343.0,13343456
2020-04-03,4547.0,4692.0,4258.0,4667.0,20458684
2020-04-06,4598.0,4793.0,4478.0,4530.0,16039541
2020-04-07,4564.0,4649.0,4351.0,4394.0,13062233
2020-04-08,3431.0,3934.0,3406.0,3815.0,45747709
2020-04-09,3832.0,3883.0,3687.0,3747.0,12442938
2020-04-10,3764.0,3781.0,3457.0,3679.0,12298977
2020-04-13,3679.0,3772.0,3610.0,3679.0,8198666
2020-04-14,3695.0,4010.0,3687.0,3832.0,27358292
2020-04-16,3669.0,4257.0,3542.0,4104.0,79465894
2020-04-17,4002.0,4062.0,3874.0,3960.0,18191555
2020-04-20,4002.0,4275.0,3968.0,4173.0,44748109
2020-04-21,4249.0,4428.0,3508.0,3943.0,54317848
2020-04-22,3840.0,3960.0,3747.0,3960.0,11281607
2020-04-23,3960.0,4053.0,3874.0,3943.0,10917393
2020-04-24,3917.0,4292.0,3866.0,3943.0,49214128
2020-04-27,4079.0,4096.0,3900.0,3943.0,12600654
2020-04-28,4002.0,4010.0,3763.0,3832.0,8745162
2020-04-29,3882.0,3882.0,3788.0,3823.0,4285864
2020-05-04,3950.0,3959.0,3822.0,3840.0,5689179
2020-05-06,3908.0,3951.0,3848.0,3917.0,5246418
2020-05-07,3968.0,4334.0,3934.0,4164.0,28854873
2020-05-08,4138.0,4360.0,4138.0,4360.0,19184822
2020-05-11,4359.0,4359.0,4069.0,4087.0,17011376
2020-05-12,4053.0,4172.0,3951.0,4028.0,6827321
2020-05-13,3959.0,4104.0,3934.0,4028.0,5192431
2020-05-14,3934.0,4053.0,3917.0,3926.0,5084454
2020-05-15,3951.0,4002.0,3831.0,3866.0,5096808
