date,open,high,low,close,volume
2020-01-02,24150.0,25300.0,23700.0,24850.0,1140893
2020-01-03,25500.0,27550.0,25300.0,26700.0,3614426
2020-01-06,26500.0,27100.0,26100.0,26800.0,1619247
2020-01-07,27150.0,27300.0,25550.0,25750.0,1521548
2020-01-08,25350.0,26050.0,24200.0,24300.0,1718988
2020-01-09,25200.0,25350.0,24500.0,25000.0,1007032
2020-01-10,25300.0,25300.0,24300.0,24500.0,805341
2020-01-13,24650.0,25700.0,24450.0,25700.0,882508
2020-01-14,26150.0,26600.0,25700.0,25700.0,1001402
2020-01-15,25700.0,25700.0,25100.0,25150.0,439979
2020-01-16,25500.0,26450.0,25400.0,26450.0,1164501
2020-01-17,26700.0,26800.0,25700.0,25850.0,853588
2020-01-20,26250.0,26850.0,25950.0,26450.0,1040827
2020-01-21,26650.0,26900.0,25850.0,25900.0,637555
2020-01-22,25650.0,26700.0,25650.0,26650.0,800542
2020-01-23,26800.0,27350.0,26550.0,26600.0,1089223
2020-01-28,24800.0,25900.0,24800.0,25850.0,974304
2020-01-29,26150.0,26400.0,25300.0,25300.0,644062
2020-01-30,25200.0,26150.0,24900.0,25200.0,856230
2020-01-31,25350.0,25500.0,23650.0,23700.0,942899
2020-02-03,22900.0,24300.0,22600.0,23650.0,1034681
2020-02-04,24100.0,25150.0,23900.0,25000.0,935067
2020-02-05,25500.0,26300.0,24750.0,25000.0,1172717
2020-02-06,25400.0,25650.0,24750.0,25150.0,436461
2020-02-07,25000.0,25100.0,24600.0,24850.0,378483
2020-02-10,24650.0,25200.0,24400.0,25100.0,404106
2020-02-11,25500.0,25500.0,24700.0,25200.0,445845
2020-02-12,25250.0,26750.0,25050.0,26650.0,1315692
2020-02-13,27100.0,27150.0,26100.0,26500.0,929834
2020-02-14,26250.0,28850.0,26250.0,27950.0,2727986
2020-02-17,28150.0,28550.0,27750.0,28500.0,1087942
2020-02-18,28500.0,29800.0,27900.0,28050.0,1916901
2020-02-19,28800.0,31500.0,28600.0,31250.0,4621047
2020-02-20,31650.0,32250.0,30500.0,31300.0,2305339
2020-02-21,30400.0,31550.0,30350.0,30900.0,1323570
2020-02-24,29750.0,31500.0,29250.0,30550.0,1827560
2020-02-25,30900.0,31650.0,30300.0,31650.0,1598394
2020-02-26,30800.0,31800.0,30650.0,31350.0,1182278
2020-02-27,31350.0,31750.0,29650.0,29750.0,1682806
2020-02-28,28800.0,30350.0,28400.0,29200.0,2010741
2020-03-02,29700.0,31350.0,29200.0,31300.0,2077907
2020-03-03,32800.0,32950.0,30200.0,30550.0,2717108
2020-03-04,30150.0,33650.0,30100.0,33450.0,3805897
2020-03-05,33900.0,37250.0,33000.0,35850.0,4813006
2020-03-06,35400.0,38300.0,35400.0,37050.0,4242302
2020-03-09,36250.0,37650.0,35750.0,36000.0,3038114
2020-03-10,35800.0,36900.0,33550.0,36150.0,4402928
2020-03-11,35750.0,36000.0,34050.0,34050.0,1965351
2020-03-12,34700.0,35600.0,32700.0,34850.0,3958868
2020-03-13,32900.0,35850.0,31250.0,35100.0,4540232
2020-03-16,35900.0,36050.0,29900.0,29900.0,3279226
2020-03-17,29350.0,32400.0,29100.0,31000.0,5323038
