date,open,high,low,close,volume
2020-01-02,8490.0,8520.0,8410.0,8410.0,13604
2020-01-03,8410.0,8490.0,8400.0,8460.0,9304
2020-01-06,8400.0,8500.0,8340.0,8350.0,27249
2020-01-07,8350.0,8450.0,8300.0,8320.0,20111
2020-01-08,8350.0,8369.0,8120.0,8130.0,28226
2020-01-09,8210.0,8220.0,8100.0,8130.0,21148
2020-01-10,8110.0,8300.0,8110.0,8270.0,18453
2020-01-13,8220.0,8410.0,8220.0,8300.0,18820
2020-01-14,8260.0,8340.0,8230.0,8240.0,10074
2020-01-15,8230.0,8350.0,8230.0,8320.0,8452
2020-01-16,8370.0,8380.0,8300.0,8300.0,8275
2020-01-17,8300.0,8370.0,8300.0,8310.0,5855
2020-01-20,8320.0,8330.0,8230.0,8250.0,15841
2020-01-21,8260.0,8280.0,8190.0,8200.0,10527
2020-01-22,8220.0,8290.0,8190.0,8200.0,7957
2020-01-23,8200.0,8250.0,8200.0,8250.0,7874
2020-01-28,8060.0,8230.0,8020.0,8110.0,23346
2020-01-29,8130.0,8300.0,8130.0,8190.0,24128
2020-01-30,8170.0,8250.0,8120.0,8150.0,22643
2020-01-31,8140.0,8300.0,8140.0,8230.0,21435
2020-02-03,8210.0,8410.0,8120.0,8280.0,37026
2020-02-04,8280.0,8340.0,8280.0,8300.0,9620
2020-02-05,8370.0,8370.0,8260.0,8300.0,7392
2020-02-06,8320.0,8360.0,8270.0,8330.0,14220
2020-02-07,8350.0,8350.0,8270.0,8330.0,7422
2020-02-10,8350.0,8350.0,8180.0,8240.0,20096
2020-02-11,8150.0,8250.0,8030.0,8090.0,49912
2020-02-12,8050.0,8090.0,8000.0,8070.0,18331
2020-02-13,8070.0,8100.0,8020.0,8020.0,20917
2020-02-14,8060.0,8060.0,7960.0,7990.0,22751
2020-02-17,7990.0,8020.0,7860.0,7860.0,29956
2020-02-18,7850.0,7960.0,7660.0,7680.0,40014
2020-02-19,7650.0,7760.0,7420.0,7490.0,47516
2020-02-20,7430.0,8250.0,7410.0,7550.0,276412
2020-02-21,7610.0,7950.0,7510.0,7510.0,96021
2020-02-24,7500.0,7600.0,7140.0,7170.0,45149
2020-02-25,7170.0,7170.0,6900.0,6970.0,107901
2020-02-26,6970.0,6990.0,6600.0,6730.0,147151
2020-02-27,6810.0,7010.0,6500.0,6500.0,192935
2020-02-28,6430.0,6470.0,6160.0,6160.0,79458
2020-03-02,6060.0,6340.0,6040.0,6280.0,45282
2020-03-03,6350.0,6520.0,6330.0,6330.0,30383
2020-03-04,6320.0,6420.0,6320.0,6370.0,16880
2020-03-05,6460.0,6490.0,6390.0,6460.0,21029
2020-03-06,6450.0,6450.0,6320.0,6380.0,15048
2020-03-09,6360.0,6360.0,6120.0,6270.0,30890
2020-03-10,6200.0,6450.0,6100.0,6290.0,63691
2020-03-11,6250.0,6370.0,5950.0,6060.0,40134
2020-03-12,6000.0,6090.0,5560.0,5580.0,58820
2020-03-13,5110.0,5340.0,4885.0,5170.0,81070
2020-03-16,5030.0,6620.0,5030.0,5230.0,1285735
2020-03-17,4900.0,5060.0,4700.0,4920.0,278024
2020-03-18,5860.0,6390.0,4755.0,4755.0,4656190
2020-03-19,4754.0,4840.0,3765.0,3795.0,716226
2020-03-20,3795.0,3975.0,3765.0,3900.0,424651
2020-03-23,3660.0,3865.0,3515.0,3660.0,272829
2020-03-24,3680.0,3900.0,3670.0,3760.0,663250
2020-03-25,3900.0,4300.0,3880.0,4090.0,753744
2020-03-26,4200.0,4840.0,4090.0,4600.0,549795
2020-03-27,4910.0,4980.0,4455.0,4645.0,463577
2020-03-30,4525.0,4790.0,4265.0,4770.0,170225
2020-03-31,4840.0,4920.0,4775.0,4840.0,205415
2020-04-01,4830.0,5070.0,4735.0,4900.0,282438
2020-04-02,4900.0,4980.0,4740.0,4940.0,125996
2020-04-03,5120.0,5140.0,4955.0,5060.0,139486
2020-04-06,5060.0,5560.0,5000.0,5540.0,213633
2020-04-07,5680.0,5710.0,5480.0,5630.0,187914
2020-04-08,5650.0,5910.0,5520.0,5850.0,116756
2020-04-09,5940.0,6000.0,5870.0,5910.0,139023
2020-04-10,5920.0,6010.0,5700.0,5970.0,134746
2020-04-13,5980.0,6000.0,5740.0,5790.0,119633
2020-04-14,5770.0,5860.0,5680.0,5810.0,127644
2020-04-16,5790.0,5910.0,5580.0,5890.0,84845
2020-04-17,5880.0,6080.0,5880.0,6040.0,120029
2020-04-20,6040.0,6210.0,6020.0,6090.0,84747
2020-04-21,6040.0,6080.0,5730.0,5980.0,91246
2020-04-22,5910.0,5920.0,5740.0,5900.0,63699
2020-04-23,5910.0,6100.0,5900.0,6020.0,94948
2020-04-24,6020.0,6020.0,5830.0,5910.0,87742
2020-04-27,5940.0,6380.0,5750.0,6230.0,147146
2020-04-28,6290.0,6290.0,6050.0,6120.0,87032
2020-04-29,6160.0,6830.0,6090.0,6370.0,474463
2020-05-04,6390.0,6660.0,6390.0,6650.0,140970
2020-05-06,6810.0,7070.0,6650.0,7030.0,161824
2020-05-07,7090.0,7240.0,6940.0,7020.0,137575
2020-05-08,7020.0,7170.0,7020.0,7100.0,108374
2020-05-11,7070.0,7090.0,6890.0,7010.0,83972
2020-05-12,7090.0,7090.0,6800.0,6890.0,74452
2020-05-13,6820.0,6890.0,6750.0,6820.0,49968
2020-05-14,6710.0,6870.0,6650.0,6870.0,149876
2020-05-15,6870.0,6870.0,6580.0,6590.0,127182
2020-05-18,6550.0,6590.0,6150.0,6320.0,93118
2020-05-19,6580.0,6580.0,6330.0,6400.0,80137
2020-05-20,6600.0,6910.0,6510.0,6720.0,140881
2020-05-21,6820.0,6820.0,6610.0,6700.0,56033
2020-05-22,6690.0,6690.0,6410.0,6450.0,80899
2020-05-25,6440.0,6460.0,6380.0,6420.0,32497
2020-05-26,6420.0,6460.0,6330.0,6460.0,42974
2020-05-27,6460.0,6600.0,6450.0,6460.0,24239
2020-05-28,6450.0,6580.0,6340.0,6370.0,32243
2020-05-29,6370.0,6440.0,6130.0,6130.0,164408
2020-06-01,6290.0,6290.0,6090.0,6150.0,69492
2020-06-02,6150.0,6280.0,6150.0,6280.0,40010
2020-06-03,6270.0,6380.0,6240.0,6330.0,52064
2020-06-04,6410.0,6410.0,6200.0,6220.0,53162
2020-06-05,6220.0,6300.0,6200.0,6200.0,46329
2020-06-08,6200.0,6300.0,6190.0,6250.0,44922
2020-06-09,6250.0,6300.0,6200.0,6250.0,40736
2020-06-10,6250.0,6290.0,6130.0,6190.0,45008
2020-06-11,6230.0,6230.0,5990.0,6080.0,82571
2020-06-12,5900.0,6080.0,5700.0,5820.0,128294
2020-06-15,5760.0,5820.0,5310.0,5490.0,56394
2020-06-16,5500.0,5770.0,5500.0,5660.0,30450
2020-06-17,5600.0,5690.0,5520.0,5600.0,29372
2020-06-18,5530.0,5650.0,5530.0,5530.0,38537
2020-06-19,5600.0,5800.0,5530.0,5800.0,64610
2020-06-22,5800.0,5800.0,5630.0,5630.0,23220
2020-06-23,5630.0,5700.0,5460.0,5490.0,49307
2020-06-24,5440.0,5670.0,5440.0,5500.0,38885
2020-06-25,5450.0,5450.0,5300.0,5360.0,47559
2020-06-26,5450.0,5450.0,5340.0,5370.0,16682
2020-06-29,5300.0,5350.0,5250.0,5300.0,21637
