date,open,high,low,close,volume
2020-01-02,5079.0,5141.0,5018.0,5081.0,825990
2020-01-03,5079.0,5124.0,5035.0,5071.0,858341
2020-01-06,5026.0,5062.0,4893.0,4921.0,1518839
2020-01-07,4964.0,4999.0,4893.0,4903.0,762157
2020-01-08,4876.0,4884.0,4654.0,4708.0,1958849
2020-01-09,4787.0,4814.0,4734.0,4806.0,953778
2020-01-10,4778.0,4902.0,4770.0,4867.0,932072
2020-01-13,4867.0,4937.0,4849.0,4929.0,661272
2020-01-14,4929.0,4982.0,4911.0,4921.0,591528
2020-01-15,4920.0,5079.0,4902.0,5036.0,1060583
2020-01-16,5044.0,5124.0,5035.0,5062.0,1090579
2020-01-17,5079.0,5106.0,5018.0,5018.0,730121
2020-01-20,5053.0,5062.0,4920.0,4939.0,892570
2020-01-21,4911.0,4982.0,4884.0,4886.0,574470
2020-01-22,4893.0,5151.0,4831.0,5143.0,2290182
2020-01-23,5097.0,5469.0,5071.0,5444.0,4424601
2020-01-28,5327.0,5514.0,5159.0,5515.0,3581749
2020-01-29,5496.0,5505.0,5274.0,5276.0,2079665
2020-01-30,5293.0,5293.0,4973.0,4974.0,2382454
2020-01-31,4964.0,5035.0,4814.0,4850.0,1803245
2020-02-03,4742.0,4831.0,4636.0,4770.0,1924724
2020-02-04,4751.0,4867.0,4751.0,4823.0,1021385
2020-02-05,4849.0,4876.0,4760.0,4841.0,1066352
2020-02-06,4857.0,4991.0,4857.0,4956.0,1336319
2020-02-07,4956.0,4999.0,4893.0,4929.0,750151
2020-02-10,4902.0,4982.0,4857.0,4929.0,757113
2020-02-11,4929.0,4973.0,4902.0,4948.0,753838
2020-02-12,4937.0,4999.0,4911.0,4956.0,903978
2020-02-13,4964.0,4973.0,4804.0,4806.0,2179435
2020-02-14,4840.0,5141.0,4831.0,5045.0,3084467
2020-02-17,5071.0,5443.0,5062.0,5338.0,5025838
2020-02-18,5327.0,5372.0,5115.0,5143.0,2847694
2020-02-19,5115.0,5124.0,4911.0,4965.0,2339735
2020-02-20,4999.0,5009.0,4823.0,4850.0,1841194
2020-02-21,4804.0,4849.0,4751.0,4770.0,1639195
2020-02-24,4672.0,4707.0,4565.0,4566.0,2180819
2020-02-25,4539.0,4672.0,4530.0,4602.0,2353843
2020-02-26,4530.0,4618.0,4512.0,4584.0,1253074
2020-02-27,4565.0,4628.0,4512.0,4531.0,1171770
2020-02-28,4459.0,4494.0,4392.0,4442.0,2194277
2020-03-02,4433.0,4467.0,4344.0,4394.0,1671209
2020-03-03,4494.0,4512.0,4414.0,4424.0,1032379
2020-03-04,4406.0,4441.0,4401.0,4424.0,875903
2020-03-05,4459.0,4503.0,4423.0,4505.0,1100304
2020-03-06,4459.0,4467.0,4406.0,4416.0,1276613
2020-03-09,4379.0,4383.0,4135.0,4176.0,2261136
2020-03-10,4077.0,4153.0,4024.0,4052.0,2611925
2020-03-11,4055.0,4131.0,3036.0,3183.0,21239295
2020-03-12,3000.0,3310.0,2850.0,2903.0,10913326
2020-03-13,2650.0,2766.0,2504.0,2753.0,7451554
2020-03-16,2752.0,2831.0,2552.0,2558.0,4691129
2020-03-17,2304.0,2778.0,2304.0,2758.0,5778619
2020-03-18,2805.0,2809.0,2539.0,2566.0,3732767
2020-03-19,2570.0,2614.0,2308.0,2345.0,4275653
2020-03-20,2344.0,2468.0,2220.0,2358.0,4152855
2020-03-23,2132.0,2260.0,2123.0,2190.0,3033644
2020-03-24,2243.0,2486.0,2243.0,2487.0,3194321
2020-03-25,2761.0,2885.0,2624.0,2713.0,4788569
2020-03-26,2712.0,2969.0,2579.0,2891.0,7060363
2020-03-27,3612.0,3612.0,2987.0,3183.0,14202134
2020-03-30,3147.0,3147.0,2872.0,3028.0,5047801
2020-03-31,3080.0,3142.0,2973.0,3028.0,4631775
2020-04-01,2987.0,3652.0,2850.0,3178.0,12487470
2020-04-02,3133.0,3222.0,3005.0,3170.0,3158619
2020-04-03,3235.0,3493.0,3213.0,3298.0,5254632
2020-04-06,3289.0,3368.0,3204.0,3325.0,3126158
2020-04-07,3390.0,3457.0,3298.0,3339.0,3306160
2020-04-08,3337.0,3395.0,3244.0,3307.0,2358129
2020-04-09,3351.0,3409.0,3320.0,3409.0,2673153
2020-04-10,3537.0,3590.0,3386.0,3511.0,4791238
2020-04-13,3532.0,3718.0,3439.0,3537.0,4825327
2020-04-14,3572.0,3679.0,3572.0,3618.0,3150661
2020-04-16,3293.0,3390.0,3178.0,3312.0,5492021
2020-04-17,3328.0,3412.0,3315.0,3387.0,2675400
2020-04-20,3493.0,3802.0,3412.0,3626.0,6836696
2020-04-21,3648.0,3768.0,3368.0,3582.0,6053801
2020-04-22,3723.0,3821.0,3501.0,3534.0,5986682
2020-04-23,3546.0,3550.0,3386.0,3467.0,2625683
2020-04-24,3466.0,3466.0,3306.0,3325.0,1976038
2020-04-27,3324.0,3421.0,3231.0,3400.0,2339551
2020-04-28,3723.0,3723.0,3457.0,3489.0,4483328
2020-04-29,3484.0,3554.0,3435.0,3542.0,2165180
2020-05-04,3457.0,3532.0,3426.0,3471.0,1435989
2020-05-06,3537.0,3546.0,3457.0,3476.0,1159047
2020-05-07,3484.0,3501.0,3435.0,3476.0,1156665
2020-05-08,3501.0,3506.0,3470.0,3484.0,1034967
2020-05-11,3484.0,3577.0,3412.0,3493.0,2587262
2020-05-12,3532.0,3541.0,3399.0,3404.0,1707443
2020-05-13,3382.0,3466.0,3359.0,3462.0,1200783
2020-05-14,3457.0,3523.0,3417.0,3467.0,1524098
2020-05-15,3448.0,3585.0,3431.0,3471.0,2323264
2020-05-18,3457.0,3479.0,3373.0,3440.0,1117895
2020-05-19,3448.0,3621.0,3448.0,3600.0,3820277
2020-05-20,3599.0,3599.0,3515.0,3542.0,1503319
2020-05-21,3559.0,3683.0,3546.0,3648.0,2924334
2020-05-22,3643.0,3652.0,3439.0,3502.0,2789628
2020-05-25,3501.0,3519.0,3443.0,3502.0,1034300
2020-05-26,3501.0,3559.0,3474.0,3537.0,1273281
2020-05-27,3563.0,4228.0,3546.0,4043.0,20332136
2020-05-28,4108.0,4108.0,3802.0,3883.0,5923844
2020-05-29,3887.0,3891.0,3723.0,3795.0,3050819
2020-06-01,3910.0,4051.0,3905.0,3937.0,3880033
2020-06-02,4051.0,4636.0,4051.0,4309.0,13767101
2020-06-03,4406.0,4441.0,4224.0,4322.0,6711506
2020-06-04,4406.0,4618.0,4379.0,4385.0,5557618
2020-06-05,4433.0,4494.0,4295.0,4469.0,3259845
2020-06-08,4601.0,4628.0,4428.0,4513.0,3518747
2020-06-09,4645.0,4742.0,4583.0,4690.0,4715752
2020-06-10,4698.0,4707.0,4530.0,4690.0,2491901
2020-06-11,4628.0,4770.0,4494.0,4558.0,4132207
2020-06-12,4224.0,4433.0,4202.0,4397.0,3056799
2020-06-15,4308.0,4423.0,4131.0,4136.0,2685267
2020-06-16,4334.0,4867.0,4237.0,4566.0,8629377
2020-06-17,4459.0,4609.0,4322.0,4406.0,3147500
2020-06-18,4414.0,4414.0,4250.0,4331.0,1552784
2020-06-19,4428.0,4428.0,4219.0,4286.0,1989077
2020-06-22,4259.0,4388.0,4197.0,4256.0,1898445
2020-06-23,4317.0,4330.0,4122.0,4132.0,1721938
2020-06-24,4166.0,4237.0,4113.0,4132.0,1049682
2020-06-25,4033.0,4073.0,3975.0,4016.0,1499178
2020-06-26,4024.0,4077.0,3989.0,4025.0,910174
2020-06-29,3958.0,4433.0,3922.0,4114.0,3810725
2020-06-30,4175.0,4414.0,4122.0,4286.0,4952761
2020-07-01,4330.0,4339.0,4166.0,4172.0,1254410
2020-07-02,4193.0,4281.0,4171.0,4233.0,1069730
2020-07-03,4277.0,4286.0,4171.0,4225.0,806817
2020-07-06,4224.0,4237.0,4131.0,4176.0,822492
2020-07-07,4188.0,4211.0,4082.0,4083.0,1019777
2020-07-08,4117.0,4144.0,4082.0,4096.0,871369
2020-07-09,4122.0,4127.0,4069.0,4096.0,1153824
