date,open,high,low,close,volume
2020-01-02,10023.0,10072.0,9876.0,10073.0,10102
2020-01-03,10072.0,10121.0,9876.0,10073.0,20071
2020-01-06,9925.0,10072.0,9826.0,10024.0,13166
2020-01-07,9876.0,10121.0,9826.0,9974.0,13817
2020-01-08,9876.0,9925.0,9650.0,9650.0,25356
2020-01-09,9679.0,9876.0,9669.0,9807.0,9536
2020-01-10,9876.0,10023.0,9777.0,9974.0,10246
2020-01-13,9876.0,9974.0,9826.0,9974.0,10411
2020-01-14,9925.0,10170.0,9925.0,10073.0,20137
2020-01-15,10072.0,10072.0,9876.0,10024.0,11177
2020-01-16,9974.0,10072.0,9826.0,9925.0,16344
2020-01-17,9925.0,9974.0,9826.0,9925.0,9091
2020-01-20,9925.0,9925.0,9826.0,9876.0,10328
2020-01-21,9876.0,9974.0,9787.0,9817.0,4849
2020-01-22,9817.0,9974.0,9787.0,9974.0,10177
2020-01-23,10072.0,10072.0,9777.0,9925.0,11008
2020-01-28,9787.0,9787.0,9610.0,9768.0,25086
2020-01-29,9689.0,9925.0,9620.0,9680.0,20150
2020-01-30,9709.0,9777.0,9591.0,9630.0,8248
2020-01-31,9630.0,9777.0,9374.0,9375.0,17855
2020-02-03,9050.0,9433.0,9050.0,9385.0,15607
2020-02-04,9315.0,9532.0,9315.0,9503.0,8972
2020-02-05,9492.0,9542.0,9433.0,9503.0,11755
2020-02-06,9473.0,9679.0,9473.0,9621.0,7003
2020-02-07,9620.0,9718.0,9492.0,9513.0,10543
2020-02-10,9512.0,9630.0,9433.0,9522.0,2410
2020-02-11,9718.0,9718.0,9502.0,9581.0,3717
2020-02-12,9542.0,9581.0,9443.0,9571.0,7804
2020-02-13,9610.0,9650.0,9463.0,9513.0,12210
2020-02-14,9473.0,9659.0,9433.0,9640.0,30914
2020-02-17,9591.0,9876.0,9522.0,9719.0,18871
2020-02-18,9630.0,9787.0,9630.0,9699.0,10654
2020-02-19,9699.0,9797.0,9522.0,9748.0,6063
2020-02-20,9748.0,9748.0,9581.0,9581.0,2545
2020-02-21,9512.0,9650.0,9414.0,9522.0,10012
2020-02-24,9345.0,9443.0,9050.0,9277.0,28683
2020-02-25,9148.0,9404.0,9148.0,9336.0,11183
2020-02-26,9335.0,9335.0,9266.0,9316.0,771
2020-02-27,9257.0,9463.0,8991.0,9110.0,16146
2020-02-28,8981.0,9119.0,8726.0,8756.0,30288
2020-03-02,8608.0,8775.0,8549.0,8717.0,18852
2020-03-03,8775.0,8913.0,8706.0,8795.0,9049
2020-03-04,8696.0,8893.0,8696.0,8795.0,4945
2020-03-05,8814.0,9050.0,8775.0,9021.0,11681
2020-03-06,9021.0,9021.0,8785.0,8903.0,7009
2020-03-09,8903.0,8903.0,8431.0,8628.0,14683
2020-03-10,8500.0,8500.0,8313.0,8432.0,26400
2020-03-11,8461.0,8529.0,7959.0,8215.0,26979
2020-03-12,7959.0,8087.0,7566.0,7695.0,46643
2020-03-13,7173.0,7468.0,6957.0,7085.0,51688
2020-03-16,7026.0,7232.0,6751.0,6967.0,19814
2020-03-17,6731.0,6829.0,6466.0,6810.0,26278
2020-03-18,6819.0,6967.0,6466.0,6781.0,16846
2020-03-19,6662.0,6790.0,5709.0,6132.0,29091
2020-03-20,6132.0,6574.0,5906.0,6574.0,19813
2020-03-23,6132.0,6269.0,5719.0,6152.0,28182
2020-03-24,6161.0,6672.0,6141.0,6623.0,13548
2020-03-25,6672.0,6967.0,6505.0,6869.0,24752
2020-03-26,6977.0,7085.0,6819.0,7026.0,18684
2020-03-27,7075.0,7281.0,6977.0,7115.0,24533
2020-03-30,7114.0,7232.0,6878.0,7193.0,10746
2020-03-31,7183.0,7812.0,7154.0,7812.0,27927
2020-04-01,7802.0,8451.0,7684.0,7930.0,24609
2020-04-02,8913.0,9217.0,8107.0,8520.0,210592
2020-04-03,8569.0,8795.0,8264.0,8274.0,44778
2020-04-06,8274.0,8392.0,8176.0,8245.0,29409
2020-04-07,8293.0,8372.0,8067.0,8147.0,28685
2020-04-08,8185.0,8313.0,8028.0,8264.0,24698
2020-04-09,8352.0,8352.0,8107.0,8196.0,31040
2020-04-10,8254.0,8264.0,8126.0,8225.0,16276
2020-04-13,8274.0,8392.0,8126.0,8186.0,22315
2020-04-14,8185.0,8529.0,8185.0,8363.0,21580
2020-04-16,8362.0,8362.0,8195.0,8304.0,14541
2020-04-17,8303.0,8402.0,8303.0,8402.0,18835
2020-04-20,8411.0,8677.0,8323.0,8559.0,27777
2020-04-21,8569.0,8677.0,8352.0,8579.0,22183
2020-04-22,8549.0,8549.0,8352.0,8520.0,18998
2020-04-23,8520.0,8647.0,8323.0,8530.0,20192
2020-04-24,8539.0,8549.0,8323.0,8412.0,15627
2020-04-27,8490.0,8490.0,8274.0,8461.0,13574
2020-04-28,8441.0,8578.0,8343.0,8461.0,14416
2020-04-29,8451.0,8716.0,8362.0,8687.0,21767
2020-05-04,8608.0,8706.0,8470.0,8707.0,17934
2020-05-06,8706.0,9787.0,8706.0,9483.0,120687
2020-05-07,9492.0,12283.0,9433.0,12284.0,719036
2020-05-08,12873.0,14101.0,11399.0,11842.0,1384661
2020-05-11,11841.0,12038.0,11644.0,12038.0,261576
2020-05-12,12185.0,12382.0,11301.0,11448.0,296979
2020-05-13,11104.0,11595.0,11104.0,11301.0,102996
2020-05-14,11202.0,12136.0,11104.0,11792.0,227527
2020-05-15,11988.0,11988.0,11350.0,11743.0,106409
2020-05-18,11743.0,11792.0,11301.0,11399.0,59689
2020-05-19,11497.0,11497.0,10907.0,11252.0,80943
