date,open,high,low,close,volume
2020-01-02,8990.0,8990.0,8780.0,8860.0,110344
2020-01-03,8900.0,9100.0,8820.0,9090.0,250465
2020-01-06,9040.0,9080.0,8900.0,8940.0,137774
2020-01-07,8950.0,9040.0,8870.0,8910.0,71901
2020-01-08,8890.0,8890.0,8460.0,8510.0,261326
2020-01-09,8780.0,8790.0,8580.0,8630.0,143339
2020-01-10,8700.0,8880.0,8640.0,8800.0,110813
2020-01-13,8890.0,8890.0,8720.0,8800.0,101871
2020-01-14,8920.0,9110.0,8910.0,9020.0,301115
2020-01-15,9090.0,9090.0,8870.0,8920.0,128625
2020-01-16,8940.0,8950.0,8760.0,8860.0,134619
2020-01-17,8870.0,9060.0,8870.0,9000.0,268354
2020-01-20,9110.0,9140.0,8980.0,9030.0,183023
2020-01-21,9100.0,9300.0,9060.0,9240.0,473553
2020-01-22,9360.0,9810.0,9280.0,9720.0,557869
2020-01-23,9720.0,9850.0,9130.0,9450.0,451957
2020-01-28,9000.0,9240.0,8810.0,9040.0,297522
2020-01-29,9080.0,9220.0,8990.0,9130.0,166665
2020-01-30,9090.0,9310.0,8110.0,8200.0,854231
2020-01-31,8200.0,8340.0,7160.0,7350.0,1356051
2020-02-03,7250.0,7520.0,7010.0,7350.0,456327
2020-02-04,7410.0,7800.0,7300.0,7700.0,423224
2020-02-05,7780.0,7880.0,7680.0,7720.0,251614
2020-02-06,7790.0,7820.0,7550.0,7710.0,189138
2020-02-07,7780.0,7780.0,7500.0,7540.0,172216
2020-02-10,7540.0,7540.0,7220.0,7310.0,369807
2020-02-11,7310.0,7320.0,7100.0,7210.0,403334
2020-02-12,7230.0,7290.0,7130.0,7210.0,222013
2020-02-13,7210.0,7250.0,7020.0,7070.0,362583
2020-02-14,7070.0,7100.0,6970.0,7050.0,179770
2020-02-17,7120.0,7120.0,6970.0,7040.0,141432
2020-02-18,7040.0,7110.0,6840.0,6920.0,204664
2020-02-19,6800.0,7420.0,6760.0,7420.0,634532
2020-02-20,7450.0,7460.0,7130.0,7250.0,234159
2020-02-21,7100.0,7250.0,6920.0,7040.0,220989
2020-02-24,6700.0,6910.0,6670.0,6800.0,164673
2020-02-25,6800.0,7040.0,6730.0,7000.0,132357
2020-02-26,6930.0,6980.0,6830.0,6970.0,89311
2020-02-27,6920.0,7030.0,6720.0,6720.0,100292
2020-02-28,6720.0,6720.0,6290.0,6390.0,182478
2020-03-02,6380.0,6700.0,6380.0,6610.0,107047
2020-03-03,6760.0,6970.0,6730.0,6840.0,205535
2020-03-04,6830.0,6950.0,6760.0,6900.0,147870
2020-03-05,6950.0,7000.0,6740.0,6900.0,196464
2020-03-06,6900.0,6900.0,6730.0,6800.0,73121
2020-03-09,6690.0,6700.0,6360.0,6460.0,121609
2020-03-10,6300.0,6550.0,6250.0,6540.0,96809
2020-03-11,6600.0,6720.0,6090.0,6240.0,99548
2020-03-12,6200.0,6210.0,5650.0,5840.0,122652
2020-03-13,4990.0,5690.0,4990.0,5540.0,280324
2020-03-16,5550.0,5870.0,5000.0,5050.0,196657
2020-03-17,4520.0,5020.0,4520.0,4920.0,206522
2020-03-18,4875.0,4980.0,4435.0,4450.0,277029
2020-03-19,4480.0,4495.0,3555.0,3790.0,331221
2020-03-20,3770.0,4430.0,3770.0,4290.0,364275
2020-03-23,3855.0,3975.0,3805.0,3905.0,232844
2020-03-24,4005.0,4225.0,3950.0,4215.0,184266
2020-03-25,4540.0,4540.0,4290.0,4450.0,173008
2020-03-26,4495.0,4840.0,4300.0,4570.0,220363
2020-03-27,4750.0,4845.0,4400.0,4620.0,263598
2020-03-30,4610.0,5100.0,4500.0,5080.0,365840
2020-03-31,5190.0,5400.0,5100.0,5240.0,238417
2020-04-01,5240.0,5370.0,5100.0,5170.0,240255
2020-04-02,5100.0,5170.0,4700.0,5050.0,235208
2020-04-03,5150.0,5200.0,4925.0,4995.0,120729
2020-04-06,4990.0,5150.0,4990.0,5150.0,237842
2020-04-07,5250.0,5340.0,5160.0,5230.0,280993
2020-04-08,5230.0,5290.0,5100.0,5180.0,275482
2020-04-09,5330.0,5340.0,5120.0,5200.0,243406
2020-04-10,5200.0,5220.0,4945.0,5030.0,281543
2020-04-13,5030.0,5030.0,4895.0,4900.0,209708
2020-04-14,4965.0,5090.0,4915.0,5000.0,220164
2020-04-16,4990.0,4990.0,4795.0,4890.0,492574
2020-04-17,4955.0,5160.0,4940.0,5080.0,373842
2020-04-20,5160.0,5550.0,5150.0,5470.0,586192
2020-04-21,5490.0,5490.0,5000.0,5260.0,403656
2020-04-22,5230.0,5230.0,5070.0,5190.0,298538
2020-04-23,5220.0,5390.0,5170.0,5370.0,249637
2020-04-24,5370.0,5430.0,5100.0,5160.0,256510
2020-04-27,5190.0,5240.0,5100.0,5240.0,206424
2020-04-28,5270.0,5910.0,5260.0,5650.0,2099952
2020-04-29,5580.0,5760.0,5520.0,5600.0,392530
2020-05-04,5540.0,5820.0,5480.0,5680.0,331546
2020-05-06,5960.0,6390.0,5920.0,5970.0,2514820
2020-05-07,6070.0,6070.0,5830.0,5980.0,326856
2020-05-08,5970.0,6150.0,5950.0,6150.0,337178
2020-05-11,6120.0,6120.0,5820.0,5940.0,457547
2020-05-12,5940.0,5940.0,5700.0,5830.0,319788
2020-05-13,5670.0,5810.0,5640.0,5760.0,215750
2020-05-14,5700.0,5760.0,5600.0,5600.0,251538
2020-05-15,5600.0,5770.0,5580.0,5630.0,245005
2020-05-18,5810.0,5950.0,5660.0,5860.0,433181
2020-05-19,5890.0,6100.0,5890.0,5990.0,395418
2020-05-20,6000.0,6010.0,5800.0,5960.0,253383
2020-05-21,6000.0,6080.0,5920.0,6070.0,272455
2020-05-22,6090.0,6250.0,5970.0,6030.0,405999
2020-05-25,6100.0,6100.0,5860.0,5970.0,278955
2020-05-26,6060.0,6060.0,5910.0,6020.0,214515
2020-05-27,6020.0,6160.0,6010.0,6060.0,275387
2020-05-28,6110.0,6140.0,5770.0,5860.0,328850
2020-05-29,5880.0,5970.0,5730.0,5820.0,248874
2020-06-01,5830.0,6000.0,5830.0,5970.0,154469
2020-06-02,5980.0,6470.0,5950.0,6380.0,1165067
2020-06-03,6440.0,6460.0,6200.0,6240.0,517721
2020-06-04,6360.0,6530.0,6270.0,6340.0,571267
2020-06-05,6330.0,6580.0,6250.0,6460.0,342838
2020-06-08,6530.0,6540.0,6300.0,6320.0,282333
2020-06-09,6320.0,6370.0,6140.0,6210.0,287694
2020-06-10,6180.0,6330.0,6080.0,6280.0,159543
2020-06-11,6240.0,6260.0,6090.0,6120.0,257874
2020-06-12,5750.0,5940.0,5490.0,5940.0,296579
2020-06-15,5880.0,5910.0,5310.0,5350.0,453266
2020-06-16,5480.0,5650.0,5450.0,5640.0,198027
2020-06-17,5550.0,5630.0,5400.0,5510.0,176586
2020-06-18,5510.0,5560.0,5440.0,5530.0,133306
2020-06-19,5540.0,5660.0,5490.0,5660.0,104564
2020-06-22,5730.0,5730.0,5620.0,5700.0,118361
2020-06-23,5710.0,5850.0,5590.0,5610.0,120245
2020-06-24,5610.0,5720.0,5500.0,5680.0,129080
2020-06-25,5590.0,5660.0,5420.0,5440.0,173690
2020-06-26,5460.0,5510.0,5410.0,5420.0,76179
2020-06-29,5350.0,5400.0,5170.0,5180.0,174652
2020-06-30,5220.0,5280.0,5090.0,5190.0,125126
2020-07-01,5210.0,5260.0,5000.0,5080.0,177759
2020-07-02,5100.0,5140.0,5010.0,5090.0,135195
2020-07-03,5120.0,5170.0,5050.0,5150.0,98036
2020-07-06,5180.0,5220.0,5110.0,5190.0,98413
2020-07-07,5220.0,5240.0,5070.0,5100.0,168356
2020-07-08,5080.0,5200.0,5080.0,5160.0,107682
2020-07-09,5180.0,5190.0,5070.0,5110.0,106461
2020-07-10,5140.0,5140.0,4905.0,4975.0,242721
2020-07-13,4975.0,5120.0,4935.0,5080.0,131468
2020-07-14,5080.0,5090.0,4990.0,5030.0,87296
2020-07-15,5060.0,5200.0,5050.0,5190.0,119629
2020-07-16,5220.0,5220.0,5090.0,5110.0,105595
2020-07-17,5110.0,5130.0,5010.0,5060.0,141855
2020-07-20,5080.0,5090.0,4990.0,5000.0,139222
2020-07-21,5050.0,5160.0,5000.0,5090.0,191010
2020-07-22,5080.0,5220.0,5030.0,5120.0,245194
2020-07-23,5150.0,5200.0,5050.0,5100.0,194192
2020-07-24,5060.0,5090.0,4995.0,5030.0,202510
2020-07-27,5030.0,5110.0,5030.0,5040.0,115493
2020-07-28,5090.0,5090.0,5020.0,5030.0,137556
2020-07-29,5070.0,5200.0,5000.0,5160.0,309232
2020-07-30,5200.0,5200.0,5070.0,5080.0,106292
2020-07-31,5080.0,5120.0,5050.0,5110.0,86051
2020-08-03,5130.0,5130.0,4990.0,5050.0,205674
2020-08-04,5050.0,5130.0,5040.0,5090.0,127183
2020-08-05,5130.0,5140.0,5030.0,5070.0,96169
2020-08-06,5090.0,5270.0,5050.0,5260.0,409398
2020-08-07,5260.0,5270.0,5110.0,5160.0,166035
2020-08-10,5180.0,5350.0,5120.0,5310.0,254872
2020-08-11,5330.0,5350.0,5210.0,5260.0,171409
2020-08-12,5310.0,5950.0,5220.0,5600.0,4242724
2020-08-13,5600.0,5760.0,5470.0,5670.0,606024
2020-08-14,5690.0,5730.0,5490.0,5550.0,306411
2020-08-18,5100.0,5140.0,4610.0,4650.0,1349231
2020-08-19,4700.0,4735.0,4560.0,4660.0,387030
2020-08-20,4665.0,4680.0,4255.0,4295.0,448502
2020-08-21,4310.0,4440.0,4185.0,4310.0,234879
2020-08-24,4310.0,4310.0,4220.0,4245.0,155244
2020-08-25,4245.0,4320.0,4225.0,4300.0,186764
2020-08-26,4350.0,4425.0,4310.0,4410.0,205584
2020-08-27,4415.0,4445.0,4275.0,4310.0,145717
2020-08-28,4310.0,4385.0,4305.0,4335.0,95642
2020-08-31,4340.0,4375.0,4235.0,4265.0,183746
2020-09-01,4290.0,4290.0,4220.0,4260.0,128356
2020-09-02,4255.0,4290.0,4195.0,4245.0,239301
2020-09-03,4245.0,4255.0,4195.0,4225.0,175154
