date,open,high,low,close,volume
2020-01-02,2090.0,2195.0,2090.0,2155.0,61747
2020-01-03,2160.0,2310.0,2160.0,2270.0,111912
2020-01-06,2275.0,2280.0,2205.0,2270.0,30018
2020-01-07,2270.0,2290.0,2225.0,2275.0,54109
2020-01-08,2275.0,2655.0,2210.0,2320.0,1135071
2020-01-09,2295.0,2295.0,2195.0,2250.0,141474
2020-01-10,2250.0,2280.0,2230.0,2265.0,35517
2020-01-13,2260.0,2295.0,2235.0,2295.0,42624
2020-01-14,2295.0,2295.0,2195.0,2245.0,68716
2020-01-15,2455.0,2560.0,2280.0,2285.0,901581
2020-01-16,2295.0,2325.0,2220.0,2275.0,145400
2020-01-17,2270.0,2310.0,2245.0,2280.0,72700
2020-01-20,2280.0,2290.0,2205.0,2235.0,75685
2020-01-21,2230.0,2235.0,2150.0,2170.0,104715
2020-01-22,2170.0,2190.0,2105.0,2150.0,92866
2020-01-23,2150.0,2165.0,2075.0,2125.0,75875
2020-01-28,2090.0,2090.0,1975.0,2040.0,88776
2020-01-29,2040.0,2115.0,2020.0,2105.0,70986
2020-01-30,2105.0,2140.0,1980.0,2010.0,116991
2020-01-31,1970.0,2030.0,1970.0,1980.0,59221
2020-02-03,1920.0,1975.0,1800.0,1975.0,188873
2020-02-04,2005.0,2055.0,1980.0,2025.0,43506
2020-02-05,2035.0,2075.0,2020.0,2040.0,41378
2020-02-06,2045.0,2110.0,2040.0,2100.0,35872
2020-02-07,2105.0,2155.0,2075.0,2100.0,96057
2020-02-10,2100.0,2115.0,2010.0,2035.0,78801
2020-02-11,2050.0,2090.0,2025.0,2085.0,51976
2020-02-12,2085.0,2225.0,2085.0,2140.0,143781
2020-02-13,2140.0,2235.0,2140.0,2190.0,108077
2020-02-14,2185.0,2845.0,2165.0,2845.0,5422870
2020-02-17,3135.0,3360.0,2870.0,3070.0,5249839
2020-02-18,3075.0,3115.0,2905.0,3070.0,1890510
2020-02-19,3210.0,3295.0,2890.0,2940.0,2295630
2020-02-20,2925.0,2940.0,2755.0,2870.0,512104
2020-02-21,2835.0,2835.0,2680.0,2695.0,483759
2020-02-24,2640.0,2780.0,2550.0,2740.0,533551
2020-02-25,2715.0,2910.0,2620.0,2900.0,609801
2020-02-26,2780.0,2815.0,2695.0,2740.0,399216
2020-02-27,2740.0,2740.0,2515.0,2595.0,338688
2020-02-28,2525.0,2570.0,2425.0,2465.0,266591
2020-03-02,2465.0,2690.0,2400.0,2650.0,288109
2020-03-03,2700.0,2760.0,2580.0,2615.0,286491
2020-03-04,2590.0,2760.0,2575.0,2760.0,149899
2020-03-05,2770.0,2845.0,2690.0,2735.0,169982
2020-03-06,2710.0,2860.0,2650.0,2855.0,257869
2020-03-09,2795.0,2805.0,2550.0,2590.0,389886
2020-03-10,2535.0,2700.0,2460.0,2685.0,274198
2020-03-11,2680.0,2680.0,2450.0,2510.0,279414
2020-03-12,2485.0,2545.0,2285.0,2365.0,236450
2020-03-13,2275.0,2275.0,2005.0,2115.0,431242
2020-03-16,2125.0,2225.0,1950.0,1950.0,465724
2020-03-17,1805.0,2050.0,1805.0,1955.0,332479
2020-03-18,1965.0,2045.0,1860.0,1860.0,137306
2020-03-19,1900.0,1940.0,1445.0,1525.0,301396
2020-03-20,1600.0,1670.0,1535.0,1660.0,121424
2020-03-23,1600.0,1600.0,1445.0,1500.0,166310
2020-03-24,1545.0,1630.0,1510.0,1625.0,160314
2020-03-25,1750.0,1760.0,1660.0,1710.0,213313
2020-03-26,1720.0,1875.0,1685.0,1740.0,213787
2020-03-27,1820.0,1880.0,1690.0,1775.0,132012
2020-03-30,1715.0,1895.0,1715.0,1895.0,115282
2020-03-31,1950.0,2030.0,1885.0,1960.0,229995
2020-04-01,1950.0,2200.0,1930.0,2010.0,616915
2020-04-02,2010.0,2090.0,1965.0,2085.0,223755
2020-04-03,2085.0,2150.0,2065.0,2150.0,164053
2020-04-06,2150.0,2230.0,2100.0,2205.0,209703
2020-04-07,2245.0,2295.0,2155.0,2290.0,221284
2020-04-08,2290.0,2400.0,2255.0,2330.0,187776
2020-04-09,2425.0,2575.0,2395.0,2495.0,409957
2020-04-10,2520.0,2565.0,2345.0,2410.0,327361
2020-04-13,2390.0,2405.0,2235.0,2265.0,310931
2020-04-14,2270.0,2490.0,2270.0,2465.0,285087
2020-04-16,2620.0,2920.0,2610.0,2730.0,3307765
2020-04-17,2800.0,2810.0,2650.0,2740.0,500271
2020-04-20,2750.0,2785.0,2650.0,2720.0,322835
2020-04-21,2830.0,2880.0,2650.0,2720.0,975556
2020-04-22,2655.0,2725.0,2550.0,2725.0,313663
2020-04-23,2855.0,2925.0,2725.0,2760.0,901386
2020-04-24,2750.0,2750.0,2620.0,2625.0,329829
2020-04-27,2640.0,2690.0,2615.0,2655.0,172776
2020-04-28,2655.0,2825.0,2655.0,2795.0,599911
2020-04-29,2840.0,2840.0,2675.0,2700.0,340219
2020-05-04,2715.0,2745.0,2635.0,2670.0,194216
2020-05-06,2680.0,2730.0,2675.0,2725.0,159279
2020-05-07,2725.0,2795.0,2690.0,2755.0,263880
2020-05-08,2760.0,2870.0,2755.0,2790.0,258316
2020-05-11,2835.0,2845.0,2730.0,2750.0,176883
2020-05-12,2785.0,2785.0,2650.0,2710.0,147807
2020-05-13,2650.0,2715.0,2650.0,2710.0,117819
2020-05-14,2700.0,2740.0,2655.0,2690.0,116969
2020-05-15,2690.0,2720.0,2630.0,2640.0,122820
2020-05-18,2620.0,2655.0,2510.0,2515.0,238621
2020-05-19,2515.0,2580.0,2495.0,2580.0,253308
2020-05-20,2570.0,2690.0,2555.0,2660.0,181712
2020-05-21,2715.0,2870.0,2645.0,2790.0,733571
2020-05-22,2780.0,2870.0,2630.0,2650.0,346103
2020-05-25,2660.0,2760.0,2650.0,2755.0,184435
2020-05-26,2760.0,2795.0,2680.0,2720.0,176924
2020-05-27,2720.0,2830.0,2680.0,2720.0,271013
2020-05-28,2715.0,2760.0,2520.0,2625.0,293100
2020-05-29,2600.0,2620.0,2525.0,2600.0,139447
2020-06-01,2600.0,2710.0,2590.0,2710.0,155226
2020-06-02,2800.0,2815.0,2690.0,2720.0,290199
2020-06-03,2775.0,2775.0,2675.0,2690.0,135449
2020-06-04,2725.0,3440.0,2690.0,3335.0,14577453
2020-06-05,3200.0,3215.0,3005.0,3035.0,2566443
2020-06-08,3090.0,3105.0,3005.0,3060.0,1290086
2020-06-09,3195.0,3410.0,3070.0,3080.0,6092805
2020-06-10,3085.0,3280.0,3035.0,3280.0,1836647
2020-06-11,3155.0,3250.0,3050.0,3080.0,717317
2020-06-12,2995.0,2995.0,2870.0,2940.0,567605
2020-06-15,2950.0,2960.0,2500.0,2610.0,534950
2020-06-16,2685.0,2775.0,2650.0,2775.0,237346
2020-06-17,2760.0,2970.0,2760.0,2880.0,933714
2020-06-18,2885.0,3290.0,2780.0,3175.0,3300132
2020-06-19,3100.0,3175.0,2890.0,3025.0,1434725
2020-06-22,3025.0,3045.0,2935.0,2990.0,686586
2020-06-23,3030.0,3275.0,3020.0,3045.0,2143893
2020-06-24,3005.0,3095.0,2940.0,2990.0,444883
2020-06-25,2940.0,2990.0,2815.0,2885.0,347524
2020-06-26,2915.0,3040.0,2840.0,2925.0,494541
2020-06-29,2905.0,2930.0,2780.0,2805.0,200528
2020-06-30,2845.0,2920.0,2795.0,2895.0,202773
2020-07-01,2895.0,2910.0,2775.0,2790.0,172954
2020-07-02,2790.0,2845.0,2775.0,2830.0,159985
2020-07-03,2835.0,2875.0,2800.0,2865.0,94429
2020-07-06,2865.0,2910.0,2795.0,2900.0,215046
2020-07-07,2930.0,3065.0,2910.0,2975.0,512842
2020-07-08,2945.0,3020.0,2935.0,3005.0,177172
2020-07-09,3040.0,3060.0,2920.0,2960.0,195450
2020-07-10,2965.0,3070.0,2935.0,2970.0,269010
2020-07-13,3040.0,3070.0,2995.0,3050.0,293227
2020-07-14,3050.0,3070.0,2960.0,3010.0,244549
2020-07-15,3045.0,3140.0,3030.0,3120.0,466529
2020-07-16,3240.0,3270.0,3025.0,3045.0,955137
2020-07-17,3045.0,3145.0,3035.0,3075.0,223526
2020-07-20,3115.0,3125.0,3030.0,3100.0,188665
2020-07-21,3120.0,3150.0,3030.0,3050.0,202862
2020-07-22,3055.0,3195.0,3050.0,3140.0,486458
2020-07-23,3145.0,3145.0,2970.0,2995.0,270010
2020-07-24,3000.0,3015.0,2855.0,2905.0,256330
2020-07-27,2900.0,2980.0,2895.0,2950.0,79437
2020-07-28,2955.0,3040.0,2900.0,2955.0,92437
2020-07-29,3010.0,3020.0,2915.0,2955.0,120246
2020-07-30,3020.0,3020.0,2775.0,2885.0,191094
2020-07-31,2900.0,2935.0,2855.0,2890.0,73856
2020-08-03,2910.0,3095.0,2865.0,3060.0,471630
2020-08-04,3015.0,3060.0,2930.0,2950.0,324161
2020-08-05,2980.0,3000.0,2925.0,2950.0,118192
2020-08-06,3025.0,3030.0,2940.0,2965.0,146585
2020-08-07,2970.0,3065.0,2845.0,3055.0,477394
2020-08-10,3055.0,3080.0,2980.0,3015.0,332616
2020-08-11,3080.0,3225.0,3050.0,3080.0,1188938
2020-08-12,3170.0,3175.0,3030.0,3075.0,551517
2020-08-13,3070.0,3230.0,3070.0,3150.0,793488
2020-08-14,3135.0,3190.0,2975.0,3005.0,434623
2020-08-18,2970.0,2970.0,2675.0,2805.0,713127
2020-08-19,2750.0,2835.0,2705.0,2775.0,190878
2020-08-20,2750.0,2780.0,2560.0,2600.0,249910
2020-08-21,2655.0,2695.0,2570.0,2615.0,101238
2020-08-24,2615.0,2680.0,2570.0,2680.0,122388
2020-08-25,2700.0,2770.0,2670.0,2750.0,152286
2020-08-26,2750.0,2770.0,2690.0,2745.0,109459
