date,open,high,low,close,volume
2020-01-02,2550.0,2600.0,2530.0,2595.0,456174
2020-01-03,2615.0,2690.0,2590.0,2605.0,751012
2020-01-06,2580.0,2755.0,2565.0,2730.0,1224349
2020-01-07,2735.0,2845.0,2705.0,2760.0,1858084
2020-01-08,2800.0,2915.0,2710.0,2765.0,4348131
2020-01-09,2700.0,2885.0,2625.0,2805.0,1813259
2020-01-10,2940.0,2955.0,2655.0,2680.0,2118904
2020-01-13,2670.0,2710.0,2650.0,2700.0,498891
2020-01-14,2735.0,2845.0,2680.0,2785.0,1623760
2020-01-15,2900.0,2915.0,2790.0,2790.0,1343202
2020-01-16,2785.0,2835.0,2765.0,2800.0,419313
2020-01-17,2815.0,2900.0,2775.0,2895.0,1060054
2020-01-20,2910.0,2945.0,2780.0,2805.0,1413938
2020-01-21,2810.0,2825.0,2735.0,2750.0,322316
2020-01-22,2740.0,2800.0,2735.0,2760.0,256282
2020-01-23,2745.0,2775.0,2695.0,2715.0,262308
2020-01-28,2660.0,2755.0,2560.0,2685.0,657046
2020-01-29,2695.0,2820.0,2675.0,2820.0,589168
2020-01-30,2820.0,2845.0,2650.0,2700.0,549429
2020-01-31,2710.0,2795.0,2655.0,2700.0,523843
2020-02-03,2640.0,2750.0,2570.0,2710.0,432218
2020-02-04,2710.0,2800.0,2705.0,2740.0,347881
2020-02-05,2780.0,2795.0,2710.0,2760.0,299866
2020-02-06,2845.0,2845.0,2755.0,2790.0,346810
2020-02-07,2805.0,2900.0,2785.0,2855.0,1002168
2020-02-10,2875.0,3145.0,2815.0,2860.0,3628685
2020-02-11,2905.0,2940.0,2775.0,2790.0,1339694
2020-02-12,2840.0,2935.0,2795.0,2930.0,1115840
2020-02-13,2950.0,3030.0,2870.0,3010.0,1556080
2020-02-14,2980.0,2995.0,2905.0,2945.0,704276
2020-02-17,2940.0,2940.0,2835.0,2850.0,529786
2020-02-18,2855.0,2880.0,2765.0,2780.0,384504
2020-02-19,2835.0,2870.0,2775.0,2820.0,347829
2020-02-20,2810.0,2820.0,2700.0,2745.0,519162
2020-02-21,2705.0,2775.0,2685.0,2720.0,367947
2020-02-24,2710.0,2735.0,2580.0,2610.0,509265
2020-02-25,2565.0,2725.0,2565.0,2705.0,340730
2020-02-26,2605.0,2785.0,2605.0,2670.0,333492
2020-02-27,2680.0,2680.0,2490.0,2500.0,481314
2020-02-28,2425.0,2485.0,2345.0,2350.0,367398
2020-03-02,2335.0,2495.0,2330.0,2475.0,274792
2020-03-03,2535.0,2540.0,2450.0,2450.0,169885
2020-03-04,2440.0,2490.0,2425.0,2485.0,140738
2020-03-05,2585.0,2620.0,2530.0,2590.0,329797
2020-03-06,2570.0,2615.0,2450.0,2485.0,411169
2020-03-09,2430.0,2430.0,2225.0,2245.0,581468
2020-03-10,2200.0,2260.0,2140.0,2260.0,292681
2020-03-11,2300.0,2300.0,2070.0,2125.0,299115
2020-03-12,2070.0,2100.0,1990.0,2010.0,412058
2020-03-13,1700.0,1835.0,1625.0,1795.0,694429
2020-03-16,1800.0,1900.0,1740.0,1740.0,346821
2020-03-17,1565.0,1775.0,1555.0,1755.0,390593
2020-03-18,1755.0,1790.0,1590.0,1630.0,351864
2020-03-19,1630.0,1655.0,1210.0,1245.0,474714
2020-03-20,1270.0,1530.0,1270.0,1440.0,1056239
2020-03-23,1310.0,1385.0,1310.0,1360.0,200820
2020-03-24,1400.0,1435.0,1310.0,1385.0,531247
2020-03-25,1440.0,1475.0,1415.0,1455.0,487097
2020-03-26,1465.0,1645.0,1430.0,1515.0,513355
2020-03-27,1575.0,1640.0,1460.0,1530.0,483941
2020-03-30,1485.0,1620.0,1450.0,1620.0,267340
2020-03-31,1700.0,1980.0,1655.0,1850.0,942198
2020-04-01,1890.0,2050.0,1800.0,1890.0,611970
2020-04-02,1890.0,2015.0,1790.0,1955.0,625113
2020-04-03,1960.0,2000.0,1925.0,1980.0,291760
2020-04-06,1980.0,2095.0,1975.0,2065.0,461874
2020-04-07,2185.0,2400.0,2100.0,2195.0,1453343
2020-04-08,2195.0,2195.0,2100.0,2150.0,407644
2020-04-09,2190.0,2270.0,2165.0,2250.0,529598
2020-04-10,2300.0,2350.0,2130.0,2210.0,344708
2020-04-13,2235.0,2235.0,2115.0,2125.0,320859
2020-04-14,2150.0,2165.0,2080.0,2145.0,169336
2020-04-16,2145.0,2240.0,2105.0,2240.0,132176
2020-04-17,2295.0,2315.0,2230.0,2300.0,324815
2020-04-20,2325.0,2500.0,2275.0,2355.0,1183195
2020-04-21,2370.0,2480.0,2145.0,2370.0,1155000
2020-04-22,2365.0,2540.0,2330.0,2480.0,1183727
2020-04-23,2590.0,2615.0,2520.0,2520.0,873526
2020-04-24,2605.0,2640.0,2460.0,2520.0,642616
2020-04-27,2545.0,2690.0,2525.0,2660.0,843091
2020-04-28,2710.0,2870.0,2560.0,2640.0,2306075
2020-04-29,2650.0,2755.0,2650.0,2685.0,548973
2020-05-04,2750.0,2840.0,2715.0,2790.0,825336
2020-05-06,2795.0,2895.0,2745.0,2895.0,691257
2020-05-07,2915.0,3125.0,2880.0,2955.0,1793443
2020-05-08,3045.0,3120.0,3010.0,3050.0,886119
2020-05-11,2995.0,3075.0,2790.0,3050.0,746958
2020-05-12,3250.0,3565.0,3100.0,3115.0,2690633
2020-05-13,3140.0,3600.0,3115.0,3390.0,5517529
2020-05-14,3395.0,3560.0,3355.0,3455.0,1966985
2020-05-15,3530.0,3600.0,3310.0,3410.0,1288766
2020-05-18,3390.0,4190.0,3250.0,3645.0,11426420
2020-05-19,3630.0,3665.0,3390.0,3390.0,1727063
2020-05-20,3385.0,3710.0,3370.0,3515.0,3133154
2020-05-21,3480.0,3490.0,3400.0,3420.0,925159
2020-05-22,3420.0,4050.0,3275.0,3415.0,6445088
2020-05-25,3490.0,3560.0,3410.0,3475.0,967628
2020-05-26,3560.0,3600.0,3470.0,3475.0,737528
2020-05-27,3520.0,3520.0,3395.0,3405.0,522903
2020-05-28,3475.0,3525.0,3340.0,3425.0,648623
2020-05-29,3425.0,3465.0,3340.0,3380.0,342110
2020-06-01,3425.0,3485.0,3375.0,3430.0,342415
2020-06-02,3490.0,3565.0,3460.0,3560.0,844355
2020-06-03,3520.0,3550.0,3420.0,3505.0,550543
2020-06-04,3495.0,3545.0,3440.0,3470.0,350996
2020-06-05,3500.0,3505.0,3450.0,3465.0,252136
2020-06-08,3465.0,3490.0,3425.0,3490.0,342626
2020-06-09,3525.0,3525.0,3410.0,3410.0,313489
2020-06-10,3425.0,3430.0,3240.0,3340.0,348303
2020-06-11,3360.0,3425.0,3255.0,3325.0,236846
2020-06-12,3055.0,3320.0,3050.0,3295.0,453822
2020-06-15,3295.0,3295.0,2860.0,2870.0,638138
2020-06-16,3015.0,3240.0,3000.0,3165.0,384653
2020-06-17,3150.0,3220.0,3000.0,3130.0,277771
2020-06-18,3130.0,3240.0,3040.0,3180.0,235267
2020-06-19,3210.0,3290.0,3130.0,3215.0,352368
2020-06-22,3210.0,3600.0,3175.0,3235.0,1754819
2020-06-23,3240.0,3420.0,3200.0,3400.0,1026425
2020-06-24,3470.0,3605.0,3405.0,3455.0,1661914
2020-06-25,3405.0,3570.0,3360.0,3500.0,860860
2020-06-26,3505.0,3860.0,3505.0,3760.0,4913032
2020-06-29,3765.0,4885.0,3720.0,4885.0,35547810
2020-06-30,4750.0,5760.0,4220.0,4395.0,49174277
2020-07-01,4400.0,4570.0,4105.0,4140.0,8559136
2020-07-02,4100.0,4305.0,4065.0,4150.0,3805220
2020-07-03,4400.0,4520.0,4005.0,4030.0,7391248
2020-07-06,4060.0,4310.0,4040.0,4310.0,3888923
2020-07-07,4410.0,5600.0,4370.0,5600.0,37271922
2020-07-08,5830.0,6080.0,5100.0,5270.0,17567528
2020-07-09,5310.0,5540.0,5190.0,5320.0,8494247
2020-07-10,5420.0,6630.0,5400.0,5850.0,38635269
2020-07-13,5800.0,6310.0,5790.0,5900.0,6881067
2020-07-14,5850.0,5910.0,5510.0,5510.0,3186994
2020-07-15,5460.0,6680.0,5440.0,5970.0,26904432
2020-07-16,6000.0,6070.0,5650.0,5780.0,2788033
2020-07-17,5780.0,6120.0,5650.0,5770.0,3536887
2020-07-20,5730.0,5970.0,5690.0,5790.0,1964701
2020-07-21,5820.0,6360.0,5610.0,6110.0,7595152
2020-07-22,6010.0,6140.0,5880.0,5900.0,2136921
2020-07-23,5820.0,5970.0,5520.0,5600.0,1955745
2020-07-24,5530.0,5610.0,5180.0,5210.0,2461441
2020-07-27,5320.0,6050.0,5200.0,5280.0,8610360
2020-07-28,5400.0,5710.0,5210.0,5270.0,4591871
2020-07-29,5350.0,5640.0,4970.0,5150.0,3907016
2020-07-30,5170.0,5270.0,4950.0,5210.0,2013044
2020-07-31,5290.0,5360.0,5130.0,5170.0,1061017
2020-08-03,5290.0,5800.0,5240.0,5490.0,6127125
2020-08-04,5460.0,5830.0,5440.0,5810.0,4765522
2020-08-05,5910.0,5930.0,5500.0,5540.0,2703355
2020-08-06,5580.0,5590.0,5400.0,5420.0,1096834
2020-08-07,5470.0,5500.0,5230.0,5240.0,1240797
2020-08-10,5210.0,5400.0,5120.0,5360.0,761663
2020-08-11,5310.0,5350.0,5180.0,5230.0,589614
2020-08-12,5180.0,5240.0,4990.0,5050.0,769395
2020-08-13,5060.0,5190.0,5030.0,5100.0,485775
2020-08-14,5100.0,5100.0,4805.0,4870.0,791167
2020-08-18,4890.0,5000.0,4530.0,4600.0,868970
2020-08-19,4600.0,4945.0,4600.0,4900.0,704476
2020-08-20,4900.0,4900.0,4465.0,4550.0,761169
2020-08-21,4575.0,4850.0,4500.0,4635.0,766630
2020-08-24,4555.0,4840.0,4450.0,4820.0,524597
2020-08-25,4795.0,5460.0,4795.0,5040.0,4854051
2020-08-26,4980.0,4980.0,4810.0,4890.0,952497
2020-08-27,4890.0,4915.0,4700.0,4700.0,623491
2020-08-28,4655.0,4875.0,4655.0,4855.0,473306
2020-08-31,4890.0,4930.0,4820.0,4845.0,333524
2020-09-01,4845.0,5230.0,4810.0,5150.0,1243718
2020-09-02,5150.0,5180.0,5000.0,5090.0,646281
2020-09-03,5050.0,5190.0,4980.0,5000.0,558532
2020-09-04,4710.0,4940.0,4705.0,4830.0,695369
2020-09-07,4830.0,4960.0,4760.0,4905.0,562148
