date,open,high,low,close,volume
2020-01-02,2145.0,2170.0,2110.0,2135.0,387954
2020-01-03,2145.0,2170.0,2110.0,2155.0,611293
2020-01-06,2155.0,2155.0,2040.0,2045.0,446264
2020-01-07,2050.0,2130.0,2050.0,2070.0,324445
2020-01-08,2070.0,2095.0,1950.0,1985.0,568966
2020-01-09,2020.0,2140.0,2020.0,2140.0,550776
2020-01-10,2175.0,2190.0,2125.0,2160.0,448182
2020-01-13,2190.0,2200.0,2140.0,2145.0,416164
2020-01-14,2145.0,2170.0,2110.0,2135.0,256689
2020-01-15,2150.0,2170.0,2120.0,2150.0,219985
2020-01-16,2140.0,2175.0,2120.0,2155.0,296088
2020-01-17,2165.0,2195.0,2145.0,2195.0,286537
2020-01-20,2215.0,2220.0,2110.0,2115.0,255164
2020-01-21,2125.0,2155.0,2040.0,2060.0,305540
2020-01-22,2075.0,2135.0,2055.0,2130.0,201115
2020-01-23,2130.0,2155.0,2100.0,2150.0,237808
2020-01-28,2060.0,2100.0,1995.0,2015.0,491970
2020-01-29,2045.0,2050.0,1990.0,1995.0,236448
2020-01-30,1995.0,2020.0,1860.0,1900.0,515850
2020-01-31,1890.0,1955.0,1865.0,1885.0,256296
2020-02-03,1810.0,1915.0,1770.0,1890.0,407990
2020-02-04,1880.0,2355.0,1880.0,2045.0,6304833
2020-02-05,2045.0,2085.0,2005.0,2050.0,714361
2020-02-06,2060.0,2105.0,1985.0,2010.0,577892
2020-02-07,1990.0,2030.0,1990.0,2010.0,195411
2020-02-10,1995.0,2015.0,1950.0,1980.0,297776
2020-02-11,1990.0,2100.0,1950.0,1970.0,399564
2020-02-12,1970.0,2045.0,1960.0,2010.0,327299
2020-02-13,2010.0,2065.0,1930.0,1975.0,301276
2020-02-14,1995.0,2050.0,1980.0,2020.0,250269
2020-02-17,2025.0,2065.0,1990.0,2015.0,335273
2020-02-18,2000.0,2040.0,1950.0,1955.0,250020
2020-02-19,1955.0,1980.0,1890.0,1935.0,294854
2020-02-20,1940.0,2000.0,1810.0,1845.0,1729266
2020-02-21,1820.0,1885.0,1790.0,1795.0,322951
2020-02-24,1790.0,1795.0,1650.0,1680.0,392562
2020-02-25,1630.0,1790.0,1630.0,1735.0,310020
2020-02-26,1680.0,1745.0,1670.0,1715.0,149610
2020-02-27,1695.0,1725.0,1535.0,1620.0,405602
2020-02-28,1600.0,1620.0,1460.0,1575.0,557204
2020-03-02,1575.0,1600.0,1510.0,1575.0,303474
2020-03-03,1590.0,1630.0,1565.0,1580.0,271484
2020-03-04,1580.0,1625.0,1560.0,1595.0,172369
2020-03-05,1615.0,1645.0,1585.0,1645.0,223574
2020-03-06,1640.0,1640.0,1550.0,1570.0,269989
2020-03-09,1480.0,1540.0,1380.0,1380.0,710537
2020-03-10,1340.0,1415.0,1315.0,1415.0,555564
2020-03-11,1405.0,1420.0,1250.0,1325.0,594465
2020-03-12,1300.0,1320.0,1175.0,1175.0,581402
2020-03-13,945.0,1050.0,879.0,957.0,982380
2020-03-16,972.0,1230.0,972.0,985.0,4060470
2020-03-17,967.0,1085.0,922.0,1045.0,1185150
2020-03-18,1050.0,1355.0,1050.0,1125.0,5823731
2020-03-19,1130.0,1440.0,1110.0,1265.0,17746083
2020-03-20,1250.0,1370.0,1245.0,1275.0,5625357
