date,open,high,low,close,volume
2020-01-02,37850.0,37900.0,37250.0,37350.0,236737
2020-01-03,37350.0,37450.0,37050.0,37100.0,252865
2020-01-06,37350.0,37350.0,36450.0,36550.0,253857
2020-01-07,36500.0,36800.0,36450.0,36600.0,165083
2020-01-08,36500.0,36550.0,35050.0,35100.0,415248
2020-01-09,35500.0,35800.0,35000.0,35350.0,276805
2020-01-10,35250.0,35250.0,34800.0,34900.0,246944
2020-01-13,34900.0,35450.0,34800.0,35450.0,265608
2020-01-14,35500.0,35700.0,35250.0,35350.0,207248
2020-01-15,35350.0,35600.0,35250.0,35500.0,175662
2020-01-16,35500.0,35500.0,34950.0,35050.0,301731
2020-01-17,35050.0,35250.0,35000.0,35050.0,150475
2020-01-20,35100.0,35100.0,34850.0,35000.0,162506
2020-01-21,34650.0,35150.0,34600.0,34900.0,142888
2020-01-22,34850.0,34950.0,34650.0,34800.0,142938
2020-01-23,34850.0,35000.0,34750.0,34950.0,126618
2020-01-28,34500.0,34500.0,32900.0,33200.0,459159
2020-01-29,33200.0,33400.0,33050.0,33200.0,187665
2020-01-30,33000.0,33350.0,32500.0,32950.0,250477
2020-01-31,32500.0,33000.0,32500.0,32500.0,151927
2020-02-03,31650.0,31900.0,31200.0,31700.0,338416
2020-02-04,31650.0,32300.0,31600.0,31950.0,233321
2020-02-05,32050.0,33150.0,31850.0,32850.0,369368
2020-02-06,33200.0,33700.0,32950.0,33400.0,207527
2020-02-07,33400.0,33900.0,33100.0,33700.0,155764
2020-02-10,33650.0,33800.0,33200.0,33450.0,127926
2020-02-11,33450.0,33750.0,33350.0,33500.0,105252
2020-02-12,33250.0,33600.0,33000.0,33350.0,153099
2020-02-13,33200.0,33650.0,33200.0,33400.0,235744
2020-02-14,33150.0,33350.0,32450.0,32650.0,263578
2020-02-17,32650.0,33200.0,32650.0,33100.0,135357
2020-02-18,32750.0,33250.0,32600.0,33100.0,172548
2020-02-19,33350.0,33350.0,32550.0,32650.0,192933
2020-02-20,32650.0,33000.0,32100.0,32300.0,190931
2020-02-21,32000.0,32100.0,31400.0,31600.0,247513
2020-02-24,30750.0,31200.0,30400.0,30400.0,235669
2020-02-25,29800.0,30150.0,29750.0,30000.0,335709
2020-02-26,29700.0,29950.0,29100.0,29450.0,387170
2020-02-27,29500.0,29600.0,28900.0,28950.0,334311
2020-02-28,28200.0,28500.0,27550.0,28100.0,566871
2020-03-02,28000.0,28200.0,26950.0,27050.0,539518
2020-03-03,27400.0,27800.0,27100.0,27150.0,353176
2020-03-04,27050.0,27300.0,26850.0,27200.0,418439
2020-03-05,27500.0,27750.0,27200.0,27750.0,267330
2020-03-06,27400.0,27450.0,26900.0,27000.0,301930
2020-03-09,26400.0,26500.0,25700.0,25800.0,400724
2020-03-10,25300.0,25700.0,25050.0,25300.0,335314
2020-03-11,25300.0,25850.0,25000.0,25150.0,284024
2020-03-12,24700.0,24950.0,23150.0,23850.0,615505
2020-03-13,21500.0,22400.0,21250.0,21750.0,775512
2020-03-16,22150.0,22600.0,21000.0,21100.0,482654
2020-03-17,20000.0,20600.0,19500.0,19850.0,579279
2020-03-18,19900.0,20100.0,18150.0,18150.0,455853
2020-03-19,18150.0,18500.0,16450.0,16600.0,664690
2020-03-20,17050.0,19350.0,17050.0,19350.0,603641
2020-03-23,17700.0,19200.0,17550.0,18300.0,447626
2020-03-24,18650.0,19400.0,18350.0,19350.0,426787
2020-03-25,20550.0,20600.0,20000.0,20550.0,577543
2020-03-26,20550.0,21200.0,19900.0,20550.0,453931
2020-03-27,21300.0,21600.0,20550.0,21100.0,327019
2020-03-30,20100.0,21400.0,20000.0,21350.0,279090
2020-03-31,21750.0,21950.0,21250.0,21500.0,340490
2020-04-01,21150.0,22050.0,21000.0,21100.0,321272
2020-04-02,21100.0,21750.0,20600.0,21750.0,292016
2020-04-03,22500.0,22750.0,21800.0,22100.0,344545
2020-04-06,22200.0,23500.0,22150.0,23350.0,397145
2020-04-07,24150.0,24800.0,23350.0,24100.0,627508
2020-04-08,23850.0,24300.0,23450.0,24100.0,408856
2020-04-09,24650.0,24700.0,24250.0,24450.0,322138
2020-04-10,24600.0,25350.0,24450.0,25350.0,529235
2020-04-13,27100.0,27750.0,26650.0,26800.0,811153
2020-04-14,26900.0,27150.0,26500.0,26950.0,425433
2020-04-16,26400.0,26950.0,25750.0,26600.0,437257
2020-04-17,26800.0,27100.0,26750.0,26900.0,295196
2020-04-20,26950.0,27650.0,26900.0,27400.0,414722
2020-04-21,27300.0,27300.0,25500.0,26700.0,483961
2020-04-22,25800.0,26150.0,25550.0,25900.0,498541
2020-04-23,26250.0,26750.0,26100.0,26750.0,278019
2020-04-24,26650.0,26650.0,26100.0,26250.0,278853
2020-04-27,26250.0,27000.0,26200.0,26950.0,328373
2020-04-28,27050.0,27050.0,26600.0,26750.0,279823
2020-04-29,26850.0,27050.0,26750.0,26950.0,303201
2020-05-04,26750.0,26800.0,26350.0,26600.0,288385
2020-05-06,26950.0,26950.0,26550.0,26700.0,175876
2020-05-07,26550.0,27500.0,26450.0,27100.0,351928
2020-05-08,27250.0,27450.0,27200.0,27400.0,253162
2020-05-11,27400.0,27600.0,27300.0,27500.0,221361
2020-05-12,27450.0,27500.0,26700.0,26900.0,274775
2020-05-13,26550.0,27250.0,26400.0,27150.0,217335
2020-05-14,27450.0,27600.0,26700.0,27100.0,395536
2020-05-15,27100.0,27250.0,26850.0,26950.0,200736
2020-05-18,27150.0,27200.0,26650.0,27000.0,163121
2020-05-19,27500.0,27800.0,27400.0,27500.0,306206
2020-05-20,27550.0,27750.0,27450.0,27700.0,144808
2020-05-21,27750.0,27950.0,27600.0,27900.0,213908
2020-05-22,28000.0,28000.0,27600.0,27700.0,197272
2020-05-25,27850.0,27950.0,27600.0,27900.0,139790
2020-05-26,27950.0,28750.0,27750.0,28450.0,246849
2020-05-27,28150.0,29150.0,28150.0,29150.0,228956
2020-05-28,29250.0,29850.0,28700.0,29150.0,333794
2020-05-29,29050.0,29850.0,28650.0,29850.0,358927
2020-06-01,29850.0,29900.0,29200.0,29300.0,312863
2020-06-02,29300.0,30000.0,28900.0,29500.0,244828
2020-06-03,29500.0,30250.0,29500.0,30200.0,409261
2020-06-04,30900.0,31000.0,29850.0,30300.0,316302
2020-06-05,30000.0,31450.0,30000.0,31350.0,339687
2020-06-08,31800.0,31900.0,31050.0,31700.0,233037
2020-06-09,31650.0,31900.0,30700.0,30700.0,343153
2020-06-10,30500.0,30700.0,29900.0,30000.0,289592
2020-06-11,29750.0,29950.0,28900.0,29250.0,393314
2020-06-12,27950.0,28250.0,27550.0,27750.0,520910
2020-06-15,27650.0,27650.0,25650.0,25650.0,489953
2020-06-16,25900.0,28500.0,25900.0,28400.0,489187
2020-06-17,28000.0,28250.0,27200.0,27650.0,277959
2020-06-18,27250.0,27600.0,26900.0,27250.0,195437
2020-06-19,27600.0,27750.0,27050.0,27150.0,200976
2020-06-22,27000.0,27100.0,26650.0,26650.0,170270
2020-06-23,26800.0,27300.0,26500.0,26750.0,165907
2020-06-24,26750.0,27500.0,26600.0,27300.0,185176
2020-06-25,26750.0,27100.0,26500.0,26500.0,183046
2020-06-26,26750.0,27150.0,26600.0,26650.0,148043
2020-06-29,26300.0,26400.0,25900.0,25950.0,174943
2020-06-30,26100.0,26500.0,26050.0,26200.0,200067
2020-07-01,26250.0,26400.0,25900.0,26100.0,119673
2020-07-02,26300.0,26350.0,26100.0,26200.0,91685
2020-07-03,26250.0,26450.0,26150.0,26250.0,93509
2020-07-06,26250.0,26700.0,26050.0,26600.0,118969
2020-07-07,26750.0,27200.0,26250.0,26300.0,192405
2020-07-08,26300.0,26550.0,26200.0,26300.0,107358
2020-07-09,26550.0,26650.0,26300.0,26350.0,129657
2020-07-10,26400.0,26400.0,25700.0,25750.0,221322
2020-07-13,25850.0,26300.0,25800.0,26200.0,124325
2020-07-14,26050.0,26250.0,25850.0,26050.0,112155
2020-07-15,26650.0,26900.0,26100.0,26300.0,235892
2020-07-16,26400.0,26650.0,26150.0,26150.0,178156
2020-07-17,26150.0,26400.0,26000.0,26100.0,111034
2020-07-20,26000.0,26100.0,25750.0,25950.0,166856
2020-07-21,25950.0,25950.0,25750.0,25750.0,307909
2020-07-22,25850.0,26200.0,25750.0,25800.0,317260
2020-07-23,25850.0,25850.0,25500.0,25500.0,285375
2020-07-24,25500.0,25550.0,25300.0,25500.0,160787
2020-07-27,25500.0,25750.0,25450.0,25450.0,168654
2020-07-28,25300.0,25550.0,25300.0,25300.0,217753
2020-07-29,25250.0,25600.0,25150.0,25400.0,160501
2020-07-30,25350.0,25550.0,25250.0,25300.0,162452
2020-07-31,25300.0,25400.0,25100.0,25350.0,187439
2020-08-03,25400.0,25400.0,25050.0,25050.0,128046
2020-08-04,25100.0,25350.0,25000.0,25050.0,176478
2020-08-05,25000.0,25100.0,24700.0,24750.0,236281
2020-08-06,24900.0,25100.0,24800.0,24900.0,206781
2020-08-07,24950.0,25150.0,24750.0,24800.0,182895
2020-08-10,24650.0,24750.0,24450.0,24700.0,248213
2020-08-11,24800.0,25700.0,24750.0,25700.0,480550
2020-08-12,25700.0,26450.0,25350.0,26450.0,445907
2020-08-13,26850.0,27100.0,26250.0,26600.0,438258
2020-08-14,26650.0,27000.0,26250.0,26450.0,346018
2020-08-18,25750.0,26150.0,24600.0,24800.0,530953
2020-08-19,24650.0,25050.0,24650.0,24800.0,225129
2020-08-20,25200.0,25250.0,23700.0,23700.0,422064
2020-08-21,23700.0,24100.0,23650.0,23800.0,208747
2020-08-24,23800.0,24150.0,23300.0,24150.0,200070
2020-08-25,24250.0,24800.0,24000.0,24600.0,220431
2020-08-26,24600.0,24650.0,24050.0,24400.0,184292
2020-08-27,24150.0,24300.0,23600.0,23700.0,224628
2020-08-28,23950.0,23950.0,23700.0,23850.0,173971
2020-08-31,23800.0,24100.0,23550.0,23600.0,344511
2020-09-01,23600.0,24250.0,23500.0,23950.0,233552
2020-09-02,24150.0,24250.0,23850.0,24100.0,149845
2020-09-03,24300.0,24350.0,23950.0,24150.0,175115
2020-09-04,24000.0,24100.0,23500.0,23650.0,246268
2020-09-07,23650.0,23850.0,23550.0,23700.0,145907
2020-09-08,23950.0,24100.0,23700.0,23750.0,163480
2020-09-09,23700.0,23800.0,23400.0,23400.0,216225
2020-09-10,23500.0,23600.0,23300.0,23350.0,289705
2020-09-11,23300.0,23400.0,23100.0,23200.0,163985
2020-09-14,23250.0,23800.0,23250.0,23700.0,184397
2020-09-15,23750.0,23950.0,23450.0,23950.0,223974
2020-09-16,24000.0,25200.0,24000.0,25000.0,832021
2020-09-17,25050.0,25950.0,25000.0,25050.0,789301
2020-09-18,24900.0,25250.0,24550.0,24750.0,258589
2020-09-21,24800.0,25100.0,24500.0,25000.0,277738
2020-09-22,24750.0,24850.0,24050.0,24050.0,293497
2020-09-23,24150.0,24500.0,23750.0,24450.0,181154
2020-09-24,24300.0,24300.0,23700.0,23700.0,185689
2020-09-25,23750.0,24100.0,23750.0,23800.0,99918
2020-09-28,24000.0,24200.0,23750.0,24050.0,92330
2020-09-29,24400.0,24900.0,24250.0,24650.0,219407
2020-10-05,24950.0,25750.0,24750.0,25700.0,417112
2020-10-06,25750.0,26050.0,25450.0,25550.0,250384
2020-10-07,25300.0,25750.0,25200.0,25550.0,175639
2020-10-08,25900.0,25900.0,25450.0,25600.0,224394
2020-10-12,25700.0,25850.0,25050.0,25200.0,205342
2020-10-13,25200.0,25650.0,24950.0,25600.0,207787
2020-10-14,25550.0,25650.0,25050.0,25100.0,221909
2020-10-15,25050.0,27200.0,25000.0,27000.0,1029107
2020-10-16,27600.0,29950.0,27000.0,29400.0,3010505
2020-10-19,29750.0,31500.0,29650.0,31450.0,2582882
2020-10-20,31000.0,31000.0,29800.0,30000.0,1175583
2020-10-21,30450.0,32450.0,30300.0,32450.0,1943334
2020-10-22,32100.0,32700.0,31700.0,32250.0,845220
2020-10-23,31900.0,32150.0,30700.0,31150.0,807443
2020-10-26,30850.0,30900.0,29250.0,29350.0,932391
2020-10-27,28950.0,29450.0,28200.0,29400.0,988099
2020-10-28,28900.0,29450.0,28550.0,28900.0,514806
2020-10-29,28150.0,28400.0,27900.0,28350.0,514021
2020-10-30,28400.0,28450.0,27100.0,27250.0,505429
2020-11-02,27350.0,28000.0,27250.0,27800.0,262004
2020-11-03,27800.0,28700.0,27500.0,27700.0,497793
2020-11-04,28050.0,28100.0,27150.0,27400.0,457093
2020-11-05,27750.0,29450.0,27700.0,29450.0,1016864
2020-11-06,29700.0,29700.0,28550.0,28800.0,561665
2020-11-09,29200.0,29300.0,28700.0,29200.0,431691
2020-11-10,29600.0,30800.0,29200.0,30800.0,912825
2020-11-11,30950.0,31700.0,30350.0,30550.0,624384
2020-11-12,30550.0,30550.0,29850.0,30100.0,517424
2020-11-13,29750.0,29750.0,28900.0,29100.0,483219
2020-11-16,29100.0,29700.0,28650.0,29250.0,352454
2020-11-17,29350.0,29400.0,28800.0,29050.0,291610
2020-11-18,28900.0,29200.0,28500.0,28900.0,333340
2020-11-19,28700.0,28700.0,28300.0,28550.0,227808
2020-11-20,28300.0,29000.0,28300.0,29000.0,222332
2020-11-23,29050.0,29250.0,28800.0,29200.0,297537
2020-11-24,29300.0,30000.0,29200.0,29700.0,502552
2020-11-25,29950.0,30850.0,29750.0,29950.0,806948
2020-11-26,30050.0,30500.0,29350.0,29400.0,397736
2020-11-27,29350.0,29450.0,29050.0,29150.0,364625
2020-11-30,29100.0,29400.0,28350.0,28350.0,611416
2020-12-01,28500.0,29100.0,28500.0,28800.0,241010
2020-12-02,29000.0,29050.0,28750.0,28850.0,183411
2020-12-03,28900.0,28900.0,28450.0,28850.0,237834
2020-12-04,28900.0,29150.0,28800.0,29150.0,314860
2020-12-07,29150.0,29200.0,28350.0,28750.0,277326
2020-12-08,28750.0,28750.0,28050.0,28050.0,364485
2020-12-09,28150.0,28600.0,28150.0,28550.0,254220
2020-12-10,28500.0,29650.0,28250.0,29350.0,823382
2020-12-11,29700.0,31000.0,29650.0,30900.0,1314524
2020-12-14,31050.0,31100.0,30000.0,30000.0,545689
2020-12-15,30300.0,30500.0,29500.0,29650.0,537434
2020-12-16,29800.0,30000.0,29550.0,29900.0,288569
2020-12-17,29850.0,31050.0,29800.0,31000.0,844422
2020-12-18,31400.0,32500.0,31350.0,32000.0,2025014
2020-12-21,32450.0,32500.0,30750.0,31050.0,812055
2020-12-22,31000.0,31000.0,29950.0,30050.0,574600
2020-12-23,30100.0,30600.0,29700.0,30300.0,405777
2020-12-24,30300.0,30550.0,30000.0,30300.0,267791
2020-12-28,30650.0,30850.0,30400.0,30800.0,376027
2020-12-29,31150.0,31150.0,29950.0,30350.0,452857
2020-12-30,30500.0,31300.0,30400.0,30900.0,498802
2021-01-04,31300.0,31350.0,30500.0,30800.0,532969
2021-01-05,30700.0,31250.0,30500.0,31050.0,476912
2021-01-06,31500.0,32300.0,31250.0,31950.0,1210887
2021-01-07,32300.0,32550.0,31600.0,31900.0,658690
2021-01-08,32350.0,32350.0,31550.0,31900.0,761929
2021-01-11,32200.0,32300.0,30650.0,30950.0,938032
2021-01-12,31150.0,33700.0,31100.0,32700.0,2376805
2021-01-13,33100.0,33300.0,32000.0,32550.0,809253
2021-01-14,33150.0,34700.0,32600.0,34600.0,1723659
2021-01-15,34900.0,35150.0,33700.0,33800.0,1103227
2021-01-18,33300.0,34650.0,32750.0,34100.0,897647
2021-01-19,34250.0,35150.0,33700.0,35000.0,834947
2021-01-20,35250.0,35300.0,33950.0,34300.0,709057
2021-01-21,34150.0,34250.0,33550.0,33700.0,608401
2021-01-22,33550.0,34600.0,32950.0,34100.0,848907
2021-01-25,34200.0,34350.0,33600.0,34000.0,392888
2021-01-26,34250.0,34600.0,33650.0,34350.0,570895
2021-01-27,34550.0,34550.0,33800.0,33800.0,415151
2021-01-28,33000.0,33150.0,32100.0,32300.0,785981
2021-01-29,32550.0,32600.0,30850.0,31000.0,645236
2021-02-01,31000.0,31600.0,30050.0,31550.0,392850
2021-02-02,31700.0,32200.0,31450.0,31900.0,360329
2021-02-03,32150.0,32250.0,31350.0,31500.0,356013
2021-02-04,31600.0,32050.0,31050.0,31750.0,375282
2021-02-05,31850.0,32000.0,31500.0,32000.0,285097
2021-02-08,32100.0,33700.0,32000.0,33700.0,720646
2021-02-09,33600.0,33650.0,33000.0,33400.0,374990
2021-02-10,33300.0,33350.0,32650.0,33000.0,339517
2021-02-15,33200.0,34000.0,32700.0,33700.0,358487
2021-02-16,33700.0,33800.0,33150.0,33300.0,313413
2021-02-17,33450.0,34800.0,33350.0,34300.0,888645
2021-02-18,34150.0,34800.0,33600.0,33600.0,362524
2021-02-19,33650.0,33850.0,32400.0,33000.0,427544
2021-02-22,33250.0,33650.0,32850.0,32950.0,284343
2021-02-23,32900.0,33500.0,32550.0,33350.0,342495
2021-02-24,33500.0,33900.0,32600.0,32650.0,416713
2021-02-25,32950.0,33200.0,32750.0,32950.0,261864
2021-02-26,32500.0,32500.0,31550.0,31850.0,546943
2021-03-02,32500.0,33250.0,32400.0,32700.0,479843
2021-03-03,33300.0,34350.0,33300.0,33950.0,826625
2021-03-04,33900.0,34250.0,32950.0,33400.0,563112
2021-03-05,33700.0,34100.0,33150.0,33400.0,495105
2021-03-08,33800.0,33900.0,32950.0,33050.0,355070
2021-03-09,33050.0,33300.0,32300.0,32950.0,361540
2021-03-10,33000.0,33050.0,31900.0,32100.0,395474
2021-03-11,32100.0,32350.0,31800.0,31900.0,404212
2021-03-12,31950.0,32300.0,31950.0,32100.0,284030
2021-03-15,32150.0,32400.0,31800.0,32250.0,208978
2021-03-16,32300.0,33600.0,32300.0,33450.0,574351
2021-03-17,33450.0,33500.0,32850.0,33100.0,233210
2021-03-18,33250.0,33300.0,32900.0,32950.0,257474
2021-03-19,32700.0,33100.0,32150.0,33100.0,353208
2021-03-22,32900.0,33000.0,32500.0,32600.0,234654
2021-03-23,32500.0,32750.0,32100.0,32200.0,274686
2021-03-24,32100.0,32250.0,31800.0,32050.0,185516
2021-03-25,32100.0,32700.0,32050.0,32650.0,186854
2021-03-26,32900.0,32900.0,32350.0,32800.0,200972
2021-03-29,32750.0,33350.0,32600.0,33300.0,346919
2021-03-30,33350.0,33700.0,33300.0,33500.0,379741
2021-03-31,33500.0,33700.0,33050.0,33700.0,271797
2021-04-01,33700.0,34300.0,33300.0,33400.0,403009
2021-04-02,33250.0,33300.0,32800.0,32850.0,257120
2021-04-05,32850.0,33300.0,32500.0,33150.0,170433
2021-04-06,33100.0,33200.0,32850.0,33150.0,149325
2021-04-07,33450.0,34200.0,33400.0,33650.0,460658
2021-04-08,33600.0,33950.0,33400.0,33900.0,284002
2021-04-09,34050.0,34050.0,33400.0,33700.0,196012
2021-04-12,33800.0,33850.0,33000.0,33100.0,237387
2021-04-13,33150.0,33300.0,33000.0,33300.0,168372
2021-04-14,33200.0,33500.0,33150.0,33450.0,171558
2021-04-15,33400.0,33600.0,33200.0,33300.0,165388
2021-04-16,33350.0,33450.0,33200.0,33250.0,140955
2021-04-19,33300.0,33350.0,33100.0,33100.0,244657
2021-04-20,33150.0,33800.0,33100.0,33750.0,283886
2021-04-21,33650.0,33700.0,33050.0,33200.0,265415
2021-04-22,33200.0,33750.0,33200.0,33300.0,212532
2021-04-23,33250.0,33350.0,33000.0,33100.0,162811
2021-04-26,33100.0,33350.0,32900.0,33350.0,259329
2021-04-27,33400.0,33500.0,33100.0,33350.0,254687
2021-04-28,33500.0,34300.0,33400.0,33450.0,803386
2021-04-29,33600.0,35300.0,33500.0,34900.0,1387063
2021-04-30,35150.0,35800.0,34800.0,34900.0,845962
2021-05-03,34500.0,34550.0,32100.0,32500.0,1398615
2021-05-04,32350.0,32400.0,31050.0,31450.0,840598
2021-05-06,31450.0,32700.0,31350.0,32700.0,485037
2021-05-07,32650.0,33000.0,32500.0,32900.0,280765
2021-05-10,33050.0,33200.0,32650.0,33150.0,335026
2021-05-11,33050.0,33300.0,32700.0,33200.0,291052
2021-05-12,33050.0,33100.0,31900.0,32100.0,535779
2021-05-13,31500.0,32700.0,31500.0,32100.0,507372
2021-05-14,32300.0,32700.0,31800.0,32150.0,383722
2021-05-17,32200.0,32300.0,31500.0,31500.0,474026
2021-05-18,31500.0,32000.0,31200.0,31800.0,629914
2021-05-20,31700.0,31700.0,31250.0,31500.0,436429
2021-05-21,31700.0,31850.0,31400.0,31700.0,347667
2021-05-24,31950.0,31950.0,31350.0,31500.0,521481
2021-05-25,31550.0,31700.0,31300.0,31450.0,546544
2021-05-26,31500.0,32300.0,31450.0,32150.0,720752
2021-05-27,32100.0,33250.0,32100.0,32550.0,3096312
2021-05-28,32750.0,33550.0,32750.0,33200.0,795251
2021-05-31,33300.0,33400.0,32700.0,32900.0,400419
2021-06-01,33200.0,33750.0,32950.0,33650.0,696257
2021-06-02,33700.0,33750.0,33200.0,33400.0,591733
2021-06-03,33550.0,35150.0,33400.0,34500.0,1293365
2021-06-04,34200.0,35200.0,34200.0,34750.0,843105
2021-06-07,35400.0,38800.0,35000.0,38700.0,3195588
2021-06-08,39050.0,39800.0,37600.0,37700.0,1756846
2021-06-09,37700.0,39500.0,37350.0,38650.0,1490835
2021-06-10,38650.0,39000.0,37800.0,37850.0,1026294
2021-06-11,38300.0,39550.0,37750.0,38100.0,1292848
2021-06-14,38100.0,38750.0,37500.0,38550.0,696586
2021-06-15,38650.0,38950.0,38000.0,38450.0,458358
2021-06-16,38350.0,39450.0,38150.0,38800.0,636349
2021-06-17,38550.0,39850.0,38450.0,39550.0,828452
2021-06-18,39450.0,39450.0,38650.0,38900.0,635131
2021-06-21,38250.0,38500.0,36800.0,37250.0,1280515
2021-06-22,37550.0,37850.0,37100.0,37300.0,473906
2021-06-23,37400.0,37700.0,36650.0,36800.0,374000
2021-06-24,36900.0,37450.0,35900.0,37050.0,563947
2021-06-25,37150.0,37700.0,36850.0,37450.0,413483
2021-06-28,37500.0,37550.0,36850.0,37300.0,306011
2021-06-29,37300.0,37300.0,36500.0,37050.0,302191
2021-06-30,37200.0,37400.0,36850.0,36900.0,254058
2021-07-01,36900.0,36950.0,36300.0,36450.0,330475
2021-07-02,36500.0,36900.0,36350.0,36700.0,223584
2021-07-05,36900.0,37750.0,36900.0,37600.0,456922
2021-07-06,37500.0,37950.0,37200.0,37400.0,343576
2021-07-07,37200.0,37250.0,36250.0,36600.0,505769
2021-07-08,36600.0,36650.0,35400.0,35400.0,676174
2021-07-09,35000.0,35250.0,34450.0,35250.0,432234
2021-07-12,35450.0,35700.0,35300.0,35300.0,222803
