date,open,high,low,close,volume
2020-01-02,6920.0,6950.0,6880.0,6930.0,31346
2020-01-03,6920.0,7110.0,6920.0,7050.0,89206
2020-01-06,7040.0,7100.0,6860.0,6900.0,89611
2020-01-07,6910.0,6980.0,6860.0,6920.0,42922
2020-01-08,6850.0,6880.0,6600.0,6600.0,95241
2020-01-09,6680.0,6760.0,6680.0,6720.0,35754
2020-01-10,6720.0,6810.0,6710.0,6760.0,35649
2020-01-13,6800.0,6840.0,6750.0,6790.0,28636
2020-01-14,6780.0,6890.0,6780.0,6840.0,34867
2020-01-15,6830.0,6890.0,6800.0,6830.0,40411
2020-01-16,6870.0,6900.0,6790.0,6830.0,59133
2020-01-17,6890.0,7030.0,6850.0,6920.0,131203
2020-01-20,6950.0,7000.0,6770.0,6800.0,67436
2020-01-21,6770.0,6870.0,6680.0,6730.0,64090
2020-01-22,6750.0,6780.0,6630.0,6670.0,78780
2020-01-23,6640.0,6690.0,6600.0,6670.0,45169
2020-01-28,6570.0,6570.0,6370.0,6390.0,100004
2020-01-29,6470.0,6680.0,6390.0,6470.0,41339
2020-01-30,6420.0,6470.0,6230.0,6280.0,103486
2020-01-31,6230.0,6400.0,6100.0,6200.0,69851
2020-02-03,6000.0,6070.0,5890.0,5950.0,123316
2020-02-04,5930.0,6140.0,5930.0,6110.0,88527
2020-02-05,6200.0,6230.0,6040.0,6040.0,91858
2020-02-06,6060.0,6230.0,6060.0,6210.0,82698
2020-02-07,6220.0,6230.0,6130.0,6200.0,44117
2020-02-10,6230.0,6230.0,6110.0,6170.0,59037
2020-02-11,6180.0,6320.0,6180.0,6290.0,57556
2020-02-12,6300.0,6350.0,6220.0,6260.0,111706
2020-02-13,6340.0,6340.0,6250.0,6260.0,110542
2020-02-14,6300.0,6310.0,6220.0,6310.0,46300
2020-02-17,6330.0,6330.0,6210.0,6250.0,37106
2020-02-18,6250.0,6250.0,6080.0,6160.0,69623
2020-02-19,6130.0,6160.0,5970.0,6000.0,100136
2020-02-20,6000.0,6050.0,5880.0,5900.0,72927
2020-02-21,5850.0,5900.0,5660.0,5690.0,156561
2020-02-24,5550.0,5620.0,5390.0,5400.0,115676
2020-02-25,5330.0,5540.0,5330.0,5530.0,96233
2020-02-26,5410.0,5530.0,5400.0,5520.0,38419
2020-02-27,5460.0,5700.0,5460.0,5650.0,105582
