date,open,high,low,close,volume
2020-01-02,8580.0,8710.0,8580.0,8700.0,36677
2020-01-03,8630.0,8750.0,8560.0,8590.0,55674
2020-01-06,8600.0,8600.0,8480.0,8530.0,13151
2020-01-07,8550.0,8570.0,8380.0,8530.0,23911
2020-01-08,8530.0,8530.0,8310.0,8330.0,43519
2020-01-09,8430.0,8500.0,8320.0,8460.0,6527
2020-01-10,8460.0,8820.0,8460.0,8790.0,95793
2020-01-13,8790.0,9160.0,8760.0,9010.0,63944
2020-01-14,9040.0,9150.0,8800.0,8970.0,21872
2020-01-15,8970.0,9120.0,8910.0,9010.0,21412
2020-01-16,9090.0,9090.0,8910.0,9020.0,13960
2020-01-17,9090.0,9100.0,8980.0,9050.0,16821
2020-01-20,9130.0,9130.0,8880.0,9040.0,21263
2020-01-21,9000.0,9150.0,8870.0,9110.0,23724
2020-01-22,8970.0,9110.0,8940.0,9050.0,17389
2020-01-23,9150.0,9150.0,8950.0,9090.0,22423
2020-01-28,8760.0,9050.0,8680.0,8980.0,44984
2020-01-29,8980.0,9140.0,8880.0,8960.0,10468
2020-01-30,9000.0,9060.0,8840.0,8840.0,23530
2020-01-31,8790.0,9060.0,8600.0,8730.0,34876
2020-02-03,8410.0,8550.0,8230.0,8510.0,47849
2020-02-04,8510.0,8750.0,8500.0,8650.0,16277
2020-02-05,8530.0,8710.0,8520.0,8530.0,12754
2020-02-06,8590.0,9070.0,8530.0,8960.0,75634
2020-02-07,9060.0,9060.0,8750.0,8750.0,9551
2020-02-10,8710.0,9720.0,8710.0,9400.0,455717
2020-02-11,9430.0,9560.0,9340.0,9460.0,57767
2020-02-12,9470.0,9470.0,9250.0,9400.0,38465
2020-02-13,9400.0,9430.0,9250.0,9330.0,33875
2020-02-14,9330.0,9460.0,9250.0,9400.0,35943
2020-02-17,9390.0,9410.0,9260.0,9280.0,19163
2020-02-18,9300.0,9400.0,9210.0,9230.0,26450
2020-02-19,9200.0,9340.0,9030.0,9180.0,32032
2020-02-20,9130.0,9200.0,8880.0,8950.0,30355
2020-02-21,8850.0,9010.0,8730.0,8830.0,17403
2020-02-24,8700.0,8700.0,8290.0,8290.0,64302
2020-02-25,8380.0,8530.0,8230.0,8470.0,21880
2020-02-26,8380.0,8380.0,8240.0,8360.0,27500
2020-02-27,8340.0,8340.0,7900.0,8030.0,56033
2020-02-28,7820.0,8400.0,7520.0,7650.0,66409
