date,open,high,low,close,volume
2020-01-02,3080.0,3095.0,2885.0,3080.0,1603408
2020-01-03,3080.0,3365.0,3005.0,3260.0,3311120
2020-01-06,3230.0,3320.0,2955.0,3030.0,2427689
2020-01-07,3090.0,3180.0,2860.0,2920.0,2553065
2020-01-08,2900.0,3030.0,2780.0,2870.0,2385167
2020-01-09,2955.0,3000.0,2820.0,2895.0,1627618
2020-01-10,2885.0,2895.0,2645.0,2695.0,2273776
2020-01-13,2690.0,2790.0,2650.0,2765.0,1256676
2020-01-14,2790.0,2790.0,2540.0,2550.0,1878200
2020-01-15,2550.0,2605.0,2515.0,2570.0,615263
2020-01-16,2590.0,2625.0,2485.0,2535.0,652935
2020-01-17,2550.0,2595.0,2525.0,2560.0,569185
2020-01-20,2580.0,2650.0,2500.0,2530.0,770718
2020-01-21,2540.0,2585.0,2430.0,2585.0,599343
2020-01-22,2625.0,2945.0,2600.0,2810.0,5952561
2020-01-23,2750.0,2795.0,2660.0,2790.0,1028391
2020-01-28,2640.0,2650.0,2510.0,2575.0,1217051
2020-01-29,2645.0,2790.0,2575.0,2755.0,763392
2020-01-30,2730.0,2740.0,2525.0,2570.0,1127460
2020-01-31,2615.0,2685.0,2360.0,2415.0,995518
2020-02-03,2360.0,2480.0,2285.0,2480.0,629203
2020-02-04,2470.0,2530.0,2455.0,2525.0,390283
2020-02-05,2560.0,2570.0,2475.0,2485.0,335913
2020-02-06,2520.0,2565.0,2505.0,2550.0,397588
2020-02-07,2575.0,2575.0,2485.0,2515.0,343606
2020-02-10,2500.0,2565.0,2430.0,2530.0,407309
2020-02-11,2540.0,2700.0,2540.0,2645.0,954931
2020-02-12,2660.0,2705.0,2595.0,2670.0,539879
2020-02-13,2680.0,2780.0,2660.0,2750.0,1298394
2020-02-14,2740.0,2880.0,2725.0,2855.0,1612984
2020-02-17,2860.0,2890.0,2785.0,2860.0,914294
2020-02-18,2830.0,2900.0,2710.0,2770.0,992625
2020-02-19,2795.0,2855.0,2630.0,2680.0,766254
2020-02-20,2700.0,2700.0,2520.0,2595.0,716630
2020-02-21,2525.0,2645.0,2490.0,2515.0,411537
2020-02-24,2410.0,2470.0,2315.0,2360.0,656519
2020-02-25,2360.0,2430.0,2325.0,2400.0,601977
2020-02-26,2335.0,2360.0,2220.0,2255.0,745394
2020-02-27,2270.0,2290.0,2070.0,2070.0,869504
2020-02-28,1980.0,2150.0,1980.0,2020.0,1287922
2020-03-02,2025.0,2135.0,1990.0,2130.0,368961
2020-03-03,2170.0,2220.0,2080.0,2080.0,538984
2020-03-04,2070.0,2205.0,2050.0,2200.0,246393
2020-03-05,2200.0,2215.0,2160.0,2205.0,231672
2020-03-06,2115.0,2180.0,2110.0,2140.0,191310
2020-03-09,2100.0,2125.0,1970.0,1980.0,506136
2020-03-10,1940.0,1995.0,1890.0,1995.0,428490
2020-03-11,2000.0,2030.0,1860.0,1875.0,283713
2020-03-12,1820.0,1860.0,1690.0,1715.0,567686
2020-03-13,1600.0,1620.0,1435.0,1550.0,715619
2020-03-16,1610.0,1660.0,1470.0,1490.0,427181
2020-03-17,1320.0,1500.0,1320.0,1435.0,584397
2020-03-18,1440.0,1490.0,1310.0,1335.0,315780
2020-03-19,1350.0,1390.0,1025.0,1060.0,940286
2020-03-20,1030.0,1135.0,1030.0,1120.0,800100
2020-03-23,1015.0,1075.0,1005.0,1010.0,532761
2020-03-24,1030.0,1200.0,1030.0,1190.0,815266
2020-03-25,1255.0,1500.0,1255.0,1500.0,1230904
2020-03-26,1495.0,1570.0,1420.0,1515.0,834895
2020-03-27,1555.0,1590.0,1370.0,1425.0,661310
2020-03-30,1410.0,1410.0,1310.0,1400.0,467041
2020-03-31,1400.0,1485.0,1385.0,1420.0,421825
2020-04-01,1400.0,1480.0,1380.0,1385.0,295408
2020-04-02,1390.0,1520.0,1350.0,1520.0,430023
2020-04-03,1630.0,1920.0,1480.0,1680.0,2757739
2020-04-06,1720.0,1745.0,1610.0,1715.0,741857
2020-04-07,1775.0,1785.0,1685.0,1720.0,390880
2020-04-08,1720.0,1740.0,1660.0,1670.0,319822
2020-04-09,1705.0,1730.0,1670.0,1670.0,239135
2020-04-10,1690.0,1720.0,1600.0,1655.0,360351
2020-04-13,1655.0,1655.0,1570.0,1575.0,243683
2020-04-14,1575.0,1625.0,1565.0,1595.0,224576
2020-04-16,1575.0,1670.0,1540.0,1665.0,224427
2020-04-17,1680.0,1730.0,1640.0,1705.0,441135
2020-04-20,1740.0,1910.0,1670.0,1770.0,1173482
2020-04-21,1765.0,1765.0,1590.0,1700.0,482615
2020-04-22,1670.0,1700.0,1605.0,1700.0,242700
2020-04-23,1730.0,1730.0,1680.0,1700.0,204042
2020-04-24,1700.0,1705.0,1645.0,1660.0,180118
