date,open,high,low,close,volume
2020-01-02,7825.0,7900.0,7775.0,7800.0,7432
2020-01-03,7800.0,7825.0,7700.0,7750.0,23858
2020-01-06,7750.0,7875.0,7624.0,7850.0,21904
2020-01-07,7850.0,7875.0,7750.0,7800.0,7278
2020-01-08,7850.0,7850.0,7450.0,7500.0,49668
2020-01-09,7675.0,7675.0,7549.0,7575.0,6802
2020-01-10,7674.0,7674.0,7474.0,7550.0,10272
2020-01-13,7800.0,7800.0,7500.0,7575.0,19824
2020-01-14,7575.0,7649.0,7525.0,7625.0,12614
2020-01-15,7625.0,7725.0,7600.0,7725.0,7924
2020-01-16,7725.0,7750.0,7625.0,7750.0,13736
2020-01-17,7750.0,7850.0,7750.0,7850.0,14986
2020-01-20,7850.0,8000.0,7850.0,7950.0,67316
2020-01-21,8000.0,8000.0,7850.0,7975.0,15194
2020-01-22,7950.0,7950.0,7850.0,7900.0,3484
2020-01-23,7749.0,7875.0,7725.0,7775.0,11224
2020-01-28,7525.0,7650.0,7450.0,7475.0,48670
2020-01-29,7575.0,7575.0,7475.0,7525.0,8110
2020-01-30,7550.0,7550.0,7325.0,7400.0,26038
2020-01-31,7324.0,7550.0,7324.0,7450.0,15658
2020-02-03,7400.0,7400.0,7200.0,7325.0,18314
2020-02-04,7275.0,7500.0,7275.0,7500.0,9092
2020-02-05,7500.0,7725.0,7500.0,7525.0,15096
2020-02-06,7549.0,7575.0,7525.0,7575.0,9870
2020-02-07,7575.0,7575.0,7400.0,7500.0,19262
2020-02-10,7500.0,7550.0,7449.0,7525.0,13726
2020-02-11,7475.0,7550.0,7375.0,7425.0,19590
2020-02-12,7449.0,7500.0,7375.0,7425.0,10896
2020-02-13,7425.0,7900.0,7325.0,7725.0,107272
2020-02-14,7750.0,7900.0,7575.0,7650.0,30642
2020-02-17,7674.0,7674.0,7525.0,7550.0,18498
2020-02-18,7550.0,7575.0,7450.0,7500.0,10394
2020-02-19,7500.0,7550.0,7425.0,7525.0,9300
2020-02-20,7525.0,7550.0,7450.0,7500.0,5514
2020-02-21,7474.0,7474.0,7325.0,7350.0,18374
2020-02-24,7249.0,7325.0,7150.0,7225.0,19520
2020-02-25,7250.0,7450.0,7174.0,7350.0,8530
2020-02-26,7350.0,7350.0,7175.0,7200.0,12926
2020-02-27,7200.0,7300.0,7100.0,7200.0,6666
2020-02-28,7025.0,7200.0,6725.0,6825.0,46460
2020-03-02,6625.0,6850.0,6625.0,6775.0,33526
2020-03-03,6825.0,7100.0,6825.0,6875.0,14704
2020-03-04,6750.0,7050.0,6725.0,6800.0,21248
2020-03-05,6875.0,7075.0,6825.0,6975.0,6902
2020-03-06,6975.0,6975.0,6800.0,6825.0,6650
2020-03-09,6750.0,6775.0,6624.0,6650.0,11996
2020-03-10,6449.0,6750.0,6449.0,6725.0,10986
2020-03-11,6725.0,6825.0,6575.0,6625.0,8946
2020-03-12,6450.0,6475.0,6150.0,6200.0,21352
2020-03-13,5500.0,6100.0,4975.0,5250.0,179358
2020-03-16,5300.0,5550.0,5275.0,5350.0,39258
2020-03-17,4950.0,5575.0,4950.0,5425.0,28948
2020-03-18,5650.0,5650.0,5400.0,5425.0,11744
2020-03-19,5450.0,5450.0,4850.0,4955.0,89330
2020-03-20,4910.0,5800.0,4910.0,5500.0,29720
2020-03-23,5325.0,5475.0,5050.0,5325.0,36862
2020-03-24,5325.0,5700.0,5175.0,5625.0,30990
2020-03-25,5750.0,6050.0,5400.0,5600.0,57430
2020-03-26,5700.0,6050.0,5500.0,5650.0,50214
2020-03-27,5725.0,5975.0,5550.0,5650.0,21468
2020-03-30,5650.0,5925.0,5450.0,5800.0,8756
2020-03-31,5924.0,5950.0,5775.0,5850.0,10702
2020-04-01,5850.0,5950.0,5650.0,5750.0,61262
2020-04-02,5750.0,5825.0,5525.0,5825.0,15286
2020-04-03,5900.0,5900.0,5700.0,5850.0,4154
2020-04-06,5800.0,6000.0,5800.0,6000.0,19818
2020-04-07,6124.0,6175.0,5950.0,6050.0,25470
2020-04-08,6149.0,6250.0,5975.0,6175.0,22420
2020-04-09,6300.0,6325.0,6175.0,6325.0,11222
2020-04-10,6425.0,6425.0,6100.0,6150.0,12656
2020-04-13,6150.0,6275.0,6050.0,6050.0,14608
2020-04-14,6025.0,6125.0,6025.0,6125.0,9348
2020-04-16,6124.0,6300.0,5950.0,6250.0,13218
2020-04-17,6350.0,6450.0,6250.0,6450.0,14698
2020-04-20,6500.0,6550.0,6324.0,6450.0,16740
2020-04-21,6425.0,6450.0,6225.0,6375.0,14852
2020-04-22,6249.0,6449.0,6125.0,6425.0,11622
2020-04-23,6525.0,6550.0,6350.0,6550.0,7650
2020-04-24,6550.0,6600.0,6450.0,6600.0,45606
2020-04-27,6475.0,6800.0,6400.0,6650.0,25310
2020-04-28,6650.0,7400.0,6650.0,6850.0,128324
2020-04-29,6850.0,7050.0,6800.0,6875.0,35716
2020-05-04,6875.0,7050.0,6700.0,6700.0,41676
2020-05-06,6725.0,6925.0,6725.0,6825.0,23038
2020-05-07,6849.0,7049.0,6825.0,7025.0,15456
2020-05-08,7025.0,7100.0,6950.0,7025.0,20056
2020-05-11,7075.0,7075.0,6775.0,6850.0,31872
2020-05-12,6849.0,6849.0,6575.0,6625.0,19738
2020-05-13,6500.0,6625.0,6450.0,6600.0,10936
2020-05-14,6475.0,6575.0,6375.0,6475.0,16704
2020-05-15,6375.0,6500.0,6325.0,6500.0,20670
2020-05-18,6500.0,6625.0,6475.0,6575.0,13204
2020-05-19,7025.0,7175.0,6675.0,6700.0,50174
2020-05-20,6700.0,6774.0,6500.0,6550.0,14826
2020-05-21,6725.0,6725.0,6525.0,6625.0,13688
2020-05-22,6624.0,6650.0,6450.0,6450.0,15126
2020-05-25,6450.0,6525.0,6349.0,6375.0,15284
2020-05-26,6375.0,6575.0,6250.0,6575.0,12832
2020-05-27,6650.0,6700.0,6500.0,6575.0,19500
2020-05-28,6575.0,6600.0,6425.0,6500.0,18946
2020-05-29,6500.0,6575.0,6250.0,6575.0,19948
