date,open,high,low,close,volume
2020-01-02,8680.0,8930.0,8430.0,8500.0,1301198
2020-01-03,8530.0,8630.0,8450.0,8550.0,386139
2020-01-06,8470.0,8470.0,8190.0,8270.0,512561
2020-01-07,8290.0,8420.0,8270.0,8360.0,238070
2020-01-08,8260.0,8340.0,7950.0,8000.0,566468
2020-01-09,8240.0,8640.0,8180.0,8500.0,614972
2020-01-10,8480.0,8510.0,8290.0,8330.0,380092
2020-01-13,8330.0,8470.0,8060.0,8150.0,1033978
2020-01-14,8170.0,9080.0,8030.0,8630.0,4819648
2020-01-15,8600.0,8830.0,8500.0,8620.0,590452
2020-01-16,8670.0,8710.0,8520.0,8550.0,604650
2020-01-17,8570.0,9120.0,8540.0,9060.0,1298789
2020-01-20,9100.0,9590.0,8800.0,9330.0,1639613
2020-01-21,9290.0,9430.0,9090.0,9240.0,614274
2020-01-22,9120.0,9420.0,8880.0,9000.0,1157114
2020-01-23,9050.0,9050.0,8740.0,8790.0,538379
2020-01-28,8400.0,8610.0,8250.0,8310.0,811893
2020-01-29,8410.0,8490.0,8220.0,8410.0,425350
2020-01-30,8380.0,8450.0,8170.0,8290.0,457366
2020-01-31,8210.0,8590.0,8040.0,8050.0,639943
2020-02-03,7870.0,8150.0,7710.0,8060.0,674116
2020-02-04,8150.0,8320.0,8060.0,8280.0,378358
2020-02-05,8220.0,8440.0,8220.0,8300.0,362296
2020-02-06,8310.0,8660.0,8310.0,8530.0,438112
2020-02-07,8530.0,8610.0,8340.0,8530.0,578228
2020-02-10,8560.0,8590.0,8360.0,8460.0,172903
2020-02-11,8560.0,8910.0,8500.0,8840.0,524088
2020-02-12,8900.0,9100.0,8750.0,8800.0,409623
2020-02-13,8870.0,8870.0,8690.0,8770.0,207478
2020-02-14,8800.0,9030.0,8610.0,8770.0,363277
2020-02-17,8760.0,8760.0,8570.0,8580.0,286234
2020-02-18,8560.0,8680.0,8340.0,8420.0,278078
2020-02-19,8500.0,8520.0,8250.0,8500.0,378563
2020-02-20,8530.0,8560.0,8250.0,8290.0,309490
2020-02-21,8210.0,8390.0,8190.0,8200.0,213464
2020-02-24,7990.0,8150.0,7880.0,7970.0,558091
2020-02-25,7900.0,8270.0,7890.0,8250.0,334676
2020-02-26,8100.0,8230.0,8020.0,8130.0,233064
2020-02-27,8100.0,8250.0,7980.0,7990.0,322437
2020-02-28,7830.0,7910.0,7500.0,7750.0,661270
2020-03-02,7660.0,7890.0,7510.0,7780.0,317670
2020-03-03,7940.0,8110.0,7760.0,7760.0,383236
2020-03-04,7740.0,7900.0,7650.0,7870.0,236827
2020-03-05,7940.0,8060.0,7820.0,7900.0,228499
2020-03-06,7870.0,7870.0,7630.0,7690.0,544057
2020-03-09,7680.0,7680.0,7310.0,7350.0,565270
2020-03-10,7160.0,7440.0,7060.0,7380.0,532334
2020-03-11,7430.0,7460.0,6960.0,7020.0,462322
2020-03-12,6860.0,6970.0,6430.0,6470.0,894903
2020-03-13,6030.0,6300.0,5450.0,6000.0,1375308
2020-03-16,6120.0,6340.0,5830.0,5830.0,946663
2020-03-17,5650.0,5960.0,5580.0,5940.0,621247
2020-03-18,5940.0,6140.0,5450.0,5460.0,409771
2020-03-19,5510.0,5650.0,4750.0,4750.0,988524
2020-03-20,4800.0,5830.0,4800.0,5560.0,987616
2020-03-23,5210.0,5210.0,4880.0,5120.0,654709
2020-03-24,5220.0,5440.0,5160.0,5300.0,497076
2020-03-25,5500.0,5620.0,5330.0,5460.0,714504
2020-03-26,5510.0,5920.0,5360.0,5620.0,717266
2020-03-27,5910.0,5970.0,5400.0,5640.0,598120
2020-03-30,5390.0,6100.0,5310.0,5840.0,743450
2020-03-31,5980.0,6240.0,5870.0,6100.0,1175611
2020-04-01,6050.0,7000.0,5990.0,6130.0,1241749
2020-04-02,6130.0,6380.0,6010.0,6220.0,524055
2020-04-03,6280.0,6440.0,5870.0,6070.0,918888
2020-04-06,6030.0,6250.0,5980.0,6200.0,684659
2020-04-07,6340.0,6480.0,6180.0,6290.0,627221
2020-04-08,6340.0,6670.0,6280.0,6480.0,747132
2020-04-09,6570.0,6980.0,6530.0,6850.0,1024967
2020-04-10,6850.0,6970.0,6630.0,6780.0,483453
2020-04-13,6820.0,7040.0,6690.0,6840.0,441278
2020-04-14,7050.0,7100.0,6900.0,7020.0,427120
2020-04-16,7090.0,7340.0,7050.0,7240.0,758754
2020-04-17,7320.0,8220.0,7260.0,8030.0,1805242
2020-04-20,8030.0,8330.0,7960.0,8230.0,799532
2020-04-21,8240.0,8250.0,7580.0,8050.0,1115265
2020-04-22,7800.0,7910.0,7610.0,7860.0,641067
2020-04-23,8000.0,8010.0,7730.0,7800.0,505368
2020-04-24,7730.0,7790.0,7370.0,7520.0,708938
2020-04-27,7540.0,7830.0,7400.0,7670.0,553287
2020-04-28,7750.0,8100.0,7660.0,7770.0,1044357
2020-04-29,7750.0,7910.0,7620.0,7830.0,403586
2020-05-04,7680.0,8010.0,7600.0,7830.0,511776
2020-05-06,7950.0,8200.0,7920.0,7980.0,728214
2020-05-07,8150.0,8230.0,8060.0,8120.0,489078
2020-05-08,8240.0,8450.0,8040.0,8070.0,1430209
2020-05-11,8100.0,8130.0,7850.0,7870.0,624193
2020-05-12,7910.0,7930.0,7550.0,7700.0,481821
2020-05-13,7550.0,7750.0,7500.0,7750.0,275696
2020-05-14,7660.0,7730.0,7460.0,7500.0,460567
2020-05-15,7500.0,7770.0,7470.0,7740.0,349076
2020-05-18,7550.0,7640.0,7400.0,7550.0,491127
2020-05-19,7740.0,7740.0,7490.0,7600.0,416458
2020-05-20,7570.0,7780.0,7490.0,7730.0,464895
2020-05-21,7910.0,8380.0,7750.0,8320.0,2132638
2020-05-22,8320.0,8470.0,7660.0,7730.0,1870019
2020-05-25,7750.0,7780.0,7620.0,7750.0,450776
2020-05-26,7850.0,8130.0,7760.0,8040.0,1081620
2020-05-27,8100.0,8110.0,7910.0,8020.0,555205
2020-05-28,8120.0,8690.0,7770.0,7910.0,3162740
2020-05-29,7850.0,8010.0,7630.0,7630.0,770921
2020-06-01,7700.0,7900.0,7610.0,7710.0,639993
2020-06-02,7780.0,7890.0,7700.0,7810.0,534408
2020-06-03,7970.0,8130.0,7850.0,8100.0,884550
2020-06-04,8150.0,8230.0,7750.0,7880.0,888181
2020-06-05,7880.0,8090.0,7830.0,8010.0,555067
2020-06-08,8110.0,8180.0,7900.0,8100.0,694012
2020-06-09,8130.0,8430.0,8120.0,8380.0,1716011
2020-06-10,8390.0,8430.0,8110.0,8170.0,1193860
2020-06-11,8140.0,8150.0,7830.0,7920.0,2615701
2020-06-12,7600.0,7700.0,7500.0,7650.0,820162
2020-06-15,7530.0,7590.0,6920.0,6990.0,881258
2020-06-16,7150.0,7440.0,7150.0,7400.0,475456
2020-06-17,7270.0,7460.0,7150.0,7380.0,361031
2020-06-18,7150.0,7420.0,7050.0,7360.0,483977
2020-06-19,7330.0,7860.0,7220.0,7770.0,635102
2020-06-22,7370.0,7510.0,7170.0,7180.0,916865
2020-06-23,7130.0,7280.0,6420.0,6560.0,1499747
2020-06-24,6560.0,6690.0,6510.0,6550.0,325569
2020-06-25,6440.0,6500.0,6150.0,6190.0,584538
2020-06-26,6190.0,6490.0,6190.0,6280.0,378810
2020-06-29,6150.0,6380.0,6090.0,6110.0,302624
2020-06-30,6150.0,6310.0,6120.0,6140.0,308603
2020-07-01,6180.0,6240.0,5970.0,6050.0,318237
2020-07-02,6050.0,6090.0,5830.0,5900.0,471351
2020-07-03,5920.0,5960.0,5830.0,5850.0,343083
2020-07-06,5840.0,6200.0,5750.0,6060.0,448304
2020-07-07,6110.0,6180.0,6000.0,6040.0,305932
2020-07-08,6090.0,6600.0,6090.0,6300.0,789101
2020-07-09,6120.0,6950.0,6040.0,6760.0,1042014
2020-07-10,6610.0,6680.0,6360.0,6430.0,435617
2020-07-13,6430.0,6550.0,6370.0,6470.0,217411
2020-07-14,6490.0,6490.0,6290.0,6330.0,217673
2020-07-15,6280.0,6490.0,6270.0,6340.0,217014
2020-07-16,6380.0,6380.0,6160.0,6230.0,305555
2020-07-17,6230.0,6330.0,6180.0,6230.0,146413
2020-07-20,6230.0,6270.0,6090.0,6150.0,164117
2020-07-21,6160.0,6410.0,6100.0,6310.0,328281
2020-07-22,6270.0,6540.0,6260.0,6430.0,318865
2020-07-23,6380.0,6420.0,6170.0,6250.0,267560
2020-07-24,6200.0,6230.0,6010.0,6100.0,349316
2020-07-27,6050.0,6180.0,6010.0,6030.0,256742
2020-07-28,6050.0,6080.0,5990.0,6020.0,292175
2020-07-29,6030.0,6070.0,5890.0,5930.0,283140
2020-07-30,5890.0,5990.0,5800.0,5840.0,305823
2020-07-31,5890.0,5890.0,5590.0,5610.0,501494
2020-08-03,5560.0,5590.0,5290.0,5400.0,450204
2020-08-04,5430.0,5940.0,5400.0,5870.0,750133
2020-08-05,5880.0,5920.0,5760.0,5850.0,229604
2020-08-06,5840.0,6020.0,5800.0,5980.0,383818
2020-08-07,5990.0,5990.0,5820.0,5900.0,198003
2020-08-10,5860.0,5860.0,5680.0,5740.0,277074
2020-08-11,5930.0,6930.0,5870.0,6380.0,3473967
2020-08-12,6350.0,6400.0,6090.0,6400.0,541585
2020-08-13,6400.0,6430.0,6240.0,6280.0,371026
2020-08-14,6230.0,6280.0,6090.0,6210.0,370925
2020-08-18,6210.0,6310.0,6000.0,6040.0,411529
2020-08-19,6000.0,6400.0,5980.0,6300.0,494641
2020-08-20,6220.0,6300.0,5950.0,5950.0,535251
2020-08-21,6050.0,6130.0,5900.0,6000.0,187706
2020-08-24,6000.0,6140.0,5900.0,6120.0,209762
2020-08-25,6170.0,6290.0,6100.0,6280.0,249325
2020-08-26,6240.0,6270.0,6050.0,6180.0,297278
2020-08-27,6140.0,6170.0,5930.0,5940.0,333644
2020-08-28,6000.0,6240.0,5940.0,6120.0,399150
2020-08-31,6080.0,6230.0,5960.0,5990.0,365142
2020-09-01,6010.0,6070.0,5910.0,6050.0,292929
2020-09-02,6020.0,6060.0,5950.0,6000.0,241552
2020-09-03,6050.0,6220.0,5970.0,6130.0,397196
2020-09-04,5950.0,6040.0,5900.0,5950.0,349545
2020-09-07,5950.0,6010.0,5880.0,5960.0,293578
2020-09-08,6000.0,6100.0,5960.0,5960.0,324228
2020-09-09,5940.0,5970.0,5840.0,5850.0,345073
2020-09-10,5870.0,5950.0,5840.0,5950.0,263131
2020-09-11,5900.0,5940.0,5720.0,5890.0,524044
2020-09-14,5890.0,5940.0,5840.0,5860.0,170023
2020-09-15,5870.0,5900.0,5790.0,5810.0,238129
2020-09-16,5800.0,5860.0,5760.0,5780.0,174134
2020-09-17,5780.0,5850.0,5720.0,5800.0,223577
2020-09-18,5780.0,5860.0,5770.0,5840.0,199874
2020-09-21,5880.0,5970.0,5810.0,5830.0,325072
2020-09-22,5860.0,5870.0,5610.0,5650.0,376504
2020-09-23,5710.0,5730.0,5580.0,5620.0,205603
2020-09-24,5550.0,5610.0,5300.0,5300.0,383169
2020-09-25,5310.0,5490.0,5300.0,5450.0,183618
2020-09-28,5500.0,5590.0,5400.0,5580.0,214478
2020-09-29,5560.0,5730.0,5510.0,5610.0,180749
2020-10-05,5610.0,5860.0,5600.0,5790.0,268863
2020-10-06,5810.0,5870.0,5690.0,5790.0,151405
2020-10-07,5750.0,5780.0,5660.0,5770.0,138805
2020-10-08,5790.0,5810.0,5680.0,5730.0,139641
2020-10-12,5730.0,5810.0,5670.0,5750.0,145450
2020-10-13,5800.0,5820.0,5680.0,5720.0,99975
2020-10-14,5750.0,5750.0,5590.0,5610.0,219381
2020-10-15,5600.0,5850.0,5550.0,5730.0,274337
2020-10-16,5730.0,5820.0,5550.0,5690.0,237627
2020-10-19,5670.0,5890.0,5640.0,5770.0,290914
2020-10-20,5760.0,5830.0,5600.0,5750.0,216133
2020-10-21,5720.0,5890.0,5650.0,5880.0,240557
2020-10-22,5810.0,6100.0,5780.0,5990.0,568684
2020-10-23,5920.0,6030.0,5870.0,5980.0,264071
2020-10-26,6020.0,6020.0,5740.0,5800.0,204006
2020-10-27,5760.0,5840.0,5660.0,5730.0,203523
2020-10-28,5710.0,5820.0,5620.0,5820.0,185523
2020-10-29,5690.0,5970.0,5680.0,5950.0,252553
