date,open,high,low,close,volume
2020-01-02,3455.0,3545.0,3455.0,3520.0,8428
2020-01-03,3540.0,3570.0,3460.0,3470.0,19493
2020-01-06,3550.0,3550.0,3450.0,3525.0,5432
2020-01-07,3525.0,3540.0,3505.0,3530.0,2316
2020-01-08,3530.0,3540.0,3445.0,3525.0,12007
2020-01-09,3550.0,3565.0,3525.0,3555.0,3202
2020-01-10,3555.0,3570.0,3410.0,3550.0,8403
2020-01-13,3560.0,3580.0,3505.0,3575.0,4891
2020-01-14,3570.0,3570.0,3445.0,3480.0,10802
2020-01-15,3480.0,3545.0,3460.0,3500.0,11000
2020-01-16,3500.0,3515.0,3460.0,3500.0,8632
2020-01-17,3500.0,3515.0,3470.0,3510.0,8488
2020-01-20,3510.0,3515.0,3465.0,3495.0,9317
2020-01-21,3500.0,3535.0,3395.0,3445.0,13151
2020-01-22,3465.0,3490.0,3400.0,3430.0,9556
2020-01-23,3430.0,3480.0,3360.0,3360.0,21282
2020-01-28,3355.0,3450.0,3250.0,3350.0,9797
2020-01-29,3350.0,3365.0,3350.0,3360.0,1383
2020-01-30,3365.0,3365.0,3270.0,3320.0,12970
2020-01-31,3295.0,3320.0,3185.0,3215.0,49703
2020-02-03,3220.0,3410.0,3100.0,3395.0,8503
2020-02-04,3380.0,3465.0,3370.0,3390.0,5233
2020-02-05,3450.0,3450.0,3385.0,3390.0,7188
2020-02-06,3350.0,3400.0,3350.0,3380.0,6541
2020-02-07,3380.0,3400.0,3350.0,3390.0,5987
2020-02-10,3390.0,3460.0,3340.0,3350.0,10958
2020-02-11,3350.0,3475.0,3350.0,3405.0,28974
2020-02-12,3455.0,3460.0,3360.0,3435.0,10280
2020-02-13,3435.0,3500.0,3410.0,3500.0,11309
2020-02-14,3550.0,3885.0,3455.0,3490.0,55238
2020-02-17,3490.0,3510.0,3445.0,3460.0,10937
2020-02-18,3460.0,3490.0,3380.0,3390.0,4277
2020-02-19,3410.0,3455.0,3380.0,3450.0,2472
2020-02-20,3450.0,3495.0,3380.0,3435.0,9905
2020-02-21,3435.0,3455.0,3315.0,3440.0,5544
2020-02-24,3385.0,3450.0,3310.0,3350.0,2545
2020-02-25,3320.0,3350.0,3300.0,3300.0,3110
2020-02-26,3315.0,3340.0,3300.0,3310.0,949
2020-02-27,3330.0,3350.0,3170.0,3270.0,13827
2020-02-28,3270.0,3270.0,3035.0,3190.0,12274
2020-03-02,3180.0,3195.0,3095.0,3155.0,14884
2020-03-03,3155.0,3185.0,3135.0,3175.0,7320
2020-03-04,3140.0,3260.0,3140.0,3260.0,6969
2020-03-05,3255.0,3270.0,3210.0,3260.0,726
2020-03-06,3185.0,3245.0,3170.0,3245.0,6127
2020-03-09,3180.0,3245.0,3120.0,3120.0,3318
2020-03-10,3010.0,3180.0,3010.0,3125.0,4202
2020-03-11,3155.0,3200.0,3025.0,3095.0,5711
2020-03-12,2970.0,3090.0,2700.0,2935.0,37978
2020-03-13,2600.0,2905.0,2400.0,2755.0,51968
2020-03-16,2725.0,3000.0,2670.0,2755.0,9282
2020-03-17,2620.0,2780.0,2260.0,2615.0,70304
2020-03-18,2775.0,2775.0,2530.0,2600.0,18358
2020-03-19,2600.0,2620.0,2320.0,2455.0,64875
2020-03-20,2340.0,2500.0,2340.0,2475.0,16860
2020-03-23,2260.0,2470.0,2220.0,2385.0,43440
2020-03-24,2385.0,2470.0,2355.0,2400.0,8893
2020-03-25,2390.0,2545.0,2360.0,2455.0,12450
2020-03-26,2450.0,2490.0,2405.0,2445.0,19853
2020-03-27,2455.0,2530.0,2395.0,2445.0,17315
2020-03-30,2370.0,2545.0,2305.0,2480.0,28169
2020-03-31,2580.0,2580.0,2470.0,2540.0,12266
2020-04-01,2530.0,2600.0,2410.0,2440.0,27259
2020-04-02,2480.0,2535.0,2405.0,2535.0,16770
2020-04-03,2530.0,2560.0,2480.0,2530.0,14434
2020-04-06,2530.0,2575.0,2530.0,2575.0,25508
2020-04-07,2600.0,2620.0,2560.0,2620.0,39511
2020-04-08,2620.0,2715.0,2570.0,2625.0,31121
2020-04-09,2640.0,2680.0,2625.0,2645.0,21760
2020-04-10,2645.0,2665.0,2545.0,2560.0,27826
2020-04-13,2560.0,2570.0,2470.0,2500.0,21427
2020-04-14,2500.0,2560.0,2410.0,2550.0,9836
2020-04-16,2555.0,2585.0,2455.0,2575.0,17171
2020-04-17,2575.0,2645.0,2560.0,2620.0,36630
2020-04-20,2620.0,3405.0,2620.0,2805.0,1095329
2020-04-21,2760.0,2845.0,2685.0,2725.0,262725
2020-04-22,2700.0,2770.0,2660.0,2770.0,114908
2020-04-23,2780.0,2840.0,2705.0,2830.0,102166
2020-04-24,2790.0,2820.0,2680.0,2750.0,56697
2020-04-27,2750.0,2850.0,2695.0,2840.0,49525
2020-04-28,2835.0,2930.0,2800.0,2850.0,74759
2020-04-29,2850.0,2885.0,2770.0,2820.0,54086
2020-05-04,2820.0,2835.0,2740.0,2790.0,15367
2020-05-06,2790.0,2935.0,2790.0,2820.0,19762
2020-05-07,2820.0,2885.0,2815.0,2820.0,17514
2020-05-08,2800.0,2940.0,2800.0,2900.0,56436
2020-05-11,2900.0,3145.0,2800.0,2990.0,96414
2020-05-12,2980.0,2995.0,2845.0,2895.0,27993
2020-05-13,2895.0,3005.0,2835.0,2930.0,76287
2020-05-14,2920.0,2960.0,2765.0,2845.0,86915
2020-05-15,2840.0,2870.0,2735.0,2735.0,75430
2020-05-18,2755.0,2945.0,2755.0,2890.0,149199
2020-05-19,2910.0,2995.0,2865.0,2920.0,26978
2020-05-20,2920.0,3050.0,2910.0,3050.0,47603
2020-05-21,3060.0,3100.0,2970.0,2970.0,46166
2020-05-22,2970.0,3050.0,2860.0,2960.0,17681
2020-05-25,2915.0,3020.0,2915.0,3000.0,21188
2020-05-26,2980.0,3080.0,2980.0,3040.0,28486
2020-05-27,3040.0,3050.0,3000.0,3030.0,22976
2020-05-28,3030.0,3050.0,2890.0,2890.0,27294
2020-05-29,2950.0,2975.0,2850.0,2895.0,29745
2020-06-01,2900.0,3025.0,2900.0,2995.0,50591
2020-06-02,2990.0,3050.0,2955.0,3000.0,35816
2020-06-03,3030.0,3050.0,2955.0,3020.0,44314
2020-06-04,3020.0,3040.0,2990.0,3020.0,40623
2020-06-05,3020.0,3040.0,2990.0,3000.0,25805
2020-06-08,3020.0,3120.0,2990.0,3000.0,71364
2020-06-09,3000.0,3355.0,3000.0,3240.0,587606
2020-06-10,3235.0,3240.0,3135.0,3230.0,102911
2020-06-11,3215.0,3265.0,3135.0,3180.0,63245
2020-06-12,2935.0,3055.0,2935.0,3055.0,48427
2020-06-15,2985.0,3175.0,2800.0,2855.0,63151
2020-06-16,2920.0,2985.0,2860.0,2935.0,26080
2020-06-17,2930.0,2985.0,2870.0,2940.0,11344
2020-06-18,2940.0,2985.0,2860.0,2950.0,15776
2020-06-19,2985.0,3155.0,2895.0,3130.0,88344
2020-06-22,3215.0,3215.0,3010.0,3010.0,23644
2020-06-23,3010.0,3075.0,2930.0,2980.0,24145
2020-06-24,2980.0,3150.0,2930.0,3130.0,31749
2020-06-25,3130.0,3250.0,3030.0,3185.0,113954
2020-06-26,3200.0,3375.0,3180.0,3285.0,174439
2020-06-29,3270.0,3270.0,2960.0,3145.0,98459
2020-06-30,3125.0,3235.0,3015.0,3080.0,50694
2020-07-01,3170.0,3210.0,3010.0,3120.0,118929
2020-07-02,3120.0,3265.0,3120.0,3235.0,65367
2020-07-03,3225.0,3680.0,3200.0,3425.0,473280
2020-07-06,3450.0,3765.0,3440.0,3685.0,295932
2020-07-07,3690.0,4580.0,3655.0,3940.0,2846542
2020-07-08,3925.0,4030.0,3785.0,3870.0,328821
2020-07-09,3890.0,4010.0,3765.0,3835.0,324884
2020-07-10,3780.0,3855.0,3500.0,3690.0,304723
2020-07-13,3690.0,3770.0,3640.0,3770.0,99463
2020-07-14,3670.0,3755.0,3665.0,3700.0,87889
2020-07-15,3695.0,3750.0,3640.0,3690.0,61984
2020-07-16,3685.0,3725.0,3450.0,3720.0,29918
2020-07-17,3730.0,3770.0,3640.0,3695.0,27962
2020-07-20,3660.0,3740.0,3600.0,3725.0,28269
2020-07-21,3725.0,3760.0,3645.0,3685.0,33993
2020-07-22,3725.0,4100.0,3635.0,3855.0,284211
2020-07-23,3860.0,3860.0,3635.0,3695.0,115025
2020-07-24,3690.0,3710.0,3570.0,3625.0,60512
2020-07-27,3600.0,3680.0,3580.0,3600.0,32964
2020-07-28,3605.0,3890.0,3605.0,3770.0,89694
2020-07-29,3770.0,3800.0,3690.0,3770.0,19639
2020-07-30,3825.0,3825.0,3680.0,3745.0,38071
2020-07-31,3790.0,3935.0,3655.0,3830.0,128056
2020-08-03,3895.0,4550.0,3845.0,4290.0,911598
2020-08-04,4390.0,5280.0,4380.0,5000.0,2405296
2020-08-05,4940.0,4950.0,4610.0,4610.0,417875
2020-08-06,4800.0,5050.0,4590.0,4645.0,464920
2020-08-07,4675.0,5040.0,4675.0,4690.0,271055
2020-08-10,4730.0,4790.0,4505.0,4710.0,117646
2020-08-11,4670.0,4970.0,4645.0,4860.0,140658
2020-08-12,4960.0,5000.0,4755.0,4840.0,148069
2020-08-13,4880.0,4990.0,4850.0,4935.0,119825
2020-08-14,4995.0,4995.0,4580.0,4675.0,93873
2020-08-18,4585.0,4730.0,4260.0,4325.0,152611
2020-08-19,4325.0,4540.0,4325.0,4540.0,40875
2020-08-20,4550.0,4560.0,4250.0,4345.0,93788
2020-08-21,4305.0,4400.0,4190.0,4335.0,63797
2020-08-24,4340.0,4395.0,4260.0,4370.0,36546
2020-08-25,4370.0,4655.0,4370.0,4600.0,79638
2020-08-26,4595.0,4680.0,4250.0,4440.0,73083
2020-08-27,4505.0,4630.0,4370.0,4490.0,83532
2020-08-28,4570.0,4570.0,4420.0,4480.0,29400
2020-08-31,4480.0,4620.0,4480.0,4520.0,43060
2020-09-01,4520.0,4520.0,4380.0,4400.0,35037
2020-09-02,4415.0,4480.0,4310.0,4475.0,31333
2020-09-03,4425.0,4535.0,4380.0,4435.0,20314
2020-09-04,4390.0,4415.0,4260.0,4385.0,27178
2020-09-07,4340.0,4610.0,4315.0,4415.0,37912
2020-09-08,4355.0,4495.0,4350.0,4400.0,21943
2020-09-09,4390.0,4395.0,4230.0,4345.0,10655
2020-09-10,4345.0,4400.0,4275.0,4360.0,13601
2020-09-11,4360.0,4430.0,4260.0,4370.0,14585
2020-09-14,4370.0,4450.0,4300.0,4450.0,30398
2020-09-15,4450.0,4535.0,4435.0,4505.0,30882
2020-09-16,4505.0,4575.0,4300.0,4460.0,57471
2020-09-17,4445.0,4445.0,4300.0,4365.0,36813
2020-09-18,4365.0,4700.0,4325.0,4600.0,200983
2020-09-21,4620.0,4720.0,4475.0,4540.0,119902
2020-09-22,4580.0,4735.0,4400.0,4710.0,347152
2020-09-23,5900.0,6120.0,5610.0,6120.0,6285016
2020-09-24,6530.0,7510.0,5100.0,5200.0,8309245
2020-09-25,5280.0,5360.0,4850.0,4925.0,1423577
2020-09-28,4960.0,5020.0,4820.0,4950.0,861207
2020-09-29,5570.0,6430.0,5390.0,6430.0,10386333
2020-10-05,6300.0,7300.0,5950.0,6480.0,8831883
2020-10-06,6480.0,6570.0,6090.0,6130.0,1493486
2020-10-07,6440.0,7650.0,6410.0,6620.0,12428850
2020-10-08,6520.0,6690.0,6520.0,6690.0,533393
2020-10-12,6630.0,6690.0,6570.0,6640.0,273371
2020-10-13,6720.0,6920.0,6570.0,6720.0,613134
2020-10-14,6650.0,6670.0,6350.0,6460.0,770389
2020-10-15,6490.0,6500.0,5900.0,6090.0,585358
2020-10-16,6090.0,6130.0,5560.0,5840.0,393631
2020-10-19,5750.0,5860.0,5530.0,5530.0,264174
2020-10-20,5530.0,5630.0,5330.0,5510.0,289933
