date,open,high,low,close,volume
2020-01-02,3410.0,3440.0,3350.0,3410.0,148622
2020-01-03,3410.0,3440.0,3340.0,3375.0,157650
2020-01-06,3375.0,3390.0,3260.0,3280.0,98617
2020-01-07,3340.0,3550.0,3290.0,3395.0,367183
2020-01-08,3390.0,3500.0,3130.0,3210.0,630283
2020-01-09,3265.0,3340.0,3220.0,3305.0,128622
2020-01-10,3305.0,3395.0,3305.0,3380.0,77799
2020-01-13,3405.0,3485.0,3350.0,3455.0,208453
2020-01-14,3470.0,3470.0,3400.0,3435.0,126520
2020-01-15,3435.0,3490.0,3400.0,3425.0,87742
2020-01-16,3425.0,3455.0,3385.0,3405.0,81882
2020-01-17,3405.0,3485.0,3405.0,3465.0,156604
2020-01-20,3485.0,3505.0,3330.0,3355.0,155494
2020-01-21,3360.0,3380.0,3225.0,3230.0,143644
2020-01-22,3235.0,3280.0,3165.0,3225.0,110190
2020-01-23,3215.0,3230.0,3175.0,3210.0,81741
2020-01-28,3100.0,3140.0,3020.0,3105.0,188924
2020-01-29,3115.0,3195.0,3115.0,3175.0,62038
2020-01-30,3190.0,3195.0,2970.0,3000.0,143157
2020-01-31,3065.0,3070.0,2880.0,2935.0,130805
2020-02-03,2805.0,2935.0,2750.0,2865.0,116648
2020-02-04,2870.0,2935.0,2870.0,2920.0,60712
2020-02-05,2940.0,3020.0,2895.0,2925.0,53709
2020-02-06,2975.0,2990.0,2915.0,2930.0,90852
2020-02-07,2950.0,2950.0,2885.0,2925.0,89672
2020-02-10,2995.0,3015.0,2920.0,3000.0,70371
2020-02-11,3010.0,3040.0,2985.0,3010.0,74015
2020-02-12,3035.0,3095.0,2970.0,3025.0,62207
2020-02-13,3025.0,3060.0,2990.0,3010.0,53881
2020-02-14,3000.0,3035.0,2900.0,2960.0,90513
2020-02-17,2945.0,3000.0,2930.0,2985.0,52859
2020-02-18,3010.0,3010.0,2860.0,2900.0,82492
2020-02-19,2900.0,2940.0,2840.0,2890.0,68329
2020-02-20,2900.0,2950.0,2825.0,2870.0,45795
2020-02-21,2870.0,2875.0,2755.0,2815.0,105344
2020-02-24,2770.0,2770.0,2650.0,2700.0,152041
2020-02-25,2700.0,2785.0,2635.0,2770.0,61583
2020-02-26,2770.0,2815.0,2615.0,2815.0,93585
2020-02-27,2815.0,2820.0,2710.0,2745.0,50222
2020-02-28,2660.0,2745.0,2555.0,2630.0,149023
2020-03-02,2635.0,2790.0,2550.0,2720.0,153565
2020-03-03,2800.0,2850.0,2745.0,2760.0,70586
2020-03-04,2770.0,2875.0,2770.0,2865.0,124272
2020-03-05,2890.0,2925.0,2820.0,2855.0,68542
2020-03-06,2850.0,2895.0,2800.0,2895.0,51168
2020-03-09,2850.0,3000.0,2730.0,2800.0,99455
2020-03-10,2725.0,2775.0,2660.0,2715.0,100939
2020-03-11,2720.0,2740.0,2560.0,2675.0,119498
2020-03-12,2640.0,2670.0,2510.0,2560.0,144896
2020-03-13,2350.0,2480.0,2125.0,2475.0,247372
2020-03-16,2480.0,2700.0,2430.0,2500.0,84233
2020-03-17,2345.0,2500.0,2310.0,2430.0,132788
2020-03-18,2400.0,2505.0,2290.0,2290.0,74069
2020-03-19,2260.0,2310.0,1605.0,1605.0,311225
2020-03-20,1450.0,1990.0,1450.0,1900.0,296140
2020-03-23,1840.0,1925.0,1700.0,1835.0,127896
2020-03-24,1835.0,2040.0,1835.0,2025.0,69701
2020-03-25,2055.0,2175.0,2020.0,2085.0,75309
2020-03-26,2100.0,2290.0,2080.0,2255.0,112440
2020-03-27,2265.0,2380.0,2170.0,2235.0,104401
2020-03-30,2235.0,2400.0,2150.0,2385.0,127910
2020-03-31,2650.0,2655.0,2380.0,2435.0,167645
2020-04-01,2500.0,2500.0,2375.0,2405.0,105463
2020-04-02,2405.0,2480.0,2280.0,2480.0,142680
2020-04-03,2470.0,2500.0,2400.0,2465.0,50475
2020-04-06,2465.0,2545.0,2465.0,2520.0,90413
2020-04-07,2570.0,2640.0,2505.0,2640.0,146477
2020-04-08,2630.0,2680.0,2540.0,2610.0,86146
2020-04-09,2605.0,2675.0,2605.0,2645.0,54932
2020-04-10,2710.0,2710.0,2580.0,2610.0,130985
2020-04-13,2610.0,2610.0,2480.0,2535.0,56602
2020-04-14,2560.0,2645.0,2540.0,2590.0,42391
2020-04-16,2590.0,2635.0,2500.0,2585.0,33831
2020-04-17,2600.0,2670.0,2585.0,2640.0,109666
2020-04-20,2660.0,2725.0,2640.0,2720.0,68715
2020-04-21,2720.0,2720.0,2450.0,2610.0,100046
2020-04-22,2635.0,2635.0,2495.0,2630.0,49785
2020-04-23,2615.0,2695.0,2605.0,2635.0,62643
2020-04-24,2615.0,2635.0,2560.0,2585.0,36593
2020-04-27,2680.0,2685.0,2575.0,2640.0,65331
2020-04-28,2685.0,2690.0,2600.0,2630.0,56276
2020-04-29,2630.0,2690.0,2610.0,2635.0,74865
2020-05-04,2640.0,2750.0,2600.0,2700.0,83952
2020-05-06,2745.0,3070.0,2705.0,2995.0,667719
2020-05-07,2960.0,2990.0,2900.0,2950.0,201071
2020-05-08,2975.0,3030.0,2925.0,3030.0,134060
2020-05-11,3080.0,3080.0,2890.0,2970.0,96089
2020-05-12,2945.0,3075.0,2900.0,3050.0,185277
2020-05-13,3030.0,3065.0,2850.0,2975.0,134377
2020-05-14,2975.0,3010.0,2910.0,2960.0,76062
2020-05-15,3065.0,3065.0,2935.0,2975.0,67778
2020-05-18,2975.0,2990.0,2920.0,2980.0,78514
2020-05-19,2990.0,3045.0,2960.0,3045.0,95589
2020-05-20,3090.0,3090.0,3000.0,3040.0,84131
2020-05-21,3040.0,3175.0,2995.0,3100.0,154637
2020-05-22,3170.0,3170.0,2910.0,2960.0,178537
2020-05-25,2955.0,3000.0,2860.0,2945.0,112032
2020-05-26,2975.0,2985.0,2820.0,2880.0,183834
2020-05-27,2890.0,2895.0,2830.0,2885.0,83074
2020-05-28,2885.0,2895.0,2735.0,2790.0,119029
2020-05-29,2800.0,2815.0,2705.0,2775.0,54232
2020-06-01,2750.0,2820.0,2730.0,2770.0,77955
2020-06-02,2805.0,2835.0,2755.0,2800.0,64531
2020-06-03,2840.0,2930.0,2800.0,2840.0,150958
2020-06-04,2865.0,3125.0,2865.0,3060.0,860860
2020-06-05,3060.0,3085.0,2930.0,2960.0,364490
2020-06-08,2995.0,3010.0,2900.0,2920.0,252787
2020-06-09,3000.0,3070.0,2905.0,2935.0,290588
2020-06-10,2935.0,2950.0,2825.0,2835.0,156450
2020-06-11,2860.0,2860.0,2785.0,2830.0,131881
2020-06-12,2700.0,2750.0,2545.0,2690.0,143434
2020-06-15,2635.0,2770.0,2475.0,2475.0,130911
2020-06-16,2525.0,2660.0,2525.0,2640.0,51113
2020-06-17,2640.0,2655.0,2540.0,2605.0,107445
2020-06-18,2610.0,2635.0,2550.0,2630.0,77430
2020-06-19,2615.0,2675.0,2565.0,2670.0,139618
2020-06-22,2660.0,2830.0,2620.0,2720.0,199757
2020-06-23,2720.0,2925.0,2670.0,2875.0,346205
2020-06-24,2885.0,2900.0,2810.0,2885.0,149936
2020-06-25,2830.0,2885.0,2750.0,2825.0,84359
2020-06-26,2825.0,2870.0,2785.0,2800.0,57115
2020-06-29,2760.0,2795.0,2600.0,2640.0,73276
2020-06-30,2700.0,2705.0,2580.0,2690.0,109073
2020-07-01,2675.0,2780.0,2630.0,2655.0,62351
2020-07-02,2640.0,2880.0,2640.0,2760.0,160869
2020-07-03,2760.0,2845.0,2705.0,2840.0,67063
2020-07-06,2915.0,2955.0,2810.0,2835.0,159693
2020-07-07,2910.0,2910.0,2775.0,2820.0,53394
2020-07-08,2730.0,2855.0,2730.0,2830.0,31500
2020-07-09,2830.0,2880.0,2790.0,2810.0,37182
2020-07-10,2850.0,2875.0,2760.0,2800.0,25500
2020-07-13,2800.0,2825.0,2750.0,2805.0,60017
2020-07-14,2840.0,2840.0,2750.0,2800.0,46672
2020-07-15,2830.0,2885.0,2800.0,2830.0,110633
2020-07-16,2850.0,2870.0,2760.0,2805.0,51069
2020-07-17,2840.0,2840.0,2785.0,2820.0,42130
2020-07-20,2820.0,2865.0,2765.0,2820.0,52173
