date,open,high,low,close,volume
2020-01-02,3550.0,3595.0,3350.0,3475.0,15498790
2020-01-03,3465.0,3545.0,3340.0,3375.0,4821686
2020-01-06,3365.0,3450.0,3320.0,3375.0,3137443
2020-01-07,3390.0,4100.0,3390.0,3695.0,54380127
2020-01-08,3695.0,3780.0,3460.0,3515.0,13887761
2020-01-09,3615.0,3920.0,3605.0,3730.0,20347880
2020-01-10,3950.0,4045.0,3540.0,3600.0,10717810
2020-01-13,3605.0,3655.0,3530.0,3550.0,2179395
2020-01-14,3560.0,3630.0,3540.0,3560.0,2361976
2020-01-15,3545.0,3615.0,3505.0,3535.0,1483972
2020-01-16,3565.0,3670.0,3520.0,3530.0,3432062
2020-01-17,3560.0,3675.0,3545.0,3665.0,3509117
2020-01-20,3460.0,3500.0,3315.0,3320.0,3386518
2020-01-21,3305.0,3390.0,3305.0,3310.0,1034759
2020-01-22,3310.0,3375.0,3305.0,3355.0,615327
2020-01-23,3345.0,3385.0,3275.0,3300.0,883071
2020-01-28,3170.0,3260.0,3110.0,3235.0,1240098
2020-01-29,3255.0,3310.0,3220.0,3245.0,778807
2020-01-30,3240.0,3270.0,3085.0,3155.0,919741
2020-01-31,3155.0,3220.0,3050.0,3090.0,740083
2020-02-03,3060.0,3195.0,2990.0,3165.0,989991
2020-02-04,3165.0,3245.0,3160.0,3235.0,630732
2020-02-05,3270.0,3285.0,3205.0,3210.0,575219
2020-02-06,3245.0,3340.0,3240.0,3320.0,1004142
2020-02-07,3340.0,3390.0,3280.0,3390.0,911707
2020-02-10,3395.0,3400.0,3300.0,3375.0,610268
2020-02-11,3370.0,3400.0,3330.0,3365.0,522411
2020-02-12,3370.0,3460.0,3360.0,3440.0,1107966
2020-02-13,3440.0,3445.0,3355.0,3375.0,738632
2020-02-14,3350.0,3465.0,3350.0,3410.0,720236
2020-02-17,3405.0,3470.0,3400.0,3460.0,858664
2020-02-18,3440.0,3525.0,3390.0,3435.0,946455
2020-02-19,3435.0,3480.0,3330.0,3430.0,775467
2020-02-20,3445.0,3470.0,3370.0,3395.0,666593
2020-02-21,3330.0,3475.0,3325.0,3400.0,1045905
2020-02-24,3310.0,3350.0,3045.0,3065.0,1488553
2020-02-25,3035.0,3145.0,3030.0,3115.0,721676
2020-02-26,3030.0,3105.0,3005.0,3065.0,647937
2020-02-27,3105.0,3115.0,2910.0,2940.0,742335
2020-02-28,2845.0,2890.0,2690.0,2690.0,1156024
2020-03-02,2735.0,2885.0,2710.0,2800.0,1446702
2020-03-03,2865.0,2945.0,2790.0,2790.0,816692
2020-03-04,2760.0,2970.0,2760.0,2905.0,895140
2020-03-05,2950.0,3015.0,2915.0,3010.0,746769
2020-03-06,2970.0,2985.0,2900.0,2950.0,561124
2020-03-09,2895.0,2900.0,2720.0,2755.0,636718
2020-03-10,2700.0,2725.0,2605.0,2710.0,1104864
2020-03-11,2720.0,2755.0,2510.0,2565.0,696735
2020-03-12,2535.0,2550.0,2315.0,2320.0,1280480
2020-03-13,2045.0,2240.0,1870.0,2070.0,1398292
2020-03-16,2080.0,2220.0,2005.0,2005.0,1075194
2020-03-17,1815.0,2060.0,1815.0,2025.0,1388572
2020-03-18,2070.0,2100.0,1840.0,1840.0,908023
2020-03-19,1895.0,1935.0,1475.0,1530.0,1679327
2020-03-20,1530.0,1640.0,1500.0,1630.0,1599792
2020-03-23,1500.0,1650.0,1475.0,1600.0,1042482
2020-03-24,1650.0,1750.0,1615.0,1750.0,773456
2020-03-25,1815.0,1880.0,1770.0,1880.0,865782
2020-03-26,1895.0,2005.0,1805.0,1935.0,856890
2020-03-27,2005.0,2035.0,1815.0,1920.0,876637
2020-03-30,1855.0,2075.0,1835.0,2050.0,1500823
2020-03-31,2150.0,2250.0,2085.0,2170.0,1672039
2020-04-01,2205.0,2355.0,2130.0,2170.0,1580672
2020-04-02,2175.0,2245.0,2120.0,2245.0,840996
2020-04-03,2420.0,2420.0,2275.0,2315.0,1306782
2020-04-06,2345.0,2495.0,2275.0,2440.0,1454089
2020-04-07,2490.0,2510.0,2390.0,2460.0,991400
2020-04-08,2460.0,2535.0,2420.0,2480.0,876691
2020-04-09,2540.0,2625.0,2525.0,2575.0,1453974
2020-04-10,2630.0,2630.0,2370.0,2510.0,1087157
2020-04-13,2465.0,2505.0,2395.0,2420.0,543719
2020-04-14,2435.0,2520.0,2435.0,2490.0,560458
2020-04-16,2455.0,2630.0,2395.0,2540.0,1239293
2020-04-17,2580.0,2780.0,2540.0,2645.0,3111508
2020-04-20,2655.0,2750.0,2565.0,2665.0,2435211
2020-04-21,2680.0,2700.0,2415.0,2565.0,1712184
2020-04-22,2535.0,2590.0,2460.0,2590.0,800102
2020-04-23,3115.0,3295.0,2805.0,2820.0,19669913
2020-04-24,2865.0,2960.0,2755.0,2840.0,5485589
2020-04-27,2865.0,3120.0,2850.0,3100.0,9120087
2020-04-28,3100.0,3160.0,2950.0,3160.0,3846464
2020-04-29,3095.0,3110.0,3000.0,3000.0,1832150
2020-05-04,2940.0,3010.0,2910.0,2990.0,724147
2020-05-06,3005.0,3135.0,3000.0,3135.0,3308207
2020-05-07,3250.0,3350.0,3065.0,3100.0,7099384
2020-05-08,3150.0,3245.0,3125.0,3210.0,2986837
2020-05-11,3265.0,4090.0,3180.0,3710.0,60883616
2020-05-12,3860.0,4045.0,3550.0,3625.0,21023981
2020-05-13,3540.0,3885.0,3525.0,3840.0,13394580
2020-05-14,3740.0,3780.0,3640.0,3650.0,4267986
2020-05-15,3685.0,3720.0,3480.0,3540.0,3784876
2020-05-18,3510.0,3785.0,3485.0,3630.0,6040277
2020-05-19,3665.0,3705.0,3500.0,3545.0,2556857
2020-05-20,3570.0,3650.0,3540.0,3580.0,1849123
2020-05-21,3605.0,4090.0,3570.0,3650.0,29079279
2020-05-22,3620.0,3700.0,3455.0,3465.0,4098258
2020-05-25,3475.0,3840.0,3460.0,3600.0,12123230
2020-05-26,3605.0,3645.0,3530.0,3540.0,2710940
2020-05-27,3585.0,3725.0,3495.0,3510.0,3847490
2020-05-28,3575.0,3655.0,3450.0,3550.0,3508655
2020-05-29,3535.0,3585.0,3400.0,3400.0,1542632
2020-06-01,3425.0,3600.0,3425.0,3550.0,2387425
2020-06-02,3590.0,3610.0,3520.0,3530.0,1417066
2020-06-03,3555.0,3560.0,3440.0,3450.0,1158685
2020-06-04,3450.0,3480.0,3335.0,3375.0,1318289
2020-06-05,3400.0,3440.0,3370.0,3390.0,569141
2020-06-08,3420.0,3470.0,3385.0,3395.0,694005
2020-06-09,3400.0,3500.0,3260.0,3330.0,2937091
2020-06-10,3310.0,3520.0,3280.0,3430.0,2920766
2020-06-11,3395.0,3445.0,3300.0,3315.0,1200188
2020-06-12,3180.0,3280.0,3095.0,3190.0,1211423
2020-06-15,3175.0,3225.0,2915.0,2930.0,1486562
2020-06-16,3005.0,3245.0,3005.0,3200.0,2423722
2020-06-17,3120.0,3210.0,3060.0,3120.0,999633
2020-06-18,3095.0,3320.0,3095.0,3140.0,2395648
2020-06-19,3250.0,3275.0,3145.0,3155.0,1521438
2020-06-22,3170.0,3245.0,3135.0,3200.0,762107
2020-06-23,3260.0,3285.0,3130.0,3245.0,1341198
2020-06-24,3270.0,3300.0,3185.0,3185.0,1000722
2020-06-25,3160.0,3240.0,3135.0,3180.0,710371
2020-06-26,3215.0,3215.0,3125.0,3130.0,534821
2020-06-29,3080.0,3195.0,3045.0,3070.0,686445
2020-06-30,3105.0,3180.0,3055.0,3090.0,456712
2020-07-01,3130.0,3240.0,3100.0,3165.0,1161486
2020-07-02,3170.0,3275.0,3140.0,3260.0,1077110
2020-07-03,3280.0,3285.0,3190.0,3220.0,842059
2020-07-06,3300.0,3300.0,3210.0,3220.0,901238
2020-07-07,3235.0,3365.0,3185.0,3360.0,3033378
2020-07-08,3390.0,3445.0,3265.0,3415.0,3595709
2020-07-09,3425.0,3890.0,3350.0,3660.0,34052548
2020-07-10,3740.0,3845.0,3475.0,3515.0,14030293
2020-07-13,3560.0,3830.0,3530.0,3685.0,8612994
2020-07-14,3660.0,3880.0,3410.0,3475.0,7038780
2020-07-15,3480.0,3630.0,3435.0,3525.0,3470869
2020-07-16,3550.0,3585.0,3415.0,3455.0,1647909
2020-07-17,3415.0,3480.0,3410.0,3420.0,826091
2020-07-20,3425.0,3480.0,3360.0,3390.0,1301949
2020-07-21,3405.0,3475.0,3385.0,3445.0,1236249
2020-07-22,3465.0,3595.0,3395.0,3430.0,1874593
2020-07-23,3430.0,3490.0,3380.0,3410.0,1037902
2020-07-24,3390.0,3490.0,3285.0,3300.0,1544120
2020-07-27,3290.0,3360.0,3265.0,3300.0,516780
2020-07-28,3305.0,3350.0,3290.0,3310.0,681859
2020-07-29,3305.0,3310.0,3245.0,3260.0,749785
2020-07-30,3305.0,3305.0,3200.0,3285.0,538138
2020-07-31,3285.0,3440.0,3275.0,3405.0,1565665
2020-08-03,3480.0,3535.0,3410.0,3435.0,2489232
2020-08-04,3500.0,3500.0,3435.0,3485.0,1387763
2020-08-05,3460.0,3475.0,3370.0,3380.0,1248672
2020-08-06,3410.0,3410.0,3245.0,3300.0,1112513
2020-08-07,3325.0,3325.0,3235.0,3245.0,640562
2020-08-10,3250.0,3255.0,3185.0,3205.0,593379
2020-08-11,3195.0,3270.0,3185.0,3210.0,510032
2020-08-12,3180.0,3240.0,3140.0,3155.0,492152
2020-08-13,3160.0,3245.0,3160.0,3245.0,621341
2020-08-14,3260.0,3265.0,3140.0,3175.0,588162
2020-08-18,3130.0,3160.0,2920.0,2935.0,902322
2020-08-19,2935.0,3025.0,2935.0,3015.0,406059
2020-08-20,2980.0,3025.0,2725.0,2800.0,1104192
2020-08-21,2860.0,2865.0,2735.0,2800.0,426234
2020-08-24,2780.0,2870.0,2740.0,2860.0,394609
2020-08-25,2855.0,2990.0,2855.0,2990.0,378809
2020-08-26,3000.0,3025.0,2935.0,2995.0,370794
2020-08-27,3025.0,3245.0,2980.0,3110.0,3310730
2020-08-28,3110.0,3145.0,3015.0,3015.0,608255
2020-08-31,3060.0,3130.0,3035.0,3055.0,552040
2020-09-01,3080.0,3230.0,3065.0,3180.0,2025364
2020-09-02,3215.0,3245.0,3145.0,3155.0,875492
2020-09-03,3175.0,3235.0,3130.0,3140.0,889182
2020-09-04,3000.0,3110.0,2970.0,3110.0,552040
2020-09-07,3115.0,3300.0,3115.0,3275.0,1874674
2020-09-08,3290.0,3800.0,3255.0,3365.0,24093056
2020-09-09,3260.0,3370.0,3230.0,3250.0,2153059
2020-09-10,3320.0,3470.0,3275.0,3340.0,3514850
2020-09-11,3295.0,3605.0,3295.0,3400.0,5419906
2020-09-14,3380.0,3465.0,3380.0,3435.0,1037498
2020-09-15,3435.0,3455.0,3355.0,3420.0,1059577
2020-09-16,3420.0,3435.0,3285.0,3335.0,1193585
2020-09-17,3360.0,3540.0,3345.0,3370.0,4294138
2020-09-18,3345.0,3410.0,3270.0,3305.0,767707
2020-09-21,3290.0,3300.0,3165.0,3195.0,980457
2020-09-22,3160.0,3210.0,3000.0,3040.0,990277
2020-09-23,3070.0,3155.0,3005.0,3120.0,500334
2020-09-24,3035.0,3115.0,2965.0,2970.0,674756
2020-09-25,2995.0,3020.0,2930.0,2945.0,568596
2020-09-28,2960.0,3085.0,2960.0,3055.0,417870
2020-09-29,3075.0,3195.0,3075.0,3180.0,688599
2020-10-05,3180.0,3235.0,3115.0,3225.0,416554
2020-10-06,3225.0,3350.0,3165.0,3235.0,1266419
2020-10-07,3180.0,3440.0,3150.0,3415.0,2715055
2020-10-08,3420.0,3425.0,3310.0,3330.0,1257463
2020-10-12,3330.0,3365.0,3285.0,3310.0,485075
2020-10-13,3310.0,3595.0,3310.0,3490.0,10833165
2020-10-14,3490.0,3550.0,3410.0,3525.0,2917221
2020-10-15,3495.0,3505.0,3305.0,3350.0,1745772
2020-10-16,3330.0,3405.0,3250.0,3310.0,914628
2020-10-19,3320.0,3370.0,3230.0,3235.0,557486
2020-10-20,3175.0,3275.0,3080.0,3140.0,832533
2020-10-21,3170.0,3320.0,3135.0,3310.0,834755
2020-10-22,3260.0,3305.0,3170.0,3180.0,466020
2020-10-23,3240.0,3335.0,3205.0,3300.0,1017823
2020-10-26,3335.0,3395.0,3165.0,3210.0,1561810
2020-10-27,3155.0,3465.0,3110.0,3295.0,4681546
2020-10-28,3250.0,3445.0,3240.0,3380.0,2954938
2020-10-29,3315.0,3455.0,3275.0,3410.0,1989211
2020-10-30,3440.0,3495.0,3255.0,3255.0,1696229
2020-11-02,3300.0,3460.0,3285.0,3430.0,2189251
2020-11-03,3435.0,3455.0,3375.0,3445.0,1260704
2020-11-04,3440.0,3475.0,3355.0,3380.0,953752
2020-11-05,3415.0,3480.0,3375.0,3385.0,979236
2020-11-06,3385.0,3435.0,3350.0,3365.0,663321
2020-11-09,3400.0,3495.0,3375.0,3400.0,1226312
2020-11-10,3400.0,3400.0,3330.0,3340.0,657313
2020-11-11,3360.0,3360.0,3305.0,3340.0,346197
2020-11-12,3380.0,3650.0,3365.0,3415.0,9996624
2020-11-13,3405.0,3565.0,3400.0,3500.0,3012344
2020-11-16,3510.0,3640.0,3425.0,3640.0,2522396
2020-11-17,3565.0,3580.0,3485.0,3505.0,1523469
2020-11-18,3515.0,3585.0,3450.0,3450.0,1092648
2020-11-19,3430.0,3505.0,3425.0,3445.0,792409
2020-11-20,3440.0,3490.0,3415.0,3455.0,954662
2020-11-23,3460.0,3520.0,3425.0,3450.0,1276385
2020-11-24,3480.0,3480.0,3415.0,3425.0,710537
2020-11-25,3485.0,3515.0,3305.0,3390.0,1801764
2020-11-26,3390.0,3395.0,3315.0,3325.0,669451
2020-11-27,3445.0,3570.0,3420.0,3455.0,4823391
2020-11-30,3455.0,3520.0,3435.0,3435.0,1029202
2020-12-01,3450.0,3495.0,3410.0,3435.0,901731
2020-12-02,3470.0,3590.0,3435.0,3485.0,2724439
2020-12-03,3485.0,3540.0,3460.0,3525.0,917682
2020-12-04,3520.0,3580.0,3480.0,3485.0,974748
2020-12-07,3455.0,3505.0,3380.0,3400.0,776792
2020-12-08,3410.0,3435.0,3335.0,3350.0,592200
2020-12-09,3345.0,3400.0,3335.0,3360.0,470168
2020-12-10,3360.0,3360.0,3280.0,3290.0,708656
2020-12-11,3305.0,3325.0,3255.0,3290.0,445741
2020-12-14,3290.0,3315.0,3255.0,3260.0,397528
2020-12-15,3245.0,3295.0,3165.0,3180.0,777539
2020-12-16,3210.0,3250.0,3200.0,3250.0,494272
2020-12-17,3240.0,3295.0,3225.0,3265.0,524390
2020-12-18,3270.0,3280.0,3235.0,3235.0,348091
2020-12-21,3395.0,3515.0,3260.0,3260.0,6375458
2020-12-22,3250.0,3310.0,3210.0,3225.0,903172
2020-12-23,3220.0,3285.0,3145.0,3160.0,827216
2020-12-24,3150.0,3180.0,3110.0,3155.0,377208
2020-12-28,3160.0,3190.0,3080.0,3165.0,668189
2020-12-29,3170.0,3240.0,3150.0,3235.0,490525
2020-12-30,3235.0,3250.0,3200.0,3230.0,329616
2021-01-04,3300.0,3300.0,3230.0,3250.0,491747
2021-01-05,3220.0,3255.0,3205.0,3240.0,447698
2021-01-06,3245.0,3360.0,3205.0,3355.0,2060896
2021-01-07,3340.0,3430.0,3295.0,3330.0,1886324
2021-01-08,3345.0,3370.0,3300.0,3315.0,795918
2021-01-11,3335.0,3345.0,3140.0,3230.0,661809
2021-01-12,3225.0,3255.0,3175.0,3255.0,331322
2021-01-13,3225.0,3440.0,3225.0,3370.0,4098077
2021-01-14,3340.0,3445.0,3335.0,3395.0,1448947
2021-01-15,3395.0,3415.0,3315.0,3335.0,614952
2021-01-18,3315.0,3315.0,3185.0,3185.0,638883
2021-01-19,3185.0,3265.0,3185.0,3250.0,376011
2021-01-20,3265.0,3275.0,3210.0,3235.0,382397
2021-01-21,3255.0,3270.0,3195.0,3270.0,395210
2021-01-22,3270.0,3330.0,3240.0,3275.0,501503
2021-01-25,3275.0,3365.0,3275.0,3315.0,695652
2021-01-26,3325.0,3335.0,3260.0,3285.0,346480
2021-01-27,3270.0,3305.0,3200.0,3205.0,472690
2021-01-28,3165.0,3350.0,3150.0,3185.0,1532912
2021-01-29,3205.0,3250.0,3060.0,3060.0,660890
2021-02-01,3030.0,3115.0,2960.0,3080.0,298645
2021-02-02,3055.0,3360.0,3055.0,3170.0,3006998
2021-02-03,3180.0,3225.0,3150.0,3165.0,322298
2021-02-04,3195.0,3300.0,3130.0,3150.0,726059
2021-02-05,3175.0,3200.0,3140.0,3155.0,184003
2021-02-08,3140.0,3155.0,3110.0,3115.0,190296
2021-02-09,3115.0,3140.0,3100.0,3105.0,210617
2021-02-10,3100.0,3110.0,3055.0,3090.0,299384
2021-02-15,3090.0,3140.0,3090.0,3130.0,224436
2021-02-16,3130.0,3155.0,3100.0,3145.0,256074
2021-02-17,3130.0,3230.0,3130.0,3220.0,907027
2021-02-18,3240.0,3240.0,3175.0,3210.0,470378
2021-02-19,3190.0,3210.0,3120.0,3150.0,347249
2021-02-22,3180.0,3205.0,3135.0,3140.0,263881
2021-02-23,3110.0,3135.0,3090.0,3095.0,231784
2021-02-24,3070.0,3110.0,3010.0,3010.0,445469
2021-02-25,3035.0,3070.0,3015.0,3040.0,172563
2021-02-26,2925.0,3005.0,2900.0,2985.0,546419
2021-03-02,3050.0,3055.0,2980.0,3010.0,176252
2021-03-03,2980.0,3030.0,2980.0,3015.0,142441
2021-03-04,2985.0,3065.0,2985.0,3030.0,165941
2021-03-05,3000.0,3015.0,2960.0,2995.0,193051
2021-03-08,3000.0,3020.0,2955.0,2955.0,182801
2021-03-09,2950.0,2985.0,2870.0,2925.0,395518
2021-03-10,2965.0,3005.0,2905.0,2920.0,265534
2021-03-11,2925.0,2965.0,2915.0,2925.0,132159
2021-03-12,2935.0,2970.0,2935.0,2960.0,125500
2021-03-15,2975.0,2980.0,2910.0,2975.0,181739
2021-03-16,2970.0,3030.0,2965.0,2995.0,287391
2021-03-17,3000.0,3040.0,2995.0,3010.0,168457
