date,open,high,low,close,volume
2020-01-02,8500.0,8590.0,8470.0,8590.0,1707
2020-01-03,8590.0,8590.0,8490.0,8570.0,888
2020-01-06,8570.0,8570.0,8480.0,8570.0,2261
2020-01-07,8300.0,8800.0,8300.0,8650.0,16208
2020-01-08,8590.0,8730.0,8460.0,8580.0,5602
2020-01-09,8480.0,8650.0,8480.0,8530.0,1959
2020-01-10,8530.0,8690.0,8530.0,8650.0,1533
2020-01-13,8680.0,8830.0,8600.0,8820.0,8884
2020-01-14,8820.0,9000.0,8720.0,8730.0,8762
2020-01-15,8720.0,8890.0,8720.0,8890.0,1032
2020-01-16,8890.0,8890.0,8790.0,8800.0,4182
2020-01-17,8820.0,8990.0,8820.0,8910.0,12430
2020-01-20,8890.0,8950.0,8800.0,8850.0,13683
2020-01-21,8850.0,11400.0,8760.0,9650.0,787566
2020-01-22,9470.0,12000.0,9300.0,10250.0,1604363
2020-01-23,10600.0,12700.0,10500.0,11200.0,3002918
2020-01-28,13500.0,14550.0,12750.0,14550.0,1406483
2020-01-29,13500.0,14100.0,12200.0,12900.0,786040
2020-01-30,13500.0,13500.0,11350.0,11500.0,542175
2020-01-31,13000.0,14200.0,12150.0,12800.0,1849519
2020-02-03,12900.0,13550.0,9410.0,9900.0,843193
2020-02-04,9730.0,10400.0,9370.0,9750.0,439302
2020-02-05,9670.0,12000.0,9670.0,10650.0,2038520
2020-02-06,10900.0,11250.0,10250.0,10500.0,385884
2020-02-07,10450.0,12200.0,10250.0,11150.0,1272627
2020-02-10,11000.0,11100.0,10350.0,10500.0,228680
2020-02-11,10550.0,10550.0,9860.0,9920.0,185843
2020-02-12,9880.0,9910.0,9330.0,9420.0,142537
2020-02-13,9500.0,10100.0,9280.0,9590.0,327641
2020-02-14,9580.0,9890.0,9380.0,9440.0,94619
2020-02-17,9550.0,9690.0,9240.0,9350.0,76199
2020-02-18,9310.0,10200.0,9140.0,9660.0,718092
2020-02-19,9630.0,11400.0,9610.0,11000.0,1946434
2020-02-20,11400.0,14100.0,10850.0,12100.0,3686737
2020-02-21,13300.0,13550.0,11300.0,11550.0,1183666
2020-02-24,11800.0,13300.0,9760.0,9910.0,1466970
2020-02-25,9660.0,10350.0,9450.0,9660.0,295679
2020-02-26,9620.0,11550.0,9610.0,10050.0,1369716
2020-02-27,10200.0,10700.0,10000.0,10150.0,378130
2020-02-28,9990.0,10850.0,9870.0,10400.0,416326
2020-03-02,10650.0,10750.0,9860.0,10050.0,231257
2020-03-03,10150.0,10300.0,9860.0,9900.0,236911
2020-03-04,9910.0,10150.0,9830.0,9990.0,153079
2020-03-05,10100.0,10200.0,9660.0,10200.0,199434
2020-03-06,9830.0,10600.0,9730.0,10200.0,413758
2020-03-09,10100.0,10800.0,9760.0,9760.0,439971
2020-03-10,10300.0,11300.0,9300.0,9300.0,1450947
2020-03-11,9470.0,9690.0,8740.0,9040.0,209844
2020-03-12,9080.0,9300.0,8170.0,8230.0,195771
2020-03-13,7580.0,7690.0,6800.0,7030.0,209120
2020-03-16,7050.0,7450.0,6540.0,6540.0,140904
2020-03-17,5800.0,6890.0,5800.0,6540.0,65432
2020-03-18,6540.0,7060.0,6310.0,6380.0,123313
2020-03-19,6400.0,6620.0,5210.0,5300.0,111927
2020-03-20,5320.0,5790.0,5320.0,5750.0,66456
2020-03-23,5330.0,5750.0,5300.0,5530.0,36024
2020-03-24,5570.0,5920.0,5560.0,5910.0,51839
2020-03-25,6230.0,6450.0,5960.0,6330.0,82652
2020-03-26,6580.0,6740.0,6130.0,6580.0,62983
2020-03-27,6680.0,7340.0,6380.0,6890.0,251974
2020-03-30,6890.0,7150.0,6450.0,7090.0,85209
2020-03-31,7140.0,7390.0,7000.0,7200.0,83818
2020-04-01,7340.0,7340.0,6960.0,6990.0,45290
2020-04-02,7000.0,7320.0,6950.0,7090.0,72279
2020-04-03,7410.0,7640.0,7100.0,7160.0,95268
2020-04-06,7520.0,8770.0,7440.0,8350.0,373116
2020-04-07,8360.0,8490.0,8140.0,8360.0,71573
2020-04-08,8570.0,8570.0,8300.0,8350.0,82492
2020-04-09,8350.0,9710.0,8250.0,9350.0,577394
2020-04-10,9350.0,9350.0,8600.0,8720.0,147733
2020-04-13,8600.0,8600.0,8170.0,8170.0,56637
2020-04-14,8300.0,8300.0,8150.0,8200.0,32163
2020-04-16,8250.0,8250.0,7620.0,8090.0,46019
2020-04-17,8240.0,8390.0,8070.0,8180.0,58046
2020-04-20,8180.0,9080.0,8180.0,8220.0,159889
2020-04-21,8160.0,8270.0,7600.0,8010.0,52126
2020-04-22,8050.0,8090.0,7800.0,7990.0,18822
2020-04-23,8010.0,8280.0,8010.0,8210.0,18483
2020-04-24,8220.0,8340.0,7930.0,7970.0,32047
2020-04-27,8170.0,8170.0,7870.0,8040.0,16945
2020-04-28,8040.0,8150.0,7880.0,8020.0,19768
2020-04-29,8020.0,8990.0,7970.0,8380.0,543779
2020-05-04,8380.0,8550.0,8280.0,8300.0,53866
2020-05-06,8400.0,8620.0,8340.0,8500.0,68733
2020-05-07,8580.0,8800.0,8550.0,8770.0,47927
2020-05-08,9250.0,9430.0,9010.0,9250.0,240835
2020-05-11,9850.0,9850.0,9400.0,9430.0,177147
2020-05-12,9430.0,9680.0,9260.0,9570.0,81228
2020-05-13,9900.0,9920.0,9480.0,9570.0,97053
2020-05-14,9570.0,9780.0,9440.0,9540.0,67581
2020-05-15,9600.0,9600.0,9300.0,9370.0,52031
2020-05-18,9370.0,9610.0,9260.0,9580.0,54452
2020-05-19,9580.0,9700.0,9320.0,9550.0,37057
2020-05-20,9550.0,9600.0,9400.0,9460.0,36950
2020-05-21,9500.0,9600.0,9410.0,9480.0,26758
2020-05-22,9580.0,9600.0,9240.0,9340.0,47153
2020-05-25,9340.0,9440.0,9290.0,9400.0,22831
2020-05-26,9350.0,9630.0,9350.0,9580.0,58829
2020-05-27,9640.0,9640.0,9400.0,9570.0,23789
2020-05-28,9570.0,9660.0,9080.0,9240.0,49493
2020-05-29,9240.0,9240.0,8950.0,8960.0,50458
2020-06-01,9010.0,9320.0,9010.0,9260.0,19317
2020-06-02,9250.0,9370.0,9150.0,9290.0,13292
2020-06-03,9300.0,9440.0,9170.0,9290.0,22872
2020-06-04,9300.0,9500.0,9290.0,9410.0,28458
2020-06-05,9360.0,9470.0,9310.0,9450.0,13999
2020-06-08,9500.0,10250.0,9420.0,9820.0,386439
2020-06-09,9940.0,9940.0,9530.0,9650.0,70820
2020-06-10,9630.0,9700.0,9400.0,9460.0,30943
2020-06-11,9470.0,9470.0,9080.0,9090.0,54748
2020-06-12,8510.0,8950.0,8510.0,8720.0,43182
2020-06-15,8730.0,8870.0,8290.0,8290.0,42626
2020-06-16,8350.0,8700.0,8350.0,8650.0,21353
2020-06-17,8480.0,8790.0,8410.0,8630.0,17544
2020-06-18,8370.0,9030.0,8370.0,8860.0,41865
2020-06-19,8920.0,9670.0,8860.0,9290.0,104443
2020-06-22,9400.0,9500.0,8860.0,8910.0,52555
2020-06-23,8910.0,9090.0,8710.0,8710.0,26093
2020-06-24,8710.0,9420.0,8670.0,9100.0,68470
2020-06-25,9080.0,9100.0,8870.0,8930.0,20940
2020-06-26,8930.0,9350.0,8670.0,8850.0,17956
2020-06-29,8910.0,8910.0,8410.0,8450.0,27903
2020-06-30,8450.0,8930.0,8450.0,8650.0,31823
2020-07-01,8710.0,8820.0,8550.0,8770.0,22155
2020-07-02,8700.0,8780.0,8640.0,8680.0,21617
2020-07-03,8820.0,9770.0,8740.0,8930.0,201213
2020-07-06,9000.0,9450.0,8950.0,9340.0,60558
2020-07-07,9340.0,9340.0,8910.0,8950.0,62395
2020-07-08,8950.0,9080.0,8890.0,8930.0,13596
2020-07-09,8980.0,9190.0,8900.0,8930.0,23637
2020-07-10,8920.0,9010.0,8790.0,8800.0,22930
2020-07-13,8850.0,8960.0,8810.0,8900.0,18629
2020-07-14,8820.0,8940.0,8780.0,8910.0,11716
2020-07-15,8890.0,9050.0,8810.0,8950.0,19530
2020-07-16,9020.0,9050.0,8900.0,8940.0,13460
2020-07-17,8940.0,8950.0,8830.0,8890.0,16362
2020-07-20,8850.0,8880.0,8760.0,8820.0,15887
2020-07-21,8850.0,8880.0,8760.0,8840.0,32941
2020-07-22,8910.0,8910.0,8720.0,8790.0,18680
2020-07-23,8770.0,8900.0,8730.0,8810.0,18481
2020-07-24,8710.0,8830.0,8680.0,8750.0,27544
2020-07-27,8690.0,8820.0,8650.0,8730.0,9396
2020-07-28,8760.0,8770.0,8640.0,8730.0,16803
