date,open,high,low,close,volume
2020-01-02,15663.0,15873.0,15506.0,15769.0,7651
2020-01-03,15768.0,15925.0,15559.0,15585.0,2172
2020-01-06,15559.0,15637.0,15061.0,15140.0,9829
2020-01-07,15218.0,15297.0,14747.0,14904.0,18591
2020-01-08,14982.0,14982.0,14170.0,14302.0,20399
2020-01-09,14301.0,14616.0,14249.0,14302.0,10319
2020-01-10,14511.0,14668.0,14301.0,14511.0,9140
2020-01-13,14511.0,14930.0,14380.0,14537.0,7733
2020-01-14,14432.0,14825.0,14432.0,14721.0,2706
2020-01-15,14904.0,14956.0,14642.0,14878.0,4857
2020-01-16,15035.0,15035.0,14773.0,14773.0,1694
2020-01-17,14982.0,14982.0,14668.0,14904.0,2491
2020-01-20,15061.0,15270.0,14851.0,15009.0,6614
2020-01-21,15035.0,15035.0,14642.0,14721.0,7964
2020-01-22,14616.0,14851.0,14616.0,14852.0,4732
2020-01-23,15035.0,15035.0,14694.0,14983.0,2814
2020-01-28,14825.0,14877.0,14485.0,14695.0,5193
2020-01-29,15166.0,15166.0,14511.0,14537.0,2566
2020-01-30,14851.0,14851.0,14196.0,14459.0,5797
2020-01-31,14694.0,14694.0,13987.0,14118.0,5943
2020-02-03,14118.0,14118.0,13725.0,13778.0,7604
2020-02-04,13777.0,14380.0,13777.0,14066.0,12121
2020-02-05,14065.0,14327.0,13804.0,13935.0,8231
2020-02-06,13935.0,14956.0,13935.0,14695.0,14462
2020-02-07,15270.0,15873.0,14982.0,15166.0,61225
2020-02-10,15401.0,15428.0,14537.0,14590.0,17459
2020-02-11,14668.0,15139.0,14642.0,14773.0,13870
2020-02-12,15113.0,15113.0,14354.0,14485.0,11899
2020-02-13,14537.0,14694.0,14275.0,14328.0,7862
2020-02-14,14196.0,14301.0,13935.0,14118.0,11712
2020-02-17,14144.0,14144.0,13935.0,13961.0,5784
2020-02-18,14144.0,14144.0,13830.0,13987.0,2876
2020-02-19,13935.0,14092.0,13646.0,13961.0,14581
2020-02-20,13961.0,13961.0,13463.0,13464.0,12816
2020-02-21,13411.0,13620.0,12861.0,12861.0,18546
2020-02-24,12730.0,12730.0,11551.0,11761.0,67258
2020-02-25,11760.0,14223.0,11577.0,12521.0,87180
2020-02-26,12520.0,12834.0,12311.0,12547.0,8736
2020-02-27,12363.0,12861.0,12049.0,12311.0,12310
2020-02-28,11970.0,12049.0,11446.0,11551.0,25494
2020-03-02,11603.0,12232.0,11368.0,11447.0,43951
2020-03-03,11891.0,12022.0,11499.0,11630.0,27391
2020-03-04,11682.0,12311.0,11682.0,12180.0,20282
2020-03-05,12415.0,12913.0,12153.0,12782.0,16183
2020-03-06,12572.0,12965.0,12363.0,12416.0,11715
2020-03-09,12258.0,12284.0,11839.0,12075.0,9691
2020-03-10,11839.0,12022.0,11472.0,11709.0,19990
2020-03-11,11734.0,11813.0,11158.0,11289.0,20401
2020-03-12,10948.0,11053.0,10241.0,10294.0,24152
2020-03-13,9796.0,9822.0,8696.0,9168.0,37432
2020-03-16,9167.0,9586.0,8591.0,8592.0,27997
2020-03-17,8146.0,8591.0,7596.0,8513.0,25540
2020-03-18,8486.0,8748.0,7858.0,7858.0,41933
2020-03-19,7858.0,8067.0,6312.0,6417.0,55781
2020-03-20,6522.0,7072.0,6522.0,6889.0,37469
2020-03-23,6469.0,6731.0,6234.0,6417.0,30020
2020-03-24,6574.0,7072.0,6548.0,7046.0,25639
2020-03-25,7177.0,8591.0,7177.0,8461.0,37515
2020-03-26,8853.0,8984.0,8329.0,8644.0,31509
2020-03-27,9115.0,9298.0,8486.0,8696.0,42363
2020-03-30,8696.0,8853.0,8486.0,8749.0,9844
2020-03-31,8932.0,9246.0,8879.0,9063.0,24120
2020-04-01,9062.0,9272.0,8801.0,8880.0,23920
2020-04-02,8853.0,9062.0,8643.0,9011.0,15061
2020-04-03,9010.0,9298.0,8853.0,9273.0,11387
2020-04-06,9324.0,9822.0,9220.0,9534.0,17701
2020-04-07,9848.0,9979.0,9351.0,9587.0,34224
