date,open,high,low,close,volume
2020-01-02,7080.0,7120.0,6990.0,7030.0,96069
2020-01-03,7040.0,7170.0,7040.0,7170.0,75537
2020-01-06,7090.0,7130.0,6900.0,6970.0,87111
2020-01-07,6970.0,7060.0,6950.0,7010.0,32258
2020-01-08,6990.0,6990.0,6630.0,6700.0,163105
2020-01-09,6850.0,7000.0,6790.0,6930.0,94701
2020-01-10,6940.0,7100.0,6900.0,7070.0,75713
2020-01-13,7070.0,7130.0,7050.0,7110.0,57528
2020-01-14,7140.0,7150.0,7060.0,7090.0,49839
2020-01-15,7090.0,7120.0,7050.0,7110.0,75517
2020-01-16,7110.0,7170.0,7070.0,7160.0,55850
2020-01-17,7170.0,7240.0,7150.0,7190.0,51455
2020-01-20,7220.0,7400.0,7190.0,7280.0,133281
2020-01-21,7340.0,7340.0,7090.0,7100.0,109570
2020-01-22,7090.0,7220.0,7070.0,7180.0,77326
2020-01-23,7140.0,7240.0,7130.0,7150.0,63088
2020-01-28,6930.0,7090.0,6780.0,6850.0,184197
2020-01-29,6850.0,6980.0,6830.0,6860.0,51744
2020-01-30,6890.0,6980.0,6690.0,6690.0,114342
2020-01-31,6670.0,6790.0,6400.0,6500.0,119780
2020-02-03,6360.0,6450.0,6210.0,6350.0,118495
2020-02-04,6210.0,6690.0,6200.0,6680.0,193685
2020-02-05,6690.0,6790.0,6650.0,6720.0,55388
2020-02-06,6760.0,6910.0,6710.0,6870.0,66882
2020-02-07,6920.0,6940.0,6810.0,6890.0,42351
2020-02-10,6830.0,6930.0,6820.0,6870.0,26091
2020-02-11,6900.0,6990.0,6870.0,6960.0,46759
2020-02-12,6960.0,7020.0,6890.0,7000.0,40875
2020-02-13,7000.0,7030.0,6900.0,6920.0,54116
2020-02-14,6920.0,7100.0,6870.0,7090.0,104402
2020-02-17,7100.0,7130.0,6940.0,6950.0,97274
2020-02-18,6950.0,6990.0,6870.0,6920.0,42738
2020-02-19,6900.0,6990.0,6750.0,6860.0,51460
2020-02-20,6860.0,6960.0,6800.0,6870.0,45160
2020-02-21,6810.0,6860.0,6630.0,6630.0,80401
2020-02-24,6450.0,6600.0,6300.0,6300.0,134554
2020-02-25,6250.0,6400.0,6220.0,6400.0,75349
2020-02-26,6270.0,6400.0,6270.0,6380.0,49545
2020-02-27,6350.0,6410.0,6080.0,6140.0,121687
2020-02-28,5990.0,6100.0,5700.0,5710.0,244841
2020-03-02,5680.0,5860.0,5660.0,5830.0,88991
2020-03-03,5900.0,6110.0,5880.0,5900.0,82858
2020-03-04,5810.0,6030.0,5810.0,5950.0,46815
2020-03-05,6010.0,6260.0,6000.0,6160.0,108411
2020-03-06,6160.0,6370.0,6150.0,6360.0,171473
2020-03-09,6400.0,6400.0,5870.0,5970.0,166169
2020-03-10,5950.0,6070.0,5820.0,6050.0,72621
2020-03-11,6020.0,6080.0,5780.0,5830.0,80359
2020-03-12,5700.0,5800.0,5190.0,5250.0,200722
2020-03-13,4800.0,4950.0,4370.0,4885.0,341058
2020-03-16,4885.0,5090.0,4510.0,4510.0,131665
2020-03-17,4030.0,4600.0,4025.0,4470.0,205496
2020-03-18,4505.0,4600.0,4150.0,4350.0,116223
2020-03-19,4350.0,4420.0,3415.0,3505.0,281242
2020-03-20,3525.0,3870.0,3520.0,3845.0,157921
2020-03-23,3420.0,3600.0,3340.0,3600.0,198447
2020-03-24,3720.0,3950.0,3500.0,3895.0,94387
2020-03-25,4000.0,4230.0,3975.0,4100.0,122598
2020-03-26,4100.0,4330.0,4005.0,4155.0,127810
2020-03-27,4280.0,4400.0,4055.0,4170.0,121348
2020-03-30,3995.0,4285.0,3975.0,4245.0,94022
2020-03-31,4300.0,4475.0,4200.0,4365.0,149871
2020-04-01,4365.0,4595.0,4270.0,4400.0,146255
2020-04-02,4320.0,4490.0,4180.0,4430.0,121049
2020-04-03,4520.0,4615.0,4450.0,4580.0,98952
2020-04-06,4615.0,4750.0,4525.0,4720.0,108523
2020-04-07,4815.0,4950.0,4650.0,4950.0,204879
2020-04-08,4945.0,5110.0,4830.0,5060.0,160031
2020-04-09,5110.0,5180.0,4960.0,5010.0,113301
2020-04-10,5030.0,5100.0,4845.0,4925.0,135296
2020-04-13,4905.0,4930.0,4760.0,4775.0,120742
2020-04-14,4825.0,4925.0,4810.0,4910.0,76550
2020-04-16,4905.0,5030.0,4785.0,5010.0,91902
2020-04-17,5100.0,5240.0,5080.0,5210.0,129232
2020-04-20,5250.0,5440.0,5190.0,5340.0,148017
2020-04-21,5340.0,5420.0,4810.0,5180.0,205953
2020-04-22,5050.0,5200.0,4975.0,5160.0,81809
2020-04-23,5220.0,5990.0,5190.0,5550.0,926225
2020-04-24,5580.0,5580.0,5200.0,5240.0,254076
2020-04-27,5290.0,5540.0,5260.0,5360.0,183057
2020-04-28,5480.0,5500.0,5290.0,5350.0,152423
2020-04-29,5350.0,5380.0,5250.0,5300.0,77107
2020-05-04,5250.0,5390.0,5240.0,5310.0,100980
2020-05-06,5400.0,5540.0,5350.0,5500.0,204728
2020-05-07,5500.0,5710.0,5430.0,5660.0,166695
2020-05-08,5700.0,5790.0,5660.0,5720.0,128825
2020-05-11,5730.0,5960.0,5700.0,5810.0,211642
2020-05-12,5900.0,5900.0,5600.0,5670.0,135753
2020-05-13,5600.0,5870.0,5540.0,5830.0,103815
2020-05-14,5830.0,5840.0,5720.0,5740.0,72150
2020-05-15,5800.0,5810.0,5680.0,5730.0,74845
2020-05-18,5760.0,5940.0,5620.0,5870.0,156985
2020-05-19,6000.0,6150.0,5940.0,6150.0,240033
2020-05-20,6190.0,6300.0,6140.0,6220.0,136840
2020-05-21,6250.0,6430.0,6210.0,6320.0,260900
2020-05-22,6410.0,6410.0,6060.0,6180.0,241843
2020-05-25,6220.0,6250.0,6080.0,6170.0,88681
2020-05-26,6200.0,6300.0,6200.0,6300.0,101104
2020-05-27,6360.0,6360.0,6150.0,6180.0,138625
2020-05-28,6180.0,6220.0,5930.0,6010.0,164954
2020-05-29,6000.0,6080.0,5940.0,6050.0,73069
2020-06-01,6100.0,6480.0,6040.0,6300.0,710831
2020-06-02,6310.0,6400.0,6160.0,6270.0,166057
2020-06-03,6300.0,6320.0,6200.0,6250.0,154500
2020-06-04,6270.0,6330.0,6150.0,6220.0,142990
2020-06-05,6250.0,6300.0,6180.0,6270.0,55394
2020-06-08,6340.0,6340.0,6240.0,6270.0,74482
2020-06-09,6290.0,6330.0,6200.0,6230.0,104620
