date,open,high,low,close,volume
2020-01-02,5730.0,5780.0,5650.0,5780.0,76712
2020-01-03,5780.0,5830.0,5640.0,5730.0,90941
2020-01-06,5690.0,5690.0,5480.0,5520.0,108465
2020-01-07,5540.0,5590.0,5480.0,5540.0,45107
2020-01-08,5520.0,5520.0,5250.0,5290.0,167416
2020-01-09,5310.0,5460.0,5280.0,5320.0,85192
2020-01-10,5330.0,5460.0,5330.0,5430.0,37016
2020-01-13,5430.0,5800.0,5430.0,5800.0,234753
2020-01-14,5820.0,6450.0,5770.0,6310.0,1562368
2020-01-15,6370.0,6380.0,6180.0,6210.0,438152
2020-01-16,6290.0,6370.0,6220.0,6330.0,227661
2020-01-17,6340.0,6740.0,6340.0,6520.0,476183
2020-01-20,6630.0,6800.0,6420.0,6590.0,389469
2020-01-21,6500.0,6620.0,6200.0,6310.0,388845
2020-01-22,6300.0,6520.0,6290.0,6320.0,162631
2020-01-23,6310.0,6310.0,6080.0,6100.0,200335
2020-01-28,5900.0,6020.0,5780.0,5950.0,272478
2020-01-29,6000.0,6010.0,5830.0,5880.0,102161
2020-01-30,5880.0,5880.0,5610.0,5620.0,139717
2020-01-31,5620.0,5770.0,5500.0,5580.0,123006
2020-02-03,5500.0,5990.0,5320.0,5600.0,256339
2020-02-04,5600.0,5970.0,5580.0,5900.0,286717
2020-02-05,6270.0,6550.0,5700.0,5730.0,1136395
2020-02-06,5750.0,6440.0,5750.0,6310.0,1140503
2020-02-07,6230.0,6410.0,6100.0,6350.0,565829
2020-02-10,6350.0,6370.0,6130.0,6210.0,286056
2020-02-11,6220.0,6350.0,6200.0,6260.0,199004
2020-02-12,6220.0,6250.0,6070.0,6110.0,176718
2020-02-13,6110.0,6190.0,5850.0,6000.0,350869
2020-02-14,6000.0,6020.0,5900.0,5900.0,103026
2020-02-17,5900.0,5960.0,5830.0,5900.0,117906
2020-02-18,5880.0,5900.0,5710.0,5780.0,139438
2020-02-19,5780.0,5910.0,5620.0,5760.0,75111
2020-02-20,5820.0,5820.0,5500.0,5510.0,193992
2020-02-21,5450.0,5520.0,5290.0,5350.0,134280
2020-02-24,5180.0,5210.0,5050.0,5060.0,168492
2020-02-25,5050.0,5300.0,5030.0,5200.0,110147
2020-02-26,5110.0,5150.0,5000.0,5100.0,109191
2020-02-27,5100.0,5190.0,4975.0,4990.0,163584
2020-02-28,4860.0,4970.0,4670.0,4680.0,216661
2020-03-02,4680.0,4935.0,4680.0,4830.0,82163
2020-03-03,4975.0,5130.0,4925.0,4960.0,74298
2020-03-04,4880.0,5090.0,4850.0,5020.0,57097
2020-03-05,5150.0,5160.0,5060.0,5070.0,74317
2020-03-06,5000.0,5060.0,4875.0,4930.0,104110
2020-03-09,4840.0,4925.0,4550.0,4610.0,106241
2020-03-10,4455.0,4615.0,4410.0,4555.0,104642
2020-03-11,4580.0,4595.0,4275.0,4285.0,93237
2020-03-12,4200.0,4230.0,3825.0,3970.0,271894
2020-03-13,3550.0,3860.0,3100.0,3800.0,350637
2020-03-16,3800.0,3925.0,3600.0,3800.0,148538
2020-03-17,3540.0,3875.0,3425.0,3800.0,99717
2020-03-18,3805.0,3855.0,3705.0,3770.0,64990
2020-03-19,3740.0,3750.0,3100.0,3100.0,198720
2020-03-20,2995.0,3280.0,2950.0,3235.0,236385
2020-03-23,3050.0,3160.0,2750.0,2930.0,150340
2020-03-24,2955.0,3160.0,2945.0,3160.0,110472
2020-03-25,3225.0,3500.0,3225.0,3390.0,121613
2020-03-26,3390.0,3650.0,3315.0,3470.0,153334
2020-03-27,3510.0,3620.0,3315.0,3475.0,151110
2020-03-30,3380.0,3530.0,3315.0,3530.0,78112
2020-03-31,3565.0,3790.0,3530.0,3700.0,105941
2020-04-01,3650.0,3770.0,3435.0,3590.0,75640
2020-04-02,3580.0,3670.0,3455.0,3650.0,67788
2020-04-03,3770.0,3770.0,3640.0,3700.0,107211
2020-04-06,3705.0,3930.0,3705.0,3905.0,139761
2020-04-07,3960.0,4135.0,3920.0,4020.0,194271
2020-04-08,4000.0,4230.0,3950.0,4150.0,83823
2020-04-09,4205.0,4245.0,4140.0,4200.0,91482
2020-04-10,4210.0,4245.0,4055.0,4140.0,164685
2020-04-13,4120.0,4310.0,4000.0,4015.0,112012
2020-04-14,4005.0,4230.0,4005.0,4200.0,114142
2020-04-16,4250.0,4250.0,4075.0,4155.0,77064
2020-04-17,4170.0,4770.0,4170.0,4410.0,733080
2020-04-20,4425.0,4510.0,4350.0,4410.0,147188
2020-04-21,4380.0,4380.0,4110.0,4275.0,169959
2020-04-22,4180.0,4275.0,4110.0,4275.0,62591
2020-04-23,4280.0,4460.0,4280.0,4345.0,72245
2020-04-24,4345.0,4380.0,4180.0,4225.0,79320
2020-04-27,4220.0,4550.0,4220.0,4405.0,219647
2020-04-28,4480.0,4500.0,4390.0,4430.0,125900
2020-04-29,4410.0,4475.0,4385.0,4455.0,59540
2020-05-04,4445.0,4455.0,4295.0,4360.0,50803
2020-05-06,4410.0,4590.0,4410.0,4560.0,114953
2020-05-07,4525.0,4595.0,4515.0,4555.0,84957
2020-05-08,4555.0,4740.0,4555.0,4680.0,99894
2020-05-11,4680.0,4685.0,4565.0,4630.0,70818
2020-05-12,4630.0,4630.0,4445.0,4470.0,63697
2020-05-13,4385.0,4485.0,4385.0,4470.0,80538
2020-05-14,4455.0,4475.0,4300.0,4300.0,68371
2020-05-15,4305.0,4350.0,4135.0,4145.0,97489
2020-05-18,4110.0,4280.0,4110.0,4220.0,118712
2020-05-19,4250.0,4820.0,4250.0,4270.0,748105
