date,open,high,low,close,volume
2020-01-02,11437.0,11966.0,11437.0,11891.0,24636
2020-01-03,11954.0,11954.0,11715.0,11728.0,7924
2020-01-06,11500.0,11715.0,11311.0,11337.0,10144
2020-01-07,11337.0,11752.0,11337.0,11715.0,16267
2020-01-08,11715.0,11715.0,11009.0,11274.0,30639
2020-01-09,11337.0,11702.0,11337.0,11539.0,15933
2020-01-10,11425.0,11790.0,11425.0,11740.0,16208
2020-01-13,11689.0,12785.0,11689.0,12282.0,214292
2020-01-14,12344.0,12722.0,12193.0,12332.0,71537
2020-01-15,12332.0,12357.0,11840.0,12093.0,39564
2020-01-16,12105.0,12332.0,12055.0,12206.0,16939
2020-01-17,12206.0,12382.0,12004.0,12068.0,10895
2020-01-20,12118.0,12319.0,11929.0,11992.0,11110
2020-01-21,11979.0,11979.0,11463.0,11576.0,39448
2020-01-22,11475.0,11715.0,11475.0,11652.0,8548
2020-01-23,11563.0,11652.0,11463.0,11564.0,6555
2020-01-28,10833.0,11450.0,10417.0,10544.0,63395
2020-01-29,10480.0,10581.0,10253.0,10468.0,18641
2020-01-30,10455.0,10581.0,9737.0,9851.0,45179
2020-01-31,10140.0,10140.0,9346.0,9347.0,29223
2020-02-03,8981.0,9208.0,8389.0,9208.0,57290
2020-02-04,9246.0,9497.0,9069.0,9460.0,15420
2020-02-05,9611.0,9611.0,9183.0,9196.0,18249
2020-02-06,9183.0,9447.0,9183.0,9359.0,13776
2020-02-07,9309.0,9497.0,8994.0,9057.0,36891
2020-02-10,8868.0,9283.0,8868.0,9271.0,20454
2020-02-11,9271.0,9510.0,9258.0,9372.0,13495
2020-02-12,9372.0,9548.0,9233.0,9385.0,10327
2020-02-13,9334.0,9573.0,9208.0,9334.0,11266
2020-02-14,9372.0,9409.0,9220.0,9322.0,9352
2020-02-17,9447.0,9447.0,9195.0,9271.0,10554
2020-02-18,9372.0,9372.0,8994.0,9196.0,9062
2020-02-19,9132.0,9296.0,8817.0,8956.0,21736
2020-02-20,9132.0,9132.0,8250.0,8641.0,26211
2020-02-21,8653.0,8653.0,8364.0,8427.0,18768
2020-02-24,8313.0,8389.0,8061.0,8100.0,23597
2020-02-25,7684.0,8490.0,7684.0,8478.0,28167
2020-02-26,8112.0,8528.0,8112.0,8490.0,7872
2020-02-27,8250.0,8326.0,7482.0,7558.0,51766
2020-02-28,7558.0,7558.0,7230.0,7281.0,39460
2020-03-02,7432.0,7734.0,7356.0,7659.0,27682
2020-03-03,7684.0,7885.0,7684.0,7797.0,19138
2020-03-04,7772.0,8061.0,7558.0,7886.0,24887
2020-03-05,7885.0,8124.0,7772.0,7911.0,19590
2020-03-06,7810.0,7973.0,7658.0,7810.0,15896
2020-03-09,7810.0,7810.0,7432.0,7621.0,33310
2020-03-10,7243.0,7646.0,7230.0,7646.0,36003
2020-03-11,7621.0,7810.0,7280.0,7331.0,25801
2020-03-12,7469.0,7469.0,6310.0,6374.0,75243
2020-03-13,5794.0,6348.0,5542.0,5845.0,88961
2020-03-16,5844.0,6273.0,5404.0,5442.0,44958
2020-03-17,4446.0,5756.0,4446.0,5669.0,98528
2020-03-18,5492.0,5769.0,5454.0,5454.0,22714
2020-03-19,5164.0,5618.0,4547.0,4547.0,51756
2020-03-20,4572.0,5781.0,4572.0,5253.0,87398
2020-03-23,4786.0,5391.0,4786.0,5328.0,33260
2020-03-24,5479.0,5605.0,5252.0,5429.0,40343
2020-03-25,5605.0,6172.0,5567.0,6034.0,45940
2020-03-26,6235.0,6336.0,5668.0,6298.0,31136
2020-03-27,6298.0,6625.0,6021.0,6450.0,26342
2020-03-30,6424.0,6449.0,6134.0,6450.0,12396
2020-03-31,6462.0,6877.0,6462.0,6802.0,18428
2020-04-01,6877.0,7180.0,6726.0,6802.0,16465
2020-04-02,6865.0,6903.0,6512.0,6903.0,12835
2020-04-03,6903.0,7041.0,6739.0,6865.0,13834
2020-04-06,7117.0,7117.0,6840.0,7004.0,9345
2020-04-07,7255.0,7255.0,7003.0,7243.0,10192
2020-04-08,7419.0,7558.0,6940.0,7432.0,22212
2020-04-09,7583.0,7633.0,7180.0,7445.0,17699
2020-04-10,7784.0,7784.0,7054.0,7306.0,18164
2020-04-13,7306.0,7306.0,6877.0,7105.0,12865
2020-04-14,7104.0,7293.0,7029.0,7117.0,9672
2020-04-16,7117.0,7369.0,6890.0,7180.0,5770
2020-04-17,7255.0,7331.0,7180.0,7294.0,30170
2020-04-20,7608.0,7608.0,7293.0,7306.0,19931
