date,open,high,low,close,volume
2020-01-02,3500.0,3520.0,3430.0,3445.0,52439
2020-01-03,3450.0,3585.0,3390.0,3580.0,177704
2020-01-06,3545.0,3550.0,3435.0,3505.0,73667
2020-01-07,3510.0,3800.0,3510.0,3665.0,267070
2020-01-08,3695.0,3695.0,3360.0,3445.0,168164
2020-01-09,3500.0,3585.0,3500.0,3530.0,48286
2020-01-10,3540.0,3590.0,3485.0,3520.0,52659
2020-01-13,3520.0,3555.0,3450.0,3545.0,40666
2020-01-14,3545.0,3600.0,3480.0,3550.0,93164
2020-01-15,3535.0,3585.0,3475.0,3530.0,53268
2020-01-16,3520.0,3600.0,3500.0,3555.0,43900
2020-01-17,3575.0,3575.0,3525.0,3560.0,47102
2020-01-20,3560.0,3590.0,3530.0,3555.0,71177
2020-01-21,3555.0,3565.0,3450.0,3500.0,62458
2020-01-22,3520.0,3545.0,3475.0,3535.0,55818
2020-01-23,3540.0,3550.0,3415.0,3510.0,93827
2020-01-28,3370.0,3455.0,3290.0,3300.0,150576
2020-01-29,3320.0,3450.0,3320.0,3365.0,44796
2020-01-30,3365.0,3410.0,3160.0,3240.0,77098
2020-01-31,3265.0,3480.0,3200.0,3205.0,79455
2020-02-03,3160.0,3295.0,3075.0,3215.0,59237
2020-02-04,3260.0,3485.0,3260.0,3430.0,110578
2020-02-05,3470.0,3640.0,3450.0,3540.0,255054
2020-02-06,3550.0,3605.0,3495.0,3560.0,34742
2020-02-07,3530.0,3555.0,3435.0,3500.0,61202
2020-02-10,3460.0,3520.0,3420.0,3490.0,35733
2020-02-11,3530.0,3575.0,3455.0,3550.0,53189
2020-02-12,3550.0,3600.0,3485.0,3585.0,53017
2020-02-13,3530.0,3660.0,3510.0,3585.0,123683
2020-02-14,3585.0,3615.0,3535.0,3600.0,35785
2020-02-17,3580.0,3605.0,3525.0,3560.0,60763
2020-02-18,3525.0,3580.0,3415.0,3450.0,66215
2020-02-19,3480.0,3515.0,3400.0,3485.0,26381
2020-02-20,3510.0,3525.0,3390.0,3480.0,66154
2020-02-21,3415.0,3440.0,3365.0,3385.0,51072
2020-02-24,3340.0,3340.0,3115.0,3170.0,200132
2020-02-25,3145.0,3335.0,3100.0,3320.0,78536
2020-02-26,3260.0,3360.0,3200.0,3320.0,85180
2020-02-27,3300.0,3300.0,3115.0,3190.0,79435
2020-02-28,3090.0,3155.0,2970.0,3040.0,219684
2020-03-02,3030.0,3110.0,2940.0,3040.0,73899
2020-03-03,3140.0,3175.0,3025.0,3080.0,58147
2020-03-04,3015.0,3155.0,3000.0,3140.0,63067
2020-03-05,3165.0,3480.0,3145.0,3315.0,286376
2020-03-06,3300.0,3300.0,3145.0,3200.0,61998
2020-03-09,3090.0,3125.0,3015.0,3060.0,136082
2020-03-10,3025.0,3080.0,2950.0,3065.0,51938
2020-03-11,3065.0,3085.0,2860.0,2955.0,126561
2020-03-12,2880.0,2935.0,2655.0,2695.0,189516
2020-03-13,2505.0,2540.0,2200.0,2480.0,306302
2020-03-16,2475.0,2580.0,2255.0,2300.0,102198
2020-03-17,2100.0,2365.0,2100.0,2270.0,178742
2020-03-18,2270.0,2360.0,2155.0,2175.0,154074
2020-03-19,2130.0,2195.0,1630.0,1675.0,620587
2020-03-20,1695.0,1900.0,1675.0,1880.0,328747
2020-03-23,1750.0,1840.0,1620.0,1750.0,196571
2020-03-24,1775.0,1950.0,1765.0,1925.0,155193
2020-03-25,2030.0,2095.0,1975.0,2015.0,204776
2020-03-26,2015.0,2270.0,1940.0,2145.0,262303
2020-03-27,2210.0,2290.0,2070.0,2230.0,110842
2020-03-30,2175.0,2230.0,2050.0,2210.0,147128
2020-03-31,2215.0,2285.0,2195.0,2220.0,101211
2020-04-01,2220.0,2260.0,2100.0,2165.0,88852
2020-04-02,2165.0,2190.0,2060.0,2165.0,92496
2020-04-03,2170.0,2235.0,2170.0,2230.0,66894
2020-04-06,2245.0,2380.0,2215.0,2375.0,142823
2020-04-07,2445.0,2445.0,2340.0,2440.0,113828
2020-04-08,2440.0,2550.0,2375.0,2520.0,170594
2020-04-09,2635.0,2635.0,2490.0,2545.0,94019
2020-04-10,2630.0,2630.0,2455.0,2540.0,76190
2020-04-13,2540.0,2655.0,2470.0,2520.0,51550
2020-04-14,2595.0,2605.0,2485.0,2575.0,140542
2020-04-16,2630.0,2630.0,2530.0,2580.0,39766
2020-04-17,2640.0,2705.0,2610.0,2695.0,163737
2020-04-20,2695.0,2700.0,2625.0,2685.0,128326
2020-04-21,2630.0,2685.0,2400.0,2600.0,111450
2020-04-22,2590.0,2650.0,2500.0,2650.0,53112
2020-04-23,2670.0,2850.0,2640.0,2700.0,463510
2020-04-24,2700.0,2715.0,2610.0,2680.0,64295
2020-04-27,2670.0,2705.0,2625.0,2690.0,88994
2020-04-28,2690.0,2730.0,2670.0,2700.0,58742
2020-04-29,2780.0,2780.0,2675.0,2755.0,57518
2020-05-04,2675.0,2800.0,2655.0,2755.0,54805
2020-05-06,2810.0,2820.0,2705.0,2770.0,56124
2020-05-07,2810.0,2860.0,2745.0,2855.0,69633
2020-05-08,2855.0,2970.0,2855.0,2900.0,144280
2020-05-11,2935.0,2935.0,2810.0,2835.0,98654
2020-05-12,2865.0,2865.0,2745.0,2805.0,36255
2020-05-13,2800.0,2800.0,2700.0,2785.0,42915
2020-05-14,2805.0,2835.0,2700.0,2780.0,74001
2020-05-15,2750.0,2850.0,2700.0,2800.0,157625
2020-05-18,2855.0,2925.0,2800.0,2880.0,215875
2020-05-19,2890.0,2915.0,2860.0,2890.0,79199
2020-05-20,2890.0,2950.0,2845.0,2920.0,144322
2020-05-21,2935.0,3090.0,2935.0,2940.0,304846
2020-05-22,2860.0,2940.0,2830.0,2855.0,189137
2020-05-25,2885.0,2945.0,2855.0,2930.0,81880
2020-05-26,2945.0,3075.0,2905.0,3020.0,279712
2020-05-27,3100.0,3135.0,2980.0,3020.0,211056
2020-05-28,3050.0,3220.0,2960.0,3115.0,554750
2020-05-29,3090.0,3115.0,3010.0,3080.0,111313
2020-06-01,3080.0,3385.0,3060.0,3165.0,1877902
2020-06-02,3165.0,3180.0,3110.0,3180.0,229841
2020-06-03,3205.0,3325.0,3195.0,3195.0,547431
2020-06-04,3220.0,3235.0,3100.0,3140.0,159953
2020-06-05,3155.0,3160.0,3075.0,3125.0,93486
2020-06-08,3135.0,3175.0,3055.0,3090.0,132693
2020-06-09,3110.0,3360.0,3090.0,3285.0,667829
