date,open,high,low,close,volume
2020-01-02,14682.0,14682.0,14405.0,14545.0,115897
2020-01-03,14637.0,14914.0,14545.0,14638.0,224209
2020-01-06,14452.0,14590.0,14266.0,14499.0,265480
2020-01-07,14636.0,14775.0,14452.0,14499.0,141460
2020-01-08,14450.0,14496.0,13850.0,13944.0,370352
2020-01-09,14452.0,14683.0,14312.0,14684.0,205726
2020-01-10,14637.0,15006.0,14544.0,14961.0,229462
2020-01-13,14820.0,15143.0,14774.0,15053.0,189878
2020-01-14,15099.0,15192.0,14777.0,14777.0,169550
2020-01-15,14868.0,16161.0,14683.0,15977.0,1323382
2020-01-16,16114.0,16252.0,15699.0,15884.0,513623
2020-01-17,15976.0,16391.0,15746.0,15792.0,425990
2020-01-20,16300.0,16762.0,15931.0,15977.0,711972
2020-01-21,16022.0,16161.0,15792.0,15792.0,275761
2020-01-22,15791.0,16345.0,15699.0,16346.0,326956
2020-01-23,16206.0,16345.0,16022.0,16116.0,186899
2020-01-28,15468.0,15792.0,15283.0,15562.0,491706
2020-01-29,15653.0,15883.0,15561.0,15654.0,182908
2020-01-30,15652.0,15930.0,15329.0,15515.0,311379
2020-01-31,15560.0,15882.0,15329.0,15376.0,237321
2020-02-03,14961.0,15562.0,14868.0,15562.0,225665
2020-02-04,15561.0,15930.0,15561.0,15792.0,207322
2020-02-05,15882.0,15975.0,15329.0,15376.0,281128
2020-02-06,15514.0,15883.0,15375.0,15792.0,248191
2020-02-07,15745.0,16344.0,15513.0,16300.0,441027
2020-02-10,16205.0,16435.0,15881.0,16207.0,261014
2020-02-11,16299.0,16345.0,16067.0,16346.0,216332
2020-02-12,16390.0,16574.0,16159.0,16438.0,264770
2020-02-13,16483.0,16714.0,16298.0,16577.0,339174
2020-02-14,16482.0,16574.0,16205.0,16207.0,239076
2020-02-17,15976.0,16761.0,15930.0,16716.0,435296
2020-02-18,16714.0,16990.0,16344.0,16392.0,284078
2020-02-19,16346.0,16855.0,16115.0,16855.0,296221
2020-02-20,16853.0,17406.0,16853.0,17270.0,772960
2020-02-21,17083.0,18099.0,16944.0,17731.0,1206331
2020-02-24,17174.0,17497.0,16482.0,16622.0,764776
2020-02-25,16762.0,17316.0,16300.0,17040.0,630223
2020-02-26,16621.0,16807.0,16022.0,16485.0,753478
2020-02-27,16530.0,16716.0,15607.0,15931.0,645810
2020-02-28,15376.0,15654.0,14592.0,14777.0,991437
2020-03-02,14912.0,15236.0,14543.0,15238.0,487594
2020-03-03,15745.0,15791.0,14960.0,15007.0,435151
2020-03-04,14822.0,15607.0,14822.0,15562.0,311290
2020-03-05,15791.0,15837.0,15375.0,15654.0,312984
2020-03-06,15374.0,15698.0,15005.0,15238.0,326747
2020-03-09,14867.0,15051.0,14312.0,14499.0,524523
2020-03-10,14220.0,14913.0,14081.0,14914.0,449627
2020-03-11,14959.0,15051.0,13897.0,13991.0,489347
2020-03-12,13757.0,13988.0,12972.0,13113.0,843977
2020-03-13,12003.0,12650.0,10710.0,12005.0,1292049
2020-03-16,12374.0,12651.0,11543.0,11636.0,669618
2020-03-17,10942.0,12235.0,10849.0,11959.0,575369
2020-03-18,12004.0,12604.0,11220.0,11221.0,794986
2020-03-19,11497.0,11773.0,9972.0,10251.0,1168976
2020-03-20,10712.0,11266.0,10343.0,11175.0,646795
2020-03-23,10388.0,10710.0,10065.0,10251.0,533360
2020-03-24,10619.0,11634.0,10526.0,11590.0,482755
2020-03-25,12049.0,12235.0,11542.0,11959.0,717187
2020-03-26,11818.0,12187.0,11633.0,11820.0,530662
2020-03-27,12372.0,12372.0,11541.0,11866.0,511232
2020-03-30,11449.0,12002.0,11403.0,11866.0,335682
2020-03-31,12097.0,12652.0,11912.0,12283.0,755767
2020-04-01,12328.0,13066.0,11912.0,11913.0,742050
2020-04-02,12002.0,12233.0,11541.0,12189.0,380110
2020-04-03,12281.0,12512.0,11911.0,12143.0,336826
2020-04-06,12235.0,12743.0,12142.0,12744.0,375491
2020-04-07,13111.0,13157.0,12557.0,12790.0,395246
2020-04-08,12696.0,13249.0,12557.0,12790.0,360533
2020-04-09,13204.0,13897.0,12973.0,13714.0,999243
2020-04-10,13852.0,14222.0,13483.0,13807.0,684666
2020-04-13,13620.0,13620.0,13020.0,13021.0,520141
2020-04-14,13202.0,13527.0,13019.0,13159.0,302778
2020-04-16,12974.0,13713.0,12790.0,13668.0,387646
2020-04-17,13852.0,13991.0,13622.0,13807.0,384554
2020-04-20,13851.0,14960.0,13621.0,14684.0,1263121
2020-04-21,14867.0,15097.0,13528.0,14499.0,1237271
2020-04-22,14129.0,14777.0,13944.0,14777.0,378099
2020-04-23,14867.0,14913.0,14498.0,14684.0,331409
2020-04-24,14545.0,15145.0,14545.0,14638.0,555509
2020-04-27,14775.0,14959.0,14590.0,14914.0,328685
