date,open,high,low,close,volume
2020-01-02,6386.0,6386.0,5962.0,6023.0,218850
2020-01-03,6090.0,6097.0,5753.0,5821.0,304541
2020-01-06,5787.0,5922.0,5692.0,5868.0,82208
2020-01-07,5807.0,5962.0,5807.0,5895.0,42582
2020-01-08,5847.0,5868.0,5558.0,5619.0,98706
2020-01-09,5820.0,5948.0,5753.0,5821.0,62321
2020-01-10,5820.0,6481.0,5820.0,6367.0,242790
2020-01-13,8253.0,8253.0,7512.0,7512.0,6233457
2020-01-14,7545.0,7613.0,6804.0,7007.0,1060436
2020-01-15,6872.0,7377.0,6838.0,7141.0,437080
2020-01-16,7141.0,7545.0,7040.0,7344.0,355195
2020-01-17,7309.0,7512.0,7175.0,7310.0,180017
2020-01-20,7276.0,7309.0,6905.0,6906.0,197686
2020-01-21,6872.0,7141.0,6838.0,7007.0,133824
2020-01-22,6973.0,7343.0,6973.0,7141.0,171865
2020-01-23,7141.0,7343.0,7040.0,7243.0,121061
2020-01-28,6804.0,7006.0,6730.0,6838.0,157845
2020-01-29,6973.0,6973.0,6737.0,6805.0,60663
2020-01-30,6770.0,6905.0,6359.0,6421.0,159542
2020-01-31,6420.0,6595.0,6205.0,6245.0,82696
2020-02-03,6063.0,6663.0,5996.0,6623.0,202493
2020-02-04,6582.0,6838.0,6501.0,6771.0,77515
2020-02-05,6804.0,6804.0,6676.0,6683.0,53275
2020-02-06,6683.0,7006.0,6683.0,6771.0,51993
2020-02-07,6838.0,6905.0,6703.0,6724.0,42314
2020-02-10,6838.0,6905.0,6669.0,6872.0,45185
2020-02-11,6973.0,6973.0,6710.0,6973.0,86738
2020-02-12,7040.0,7478.0,6973.0,7310.0,269096
2020-02-13,7579.0,7646.0,7040.0,7175.0,234206
2020-02-14,7208.0,7276.0,7040.0,7209.0,79144
2020-02-17,7309.0,7815.0,7141.0,7680.0,310249
2020-02-18,7714.0,7747.0,7410.0,7512.0,137451
2020-02-19,7646.0,7680.0,7242.0,7613.0,134782
2020-02-20,7579.0,7680.0,7343.0,7411.0,91675
2020-02-21,7343.0,7410.0,6973.0,7209.0,130318
2020-02-24,6905.0,7175.0,6872.0,6906.0,85806
2020-02-25,6838.0,7141.0,6770.0,7040.0,52932
2020-02-26,6804.0,7074.0,6804.0,7007.0,67032
2020-02-27,7208.0,7916.0,6973.0,7007.0,314867
2020-02-28,6770.0,6804.0,6481.0,6535.0,172043
2020-03-02,6535.0,6905.0,6407.0,6805.0,58994
2020-03-03,6973.0,7006.0,6696.0,6717.0,79706
2020-03-04,6717.0,6939.0,6717.0,6906.0,34895
