date,open,high,low,close,volume
2020-01-02,137500.0,138000.0,135000.0,136500.0,26182
2020-01-03,137000.0,137500.0,134000.0,135500.0,24610
2020-01-06,135000.0,135500.0,131500.0,132000.0,30032
2020-01-07,132000.0,135500.0,132000.0,134000.0,18497
2020-01-08,133000.0,133000.0,129500.0,129500.0,31347
2020-01-09,131500.0,131500.0,129500.0,130500.0,22747
2020-01-10,130500.0,140500.0,129500.0,139000.0,105691
2020-01-13,139000.0,144000.0,138500.0,141500.0,62388
2020-01-14,141000.0,143000.0,139000.0,140000.0,35909
2020-01-15,140000.0,141000.0,138000.0,139500.0,14884
2020-01-16,140000.0,142000.0,136000.0,137500.0,45810
2020-01-17,137500.0,139500.0,137500.0,138500.0,17964
2020-01-20,137000.0,138500.0,135500.0,136000.0,19140
2020-01-21,135500.0,138000.0,117000.0,124000.0,225484
2020-01-22,123000.0,128500.0,122500.0,127000.0,54803
2020-01-23,128500.0,129500.0,124500.0,126000.0,33380
2020-01-28,124000.0,126000.0,122500.0,124500.0,26329
2020-01-29,124500.0,125500.0,122500.0,125000.0,20699
2020-01-30,125000.0,125000.0,120500.0,121500.0,29057
2020-01-31,121000.0,122500.0,118000.0,118000.0,23243
2020-02-03,115000.0,119500.0,113500.0,118000.0,25228
2020-02-04,117000.0,121500.0,117000.0,118500.0,35136
2020-02-05,119000.0,120000.0,115500.0,116500.0,63473
2020-02-06,117000.0,121000.0,117000.0,120500.0,43847
2020-02-07,120500.0,122000.0,118500.0,119000.0,17368
2020-02-10,117500.0,120000.0,117500.0,119000.0,16795
2020-02-11,119500.0,121500.0,118000.0,119500.0,37145
2020-02-12,119500.0,121000.0,119000.0,120000.0,18389
2020-02-13,120000.0,121000.0,117000.0,117000.0,39789
2020-02-14,117000.0,121500.0,117000.0,119500.0,41880
2020-02-17,120000.0,121000.0,117500.0,118000.0,27169
2020-02-18,117500.0,118500.0,116500.0,118000.0,19079
2020-02-19,119000.0,121500.0,118000.0,119500.0,23653
2020-02-20,120500.0,121000.0,118000.0,118000.0,26674
2020-02-21,118000.0,119000.0,116000.0,117500.0,26857
2020-02-24,116000.0,116500.0,110000.0,110000.0,35045
2020-02-25,109000.0,111500.0,108000.0,111500.0,40961
2020-02-26,109000.0,112500.0,109000.0,110000.0,23379
2020-02-27,109500.0,111500.0,106500.0,108500.0,38926
2020-02-28,106500.0,108000.0,102000.0,105000.0,49855
2020-03-02,105000.0,115000.0,102000.0,115000.0,81021
2020-03-03,115500.0,115500.0,110000.0,111000.0,48805
2020-03-04,111000.0,112500.0,94400.0,100000.0,655362
2020-03-05,100500.0,102500.0,98700.0,101000.0,169574
2020-03-06,99600.0,103500.0,98800.0,101500.0,78261
2020-03-09,103000.0,103000.0,97200.0,98500.0,63615
2020-03-10,96000.0,97500.0,94100.0,96800.0,58315
2020-03-11,96300.0,97800.0,91000.0,91800.0,71574
2020-03-12,89400.0,92400.0,82600.0,84000.0,136618
