date,open,high,low,close,volume
2020-01-02,4884.0,5295.0,4836.0,5174.0,466411
2020-01-03,5174.0,5319.0,5125.0,5319.0,187942
2020-01-06,5343.0,5609.0,5222.0,5513.0,415462
2020-01-07,5513.0,5682.0,5440.0,5536.0,234589
2020-01-08,5633.0,5924.0,5222.0,5464.0,752668
2020-01-09,5513.0,5754.0,5513.0,5706.0,163548
2020-01-10,5754.0,5779.0,5561.0,5730.0,78275
2020-01-13,5706.0,5802.0,5561.0,5682.0,76867
2020-01-14,5682.0,5706.0,5513.0,5561.0,102285
2020-01-15,5561.0,5706.0,5488.0,5536.0,104528
2020-01-16,5536.0,5609.0,5440.0,5585.0,82948
2020-01-17,5585.0,5754.0,5536.0,5706.0,95144
2020-01-20,5754.0,5875.0,5658.0,5730.0,124569
2020-01-21,5754.0,5754.0,5416.0,5585.0,105520
2020-01-22,5561.0,5997.0,5513.0,5972.0,198521
2020-01-23,6093.0,6093.0,5851.0,6020.0,97731
2020-01-28,5802.0,5851.0,5633.0,5779.0,139092
2020-01-29,5779.0,5948.0,5754.0,5924.0,67624
2020-01-30,5924.0,6069.0,5754.0,5875.0,135956
2020-01-31,5802.0,5899.0,5682.0,5802.0,113812
2020-02-03,5585.0,5851.0,5513.0,5802.0,94362
2020-02-04,5851.0,5924.0,5730.0,5899.0,60901
2020-02-05,5948.0,5948.0,5633.0,5706.0,81748
2020-02-06,5706.0,5851.0,5561.0,5682.0,147099
2020-02-07,5754.0,5754.0,5513.0,5609.0,135033
2020-02-10,5633.0,5633.0,5247.0,5319.0,263400
2020-02-11,5368.0,5391.0,5222.0,5391.0,94569
2020-02-12,5391.0,5536.0,5319.0,5464.0,103402
2020-02-13,5536.0,5536.0,5247.0,5368.0,77049
2020-02-14,5416.0,5416.0,5271.0,5416.0,47409
2020-02-17,5416.0,5513.0,5295.0,5513.0,82481
2020-02-18,5464.0,5536.0,5368.0,5488.0,63535
2020-02-19,5488.0,5513.0,5295.0,5391.0,69614
2020-02-20,5416.0,5513.0,5343.0,5440.0,83691
2020-02-21,5368.0,5416.0,5174.0,5222.0,116345
2020-02-24,5125.0,5125.0,4859.0,4908.0,142436
2020-02-25,4836.0,5198.0,4831.0,5102.0,66214
2020-02-26,5004.0,5102.0,4980.0,5102.0,88662
2020-02-27,5029.0,5125.0,4831.0,4908.0,152631
2020-02-28,4786.0,4836.0,4632.0,4690.0,149282
2020-03-02,4739.0,4763.0,4545.0,4744.0,63795
2020-03-03,4836.0,4884.0,4734.0,4786.0,52989
2020-03-04,4786.0,4884.0,4724.0,4859.0,57123
2020-03-05,4908.0,4932.0,4859.0,4884.0,20846
2020-03-06,4836.0,4836.0,4729.0,4816.0,46677
2020-03-09,4744.0,4744.0,4477.0,4531.0,86413
2020-03-10,4531.0,4531.0,4352.0,4477.0,92045
2020-03-11,4497.0,4594.0,4284.0,4284.0,118224
2020-03-12,4173.0,4255.0,3950.0,4051.0,145083
2020-03-13,3582.0,3916.0,3486.0,3834.0,231427
2020-03-16,3868.0,3994.0,3626.0,3747.0,172442
2020-03-17,3404.0,3940.0,3404.0,3921.0,194659
2020-03-18,3878.0,4082.0,3781.0,3795.0,147555
2020-03-19,3795.0,3868.0,3316.0,3316.0,207692
2020-03-20,3316.0,3751.0,3316.0,3683.0,138396
2020-03-23,3432.0,3568.0,3374.0,3427.0,88934
2020-03-24,3529.0,3665.0,3500.0,3655.0,81077
2020-03-25,3772.0,3901.0,3680.0,3873.0,89712
2020-03-26,3873.0,3970.0,3733.0,3747.0,184113
2020-03-27,3805.0,3931.0,3665.0,3776.0,99471
2020-03-30,3723.0,3868.0,3655.0,3863.0,47322
2020-03-31,4008.0,4008.0,3863.0,4003.0,78691
2020-04-01,3989.0,4274.0,3878.0,4061.0,130737
2020-04-02,4061.0,4129.0,3989.0,4110.0,63709
2020-04-03,4134.0,4240.0,4110.0,4202.0,64313
2020-04-06,4207.0,4284.0,4207.0,4255.0,90453
2020-04-07,4313.0,4371.0,4162.0,4357.0,106425
2020-04-08,4352.0,4468.0,4294.0,4419.0,83711
2020-04-09,4419.0,4656.0,4419.0,4487.0,59417
2020-04-10,4448.0,4482.0,4217.0,4385.0,106542
2020-04-13,4357.0,4380.0,4207.0,4211.0,60308
2020-04-14,4211.0,4357.0,4211.0,4327.0,53482
2020-04-16,4289.0,4594.0,4289.0,4569.0,85011
2020-04-17,4603.0,4700.0,4444.0,4550.0,112731
2020-04-20,4550.0,4594.0,4487.0,4545.0,88486
2020-04-21,4598.0,4598.0,4255.0,4453.0,102968
2020-04-22,4380.0,4444.0,4303.0,4380.0,61693
2020-04-23,4453.0,4521.0,4380.0,4438.0,66200
2020-04-24,4380.0,4487.0,4376.0,4414.0,46701
2020-04-27,4362.0,4584.0,4362.0,4444.0,74929
2020-04-28,4511.0,4531.0,4410.0,4531.0,56961
2020-04-29,4564.0,4569.0,4492.0,4516.0,21159
2020-05-04,4497.0,4497.0,4400.0,4448.0,53740
2020-05-06,4453.0,4661.0,4453.0,4641.0,50610
2020-05-07,4685.0,5077.0,4608.0,4980.0,366820
2020-05-08,5004.0,5125.0,4932.0,5053.0,106912
2020-05-11,5053.0,5077.0,4836.0,4932.0,113930
2020-05-12,4884.0,5004.0,4796.0,4908.0,103979
2020-05-13,4859.0,5029.0,4786.0,4980.0,81974
