date,open,high,low,close,volume
2020-01-02,4599.0,4716.0,4549.0,4633.0,249195
2020-01-03,4633.0,4716.0,4566.0,4650.0,164463
2020-01-06,4582.0,4632.0,4449.0,4616.0,264843
2020-01-07,4616.0,4782.0,4599.0,4766.0,257859
2020-01-08,4633.0,4783.0,4466.0,4600.0,581931
2020-01-09,4783.0,4916.0,4683.0,4800.0,461004
2020-01-10,4816.0,4932.0,4666.0,4883.0,316680
2020-01-13,4916.0,4916.0,4700.0,4800.0,225471
2020-01-14,4850.0,5033.0,4816.0,4850.0,296622
2020-01-15,4966.0,5049.0,4882.0,4966.0,394542
2020-01-16,5066.0,5082.0,4933.0,5033.0,229488
2020-01-17,5049.0,5099.0,4933.0,5083.0,304182
2020-01-20,5116.0,5116.0,4950.0,5000.0,200391
2020-01-21,5000.0,5000.0,4816.0,4850.0,194358
2020-01-22,4799.0,4965.0,4799.0,4916.0,109788
2020-01-23,4916.0,5033.0,4849.0,4950.0,99282
2020-01-28,4816.0,4849.0,4666.0,4750.0,144195
2020-01-29,4783.0,4816.0,4683.0,4783.0,148029
2020-01-30,4782.0,4782.0,4499.0,4583.0,173256
2020-01-31,4599.0,4699.0,4483.0,4533.0,149655
2020-02-03,4433.0,4599.0,4333.0,4583.0,182319
2020-02-04,4566.0,4749.0,4566.0,4733.0,120777
2020-02-05,4766.0,4816.0,4583.0,4633.0,122058
2020-02-06,4666.0,4733.0,4599.0,4733.0,119010
2020-02-07,4683.0,4716.0,4616.0,4700.0,94953
2020-02-10,4666.0,4666.0,4516.0,4583.0,210297
2020-02-11,4600.0,4716.0,4600.0,4700.0,94092
2020-02-12,4649.0,4849.0,4649.0,4833.0,168486
2020-02-13,4899.0,4899.0,4716.0,4766.0,91743
2020-02-14,4716.0,4832.0,4699.0,4716.0,111558
2020-02-17,4716.0,4783.0,4683.0,4750.0,74991
2020-02-18,4750.0,4766.0,4566.0,4600.0,126693
2020-02-19,4600.0,4666.0,4450.0,4650.0,185817
2020-02-20,4666.0,4699.0,4516.0,4583.0,87540
2020-02-21,4516.0,4582.0,4349.0,4433.0,128100
2020-02-24,4299.0,4299.0,4116.0,4133.0,190152
2020-02-25,4049.0,4216.0,4049.0,4216.0,185940
2020-02-26,4099.0,4166.0,4049.0,4133.0,122103
2020-02-27,4132.0,4166.0,3833.0,3933.0,281022
2020-02-28,3849.0,3932.0,3666.0,3733.0,260319
2020-03-02,3716.0,3900.0,3616.0,3900.0,155070
2020-03-03,3982.0,4065.0,3866.0,3916.0,165462
2020-03-04,3833.0,4049.0,3833.0,4033.0,113574
2020-03-05,4116.0,4149.0,4033.0,4083.0,119274
2020-03-06,4016.0,4033.0,3900.0,4000.0,81831
2020-03-09,3933.0,3933.0,3666.0,3750.0,226152
2020-03-10,3649.0,3766.0,3616.0,3733.0,165852
2020-03-11,3749.0,3749.0,3516.0,3533.0,205557
2020-03-12,3466.0,3532.0,3199.0,3233.0,449601
2020-03-13,2992.0,2995.0,2596.0,2926.0,556896
2020-03-16,2932.0,3075.0,2746.0,2746.0,286635
2020-03-17,2550.0,2756.0,2513.0,2640.0,217161
2020-03-18,2649.0,2706.0,2503.0,2503.0,177369
2020-03-19,2516.0,2556.0,1996.0,2033.0,481488
2020-03-20,2086.0,2246.0,2013.0,2200.0,216960
2020-03-23,2006.0,2082.0,1949.0,1993.0,231525
2020-03-24,2063.0,2196.0,2016.0,2183.0,209460
2020-03-25,2283.0,2403.0,2266.0,2380.0,285096
2020-03-26,2423.0,2546.0,2416.0,2440.0,234156
2020-03-27,2632.0,2632.0,2426.0,2466.0,181266
2020-03-30,2450.0,2600.0,2366.0,2550.0,227295
2020-03-31,2582.0,2782.0,2582.0,2676.0,302424
2020-04-01,2632.0,2799.0,2599.0,2626.0,279435
2020-04-02,2623.0,2689.0,2569.0,2683.0,156873
2020-04-03,2693.0,2749.0,2649.0,2713.0,150570
2020-04-06,2713.0,2883.0,2683.0,2880.0,295095
2020-04-07,2976.0,3029.0,2902.0,2976.0,355227
2020-04-08,2973.0,3122.0,2916.0,3063.0,245661
2020-04-09,3082.0,3115.0,3036.0,3076.0,245697
2020-04-10,3065.0,3109.0,2952.0,3016.0,225723
2020-04-13,3016.0,3036.0,2916.0,2923.0,166329
2020-04-14,2916.0,2989.0,2916.0,2983.0,121575
2020-04-16,2983.0,3049.0,2943.0,2993.0,119502
2020-04-17,3050.0,3233.0,3033.0,3170.0,260436
2020-04-20,3229.0,3229.0,3139.0,3146.0,176310
2020-04-21,3122.0,3169.0,3006.0,3086.0,215949
2020-04-22,3016.0,3065.0,2972.0,3056.0,83136
2020-04-23,3083.0,3186.0,3076.0,3183.0,110091
2020-04-24,3182.0,3185.0,3052.0,3116.0,132321
2020-04-27,3126.0,3176.0,3113.0,3133.0,120588
2020-04-28,3143.0,3160.0,3070.0,3130.0,116424
2020-04-29,3126.0,3262.0,3126.0,3193.0,194064
2020-05-04,3150.0,3186.0,2926.0,3110.0,155751
2020-05-06,3116.0,3176.0,3116.0,3160.0,143898
2020-05-07,3162.0,3432.0,3136.0,3326.0,375432
2020-05-08,3332.0,3465.0,3332.0,3416.0,269949
2020-05-11,3466.0,3466.0,3323.0,3330.0,225627
2020-05-12,3322.0,3349.0,3243.0,3273.0,129891
2020-05-13,3239.0,3259.0,3193.0,3253.0,153987
2020-05-14,3249.0,3256.0,3176.0,3183.0,106383
2020-05-15,3186.0,3216.0,3123.0,3200.0,151071
2020-05-18,3033.0,3103.0,3016.0,3050.0,325347
2020-05-19,3089.0,3152.0,3039.0,3133.0,212502
2020-05-20,3133.0,3366.0,3103.0,3333.0,290715
2020-05-21,3383.0,3533.0,3323.0,3500.0,521370
2020-05-22,3533.0,3533.0,3263.0,3320.0,387420
2020-05-25,3316.0,3415.0,3259.0,3366.0,341949
2020-05-26,3349.0,3432.0,3316.0,3416.0,361053
2020-05-27,3416.0,3432.0,3329.0,3333.0,177681
2020-05-28,3333.0,3366.0,3186.0,3240.0,212790
2020-05-29,3209.0,3259.0,3202.0,3236.0,64020
2020-06-01,3273.0,3366.0,3240.0,3350.0,114594
2020-06-02,3349.0,3799.0,3319.0,3733.0,1847139
2020-06-03,3765.0,3799.0,3582.0,3616.0,583509
2020-06-04,3632.0,3666.0,3483.0,3533.0,345471
2020-06-05,3532.0,3849.0,3532.0,3716.0,1195146
2020-06-08,3883.0,3983.0,3800.0,3850.0,924525
2020-06-09,3832.0,3899.0,3699.0,3766.0,347979
2020-06-10,3749.0,3799.0,3682.0,3766.0,174126
2020-06-11,3733.0,3766.0,3583.0,3650.0,301128
2020-06-12,3416.0,3566.0,3383.0,3500.0,220890
2020-06-15,3449.0,3516.0,3129.0,3143.0,446346
2020-06-16,3232.0,3292.0,3216.0,3276.0,158874
2020-06-17,3236.0,3400.0,3236.0,3350.0,187155
2020-06-18,3349.0,3449.0,3302.0,3416.0,115482
2020-06-19,3466.0,4082.0,3416.0,4033.0,1686630
2020-06-22,4300.0,4300.0,4050.0,4200.0,1294398
2020-06-23,4366.0,4966.0,4233.0,4933.0,6833706
2020-06-24,4883.0,5332.0,4749.0,5083.0,3273135
2020-06-25,4983.0,5033.0,4833.0,5033.0,1033920
2020-06-26,4965.0,5049.0,4599.0,4616.0,1215432
2020-06-29,4532.0,4649.0,4299.0,4433.0,779799
2020-06-30,4500.0,4533.0,4266.0,4300.0,573294
2020-07-01,4350.0,4783.0,4316.0,4700.0,1395393
2020-07-02,4683.0,4733.0,4400.0,4700.0,930459
2020-07-03,4666.0,4916.0,4583.0,4700.0,562122
2020-07-06,4699.0,4815.0,4616.0,4766.0,338760
