date,open,high,low,close,volume
2020-01-02,2630.0,2755.0,2620.0,2730.0,156923
2020-01-03,2730.0,2745.0,2675.0,2735.0,167001
2020-01-06,2705.0,2735.0,2640.0,2690.0,97777
2020-01-07,2675.0,2740.0,2655.0,2720.0,73050
2020-01-08,2715.0,2715.0,2550.0,2555.0,182668
2020-01-09,2610.0,2695.0,2610.0,2690.0,100275
2020-01-10,2700.0,2745.0,2675.0,2710.0,109132
2020-01-13,2745.0,2835.0,2705.0,2810.0,326256
2020-01-14,2870.0,2870.0,2680.0,2705.0,225290
2020-01-15,2705.0,2750.0,2700.0,2740.0,81080
2020-01-16,2740.0,2740.0,2540.0,2595.0,687598
2020-01-17,2680.0,2680.0,2425.0,2545.0,597175
2020-01-20,2545.0,2580.0,2490.0,2500.0,225072
2020-01-21,2510.0,2570.0,2465.0,2495.0,204796
2020-01-22,2495.0,2545.0,2485.0,2500.0,117730
2020-01-23,2495.0,2565.0,2475.0,2545.0,104484
2020-01-28,2470.0,2520.0,2415.0,2460.0,245782
2020-01-29,2475.0,2510.0,2420.0,2430.0,121563
2020-01-30,2395.0,2700.0,2395.0,2580.0,734752
2020-01-31,2570.0,2585.0,2440.0,2495.0,182434
2020-02-03,2385.0,2505.0,2375.0,2490.0,144215
2020-02-04,2455.0,2550.0,2455.0,2535.0,112144
2020-02-05,2585.0,2585.0,2460.0,2480.0,123710
2020-02-06,2480.0,2520.0,2390.0,2430.0,421464
2020-02-07,2405.0,2455.0,2265.0,2295.0,597467
2020-02-10,2260.0,2350.0,2235.0,2320.0,307878
2020-02-11,2320.0,2390.0,2295.0,2345.0,122670
2020-02-12,2370.0,2370.0,2215.0,2250.0,259856
2020-02-13,2250.0,2305.0,2215.0,2225.0,206339
2020-02-14,2240.0,2245.0,1950.0,2015.0,1044441
2020-02-17,1615.0,1915.0,1530.0,1895.0,1983231
2020-02-18,1955.0,1980.0,1690.0,1770.0,717586
2020-02-19,1770.0,1880.0,1720.0,1770.0,367030
2020-02-20,1755.0,1845.0,1700.0,1705.0,361930
2020-02-21,1660.0,1805.0,1630.0,1730.0,427614
2020-02-24,1730.0,1730.0,1450.0,1475.0,583523
2020-02-25,1460.0,1915.0,1455.0,1915.0,2911949
2020-02-26,2160.0,2270.0,1680.0,1735.0,7944753
2020-02-27,1710.0,1800.0,1550.0,1575.0,2570808
2020-02-28,1495.0,1595.0,1490.0,1550.0,783230
2020-03-02,1575.0,1650.0,1500.0,1555.0,895680
2020-03-03,1600.0,1705.0,1580.0,1645.0,1024898
2020-03-04,1610.0,1725.0,1610.0,1710.0,601186
2020-03-05,1735.0,1900.0,1715.0,1840.0,2442816
2020-03-06,1815.0,2145.0,1790.0,2085.0,4585485
2020-03-09,2080.0,2270.0,1915.0,2000.0,3731917
2020-03-10,1950.0,2135.0,1875.0,2120.0,1983698
2020-03-11,2065.0,2120.0,1575.0,1750.0,2785850
2020-03-12,1730.0,1950.0,1610.0,1655.0,1739767
2020-03-13,1500.0,1890.0,1380.0,1815.0,1505232
2020-03-16,2095.0,2100.0,1710.0,1710.0,1349140
2020-03-17,1515.0,1750.0,1515.0,1725.0,575163
2020-03-18,1735.0,1795.0,1575.0,1595.0,450647
2020-03-19,1615.0,1675.0,1290.0,1350.0,736515
2020-03-20,1290.0,1515.0,1290.0,1455.0,716991
2020-03-23,1305.0,1710.0,1115.0,1550.0,2323063
2020-03-24,1505.0,1700.0,1460.0,1605.0,1206316
2020-03-25,1605.0,1760.0,1550.0,1575.0,1461673
2020-03-26,1575.0,1685.0,1555.0,1600.0,866487
2020-03-27,1630.0,1900.0,1505.0,1710.0,3831560
2020-03-30,1715.0,1810.0,1640.0,1765.0,1019183
2020-03-31,1825.0,1875.0,1715.0,1775.0,1035680
2020-04-01,1780.0,1850.0,1735.0,1755.0,882852
2020-04-02,1755.0,1795.0,1620.0,1760.0,545562
2020-04-03,1780.0,1870.0,1710.0,1870.0,941958
2020-04-06,1910.0,2000.0,1865.0,1970.0,1371329
2020-04-07,2030.0,2175.0,1960.0,2175.0,1351120
2020-04-08,1890.0,1985.0,1805.0,1970.0,2169648
2020-04-09,1980.0,2015.0,1915.0,1960.0,686825
2020-04-10,1970.0,1985.0,1800.0,1985.0,905872
2020-04-13,2120.0,2315.0,1920.0,1920.0,2237037
2020-04-14,1890.0,1960.0,1885.0,1900.0,433531
2020-04-16,1895.0,1905.0,1800.0,1880.0,339106
2020-04-17,1880.0,1935.0,1865.0,1930.0,413346
2020-04-20,1970.0,2050.0,1910.0,1980.0,809952
2020-04-21,1930.0,2040.0,1750.0,1975.0,1006018
2020-04-22,1925.0,1945.0,1885.0,1920.0,309726
2020-04-23,1950.0,2150.0,1950.0,2100.0,2804427
2020-04-24,2020.0,2085.0,1955.0,1995.0,1251945
2020-04-27,2030.0,2090.0,1995.0,2090.0,946630
2020-04-28,2100.0,2115.0,2010.0,2060.0,725305
2020-04-29,2065.0,2065.0,2025.0,2030.0,347552
2020-05-04,2000.0,2055.0,1965.0,1985.0,510920
