date,open,high,low,close,volume
2020-01-02,2730.0,2740.0,2700.0,2730.0,11358
2020-01-03,2740.0,2745.0,2705.0,2720.0,20375
2020-01-06,2740.0,2740.0,2665.0,2705.0,15116
2020-01-07,2700.0,2745.0,2690.0,2740.0,16144
2020-01-08,2750.0,2750.0,2610.0,2670.0,64618
2020-01-09,2675.0,2750.0,2675.0,2750.0,15476
2020-01-10,2765.0,2800.0,2735.0,2770.0,19342
2020-01-13,2770.0,2860.0,2770.0,2860.0,42606
2020-01-14,2860.0,2885.0,2845.0,2870.0,25508
2020-01-15,2890.0,2905.0,2865.0,2900.0,31549
2020-01-16,2900.0,2975.0,2860.0,2965.0,50200
2020-01-17,2965.0,3000.0,2945.0,2985.0,29876
2020-01-20,2985.0,3005.0,2920.0,2985.0,23548
2020-01-21,2980.0,3030.0,2950.0,3010.0,42057
2020-01-22,2995.0,3015.0,2970.0,3000.0,13576
2020-01-23,3000.0,3000.0,2965.0,2975.0,12876
2020-01-28,2940.0,2940.0,2875.0,2935.0,30864
2020-01-29,2935.0,2935.0,2845.0,2915.0,20444
2020-01-30,2920.0,2945.0,2860.0,2915.0,16131
2020-01-31,2900.0,2940.0,2850.0,2870.0,11115
2020-02-03,2800.0,2800.0,2670.0,2800.0,35789
2020-02-04,2755.0,2890.0,2755.0,2890.0,13995
2020-02-05,2920.0,2920.0,2815.0,2850.0,38755
2020-02-06,2850.0,2875.0,2830.0,2865.0,14844
2020-02-07,2865.0,2865.0,2825.0,2850.0,9030
2020-02-10,2810.0,2900.0,2810.0,2900.0,18239
2020-02-11,2920.0,2975.0,2900.0,2955.0,25661
2020-02-12,2965.0,2965.0,2915.0,2960.0,10365
2020-02-13,2925.0,2965.0,2925.0,2955.0,11926
2020-02-14,2955.0,2955.0,2900.0,2930.0,16194
2020-02-17,2910.0,2930.0,2870.0,2905.0,15643
2020-02-18,2905.0,2940.0,2865.0,2900.0,13107
2020-02-19,2915.0,2925.0,2865.0,2905.0,23410
2020-02-20,2905.0,2950.0,2870.0,2930.0,33028
2020-02-21,2915.0,2940.0,2805.0,2880.0,16689
