date,open,high,low,close,volume
2020-01-02,5060.0,5070.0,4960.0,5000.0,62587
2020-01-03,5060.0,5070.0,4950.0,4965.0,56509
2020-01-06,4965.0,4965.0,4750.0,4790.0,105244
2020-01-07,4815.0,4900.0,4810.0,4860.0,40216
2020-01-08,4805.0,4840.0,4585.0,4605.0,86481
2020-01-09,4660.0,4780.0,4660.0,4700.0,39702
2020-01-10,4700.0,4770.0,4635.0,4705.0,79546
2020-01-13,4700.0,4735.0,4555.0,4655.0,48193
2020-01-14,4660.0,4740.0,4660.0,4725.0,37988
2020-01-15,4720.0,4835.0,4720.0,4775.0,40401
2020-01-16,4790.0,4820.0,4740.0,4790.0,39767
2020-01-17,4790.0,4805.0,4715.0,4770.0,37517
2020-01-20,4750.0,4765.0,4685.0,4700.0,33970
2020-01-21,4650.0,4700.0,4555.0,4585.0,58984
2020-01-22,4585.0,4615.0,4510.0,4615.0,29980
2020-01-23,4620.0,4740.0,4550.0,4690.0,99466
2020-01-28,4610.0,4610.0,4450.0,4480.0,90601
2020-01-29,4480.0,4515.0,4445.0,4485.0,44084
2020-01-30,4455.0,4495.0,4300.0,4360.0,79168
2020-01-31,4370.0,4375.0,4185.0,4225.0,130723
2020-02-03,4150.0,4185.0,4000.0,4120.0,100664
2020-02-04,4160.0,4225.0,4120.0,4175.0,42292
2020-02-05,4175.0,4240.0,4155.0,4195.0,50903
2020-02-06,4195.0,4305.0,4175.0,4300.0,54596
2020-02-07,4300.0,4315.0,4190.0,4250.0,87185
2020-02-10,4215.0,4250.0,4165.0,4235.0,51741
2020-02-11,4235.0,4360.0,4235.0,4360.0,92829
2020-02-12,4360.0,4370.0,4300.0,4355.0,45499
2020-02-13,4355.0,4375.0,4290.0,4325.0,28710
2020-02-14,4305.0,4335.0,4250.0,4275.0,45644
2020-02-17,4255.0,4295.0,4220.0,4255.0,48677
2020-02-18,4220.0,4255.0,4150.0,4160.0,70293
2020-02-19,4160.0,4190.0,4095.0,4115.0,68990
