date,open,high,low,close,volume
2020-01-02,13300.0,13500.0,13150.0,13400.0,767480
2020-01-03,13500.0,13550.0,13150.0,13200.0,806752
2020-01-06,12850.0,13100.0,12650.0,12950.0,1378966
2020-01-07,13050.0,13550.0,13050.0,13100.0,1225699
2020-01-08,13050.0,13300.0,12700.0,12900.0,1369940
2020-01-09,13300.0,13400.0,13000.0,13200.0,815499
2020-01-10,13250.0,13250.0,12900.0,13100.0,644020
2020-01-13,13050.0,13150.0,12800.0,12850.0,656352
2020-01-14,12950.0,13550.0,12850.0,13200.0,1682058
2020-01-15,13250.0,13250.0,12850.0,12950.0,947026
2020-01-16,12950.0,13000.0,12800.0,12950.0,478671
2020-01-17,13050.0,13150.0,12850.0,12950.0,552673
2020-01-20,12950.0,13400.0,12950.0,13250.0,1214625
2020-01-21,13300.0,13300.0,12850.0,12900.0,701955
2020-01-22,12900.0,13050.0,12800.0,13050.0,581290
2020-01-23,12950.0,13050.0,12800.0,13000.0,503874
2020-01-28,12300.0,12500.0,11900.0,11950.0,1618097
2020-01-29,12150.0,12200.0,11950.0,12050.0,523564
2020-01-30,12200.0,12250.0,11500.0,11600.0,1123644
2020-01-31,11650.0,11750.0,11150.0,11150.0,1152495
2020-02-03,10750.0,11350.0,10600.0,11250.0,1397587
2020-02-04,11350.0,11450.0,11200.0,11350.0,937755
2020-02-05,11550.0,11550.0,10900.0,10950.0,1422478
2020-02-06,11150.0,11250.0,10900.0,11150.0,1115492
2020-02-07,11200.0,11250.0,10900.0,10950.0,835508
2020-02-10,10900.0,11050.0,10750.0,10900.0,711497
2020-02-11,10950.0,11200.0,10950.0,11150.0,905278
2020-02-12,11350.0,11600.0,11100.0,11250.0,1912269
2020-02-13,11350.0,11600.0,11250.0,11400.0,1971753
2020-02-14,11550.0,11850.0,11450.0,11600.0,2010668
2020-02-17,11800.0,12350.0,11650.0,12150.0,2463090
2020-02-18,12450.0,12600.0,11600.0,11750.0,2098264
2020-02-19,11850.0,11900.0,11200.0,11550.0,1493451
2020-02-20,11700.0,11800.0,11250.0,11350.0,1084240
2020-02-21,11050.0,11200.0,10650.0,10700.0,2101264
2020-02-24,10050.0,10250.0,9990.0,10000.0,2154334
2020-02-25,9800.0,10100.0,9700.0,10100.0,2161291
2020-02-26,9720.0,10050.0,9720.0,9910.0,1249989
2020-02-27,9950.0,10050.0,9450.0,9530.0,1464341
2020-02-28,9230.0,9360.0,8920.0,8950.0,1828055
2020-03-02,8930.0,10050.0,8930.0,9660.0,3009618
2020-03-03,10050.0,10100.0,9600.0,9600.0,1174745
2020-03-04,9460.0,9830.0,9400.0,9760.0,698050
2020-03-05,9950.0,9980.0,9760.0,9800.0,917818
2020-03-06,9660.0,10000.0,9620.0,9740.0,1007145
2020-03-09,9560.0,9560.0,9140.0,9150.0,1121696
2020-03-10,9020.0,9670.0,9000.0,9580.0,1206073
2020-03-11,9580.0,9670.0,9090.0,9180.0,982768
2020-03-12,9130.0,9220.0,8450.0,8510.0,1943960
2020-03-13,7710.0,8400.0,7340.0,8000.0,2203570
2020-03-16,8250.0,8340.0,7510.0,7510.0,1246887
2020-03-17,7000.0,7880.0,6900.0,7620.0,1381413
2020-03-18,7680.0,7790.0,7010.0,7010.0,1184222
2020-03-19,7230.0,7400.0,6130.0,6250.0,2101817
2020-03-20,6320.0,7270.0,6320.0,7270.0,1728899
2020-03-23,6660.0,6790.0,6350.0,6460.0,1755143
2020-03-24,6720.0,7130.0,6530.0,7120.0,2101980
2020-03-25,7490.0,7630.0,7120.0,7320.0,2484207
2020-03-26,7420.0,7580.0,7130.0,7280.0,1800544
2020-03-27,7600.0,7670.0,7050.0,7280.0,1945405
2020-03-30,7070.0,7360.0,6910.0,7350.0,1189581
2020-03-31,7600.0,7760.0,7370.0,7630.0,1965498
2020-04-01,7520.0,8060.0,7400.0,7400.0,2189820
2020-04-02,7500.0,7630.0,7260.0,7600.0,1005666
2020-04-03,7660.0,7670.0,7370.0,7510.0,1160921
2020-04-06,7580.0,7850.0,7520.0,7850.0,1346008
