date,open,high,low,close,volume
2020-01-02,18550.0,18600.0,18400.0,18550.0,5690
2020-01-03,18600.0,18650.0,18400.0,18450.0,7859
2020-01-06,18350.0,18500.0,18300.0,18450.0,5027
2020-01-07,18500.0,18500.0,18400.0,18450.0,5326
2020-01-08,18450.0,18450.0,18150.0,18300.0,11002
2020-01-09,18500.0,18500.0,18400.0,18450.0,6444
2020-01-10,18550.0,18600.0,18400.0,18600.0,11044
2020-01-13,18600.0,18700.0,18400.0,18650.0,12719
2020-01-14,18800.0,18800.0,18500.0,18600.0,4528
2020-01-15,18800.0,18800.0,18450.0,18550.0,4225
2020-01-16,18550.0,18650.0,18500.0,18650.0,5022
2020-01-17,18600.0,18800.0,18600.0,18800.0,9965
2020-01-20,18800.0,18900.0,18550.0,18850.0,11189
2020-01-21,18900.0,18900.0,18650.0,18850.0,4974
2020-01-22,18850.0,18850.0,18700.0,18800.0,4787
2020-01-23,18900.0,18900.0,18550.0,18700.0,6381
2020-01-28,18650.0,18650.0,18300.0,18550.0,6627
2020-01-29,18550.0,18550.0,18400.0,18500.0,4286
2020-01-30,18500.0,18600.0,18350.0,18450.0,4655
2020-01-31,18450.0,18550.0,18350.0,18500.0,6773
2020-02-03,18450.0,18550.0,18250.0,18500.0,8715
2020-02-04,18750.0,18750.0,18400.0,18550.0,8365
2020-02-05,18600.0,18650.0,18400.0,18650.0,4104
2020-02-06,18550.0,18650.0,18400.0,18450.0,8386
2020-02-07,18750.0,19100.0,18500.0,18700.0,18218
2020-02-10,18700.0,18800.0,18650.0,18800.0,7093
2020-02-11,18750.0,19050.0,18650.0,18900.0,14891
2020-02-12,18900.0,19000.0,18700.0,19000.0,6934
2020-02-13,19000.0,19050.0,18800.0,18950.0,5853
2020-02-14,18950.0,19000.0,18700.0,19000.0,13585
2020-02-17,19000.0,19000.0,18850.0,19000.0,9369
2020-02-18,19000.0,19000.0,18800.0,18950.0,5821
2020-02-19,18950.0,18950.0,18800.0,18900.0,7107
2020-02-20,18950.0,19100.0,18800.0,19100.0,8145
2020-02-21,19100.0,19100.0,18750.0,18950.0,16879
2020-02-24,18950.0,19000.0,18700.0,18900.0,19613
2020-02-25,18850.0,19000.0,18700.0,18900.0,8567
2020-02-26,18900.0,18950.0,18700.0,18900.0,8986
2020-02-27,18850.0,18900.0,18650.0,18850.0,22335
2020-02-28,18700.0,18850.0,18000.0,18000.0,49258
2020-03-02,18000.0,18500.0,17350.0,18300.0,22967
2020-03-03,18650.0,18650.0,18350.0,18550.0,7146
2020-03-04,18400.0,18550.0,18200.0,18550.0,13103
2020-03-05,18550.0,18600.0,18450.0,18550.0,6573
2020-03-06,18500.0,18500.0,18250.0,18400.0,11673
2020-03-09,18200.0,18250.0,18000.0,18100.0,12426
2020-03-10,18000.0,18100.0,17800.0,17950.0,21128
2020-03-11,18000.0,18250.0,17700.0,17950.0,48437
2020-03-12,17850.0,17850.0,17200.0,17400.0,28531
2020-03-13,16800.0,17000.0,16250.0,16700.0,52807
2020-03-16,16950.0,17150.0,16350.0,16950.0,22285
2020-03-17,16300.0,16800.0,16300.0,16650.0,18976
2020-03-18,16750.0,17000.0,16300.0,16650.0,21512
2020-03-19,16250.0,16600.0,14850.0,15500.0,47170
2020-03-20,15500.0,16100.0,15300.0,15750.0,36275
2020-03-23,15150.0,15200.0,14750.0,15200.0,37167
2020-03-24,15150.0,16650.0,15150.0,16550.0,22733
2020-03-25,16950.0,17500.0,16400.0,16800.0,31337
2020-03-26,16800.0,17100.0,16550.0,16900.0,13958
2020-03-27,16900.0,17350.0,16750.0,17050.0,35853
2020-03-30,16750.0,17150.0,16650.0,17150.0,13896
2020-03-31,17450.0,17450.0,16950.0,17200.0,33378
2020-04-01,17200.0,17300.0,17100.0,17250.0,9155
2020-04-02,17150.0,17250.0,16850.0,17250.0,18069
2020-04-03,17250.0,17950.0,17150.0,17750.0,16938
2020-04-06,17600.0,18000.0,17500.0,17950.0,21320
2020-04-07,18150.0,18150.0,17700.0,17850.0,18116
2020-04-08,17850.0,18150.0,17750.0,18150.0,13682
2020-04-09,18150.0,18200.0,17950.0,18150.0,17080
2020-04-10,18150.0,18150.0,17850.0,18050.0,7732
2020-04-13,18300.0,18300.0,17650.0,17750.0,18572
2020-04-14,17750.0,18000.0,17700.0,18000.0,12593
2020-04-16,18000.0,18100.0,17800.0,18100.0,8013
2020-04-17,18100.0,18500.0,18000.0,18400.0,18345
2020-04-20,18350.0,18700.0,18200.0,18500.0,15828
2020-04-21,18450.0,18450.0,17850.0,18100.0,23791
2020-04-22,17900.0,18150.0,17850.0,18150.0,13299
2020-04-23,18150.0,18500.0,18150.0,18450.0,18260
2020-04-24,18450.0,18550.0,18200.0,18550.0,20143
2020-04-27,18550.0,18700.0,18450.0,18600.0,13015
2020-04-28,18600.0,18650.0,18400.0,18600.0,14864
2020-04-29,18600.0,18650.0,18450.0,18650.0,9943
2020-05-04,18650.0,18650.0,18200.0,18200.0,26689
2020-05-06,18300.0,18600.0,18250.0,18500.0,11879
2020-05-07,18600.0,18800.0,18400.0,18800.0,22512
2020-05-08,18800.0,19150.0,18700.0,19100.0,18944
2020-05-11,19100.0,19500.0,18950.0,19450.0,21750
2020-05-12,19700.0,19700.0,19200.0,19450.0,10143
2020-05-13,19450.0,19500.0,19150.0,19300.0,15780
2020-05-14,19300.0,19300.0,18800.0,18800.0,17509
2020-05-15,18950.0,19600.0,18800.0,19300.0,29126
2020-05-18,19450.0,20750.0,19300.0,20450.0,93899
2020-05-19,20800.0,20800.0,19700.0,20450.0,60030
2020-05-20,20450.0,21000.0,20300.0,20700.0,18098
2020-05-21,21300.0,21400.0,20800.0,21050.0,21260
2020-05-22,21050.0,21200.0,20600.0,21150.0,17387
2020-05-25,21050.0,21700.0,20900.0,21400.0,27573
2020-05-26,21500.0,22100.0,21450.0,21950.0,41075
2020-05-27,22150.0,22150.0,21600.0,21650.0,22035
2020-05-28,21650.0,21900.0,20700.0,21200.0,30408
2020-05-29,21000.0,21350.0,20900.0,21350.0,12185
2020-06-01,21550.0,21550.0,21150.0,21350.0,18156
2020-06-02,21400.0,21400.0,21150.0,21200.0,8902
2020-06-03,21350.0,21350.0,20500.0,20600.0,35963
2020-06-04,20650.0,20950.0,20500.0,20750.0,16305
2020-06-05,20850.0,20900.0,20450.0,20700.0,22575
2020-06-08,20750.0,20750.0,20150.0,20150.0,30971
2020-06-09,20200.0,20400.0,20000.0,20250.0,13377
2020-06-10,20250.0,20250.0,19950.0,20000.0,15070
2020-06-11,19900.0,20250.0,19900.0,20000.0,18598
2020-06-12,19400.0,20050.0,19400.0,19900.0,28894
2020-06-15,19800.0,20450.0,19650.0,19650.0,26754
2020-06-16,20000.0,20200.0,19800.0,20000.0,16511
2020-06-17,20050.0,20300.0,19900.0,20100.0,10862
2020-06-18,20100.0,20150.0,19950.0,20050.0,6822
2020-06-19,20200.0,20250.0,19850.0,19900.0,11708
2020-06-22,20000.0,20100.0,19900.0,20000.0,6480
2020-06-23,20000.0,20150.0,19900.0,20000.0,11230
2020-06-24,20200.0,20200.0,19900.0,20000.0,10217
2020-06-25,19900.0,20000.0,19800.0,19950.0,11663
2020-06-26,19950.0,20000.0,19700.0,19950.0,13255
2020-06-29,19950.0,19950.0,19500.0,19700.0,13301
2020-06-30,19850.0,20050.0,19850.0,19950.0,10109
2020-07-01,19950.0,20150.0,19950.0,19950.0,13371
2020-07-02,20000.0,20650.0,19950.0,20500.0,18276
2020-07-03,20700.0,20700.0,20350.0,20600.0,11927
2020-07-06,20600.0,21450.0,20550.0,21150.0,47234
2020-07-07,21250.0,21400.0,20800.0,21050.0,14582
2020-07-08,21050.0,21200.0,20900.0,21100.0,16831
2020-07-09,21200.0,21500.0,20950.0,21300.0,16876
2020-07-10,21300.0,21350.0,21050.0,21250.0,7645
2020-07-13,21350.0,21500.0,21100.0,21350.0,11637
2020-07-14,21350.0,21350.0,21000.0,21050.0,9895
2020-07-15,21000.0,21150.0,20600.0,20700.0,17286
2020-07-16,20700.0,21000.0,20600.0,20750.0,9483
2020-07-17,20750.0,20900.0,20600.0,20850.0,8573
2020-07-20,20750.0,20900.0,20650.0,20800.0,7481
2020-07-21,20800.0,21100.0,20800.0,20950.0,10290
2020-07-22,21100.0,21200.0,20800.0,21050.0,6181
2020-07-23,21150.0,21150.0,20850.0,21000.0,6788
2020-07-24,21000.0,21200.0,20850.0,21000.0,7565
2020-07-27,21000.0,21300.0,21000.0,21150.0,9012
2020-07-28,21400.0,21700.0,21150.0,21700.0,11365
2020-07-29,21700.0,22350.0,21650.0,22100.0,19806
2020-07-30,22100.0,22750.0,22100.0,22550.0,18452
2020-07-31,22550.0,23750.0,22550.0,23650.0,42304
2020-08-03,23650.0,24000.0,23000.0,23750.0,31736
2020-08-04,23750.0,23950.0,23450.0,23900.0,16649
2020-08-05,24050.0,25300.0,24000.0,24900.0,37763
2020-08-06,24700.0,26000.0,24650.0,25900.0,37219
2020-08-07,26050.0,26650.0,24800.0,25100.0,39545
2020-08-10,25050.0,25400.0,23100.0,24900.0,21561
2020-08-11,24850.0,25350.0,24400.0,24400.0,18292
2020-08-12,24400.0,24950.0,24050.0,24350.0,16651
2020-08-13,24850.0,24850.0,24150.0,24400.0,10195
2020-08-14,24400.0,24450.0,22400.0,22700.0,98487
2020-08-18,22400.0,23200.0,21800.0,22800.0,45526
2020-08-19,22800.0,23500.0,22500.0,22650.0,20239
2020-08-20,22650.0,22800.0,21700.0,21900.0,45945
2020-08-21,21900.0,23050.0,21900.0,22850.0,36874
2020-08-24,22850.0,22950.0,22500.0,22850.0,15040
2020-08-25,23300.0,23300.0,22700.0,23150.0,16939
2020-08-26,23150.0,23250.0,22850.0,22900.0,10424
2020-08-27,22700.0,23200.0,22600.0,22750.0,12740
2020-08-28,23050.0,23400.0,22900.0,23250.0,19080
2020-08-31,23350.0,24100.0,23350.0,23950.0,24738
2020-09-01,24300.0,24300.0,23500.0,24150.0,18315
2020-09-02,24150.0,24150.0,23700.0,23950.0,9244
2020-09-03,23950.0,24050.0,23650.0,23750.0,14135
2020-09-04,23000.0,23650.0,22850.0,23400.0,19846
2020-09-07,23400.0,23400.0,23000.0,23150.0,12131
2020-09-08,23200.0,23450.0,22950.0,23000.0,20102
2020-09-09,23000.0,23000.0,22650.0,22800.0,14865
2020-09-10,22800.0,23500.0,22800.0,23300.0,9419
2020-09-11,23300.0,23500.0,23050.0,23500.0,6742
2020-09-14,23500.0,23700.0,23300.0,23600.0,14221
2020-09-15,23800.0,24000.0,23350.0,23700.0,10776
2020-09-16,23700.0,23950.0,23600.0,23600.0,13112
2020-09-17,23700.0,23700.0,23350.0,23650.0,12821
2020-09-18,23850.0,24500.0,23700.0,24350.0,23238
2020-09-21,24500.0,24500.0,23850.0,23850.0,23296
2020-09-22,23800.0,23800.0,23300.0,23300.0,8762
2020-09-23,23300.0,23600.0,22900.0,23450.0,12046
2020-09-24,22950.0,23850.0,22950.0,23150.0,14190
2020-09-25,23700.0,23700.0,22950.0,23200.0,15943
2020-09-28,23050.0,23650.0,23050.0,23600.0,10065
2020-09-29,23900.0,23900.0,23100.0,23450.0,10390
2020-10-05,23450.0,23600.0,23200.0,23550.0,3972
2020-10-06,23900.0,23900.0,23500.0,23600.0,3721
2020-10-07,23600.0,23600.0,23300.0,23450.0,10247
2020-10-08,23450.0,23550.0,23350.0,23500.0,7950
